time(s), rpm, amps, maxAmps
6.76,8,3.084,3.375
6.76,8,3.058,3.375
6.77,8,3.005,3.375
6.82,1061,2.952,3.375
6.85,2109,2.926,3.375
6.87,2721,2.688,3.375
6.91,3621,2.926,3.375
6.95,4628,2.477,3.375
6.99,5421,2.556,3.375
7.02,6289,2.82,3.375
7.06,7012,2.345,3.375
7.1,7776,2.504,3.375
7.14,8441,1.976,3.375
7.17,9036,2.081,3.375
7.21,9646,1.87,3.375
7.25,10204,1.976,3.375
7.28,10775,2.081,3.375
7.32,11295,2.16,3.375
7.36,11838,1.659,3.375
7.4,12325,1.633,3.375
7.44,12744,1.633,3.375
7.48,13157,1.633,3.375
7.52,13574,1.448,3.375
7.55,13914,1.58,3.375
7.59,14272,1.501,3.375
7.63,14619,1.448,3.375
7.67,14940,1.501,3.375
7.71,15259,1.105,3.375
7.75,15544,1.501,3.375
7.79,15806,1.342,3.375
7.82,16077,1.369,3.375
7.86,16251,1.448,3.375
7.9,16465,1.105,3.375
7.94,16722,1.342,3.375
7.98,16910,1.026,3.375
8.02,17084,1.237,3.375
8.06,17261,1.237,3.375
8.09,17441,0.814,3.375
8.13,17564,1.289,3.375
8.17,17709,1.237,3.375
8.21,17878,0.814,3.375
8.25,18007,1.052,3.375
8.29,18115,1.184,3.375
8.32,18248,1.184,3.375
8.36,18359,1.158,3.375
8.4,18472,0.894,3.375
8.44,18610,0.867,3.375
8.48,18703,1.078,3.375
8.52,18773,0.999,3.375
8.56,18820,0.894,3.375
8.59,18891,0.63,3.375
8.63,18987,0.894,3.375
8.67,18939,0.841,3.375
8.71,19059,1.131,3.375
8.75,19132,0.841,3.375
8.79,19083,1.026,3.375
8.82,19206,0.894,3.375
8.86,19255,0.946,3.375
8.9,19280,0.814,3.375
8.94,19305,0.814,3.375
8.98,19354,0.867,3.375
9.02,19379,0.682,3.375
9.06,19329,0.946,3.375
9.1,19430,1.052,3.375
9.13,19480,0.603,3.375
9.17,19480,0.999,3.375
9.21,19556,0.682,3.375
9.25,19531,0.946,3.375
9.29,19531,0.656,3.375
9.32,19582,0.92,3.375
9.36,19685,0.999,3.375
9.4,19607,0.841,3.375
9.44,19582,0.682,3.375
9.48,19685,0.577,3.375
9.52,19685,0.867,3.375
9.56,19710,0.656,3.375
9.59,19710,0.63,3.375
9.63,19762,0.814,3.375
9.67,19736,0.55,3.375
9.71,19788,0.63,3.375
9.75,19815,0.841,3.375
9.79,19841,0.894,3.375
9.83,19867,0.762,3.375
9.86,19867,0.841,3.375
9.9,19893,0.999,3.375
9.94,19893,0.682,3.375
9.98,19920,0.894,3.375
10.02,19920,1.131,3.375
10.06,19946,0.92,3.375
10.1,19973,0.946,3.375
10.14,19973,0.498,3.375
10.18,20000,0.788,3.375
10.22,20026,0.946,3.375
10.26,20026,1.105,3.375
10.3,20053,0.867,3.375
10.33,20107,0.841,3.375
10.37,20107,0.841,3.375
10.41,20107,0.814,3.375
10.45,20134,0.841,3.375
10.49,20297,0.894,3.375
10.53,20188,1.026,3.375
10.57,20188,0.418,3.375
10.61,20215,0.814,3.375
10.65,20188,1.026,3.375
10.69,20215,0.946,3.375
10.73,20270,0.973,3.375
10.77,20270,1.105,3.375
10.81,20270,0.603,3.375
10.85,20270,0.577,3.375
10.9,20297,0.735,3.375
11,20325,0.788,3.375
11.1,20297,0.762,3.375
11.2,20352,0.735,3.375
11.3,20380,0.946,3.375
11.4,20380,0.946,3.375
11.5,20380,0.92,3.375
11.6,20408,0.788,3.375
11.7,20408,1.052,3.375
11.8,20408,0.867,3.375
11.9,20435,0.656,3.375
12,20408,0.814,3.375
12.1,20408,0.762,3.375
12.2,20463,0.894,3.375
12.3,20463,0.577,3.375
12.4,20463,0.63,3.375
12.5,20491,0.603,3.375
12.6,20463,0.682,3.375
12.7,20491,0.603,3.375
12.8,20435,0.894,3.375
12.9,20435,0.735,3.375
13,20325,0.023,3.375
13.1,19582,0.049,3.375
13.2,18891,-0.004,3.375
13.3,18226,-0.004,3.375
13.4,17584,0.049,3.375
13.5,16987,0.023,3.375
13.6,16357,0.023,3.375
13.7,15772,-0.004,3.375
13.8,15243,0.023,3.375
13.9,14662,0.023,3.375
14,14137,0.023,3.375
14.1,13636,-0.03,3.375
14.2,13111,0.023,3.375
14.3,12636,0.049,3.375
14.4,12155,0.023,3.375
14.5,11691,0.023,3.375
14.6,11235,0.023,3.375
14.7,10791,0.023,3.375
14.8,10359,0.023,3.375
14.9,9973,0.023,3.375
15,9548,-0.004,3.375
15.1,9168,0.049,3.375
15.2,8771,0.023,3.375
15.3,8398,-0.03,3.375
15.4,8008,0.023,3.375
15.5,7641,-0.004,3.375
15.6,7295,0.023,3.375
15.7,6941,0.023,3.375
15.8,6613,-0.004,3.375
15.9,6263,0.023,3.375
16,5926,0.023,3.375
16.1,5574,0.075,3.375
16.2,5250,-0.03,3.375
16.3,4948,-0.004,3.375
16.4,4622,0.023,3.375
16.5,4274,0.023,3.375
16.6,3967,-0.004,3.375
16.7,3680,0.049,3.375
16.8,3374,-0.03,3.375
16.9,3103,0.023,3.375
17,2806,-0.004,3.375
17.11,2553,0.023,3.375
17.22,2197,0.023,3.375
17.31,1955,0.023,3.375
17.41,1682,0.023,3.375
17.53,1364,0.049,3.375
17.63,1241,-0.004,3.375
17.7,949,0.023,3.375
17.89,501,0.023,3.375
17.9,501,-0.004,3.375
