time(s), rpm, amps, maxAmps
4.66, 12, 1.659, 1.949
4.66, 12, 1.580, 1.949
4.66, 12, 1.501, 1.949
4.67, 12, 1.659, 1.949
4.70, 1411, 1.553, 1.949
4.73, 1926, 1.501, 1.949
4.76, 1926, 1.474, 1.949
4.78, 2602, 1.395, 1.949
4.80, 2865, 1.448, 1.949
4.83, 3101, 1.395, 1.949
4.86, 3314, 1.395, 1.949
4.88, 3710, 1.131, 1.949
4.91, 4057, 1.210, 1.949
4.94, 4355, 1.237, 1.949
4.96, 4633, 1.316, 1.949
4.99, 4887, 1.158, 1.949
5.02, 5124, 1.078, 1.949
5.04, 5440, 1.105, 1.949
5.07, 5636, 0.946, 1.949
5.10, 5919, 1.026, 1.949
5.13, 6167, 1.026, 1.949
5.15, 6399, 1.026, 1.949
5.18, 6619, 0.973, 1.949
5.21, 6821, 0.814, 1.949
5.23, 7019, 0.920, 1.949
5.26, 7201, 0.973, 1.949
5.29, 7381, 0.894, 1.949
5.31, 7594, 0.814, 1.949
5.34, 7751, 0.788, 1.949
5.37, 7940, 0.867, 1.949
5.40, 8077, 0.630, 1.949
5.42, 8232, 0.788, 1.949
5.45, 8422, 0.762, 1.949
5.48, 8581, 0.709, 1.949
5.50, 8731, 0.682, 1.949
5.53, 8875, 0.735, 1.949
5.56, 9014, 0.735, 1.949
5.58, 9151, 0.762, 1.949
5.61, 9270, 0.788, 1.949
5.64, 9363, 0.709, 1.949
5.67, 9511, 0.603, 1.949
5.69, 9646, 0.682, 1.949
5.72, 9759, 0.656, 1.949
5.75, 9861, 0.577, 1.949
5.77, 9986, 0.550, 1.949
5.80, 10107, 0.603, 1.949
5.83, 10190, 0.630, 1.949
5.86, 10302, 0.550, 1.949
5.88, 10402, 0.603, 1.949
5.91, 10518, 0.577, 1.949
5.94, 10600, 0.498, 1.949
5.97, 10729, 0.603, 1.949
6.00, 10783, 0.603, 1.949
6.03, 10861, 0.550, 1.949
6.05, 10940, 0.577, 1.949
6.08, 11029, 0.656, 1.949
6.11, 11111, 0.524, 1.949
6.14, 11185, 0.471, 1.949
6.17, 11252, 0.471, 1.949
6.19, 11303, 0.498, 1.949
6.22, 11389, 0.471, 1.949
6.25, 11459, 0.577, 1.949
6.28, 11511, 0.550, 1.949
6.31, 11583, 0.550, 1.949
6.40, 11727, 0.524, 1.949
6.50, 11961, 0.445, 1.949
6.60, 12116, 0.445, 1.949
6.70, 12264, 0.445, 1.949
6.80, 12417, 0.471, 1.949
6.90, 12520, 0.260, 1.949
7.00, 12626, 0.313, 1.949
7.10, 12733, 0.260, 1.949
7.20, 12809, 0.366, 1.949
7.30, 12897, 0.339, 1.949
7.40, 12964, 0.418, 1.949
7.50, 13020, 0.445, 1.949
7.60, 13066, 0.339, 1.949
7.70, 13123, 0.366, 1.949
7.80, 13157, 0.234, 1.949
7.90, 13192, 0.313, 1.949
8.00, 13227, 0.392, 1.949
8.10, 13250, 0.392, 1.949
8.20, 13309, 0.366, 1.949
8.30, 13345, 0.287, 1.949
8.40, 13345, 0.471, 1.949
8.50, 13380, 0.339, 1.949
8.60, 13404, 0.313, 1.949
8.70, 13489, 0.788, 1.949
8.80, 13940, 0.894, 1.949
8.90, 14423, 0.841, 1.949
9.00, 14822, 0.682, 1.949
9.10, 15151, 0.656, 1.949
9.20, 15384, 0.630, 1.949
9.30, 15608, 0.735, 1.949
9.40, 15806, 0.656, 1.949
9.50, 16008, 0.630, 1.949
9.60, 16181, 0.656, 1.949
9.70, 16339, 0.577, 1.949
9.80, 16447, 0.524, 1.949
9.90, 16592, 0.471, 1.949
10.00, 16685, 0.418, 1.949
10.10, 16816, 0.603, 1.949
10.20, 16910, 0.550, 1.949
10.30, 17006, 0.366, 1.949
10.40, 17084, 0.630, 1.949
10.50, 17084, 0.313, 1.949
10.60, 17162, 0.524, 1.949
10.70, 17201, 0.471, 1.949
10.80, 17261, 0.366, 1.949
10.90, 17341, 0.550, 1.949
11.00, 17381, 0.498, 1.949
11.10, 17401, 0.260, 1.949
11.20, 17462, 0.630, 1.949
11.30, 17502, 0.445, 1.949
11.40, 17523, 0.577, 1.949
11.50, 17584, 0.656, 1.949
11.60, 17647, 0.524, 1.949
11.70, 17688, 0.392, 1.949
11.80, 17751, 0.471, 1.949
11.90, 17793, 0.498, 1.949
12.00, 17814, 0.524, 1.949
12.10, 17814, 0.577, 1.949
12.20, 17835, 0.577, 1.949
12.30, 17814, 0.524, 1.949
12.40, 17772, 0.075, 1.949
12.50, 17201, -0.162, 1.949
12.60, 16629, -0.189, 1.949
12.70, 16008, -0.215, 1.949
12.80, 15416, -0.083, 1.949
12.90, 14851, -0.162, 1.949
13.00, 14340, -0.136, 1.949
13.10, 13786, -0.136, 1.949
13.20, 13286, -0.109, 1.949
13.30, 12798, -0.136, 1.949
13.40, 12335, -0.162, 1.949
13.50, 11876, -0.136, 1.949
13.60, 11441, -0.136, 1.949
13.70, 10997, -0.109, 1.949
13.80, 10563, -0.136, 1.949
13.90, 10148, -0.136, 1.949
14.00, 9721, -0.109, 1.949
14.10, 9345, -0.136, 1.949
14.20, 8939, -0.109, 1.949
14.30, 8571, -0.189, 1.949
14.40, 8187, -0.189, 1.949
14.50, 7828, -0.189, 1.949
14.60, 7458, -0.162, 1.949
14.70, 7112, -0.215, 1.949
14.80, 6759, -0.162, 1.949
14.90, 6415, -0.189, 1.949
15.00, 6092, -0.162, 1.949
15.10, 5753, -0.162, 1.949
15.20, 5440, -0.189, 1.949
15.30, 5115, -0.189, 1.949
15.40, 4801, -0.189, 1.949
15.50, 4476, -0.162, 1.949
15.60, 4166, -0.162, 1.949
15.70, 3851, -0.189, 1.949
15.80, 3555, -0.136, 1.949
15.90, 3296, -0.162, 1.949
16.00, 2963, -0.162, 1.949
16.11, 2654, -0.136, 1.949
16.21, 2385, -0.189, 1.949
16.32, 2166, -0.109, 1.949
16.41, 1837, -0.136, 1.949
16.52, 1551, -0.189, 1.949
16.61, 1328, -0.136, 1.949
16.71, 1062, -0.162, 1.949
16.86, 704, -0.189, 1.949
17.02, 393, -0.136, 1.949
17.02, 393, -0.189, 1.949
