time(s), rpm, amps, maxAmps,
7.23,8,2.266,2.504,
7.23,8,2.213,2.504,
7.23,8,2.319,2.504,
7.23,8,2.266,2.504,
7.28,1121,2.319,2.504,
7.28,1121,2.424,2.504,
7.32,1790,2.134,2.556,
7.34,2341,2.741,2.768,
7.36,2798,2.768,2.768,
7.4,3528,2.583,2.82,
7.42,3819,2.768,2.82,
7.45,4364,2.583,2.82,
7.47,4846,2.372,2.82,
7.5,5261,2.266,2.82,
7.53,5825,2.53,2.82,
7.55,6315,2.477,2.82,
7.58,6762,1.738,2.82,
7.61,7183,1.897,2.82,
7.64,7533,1.844,2.82,
7.66,7957,1.817,2.82,
7.69,8342,1.606,2.82,
7.72,8600,1.712,2.82,
7.74,8955,1.659,2.82,
7.77,9345,1.791,2.82,
7.8,9646,1.765,2.82,
7.82,9914,1.738,2.82,
7.85,10245,1.765,2.82,
7.88,10526,1.659,2.82,
7.91,10838,1.685,2.82,
7.94,11119,1.105,2.82,
7.96,11363,1.342,2.82,
7.99,11636,1.633,2.82,
8.02,11857,1.791,2.82,
8.05,12106,1.659,2.82,
8.08,12345,1.501,2.82,
8.1,12541,1.553,2.82,
8.13,12722,1.976,2.82,
8.16,12964,1.606,2.82,
8.19,13146,1.87,2.82,
8.22,13357,1.342,2.82,
8.25,13501,0.603,2.82,
8.27,13636,0.498,2.82,
8.3,13812,0.577,2.82,
8.33,13940,0.682,2.82,
8.36,14084,0.867,2.82,
8.39,14218,0.999,2.82,
8.41,14367,1.369,2.82,
8.44,14506,1.131,2.82,
8.47,14619,1.078,2.82,
8.5,14734,1.026,2.82,
8.52,14822,0.894,2.82,
8.55,14925,0.524,2.82,0.462
8.58,15000,0.762,2.82,
8.61,15060,0.867,2.82,
8.64,15060,0.867,2.82,
8.67,15197,0.392,2.82,
8.69,15259,0.339,2.82,
8.72,15321,0.313,2.82,
8.75,15416,0.313,2.82,
8.78,15463,0.26,2.82,
8.81,15511,0.181,2.82,
8.84,15576,0.234,2.82,
8.86,15608,0.445,2.82,
8.89,15673,0.366,2.82,
8.92,15723,0.26,2.82,
8.95,15789,0.26,2.82,
8.98,15856,0.339,2.82,
9,15889,0.366,2.82,
9.03,15940,0.26,2.82,
9.06,15974,0.339,2.82,
9.09,16025,0.313,2.82,
9.11,16059,0.524,2.82,
9.14,16094,0.682,2.82,
9.17,16146,0.894,2.82,
9.2,16163,0.841,2.82,
9.23,16233,0.656,2.82,
9.26,16268,0.445,2.82,
9.28,16304,0.445,2.82,
9.31,16339,0.63,2.82,
9.34,16357,0.366,2.82,
9.37,16375,0.207,2.82,
9.4,16411,0.181,2.82,
9.42,16411,0.418,2.82,
9.45,16465,0.339,2.82,
9.48,16501,0.577,2.82,
9.51,16519,0.709,2.82,
9.54,16556,0.709,2.82,
9.56,16556,0.471,2.82,
9.59,16556,0.55,2.82,
9.62,16574,0.709,2.82,
9.65,16611,0.682,2.82,
9.68,16629,0.524,2.82,
9.71,16666,0.735,2.82,
9.73,16685,0.894,2.82,
9.76,16741,0.498,2.82,
9.79,16648,0.603,2.82,
9.82,16741,0.445,2.82,
9.85,16741,0.682,2.82,
9.87,16759,0.471,2.82,
9.9,16872,0.709,2.82,
10,16853,0.471,2.82,
10.1,16891,0.92,2.82,
10.2,16949,0.894,2.82,
10.3,16987,0.841,2.82,
10.4,17006,0.709,2.82,
10.5,17064,1.21,2.82,
10.6,17084,1.026,2.82,
10.7,17142,0.656,2.82,
10.8,17221,1.131,2.82,
10.9,17301,0.524,2.82,
11,17361,1.052,2.82,
11.1,17482,0.841,2.82,
11.2,17523,1.078,2.82,
11.3,17605,1.052,2.82,
11.4,17605,1.369,2.82,
11.5,17647,1.237,2.82,
11.6,17688,0.867,2.82,
11.7,17730,0.762,2.82,
11.8,17772,0.946,2.82,
11.9,17814,0.973,2.82,
12,17878,1.052,2.82,
12.1,17899,1.316,2.82,
12.2,17942,1.553,2.82,
12.3,17985,1.738,2.82,
12.4,18028,1.289,2.82,
12.5,18050,1.316,2.82,
12.6,18094,1.21,2.82,
12.7,18115,1.078,2.82,
12.8,18137,0.735,2.82,
12.9,18115,1.237,2.82,
13,18181,0.498,2.82,
13.1,18159,1.052,2.82,
