interval, time(s),, rpm, amps, maxAmps,,
1021860,1.02,0,58,8.499,8.736,,
4884,1.27,0.25,12285,4.619,8.736,,
3124,1.52,0.5,19206,2.534,8.736,,
2572,1.77,0.75,23328,2.138,8.736,,
2332,2.03,1.01,25728,1.927,8.736,,
2228,2.28,1.26,26929,1.584,8.736,,
2172,2.53,1.51,27624,1.399,8.736,,
2140,2.78,1.76,28037,1.003,8.736,,
2116,3.03,2.01,28355,0.475,8.736,,
2100,3.28,2.26,28571,1.056,8.736,,
2100,3.53,2.51,28571,1.267,8.736,,
2096,3.78,2.76,28625,1.003,8.736,,
2092,4.03,3.01,28680,1.557,8.736,,
2092,4.28,3.26,28680,1.531,8.736,,
2092,4.54,3.52,28680,1.109,8.736,,
2092,4.79,3.77,28680,1.135,8.736,,
2092,5.04,4.02,28680,1.161,8.736,,
2092,5.29,4.27,28680,0.845,8.736,,
2092,5.54,4.52,28680,1.452,8.736,,
2088,5.79,4.77,28735,1.082,8.736,,
2088,6.04,5.02,28735,1.716,8.736,,
2092,6.29,5.27,28680,1.082,8.736,,
2092,6.54,5.52,28680,0.686,8.736,,
2092,6.8,5.78,28680,1.399,8.736,,
2092,7.05,6.03,28680,1.029,8.736,,
2092,7.3,6.28,28680,1.478,8.736,,
2084,7.55,6.53,28790,1.346,8.736,,
2080,7.8,6.78,28846,1.372,8.736,,
2080,8.05,7.03,28846,0.845,8.736,,
2076,8.3,7.28,28901,0.792,8.736,,
2080,8.55,7.53,28846,0.607,8.736,,
2072,8.8,7.78,28957,1.161,8.736,,
2076,9.05,8.03,28901,1.24,8.736,,
2084,9.31,8.29,28790,0.185,8.736,,
2084,9.56,8.54,28790,0.686,8.736,,
2088,9.81,8.79,28735,1.452,8.736,,1.122833333
2080,10.06,9.04,28846,0.66,8.736,,
2076,10.31,9.29,28901,1.636,8.736,,
2148,10.56,9.54,27932,-0.079,8.736,,
2372,10.81,9.79,25295,-0.053,8.736,,
2624,11.06,10.04,22865,-0.106,8.736,,
2892,11.31,10.29,20746,-0.106,8.736,,
3176,11.56,10.54,18891,-0.079,8.736,,
3488,11.81,10.79,17201,-0.079,8.736,,
3824,12.07,11.05,15690,-0.079,8.736,,
4204,12.32,11.3,14272,-0.053,8.736,,
4632,12.57,11.55,12953,-0.079,8.736,,
5104,12.82,11.8,11755,-0.053,8.736,,
5660,13.07,12.05,10600,-0.079,8.736,,
6292,13.32,12.3,9535,-0.079,8.736,,
7008,13.57,12.55,8561,-0.079,8.736,,
7888,13.82,12.8,7606,-0.079,8.736,,
9028,14.07,13.05,6645,-0.053,8.736,,
10420,14.33,13.31,5758,-0.053,8.736,,
12184,14.58,13.56,4924,-0.079,8.736,,
14632,14.83,13.81,4100,-0.079,8.736,,
17984,15.08,14.06,3336,-0.079,8.736,,
23712,15.34,14.32,2530,-0.079,8.736,,
33204,15.59,14.57,1807,-0.026,8.736,,
53688,15.85,14.83,1117,-0.053,8.736,,
118824,16.11,15.09,504,-0.079,8.736,,
