Stock Stryfe


Shot 1  8.6 ms  56.0 fps
Shot 2  8.0 ms  60.4 fps
Shot 3  8.1 ms  59.8 fps
Shot 4  7.2 ms  67.2 fps
Shot 5  8.8 ms  54.8 fps
Shot 6  7.8 ms  62.0 fps
Shot 7  8.7 ms  55.3 fps
Shot 8  9.0 ms  53.5 fps
Shot 9  10.0 ms  48.2 fps
Shot 10  7.3 ms  65.9 fps
Shot 11  7.3 ms  66.4 fps
Shot 12  8.0 ms  60.3 fps
Shot 13  7.7 ms  63.0 fps


LiPO Stryfe
Shot 6  5.1 ms  94.9 fps
Shot 7  4.9 ms  98.8 fps
Shot 8  5.1 ms  94.3 fps
Shot 9  5.0 ms  96.1 fps
Shot 10  4.6 ms  103.9 fps
Shot 11  5.2 ms  93.6 fps
Shot 12  5.4 ms  89.5 fps
Shot 13  4.9 ms  98.2 fps
Shot 14  5.1 ms  94.2 fps
Shot 15  5.3 ms  91.4 fps
Shot 16  5.3 ms  91.6 fps
Shot 17  5.5 ms  88.1 fps
Shot 18  5.4 ms  88.9 fps
Shot 19  4.8 ms  101.5 fps
