AA Duracells 6.48V
time (ms), rpm, mA, mA max
395, 0, 0.00,
406, 0, 0.00,
408, 0, 3488.75, 3488.75
411, 0, 3662.50, 3662.50
417, 0, 3361.25,
428, 0, 3308.75,
439, 0, 3206.25,
461, 0, 3118.75,
472, 0, 3047.50,
483, 2024, 2786.25,
505, 2900, 2661.25,
516, 3504, 2585.00,
538, 4017, 2607.50,
549, 4444, 2310.00,
560, 4826, 2423.75,
571, 5168, 2356.25,
582, 5478, 2222.50,
593, 5767, 2298.75,
604, 6033, 2150.00,
615, 6281, 2133.75,
626, 6518, 2046.25,
637, 6954, 2003.75,
648, 7149, 2063.75,
659, 7352, 2000.00,
670, 7696, 1876.25,
681, 7865, 1843.75,
692, 8183, 1978.75,
703, 8333, 1746.25,
714, 8620, 1837.50,
726, 8875, 1767.50,
737, 9036, 1700.00,
748, 9270, 1660.00,
759, 9487, 1653.75,
770, 9615, 1613.75,
781, 9823, 1602.50,
792, 10040, 1523.75,
803, 10231, 1566.25,
814, 10416, 1490.00,
825, 10593, 1492.50,
836, 10768, 1493.75,
847, 10932, 1417.50,
858, 11102, 1381.25,
869, 11235, 1382.50,
880, 11389, 1362.50,
891, 11547, 1311.25,
902, 11682, 1345.00,
913, 11885, 1316.25,
924, 12019, 1286.25,
935, 12135, 1213.75,
946, 12214, 1116.25,
957, 12376, 1192.50,
968, 12541, 1176.25,
979, 12658, 1141.25,
990, 12787, 1166.25,
1001, 12919, 1133.75,
1012, 13009, 1146.25,
1024, 13169, 1112.50,
1035, 13250, 1136.25,
1046, 13392, 1126.25,
1057, 13440, 1067.50,
1068, 13599, 1061.25,
1079, 13661, 1036.25,
1090, 13812, 1032.50,
1101, 13863, 1013.75,
1112, 13992, 1037.50,
1123, 14071, 962.50,
1134, 14177, 965.00,
1145, 14285, 805.00,
1156, 14354, 982.50,
1167, 14464, 953.75,
1178, 14563, 966.25,
1189, 14619, 966.25,
1200, 14691, 951.25,
1211, 14792, 928.75,
1222, 14836, 878.75,
1233, 14925, 857.50,
1244, 15060, 900.00,
1255, 15090, 761.25,
1266, 15120, 871.25,
1277, 15197, 821.25,
1288, 15290, 743.75,
1299, 15337, 845.00,
1310, 15416, 866.25,
1321, 15479, 846.25,
1332, 15527, 837.50,
1343, 15592, 852.50,
1354, 15657, 833.75,
1366, 15706, 806.25,
1377, 15756, 795.00,
1388, 15822, 781.25,
1399, 15873, 806.25,
1410, 15957, 761.25,
1421, 15974, 712.50,
1432, 16025, 688.75,
1443, 16077, 611.25,
1454, 16111, 706.25,
1465, 16198, 721.25,
1476, 16198, 697.50,
1487, 16251, 772.50,
1498, 16304, 692.50,
1509, 16304, 638.75,
1520, 16304, 733.75,
1531, 16411, 708.75,
1542, 16429, 727.50,
1553, 16465, 737.50,
1564, 16501, 698.75,
1575, 16538, 662.50,
1586, 16501, 666.25,
1597, 16574, 643.75,
1608, 16629, 675.00,
1619, 16666, 677.50,
1630, 16666, 678.75,
1641, 16685, 652.50,
1652, 16703, 705.00,
1664, 16741, 628.75,
1675, 16759, 543.75,
1686, 16778, 641.25,
1697, 16816, 566.25,
1708, 16835, 506.25,
1719, 16853, 617.50,
1730, 16853, 617.50,
1741, 16872, 546.25,
1752, 16891, 607.50,
1763, 16910, 576.25,
1774, 16949, 602.50,
1785, 16968, 628.75,
1796, 16968, 615.00,
1807, 16968, 606.25,
1818, 17006, 522.50,
1829, 17006, 553.75,
1840, 17006, 581.25,
1851, 17026, 496.25,
1862, 17045, 462.50,
1873, 17045, 590.00,
1884, 17064, 615.00,
1895, 17084, 636.25,
1906, 17084, 633.75,
1917, 17103, 630.00,
1928, 17103, 588.75,
1939, 17103, 510.00,
1950, 17123, 536.25,
1961, 17142, 657.50,
1972, 17142, 566.25,
1983, 17142, 615.00,
1994, 17162, 635.00,
2006, 17182, 612.50,
2017, 17182, 591.25,
2028, 17182, 565.00,
2039, 17182, 523.75,
2050, 17201, 627.50,
2061, 17221, 605.00,
2072, 17221, 580.00,
2083, 17241, 556.25,
2094, 17261, 455.00,
2105, 17281, 587.50,
2116, 17301, 491.25,
2127, 17281, 570.00,
2138, 17281, 491.25,
2149, 17301, 502.50,
2160, 17281, 495.00,
2171, 17301, 568.75,
2182, 17321, 510.00,
2193, 17321, 546.25,
2204, 17361, 565.00,
2215, 17341, 531.25,
2226, 17381, 590.00,
2237, 17401, 493.75,
2248, 17361, 552.50,
2259, 17381, 518.75,
2270, 17361, 582.50,
2281, 17381, 536.25,
2292, 17381, 532.50,
2304, 17321, 605.00,
2315, 17401, 558.75,
2326, 17421, 522.50,
2337, 17482, 548.75,
2348, 17441, 536.25,
2359, 17441, 516.25,
2370, 17462, 453.75,
2381, 17462, 590.00,
2392, 17421, 578.75,
2403, 17482, 597.50,
2414, 17502, 556.25,
2425, 17482, 593.75,
2436, 17584, 530.00,
2447, 17502, 580.00,
2458, 17502, 490.00,
2469, 17502, 541.25,
2480, 17502, 523.75,
2491, 17523, 538.75,
2502, 17523, 578.75,
2513, 17543, 622.50,
2524, 17564, 636.25,
2535, 17543, 565.00,
2546, 17543, 587.50,
2557, 17543, 553.75,
2568, 17543, 465.00,
2579, 17564, 527.50,
2590, 17543, 496.25,
2601, 17584, 542.50,
2612, 17584, 515.00,
2623, 17584, 583.75,
2634, 17584, 631.25,
2646, 17584, 492.50,
2657, 17605, 556.25,
2668, 17564, 496.25,
2679, 17605, 448.75,
2690, 17605, 516.25,
2701, 17584, 548.75,
2712, 17626, 532.50,
2723, 17626, 566.25,
2734, 17626, 481.25,
2745, 17626, 551.25,
2756, 17626, 540.00,
2767, 17605, 513.75,
2778, 17647, 540.00,
2789, 17647, 596.25,
2800, 17709, 537.50,
2811, 17647, 503.75,
2822, 17667, 560.00,
2833, 17605, 615.00,
2844, 17667, 586.25,
2855, 17647, 553.75,
2866, 17647, 568.75,
2877, 17647, 512.50,
2888, 17647, 547.50,
2899, 17688, 613.75,
2910, 17667, 553.75,
2921, 17647, 576.25,
2932, 17647, 515.00,
2944, 17647, 476.25,
2955, 17667, 450.00,
2966, 17772, 511.25,
2977, 17667, 541.25,
2988, 17709, 510.00,
2999, 17709, 505.00,
3010, 17709, 553.75,
3021, 17667, 588.75,
3032, 17709, 482.50,
3043, 17688, 587.50,
3054, 17772, 473.75,
3065, 17730, 551.25,
3076, 17709, 488.75,
3087, 17709, 505.00,
3098, 17709, 447.50,
3109, 17709, 550.00,
3120, 17709, 575.00,
3131, 17688, 571.25,
3142, 17709, 523.75,
3153, 17709, 533.75,
3164, 17647, 580.00,
3175, 17751, 555.00,
3186, 17709, 516.25,
3197, 17709, 505.00,
3208, 17709, 498.75,
3219, 17709, 516.25,
3230, 17709, 471.25,
3241, 17730, 545.00,
3252, 17772, 508.75,
3263, 17730, 540.00,
3274, 17751, 516.25,
3286, 17730, 503.75,
3297, 17730, 563.75,
3308, 17751, 545.00,
3319, 17751, 517.50,
3330, 17772, 477.50,
3341, 17772, 542.50,
3352, 17730, 581.25,
3363, 17772, 510.00,
3374, 17751, 556.25,
3385, 17751, 611.25,
3396, 17772, 485.00,
3407, 17751, 465.00,
3418, 17730, 511.25,
3429, 17772, 515.00,
3440, 17751, 511.25,
3451, 17751, 547.50,
3462, 17751, 507.50,
3473, 17709, 450.00,
3484, 17730, 490.00,
3495, 17730, 557.50,
3506, 17751, 580.00,
3517, 17751, 437.50,
3528, 17751, 531.25,
3539, 17751, 578.75,
3550, 17709, 551.25,
3561, 17730, 487.50,
3572, 17730, 506.25,
3584, 17730, 556.25,
3595, 17730, 548.75,
3606, 17751, 587.50,
3617, 17730, 541.25,
3628, 17730, 622.50,
3639, 17709, 483.75,
3650, 17730, 478.75,
3661, 17730, 498.75,
3672, 17709, 558.75,
3683, 17751, 471.25,
3694, 17772, 567.50,
3705, 17751, 465.00,
3716, 17730, 506.25,
3727, 17730, 530.00,
3738, 17730, 533.75,
3749, 17730, 522.50,
3760, 17730, 527.50,
3771, 17751, 561.25,
3782, 17751, 562.50,
3793, 17751, 508.75,
3804, 17751, 585.00,
3815, 17730, 493.75,
3826, 17751, 452.50,
3837, 17772, 517.50,
3848, 17772, 585.00,
3859, 17751, 590.00,
3870, 17751, 545.00,
3881, 17793, 567.50,
3892, 17751, 528.75,
3903, 17751, 492.50,
3914, 17751, 511.25,
3926, 17772, 493.75,
3937, 17772, 486.25,
3948, 17772, 526.25,
3959, 17772, 567.50,
3970, 17772, 491.25,
3981, 17751, 498.75,
3992, 17730, 433.75,
4003, 17751, 531.25,
4014, 17772, 515.00,
4025, 17751, 551.25,
4036, 17772, 561.25,
4047, 17772, 528.75,
4058, 17730, 577.50,
4069, 17751, 473.75,
4080, 17772, 546.25,
4091, 17772, 505.00,
4102, 17772, 478.75,
4113, 17793, 601.25,
4124, 17772, 585.00,
4135, 17772, 580.00,
4146, 17772, 436.25,
4157, 17751, 546.25,
4168, 17772, 502.50,
4179, 17772, 593.75,
4190, 17772, 515.00,
4201, 17814, 558.75,
4212, 17730, 482.50,
4224, 17751, 523.75,
4235, 17793, 473.75,
4246, 17793, 537.50,
4257, 17793, 551.25,
4268, 17772, 513.75,
4279, 17793, 602.50,
4290, 17772, 512.50,
4301, 17793, 598.75,
4312, 17772, 550.00,
4323, 17772, 631.25,
4334, 17772, 462.50,
4345, 17793, 460.00,
4356, 17793, 561.25,
4367, 17793, 557.50,
4378, 17814, 483.75,
4389, 17772, 470.00,
4400, 17793, 480.00,
4411, 17793, 571.25,
4422, 17793, 551.25,
4433, 17793, 473.75,
4444, 17793, 507.50,
4455, 17814, 546.25,
4466, 17793, 550.00,
4477, 17793, 510.00,
4488, 17793, 463.75,
4499, 17793, 546.25,
4510, 17793, 448.75,
4521, 17793, 592.50,
4532, 17814, 511.25,
4543, 17793, 596.25,
4554, 17793, 527.50,
4566, 17793, 473.75,
4577, 17793, 460.00,
4588, 17814, 533.75,
4599, 17814, 558.75,
4610, 17793, 508.75,
1, 4.6,  95.4, 16094
4621, 16094, 998.75, 95.40
4632, 14450, 1008.75,
4643, 14577, 1015.00,
4654, 14648, 1036.25,
4665, 14720, 1006.25,
4676, 14807, 1036.25,
4687, 14880, 952.50,
4698, 14955, 960.00,
4709, 15030, 932.50,
4720, 15105, 960.00,
4731, 15151, 910.00,
4742, 15212, 913.75,
4753, 15290, 811.25,
4764, 15353, 911.25,
4775, 15400, 891.25,
4786, 15447, 857.50,
4797, 15463, 895.00,
4808, 15592, 802.50,
4819, 15641, 883.75,
4830, 15706, 845.00,
4841, 15756, 853.75,
4852, 15822, 883.75,
4864, 15889, 786.25,
4875, 15923, 807.50,
4886, 15974, 793.75,
4897, 16008, 722.50,
4908, 16042, 813.75,
4919, 16094, 781.25,
4930, 16146, 650.00,
4941, 16181, 672.50,
4952, 16216, 765.00,
4963, 16268, 751.25,
4974, 16286, 706.25,
4985, 16357, 676.25,
4996, 16375, 611.25,
5007, 16411, 712.50,
5018, 16465, 775.00,
5029, 16483, 682.50,
5040, 16501, 705.00,
5051, 16574, 715.00,
5062, 16592, 727.50,
5073, 16629, 711.25,
5084, 16648, 680.00,
5095, 16666, 725.00,
5106, 16685, 743.75,
5117, 16703, 685.00,
5128, 16703, 640.00,
5139, 16759, 677.50,
5150, 16778, 722.50,
5161, 16816, 678.75,
5172, 16835, 665.00,
5183, 16853, 677.50,
5194, 16872, 653.75,
5206, 16891, 660.00,
5217, 16891, 661.25,
5228, 16930, 638.75,
5239, 16930, 602.50,
5250, 16949, 687.50,
5261, 16968, 616.25,
5272, 16968, 633.75,
5283, 16987, 492.50,
5294, 16987, 547.50,
5305, 17045, 676.25,
5316, 17045, 591.25,
5327, 17045, 596.25,
5338, 17045, 607.50,
5349, 17162, 638.75,
5360, 17006, 596.25,
5371, 17103, 615.00,
5382, 17084, 666.25,
5393, 17103, 632.50,
5404, 17103, 652.50,
5415, 17162, 575.00,
5426, 17103, 602.50,
5437, 17142, 533.75,
5448, 17182, 635.00,
5459, 17182, 591.25,
5470, 17182, 612.50,
5481, 17221, 595.00,
5492, 17201, 652.50,
5504, 17221, 591.25,
5515, 17241, 583.75,
5526, 17241, 628.75,
5537, 17241, 581.25,
5548, 17241, 617.50,
5559, 17261, 553.75,
5570, 17301, 586.25,
5581, 17321, 600.00,
5592, 17281, 625.00,
5603, 17301, 673.75,
5614, 17321, 647.50,
5625, 17341, 592.50,
5636, 17341, 640.00,
5647, 17341, 550.00,
5658, 17361, 583.75,
5669, 17401, 591.25,
5680, 17401, 635.00,
5691, 17381, 583.75,
5702, 17421, 637.50,
5713, 17401, 633.75,
5724, 17421, 621.25,
5735, 17441, 645.00,
5746, 17441, 560.00,
5757, 17441, 641.25,
5768, 17482, 590.00,
5779, 17482, 580.00,
5790, 17462, 635.00,
5801, 17502, 563.75,
5812, 17482, 616.25,
5823, 17502, 592.50,
5834, 17502, 572.50,
5846, 17482, 601.25,
5857, 17523, 573.75,
5868, 17543, 610.00,
5879, 17502, 617.50,
5890, 17543, 617.50,
5901, 17523, 595.00,
5912, 17584, 540.00,
5923, 17564, 598.75,
5934, 17564, 612.50,
5945, 17605, 615.00,
5956, 17605, 561.25,
5967, 17584, 578.75,
5978, 17564, 617.50,
5989, 17605, 577.50,
6000, 17605, 566.25,
6011, 17605, 506.25,
6022, 17626, 555.00,
6033, 17667, 530.00,
6044, 17626, 527.50,
6055, 17647, 580.00,
6066, 17543, 528.75,
6077, 17626, 563.75,
6088, 17626, 530.00,
6099, 17647, 547.50,
6110, 17647, 606.25,
6121, 17667, 618.75,
6132, 17667, 542.50,
6144, 17647, 557.50,
6155, 17667, 482.50,
6166, 17667, 636.25,
6177, 17688, 565.00,
6188, 17688, 553.75,
6199, 17688, 560.00,
6210, 17667, 571.25,
6221, 17709, 477.50,
6232, 17730, 496.25,
6243, 17688, 618.75,
6254, 17688, 557.50,
6265, 17709, 561.25,
6276, 17709, 521.25,
6287, 17730, 542.50,
6298, 17730, 556.25,
6309, 17688, 491.25,
6320, 17688, 528.75,
6331, 17793, 501.25,
6342, 17647, 502.50,
6353, 17688, 478.75,
6364, 17730, 588.75,
6375, 17709, 572.50,
6386, 17730, 536.25,
6397, 17709, 532.50,
6408, 17688, 466.25,
6419, 17709, 583.75,
6430, 17709, 587.50,
6441, 17730, 571.25,
6452, 17751, 543.75,
6463, 17730, 557.50,
6474, 17730, 542.50,
6486, 17709, 548.75,
6497, 17730, 583.75,
6508, 17751, 582.50,
6519, 17730, 561.25,
6530, 17688, 606.25,
6541, 17730, 572.50,
6552, 17730, 523.75,
6563, 17730, 472.50,
6574, 17751, 506.25,
6585, 17730, 550.00,
6596, 17709, 493.75,
6607, 17751, 577.50,
6618, 17751, 463.75,
6629, 17730, 508.75,
6640, 17751, 517.50,
6651, 17709, 487.50,
6662, 17751, 518.75,
6673, 17730, 576.25,
6684, 17751, 436.25,
6695, 17709, 487.50,
6706, 17730, 597.50,
6717, 17709, 490.00,
6728, 17709, 507.50,
6739, 17751, 540.00,
6750, 17730, 615.00,
6761, 17751, 481.25,
6772, 17730, 530.00,
6784, 17751, 533.75,
6795, 17751, 542.50,
6806, 17730, 542.50,
6817, 17709, 573.75,
6828, 17730, 557.50,
6839, 17751, 653.75,
6850, 17772, 493.75,
6861, 17730, 518.75,
6872, 17730, 545.00,
6883, 17709, 545.00,
6894, 17709, 562.50,
