time (ms),time(s), rpm, mA, mA max,,,,,
406,0,0,0,,,NiMH with Dart shot,,,
407,0.001,0,1685, ,,,,,
409,0.003,0,3473.75, ,,,,,
411,0.005,0,3502.5, ,,,,,
417,0.011,0,3423.75,,,,,,
428,0.022,0,3226.25,,,,,,
439,0.033,0,3302.5,,,,,,
450,0.044,0,3087.5,,,,,,
461,0.055,0,2912.5,,,,,,
472,0.066,0,2747.5,,,,,,
483,0.077,0,2640,,,,,,
494,0.088,0,2567.5,,,,,,
505,0.099,3087,2743.75,,,,,,
527,0.121,3641,2627.5,,,,,,
538,0.132,4098,2527.5,,,,,,
549,0.143,4492,2395,,,,,,
560,0.154,4841,2437.5,,,,,,
571,0.165,5154,2180,,,,,,
582,0.176,5444,2131.25,,,,,,
593,0.187,5707,2153.75,,,,,,
604,0.198,5954,2011.25,,,,,,
615,0.209,6183,1940,,,,,,
626,0.22,6399,2093.75,,,,,Ave RPM,Ave mA
637,0.231,6602,1825,,,,3.006450549,15433.51099,448.0906593
648,0.242,6808,1840,,,,,,
659,0.253,7153,1848.75,,,,,13890.15989,
670,0.264,7320,1850,,,,,,
681,0.275,7629,1785,,,,,,
692,0.286,7780,1671.25,,,,,,
703,0.297,7919,1628.75,,,,,,
714,0.308,8187,1593.75,,,,,,
726,0.32,8436,1581.25,,,,,,
737,0.331,8556,1498.75,,,,,,
748,0.342,8787,1516.25,,,,,,
759,0.353,9003,1528.75,,,,,,
770,0.364,9101,1530,,,,,,
781,0.375,9305,1462.5,,,,,,
792,0.386,9499,1445,,,,,,
803,0.397,9578,1372.5,,,,,,
814,0.408,9759,1353.75,,,,,,
825,0.419,9920,1282.5,,,,,,
836,0.43,10080,1306.25,,,,,,
847,0.441,10197,1268.75,,,,,,
858,0.452,10351,1243.75,,,,,,
869,0.463,10445,1173.75,,,,,,
880,0.474,10585,1206.25,,,,,,
891,0.485,10714,1176.25,,,,,,
902,0.496,10845,1147.5,,,,,,
913,0.507,10964,1122.5,,,,,,
924,0.518,11135,1133.75,,,,,,
935,0.529,11252,1121.25,,,,,,
946,0.54,11363,1111.25,,,,,,
957,0.551,11467,1071.25,,,,,,
968,0.562,11556,1037.5,,,,,,
979,0.573,11664,1071.25,,,,,,
990,0.584,11755,1003.75,,,,,,
1001,0.595,11848,981.25,,,,,,
1012,0.606,11980,1000,,,,,,
1024,0.618,12038,993.75,,,,,,
1035,0.629,12145,940,,,,,,
1046,0.64,12224,973.75,,,,,,
1057,0.651,12345,946.25,,,,,,
1068,0.662,12386,897.5,,,,,,
1079,0.673,12489,875,,,,,,
1090,0.684,12605,893.75,,,,,,
1101,0.695,12658,857.5,,,,,,
1112,0.706,12733,867.5,,,,,,
1123,0.717,12798,883.75,,,,,,
1134,0.728,12886,848.75,,,,,,
1145,0.739,12953,840,,,,,,
1156,0.75,13043,823.75,,,,,,
1167,0.761,13054,795,,,,,,
1178,0.772,13157,775,,,,,,
1189,0.783,13227,782.5,,,,,,
1200,0.794,13262,742.5,,,,,,
1211,0.805,13368,735,,,,,,
1222,0.816,13380,763.75,,,,,,
1233,0.827,13489,753.75,,,,,,
1244,0.838,13525,745,,,,,,
1255,0.849,13611,733.75,,,,,,
1266,0.86,13661,711.25,,,,,,
1277,0.871,13698,717.5,,,,,,
1288,0.882,13736,645,,,,,,
1299,0.893,13786,695,,,,,,
1310,0.904,13837,720,,,,,,
1321,0.915,13888,630,,,,,,
1332,0.926,13914,610,,,,,,
1343,0.937,13966,646.25,,,,,,
1354,0.948,14018,583.75,,,,,,
1366,0.96,14058,681.25,,,,,,
1377,0.971,14111,595,,,,,,
1388,0.982,14164,583.75,,,,,,
1399,0.993,14191,555,,,,,,
1410,1.004,14258,585,,,,,,
1421,1.015,14231,538.75,,,,,,
1432,1.026,14272,583.75,,,,,,
1443,1.037,14340,607.5,,,,,,
1454,1.048,14340,533.75,,,,,,
1465,1.059,14395,673.75,,,,,,
1476,1.07,14381,577.5,,,,,,
1487,1.081,14450,601.25,,,,,,
1498,1.092,14464,588.75,,,,,,
1509,1.103,14492,598.75,,,,,,
1520,1.114,14520,547.5,,,,,,
1531,1.125,14548,592.5,,,,,,
1542,1.136,14563,620,,,,,,
1553,1.147,14605,523.75,,,,,,
1564,1.158,14619,552.5,,,,,,
1575,1.169,14634,603.75,,,,,,
1586,1.18,14605,573.75,,,,,,
1597,1.191,14705,580,,,,,,
1608,1.202,14705,597.5,,,,,,
1619,1.213,14720,510,,,,,,
1630,1.224,14749,480,,,,,,
1641,1.235,14763,477.5,,,,,,
1652,1.246,14792,473.75,,,,,,
1664,1.258,14792,520,,,,,,
1675,1.269,14822,548.75,,,,,,
1686,1.28,14822,557.5,,,,,,
1697,1.291,14866,570,,,,,,
1708,1.302,14866,570,,,,,,
1719,1.313,14866,521.25,,,,,,
1730,1.324,14895,491.25,,,,,,
1741,1.335,14910,510,,,,,,
1752,1.346,14910,487.5,,,,,,
1763,1.357,14910,540,,,,,,
1774,1.368,14970,538.75,,,,,,
1785,1.379,14970,455,,,,,,
1796,1.39,14985,518.75,,,,,,
1807,1.401,14985,541.25,,,,,,
1818,1.412,15000,453.75,,,,,,
1829,1.423,15015,552.5,,,,,,
1840,1.434,15000,547.5,,,,,,
1851,1.445,15060,467.5,,,,,,
1862,1.456,15090,523.75,,,,,,
1873,1.467,15090,481.25,,,,,,
1884,1.478,15060,481.25,,,,,,
1895,1.489,15090,538.75,,,,,,
1906,1.5,15105,513.75,,,,,,
1917,1.511,15105,475,,,,,,
1928,1.522,15075,486.25,,,,,,
1939,1.533,15120,481.25,,,,,,
1950,1.544,15151,448.75,,,,,,
1961,1.555,15151,420,,,,,,
1972,1.566,15151,506.25,,,,,,
1983,1.577,15182,545,,,,,,
1994,1.588,15182,388.75,,,,,,
2006,1.6,15182,366.25,,,,,,
2017,1.611,15182,502.5,,,,,,
2028,1.622,15212,456.25,,,,,,
2039,1.633,15228,533.75,,,,,,
2050,1.644,15212,471.25,,,,,,
2061,1.655,15212,470,,,,,,
2072,1.666,15212,370,,,,,,
2083,1.677,15228,460,,,,,,
2094,1.688,15243,433.75,,,,,,
2105,1.699,15212,450,,,,,,
2116,1.71,15259,440,,,,,,
2127,1.721,15243,491.25,,,,,,
2138,1.732,15259,416.25,,,,,,
2149,1.743,15259,406.25,,,,,,
2160,1.754,15243,408.75,,,,,,
2171,1.765,15290,523.75,,,,,,
2182,1.776,15259,457.5,,,,,,
2193,1.787,15274,452.5,,,,,,
2204,1.798,15274,470,,,,,,
2215,1.809,15290,517.5,,,,,,
2226,1.82,15290,405,,,,,,
2237,1.831,15290,470,,,,,,
2248,1.842,15274,455,,,,,,
2259,1.853,15368,497.5,,,,,,
2270,1.864,15306,423.75,,,,,,
2281,1.875,15321,446.25,,,,,,
2292,1.886,15321,445,,,,,,
2304,1.898,15321,520,,,,,,
2315,1.909,15321,347.5,,,,,,
2326,1.92,15337,501.25,,,,,,
2337,1.931,15337,463.75,,,,,,
2348,1.942,15306,468.75,,,,,,
2359,1.953,15337,516.25,,,,,,
2370,1.964,15353,510,,,,,,
2381,1.975,15337,488.75,,,,,,
2392,1.986,15337,361.25,,,,,,
2403,1.997,15368,412.5,,,,,,
2414,2.008,15337,460,,,,,,
2425,2.019,15368,457.5,,,,,,
2436,2.03,15353,478.75,,,,,,
2447,2.041,15368,492.5,,,,,,
2458,2.052,15353,402.5,,,,,,
2469,2.063,15353,346.25,,,,,,
2480,2.074,15368,406.25,,,,,,
2491,2.085,15368,455,,,,,,
2502,2.096,15368,446.25,,,,,,
2513,2.107,15368,483.75,,,,,,
2524,2.118,15384,488.75,,,,,,
2535,2.129,15368,483.75,,,,,,
2546,2.14,15384,426.25,,,,,,
2557,2.151,15432,463.75,,,,,,
2568,2.162,15368,443.75,,,,,,
2579,2.173,15384,433.75,,,,,,
2590,2.184,15384,452.5,,,,,,
2601,2.195,15384,295,,,,,,
2612,2.206,15400,405,,,,,,
2623,2.217,15400,476.25,,,,,,
2634,2.228,15384,415,,,,,,
2646,2.24,15384,473.75,,,,,,
2657,2.251,15400,470,,,,,,
2668,2.262,15400,511.25,,,,,,
2679,2.273,15400,377.5,,,,,,
2690,2.284,15400,407.5,,,,,,
2701,2.295,15353,393.75,,,,,,
2712,2.306,15400,476.25,,,,,,
2723,2.317,15384,425,,,,,,
2734,2.328,15400,500,,,,,,
2745,2.339,15384,421.25,,,,,,
2756,2.35,15400,448.75,,,,,,
2767,2.361,15353,422.5,,,,,,
2778,2.372,15416,465,,,,,,
2789,2.383,15416,460,,,,,,
2800,2.394,15400,445,,,,,,
2811,2.405,15368,445,,,,,,
2822,2.416,15400,387.5,,,,,,
2833,2.427,15416,395,,,,,,
2844,2.438,15400,428.75,,,,,,
2855,2.449,15384,423.75,,,,,,
2866,2.46,15432,443.75,,,,,,
2877,2.471,15400,440,,,,,,
2888,2.482,15400,410,,,,,,
2899,2.493,15368,368.75,,,,,,
2910,2.504,15368,353.75,,,,,,
2921,2.515,15432,455,,,,,,
2932,2.526,15400,548.75,,,,,,
2944,2.538,15400,402.5,,,,,,
2955,2.549,15447,463.75,,,,,,
2966,2.56,15400,518.75,,,,,,
2977,2.571,15400,406.25,,,,,,
2988,2.582,15416,435,,,,,,
2999,2.593,15400,470,,,,,,
3010,2.604,15432,423.75,,,,,,
3021,2.615,15416,455,,,,,,
3032,2.626,15416,517.5,,,,,,
3043,2.637,15416,290,,,,,,
3054,2.648,15416,415,,,,,,
3065,2.659,15416,451.25,,,,,,
3076,2.67,15384,413.75,,,,,,
3087,2.681,15416,521.25,,,,,,
3098,2.692,15416,420,,,,,,
3109,2.703,15416,515,,,,,,
3120,2.714,15432,323.75,,,,,,
3131,2.725,15432,381.25,,,,,,
3142,2.736,15432,430,,,,,,
3153,2.747,15400,468.75,,,,,,
3164,2.758,15368,448.75,,,,,,
3175,2.769,15432,481.25,,,,,,
3186,2.78,15432,478.75,,,,,,
3197,2.791,15432,428.75,,,,,,
3208,2.802,15368,447.5,,,,,,
3219,2.813,15447,445,,,,,,
3230,2.824,15416,517.5,,,,,,
3241,2.835,15432,391.25,,,,,,
3252,2.846,15447,492.5,,,,,,
3263,2.857,15432,466.25,,,,,,
3274,2.868,15432,477.5,,,,,,
3286,2.88,15463,363.75,,,,,,
3297,2.891,15400,516.25,,,,,,
3308,2.902,15416,470,,,,,,
3319,2.913,15432,442.5,,,,,,
3330,2.924,15432,451.25,,,,,,
3341,2.935,15432,501.25,,,,,,
3352,2.946,15432,535,,,,,,
3363,2.957,15416,403.75,,,,,,
3374,2.968,15463,401.25,,,,,,
3385,2.979,15432,400,,,,,,
3396,2.99,15432,415,,,,,,
3407,3.001,15447,425,,,,,,
3418,3.012,15447,491.25,,,,,,
3429,3.023,15447,460,,,,,,
3440,3.034,15400,377.5,,,,,,
3451,3.045,15447,446.25,,,,,,
3462,3.056,15416,502.5,,,,,,
3473,3.067,15432,421.25,,,,,,
3484,3.078,15447,446.25,,,,,,
3495,3.089,15447,531.25,,,,,,
3506,3.1,15432,487.5,,,,,,
3517,3.111,15447,452.5,,,,,,
3528,3.122,15416,395,,,,,,
3539,3.133,15432,492.5,,,,,,
3550,3.144,15447,433.75,,,,,,
3561,3.155,15447,445,,,,,,
3572,3.166,15447,452.5,,,,,,
3584,3.178,15447,508.75,,,,,,
3595,3.189,15447,473.75,,,,,,
3606,3.2,15447,372.5,,,,,,
3617,3.211,15447,511.25,,,,,,
3628,3.222,15447,441.25,,,,,,
3639,3.233,15511,446.25,,,,,,
3650,3.244,15463,488.75,,,,,,
3661,3.255,15447,371.25,,,,,,
3672,3.266,15463,450,,,,,,
3683,3.277,15463,486.25,,,,,,
