Fresh Duracell AA MOSFET
time (ms), RPM, Current (mA)
4897, 0, 0.00,
4898, 0, 3150.00, 
4900, 0, 3506.25, 
4902, 0, 3548.75,
4930, 12, 3300.00,
4941, 0, 3108.75,
4952, 0, 3002.50,
4963, 1874, 3008.75,
4985, 2831, 2941.25,
5007, 3485, 2783.75,
5018, 4009, 2641.25,
5029, 4456, 2557.50,
5062, 5193, 2560.00,
5084, 6087, 2303.75,
5095, 6345, 2161.25,
5106, 6584, 2278.75,
5117, 6808, 2085.00,
5128, 7228, 2032.50,
5139, 7425, 2002.50,
5150, 7610, 2002.50,
5161, 7953, 1936.25,
5172, 8125, 1951.25,
5183, 8436, 1851.25,
5194, 8586, 1925.00,
5206, 8870, 1822.50,
5217, 9113, 1726.25,
5228, 9380, 1706.25,
5239, 9493, 1715.00,
5250, 9727, 1722.50,
5261, 9946, 1637.50,
5272, 10162, 1590.00,
5283, 10351, 1572.50,
5294, 10555, 1511.25,
5305, 10737, 1442.50,
5316, 10909, 1511.25,
5327, 11086, 1480.00,
5338, 11244, 1476.25,
5349, 11380, 1376.25,
5360, 11529, 1361.25,
5371, 11691, 1378.75,
5382, 11829, 1340.00,
5393, 11933, 1316.25,
5404, 12165, 1286.25,
5415, 12285, 1291.25,
5426, 12386, 1282.50,
5437, 12531, 1232.50,
5448, 12701, 1188.75,
5459, 12776, 1177.50,
5470, 12964, 1197.50,
5481, 13066, 1176.25,
5492, 13169, 1170.00,
5504, 13333, 1120.00,
5515, 13392, 1095.00,
5526, 13537, 1071.25,
5537, 13673, 1111.25,
5548, 13711, 1102.50,
5559, 13850, 1081.25,
5570, 13966, 1043.75,
5581, 14084, 1036.25,
5592, 14150, 992.50,
5603, 14258, 956.25,
5614, 14326, 986.25,
5625, 14436, 973.75,
5636, 14520, 946.25,
5647, 14548, 977.50,
5658, 14677, 943.75,
5669, 14778, 935.00,
5680, 14836, 950.00,
5691, 14925, 857.50,
5702, 15000, 890.00,
5713, 15090, 900.00,
5724, 15166, 857.50,
