time (ms), rpm, mA, mA max
3218, 19264, 1066.50, 2715.00, 
3332, 2942, 840.20, 2715.00, 
3445, 5553, 701.20, 2715.00, 
3559, 7723, 586.35, 2715.00, 
3672, 9481, 505.60, 2715.00, 
3785, 10806, 441.45, 2715.00, 
3899, 11885, 391.40, 2715.00, 
4013, 12798, 352.40, 2715.00, 
4126, 13489, 320.85, 2715.00, 
4240, 14124, 292.80, 2715.00, 
4353, 14634, 277.60, 2715.00, 
4466, 15075, 252.30, 2715.00, 
4580, 15416, 234.95, 2715.00, 
4694, 15723, 223.75, 2715.00, 
4807, 15957, 219.50, 2715.00, 
4920, 16163, 209.75, 2715.00, 
5033, 16268, 199.10, 2715.00, 
5147, 16393, 196.10, 2715.00, 
5261, 16483, 188.55, 2715.00, 
5374, 16233, 0.00, 2715.00, 
5487, 15527, 0.00, 2715.00, 
5601, 14880, 0.00, 2715.00, 
5714, 14299, 0.00, 2715.00, 
5827, 13661, 0.00, 2715.00, 
5941, 13146, 0.00, 2715.00, 
6054, 12583, 0.00, 2715.00, 
6167, 12000, 0.00, 2715.00, 
6281, 11476, 0.00, 2715.00, 
6394, 10972, 0.00, 2715.00, 
6507, 10452, 0.00, 2715.00, 
6621, 9980, 0.00, 2715.00, 
6734, 9523, 0.00, 2715.00, 
6847, 9063, 0.00, 2715.00, 
6961, 8650, 0.00, 2715.00, 
7074, 8228, 0.00, 2715.00, 
7187, 7820, 0.00, 2715.00, 
7301, 7403, 0.00, 2715.00, 
7413, 7032, 0.00, 2715.00, 
7527, 6654, 0.00, 2715.00, 
7641, 6291, 0.00, 2715.00, 
7753, 5919, 0.00, 2715.00, 
7867, 5563, 0.00, 2715.00, 
7980, 5231, 0.00, 2715.00, 
8093, 4916, 0.00, 2715.00, 
8207, 4591, 0.00, 2715.00, 
8336, 4209, 0.00, 2715.00, 
8449, 3928, 0.00, 2715.00, 
8594, 3548, 0.00, 2715.00, 
8756, 3135, 0.00, 2715.00, 
8868, 2838, 0.00, 2715.00, 
8982, 2569, 0.00, 2715.00, 
9111, 2278, 0.00, 2715.00, 
9225, 2022, 0.00, 2715.00, 
9354, 1736, 0.00, 2715.00, 
9466, 1493, 0.00, 2715.00, 
9612, 1207, 0.00, 2715.00, 
9725, 976, 0.00, 2715.00, 
9886, 675, 0.00, 2715.00, 
10015, 451, 0.00, 2715.00,
