Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, mA max
5539, 10, 945.75, 2971.25
5572, 1895, 889.10, 2971.25
5621, 3171, 812.15, 2971.25
5671, 4638, 748.20, 2971.25
5689, 4911, 713.05, 2971.25
5706, 5397, 698.40, 2971.25
5724, 5617, 670.15, 2971.25
5741, 6024, 661.65, 2971.25
5758, 6393, 642.80, 2971.25
5776, 6720, 631.55, 2971.25
5793, 7029, 616.75, 2971.25
5811, 7320, 598.60, 2971.25
5828, 7583, 589.75, 2971.25
5846, 7836, 571.75, 2971.25
5863, 8196, 552.65, 2971.25
5880, 8417, 550.95, 2971.25
5898, 8731, 519.75, 2971.25
5915, 8907, 513.80, 2971.25
5933, 9179, 498.95, 2971.25
5950, 9428, 493.15, 2971.25
5967, 9590, 488.70, 2971.25
5985, 9816, 469.40, 2971.25
6002, 10040, 462.30, 2971.25
6020, 10238, 456.25, 2971.25
6037, 10438, 448.15, 2971.25
6054, 10615, 440.85, 2971.25
6072, 10806, 429.90, 2971.25
6089, 11013, 423.15, 2971.25
6107, 11127, 413.90, 2971.25
6124, 11329, 396.95, 2971.25
6141, 11432, 395.15, 2971.25
6159, 11618, 391.20, 2971.25
6176, 11783, 387.00, 2971.25
6194, 11952, 381.55, 2971.25
6211, 12028, 367.30, 2971.25
6228, 12175, 366.75, 2971.25
6246, 12345, 361.20, 2971.25
6263, 12479, 349.05, 2971.25
6281, 12605, 347.90, 2971.25
6298, 12668, 341.55, 2971.25
6316, 12798, 339.50, 2971.25
6333, 12908, 333.30, 2971.25
6350, 13032, 323.35, 2971.25
6369, 13134, 325.55, 2971.25
6386, 13262, 319.05, 2971.25
6404, 13380, 314.45, 2971.25
6421, 13464, 307.15, 2971.25
6438, 13501, 306.10, 2971.25
6456, 13623, 303.75, 2971.25
6473, 13748, 299.35, 2971.25
6491, 13824, 298.45, 2971.25
6508, 13940, 297.95, 2971.25
6525, 13953, 289.50, 2971.25
6543, 14018, 285.60, 2971.25
6560, 14084, 279.90, 2971.25
6578, 14164, 271.10, 2971.25
6595, 14204, 279.45, 2971.25
6612, 14285, 277.85, 2971.25
6630, 14395, 262.80, 2971.25
6647, 14450, 259.45, 2971.25
6665, 14520, 256.80, 2971.25
6682, 14563, 254.05, 2971.25
6700, 14634, 257.40, 2971.25
6717, 14691, 251.10, 2971.25
6734, 14720, 261.70, 2971.25
6752, 14792, 244.90, 2971.25
6769, 14910, 243.95, 2971.25
6788, 14910, 246.70, 2971.25
6805, 14955, 224.80, 2971.25
6822, 15030, 245.00, 2971.25
6840, 15060, 249.35, 2971.25
6857, 15105, 234.10, 2971.25
6875, 15197, 221.50, 2971.25
6892, 15212, 226.70, 2971.25
6909, 15243, 228.80, 2971.25
6927, 15306, 238.60, 2971.25
6944, 15416, 226.45, 2971.25
6962, 15432, 217.30, 2971.25
6979, 15527, 223.65, 2971.25
6996, 15479, 226.10, 2971.25
7014, 15592, 218.95, 2971.25
7031, 15576, 218.45, 2971.25
7049, 15641, 217.45, 2971.25
7066, 15641, 213.20, 2971.25
7084, 15723, 211.45, 2971.25
7101, 15739, 217.50, 2971.25
7118, 15772, 213.80, 2971.25
7136, 15839, 207.00, 2971.25
7153, 15856, 207.95, 2971.25
7171, 15873, 215.70, 2971.25
7188, 15889, 207.35, 2971.25
7205, 15974, 205.65, 2971.25
7223, 15957, 217.40, 2971.25
7240, 15991, 206.00, 2971.25
