time (ms), rpm, mA, mA max, fps
118, 0, 1.25, 1.25
7126, 0, 1357.50, 1357.50
7128, 0, 2491.25, 2491.25
7183, 0, 2267.50, 2491.25
7185, 8, 2235.00, 2491.25,
7214, 1968, 2157.50, 2491.25,
7236, 2630, 2056.25, 2491.25,
7256, 3122, 1998.75, 2491.25,
7273, 3534, 1967.50, 2491.25,
7288, 3890, 1930.00, 2491.25,
7303, 4209, 1816.25, 2491.25,
7315, 4209, 1757.50, 2491.25,
7328, 4761, 1748.75, 2491.25,
7340, 4761, 1743.75, 2491.25,
7352, 5233, 1690.00, 2491.25,
7363, 5448, 1661.25, 2491.25,
7374, 5649, 1618.75, 2491.25,
7385, 5841, 1630.00, 2491.25,
7396, 6024, 1546.25, 2491.25,
7407, 6193, 1550.00, 2491.25,
7418, 6361, 1496.25, 2491.25,
7429, 6516, 1488.75, 2491.25,
7440, 6815, 1516.25, 2491.25,
7451, 6957, 1428.75, 2491.25,
7462, 7088, 1393.75, 2491.25,
7473, 7242, 1365.00, 2491.25,
7484, 7462, 1361.25, 2491.25,
7495, 7583, 1353.75, 2491.25,
7506, 7808, 1390.00, 2491.25,
7517, 7915, 1331.25, 2491.25,
7528, 8125, 1313.75, 2491.25,
7539, 8228, 1297.50, 2491.25,
7550, 8422, 1272.50, 2491.25,
7561, 8556, 1271.25, 2491.25,
7572, 8700, 1273.75, 2491.25,
7583, 8865, 1237.50, 2491.25,
7595, 8960, 1210.00, 2491.25,
7606, 9113, 1173.75, 2491.25,
7617, 9264, 1177.50, 2491.25,
7628, 9357, 1163.75, 2491.25,
7639, 9505, 1161.25, 2491.25,
7650, 9615, 1146.25, 2491.25,
7661, 9771, 1093.75, 2491.25,
7672, 9907, 1120.00, 2491.25,
7683, 10000, 1092.50, 2491.25,
7694, 10107, 1107.50, 2491.25,
7705, 10245, 1050.00, 2491.25,
7716, 10380, 1086.25, 2491.25,
7727, 10474, 1038.75, 2491.25,
7738, 10541, 1038.75, 2491.25,
7749, 10699, 1050.00, 2491.25,
7760, 10783, 1046.25, 2491.25,
7771, 10901, 1021.25, 2491.25,
7782, 11005, 983.75, 2491.25,
7793, 11070, 1012.50, 2491.25,
7804, 11202, 995.00, 2491.25,
7815, 11303, 975.00, 2491.25,
7826, 11363, 956.25, 2491.25,
7837, 11467, 942.50, 2491.25,
7848, 11565, 953.75, 2491.25,
7859, 11645, 906.25, 2491.25,
7870, 11755, 843.75, 2491.25,
7881, 11838, 928.75, 2491.25,
7892, 11904, 890.00, 2491.25,
7903, 11923, 888.75, 2491.25,
7914, 12048, 870.00, 2491.25,
7925, 12155, 880.00, 2491.25,
7936, 12195, 838.75, 2491.25,
7947, 12305, 870.00, 2491.25,
7958, 12315, 856.25, 2491.25,
7969, 12406, 865.00, 2491.25,
7980, 12500, 791.25, 2491.25,
7991, 12510, 821.25, 2491.25,
8002, 12605, 805.00, 2491.25,
8013, 12711, 817.50, 2491.25,
8024, 12765, 801.25, 2491.25,
8035, 12842, 780.00, 2491.25,
8046, 12919, 808.75, 2491.25,
8057, 12942, 796.25, 2491.25,
8068, 13054, 745.00, 2491.25,
8079, 13100, 767.50, 2491.25,
8090, 13181, 777.50, 2491.25,
8101, 13227, 776.25, 2491.25,
8112, 13262, 753.75, 2491.25,
8123, 13345, 716.25, 2491.25,
8134, 13380, 750.00, 2491.25,
8145, 13428, 750.00, 2491.25,
8156, 13489, 730.00, 2491.25,
8167, 13537, 740.00, 2491.25,
8178, 13586, 661.25, 2491.25,
8189, 13574, 692.50, 2491.25,
8200, 13698, 675.00, 2491.25,
8211, 13723, 687.50, 2491.25,
8222, 13748, 717.50, 2491.25,
8233, 13761, 662.50, 2491.25,
8244, 13876, 718.75, 2491.25,
8255, 13927, 656.25, 2491.25,
8266, 13953, 702.50, 2491.25,
8278, 14018, 707.50, 2491.25,
8289, 14058, 676.25, 2491.25,
8300, 14084, 676.25, 2491.25,
8311, 14150, 680.00, 2491.25,
8322, 14164, 677.50, 2491.25,
8333, 14218, 653.75, 2491.25,
8344, 14272, 662.50, 2491.25,
8355, 14272, 631.25, 2491.25,
8366, 14340, 633.75, 2491.25,
8377, 14354, 647.50, 2491.25,
8388, 14340, 660.00, 2491.25,
8399, 14436, 635.00, 2491.25,
8410, 14478, 613.75, 2491.25,
8421, 14506, 632.50, 2491.25,
8432, 14534, 643.75, 2491.25,
8443, 14577, 647.50, 2491.25,
8454, 14591, 622.50, 2491.25,
8465, 14648, 591.25, 2491.25,
8476, 14705, 642.50, 2491.25,
8487, 14605, 600.00, 2491.25,
8498, 14749, 638.75, 2491.25,
8509, 14778, 577.50, 2491.25,
8520, 14792, 560.00, 2491.25,
8531, 14807, 602.50, 2491.25,
8542, 14866, 610.00, 2491.25,
8553, 14880, 511.25, 2491.25,
8564, 14910, 598.75, 2491.25,
8576, 14910, 581.25, 2491.25,
8587, 14910, 607.50, 2491.25,
8598, 15000, 577.50, 2491.25,
8609, 15030, 577.50, 2491.25,
8620, 15000, 591.25, 2491.25,
8631, 15090, 566.25, 2491.25,
8642, 15060, 568.75, 2491.25,
8653, 15105, 495.00, 2491.25,
8664, 15105, 590.00, 2491.25,
8675, 15151, 488.75, 2491.25,
8686, 15151, 583.75, 2491.25,
8697, 15212, 523.75, 2491.25,
8708, 15120, 510.00, 2491.25,
8719, 15136, 493.75, 2491.25,
8730, 15243, 510.00, 2491.25,
8741, 15243, 541.25, 2491.25,
8752, 15274, 570.00, 2491.25,
8763, 15274, 562.50, 2491.25,
8774, 15306, 575.00, 2491.25,
8785, 15243, 502.50, 2491.25,
8796, 15337, 520.00, 2491.25,
8807, 15384, 536.25, 2491.25,
8818, 15353, 477.50, 2491.25,
8830, 15368, 522.50, 2491.25,
8841, 15400, 547.50, 2491.25,
8852, 15400, 560.00, 2491.25,
8863, 11746, 867.50, 2491.25, 74.75
8875, 11529, 943.75, 2491.25,
8886, 11682, 908.75, 2491.25,
8897, 11755, 940.00, 2491.25,
8908, 11838, 920.00, 2491.25,
8919, 11961, 928.75, 2491.25,
8930, 12009, 897.50, 2491.25,
8941, 12087, 897.50, 2491.25,
8952, 12195, 887.50, 2491.25,
8963, 12305, 855.00, 2491.25,
8974, 12325, 868.75, 2491.25,
8985, 12427, 856.25, 2491.25,
8996, 12468, 843.75, 2491.25,
9007, 12615, 827.50, 2491.25,
9018, 12679, 827.50, 2491.25,
9029, 12690, 805.00, 2491.25,
9040, 12776, 840.00, 2491.25,
9051, 12875, 808.75, 2491.25,
9062, 12886, 795.00, 2491.25,
9073, 13043, 801.25, 2491.25,
9084, 13089, 788.75, 2491.25,
9095, 13181, 778.75, 2491.25,
9106, 13227, 788.75, 2491.25,
9117, 13309, 732.50, 2491.25,
9128, 13321, 747.50, 2491.25,
9139, 13416, 783.75, 2491.25,
9150, 13489, 768.75, 2491.25,
9161, 13501, 748.75, 2491.25,
9172, 13586, 705.00, 2491.25,
9183, 13574, 708.75, 2491.25,
9194, 13673, 726.25, 2491.25,
9205, 13774, 728.75, 2491.25,
9216, 13761, 715.00, 2491.25,
9227, 13837, 723.75, 2491.25,
9238, 13914, 718.75, 2491.25,
9249, 13966, 697.50, 2491.25,
9260, 14005, 718.75, 2491.25,
9271, 13992, 712.50, 2491.25,
9282, 14097, 687.50, 2491.25,
9293, 14150, 695.00, 2491.25,
9304, 14150, 698.75, 2491.25,
9315, 14164, 655.00, 2491.25,
