time (ms), rpm, mA, V
406, 0, 0.00, 6.33,
417, 0, 1851.25, 5.06,
428, 0, 2500.00, 5.01,
440, 0, 2421.25, 5.03,
451, 0, 2350.00, 5.05,
462, 131, 2306.25, 5.03,
473, 131, 2257.50, 5.05,
484, 131, 2247.50, 5.06,
495, 1753, 2141.25, 5.08,
506, 1753, 2100.00, 5.15,
517, 2517, 2078.75, 5.10,
529, 2517, 2030.00, 5.14,
541, 3054, 1980.00, 5.17,
552, 3054, 2002.50, 5.16,
563, 3491, 1965.00, 5.21,
574, 3865, 1915.00, 5.24,
585, 4181, 1820.00, 5.20,
596, 4482, 1761.25, 5.25,
607, 4482, 1710.00, 5.24,
619, 4749, 1748.75, 5.28,
630, 4996, 1703.75, 5.28,
641, 5226, 1647.50, 5.30,
652, 5448, 1623.75, 5.31,
663, 5632, 1586.25, 5.34,
674, 6009, 1573.75, 5.35,
685, 6180, 1533.75, 5.37,
697, 6345, 1488.75, 5.37,
708, 6499, 1470.00, 5.39,
720, 6793, 1457.50, 5.39,
731, 6928, 1446.25, 5.40,
742, 7062, 1413.75, 5.44,
753, 7190, 1397.50, 5.45,
764, 7433, 1378.75, 5.46,
775, 7545, 1298.75, 5.46,
786, 7767, 1341.25, 5.46,
798, 7869, 1305.00, 5.47,
811, 8077, 1276.25, 5.49,
822, 8192, 1243.75, 5.50,
834, 8356, 1236.25, 5.51,
846, 8508, 1177.50, 5.52,
857, 8635, 1178.75, 5.54,
868, 8777, 1176.25, 5.53,
879, 8933, 1123.75, 5.54,
890, 9009, 1106.25, 5.54,
901, 9151, 1076.25, 5.54,
912, 9287, 1055.00, 5.54,
924, 9428, 1060.00, 5.57,
936, 9566, 1067.50, 5.59,
948, 9627, 1076.25, 5.59,
960, 9752, 1041.25, 5.59,
972, 9874, 1018.75, 5.60,
983, 9980, 1016.25, 5.61,
994, 10080, 996.25, 5.61,
1005, 10197, 1001.25, 5.63,
1016, 10309, 967.50, 5.62,
1027, 10402, 977.50, 5.62,
1038, 10504, 966.25, 5.64,
1049, 10600, 963.75, 5.65,
1060, 10699, 922.50, 5.65,
1071, 10760, 928.75, 5.65,
1082, 10869, 921.25, 5.66,
1093, 10948, 922.50, 5.67,
1104, 11029, 912.50, 5.66,
1115, 11111, 895.00, 5.68,
1126, 11160, 890.00, 5.68,
1137, 11261, 868.75, 5.68,
1148, 11303, 853.75, 5.68,
1159, 11406, 837.50, 5.70,
1170, 11485, 845.00, 5.71,
1181, 11547, 822.50, 5.70,
1192, 11609, 817.50, 5.71,
1203, 11682, 812.50, 5.72,
1214, 11746, 810.00, 5.71,
1225, 11838, 800.00, 5.72,
1236, 11895, 777.50, 5.73,
1248, 11942, 778.75, 5.73,
1260, 12028, 766.25, 5.73,
1271, 12087, 763.75, 5.74,
1282, 12126, 755.00, 5.74,
1293, 12195, 732.50, 5.75,
1304, 12274, 723.75, 5.77,
1315, 12305, 702.50, 5.77,
1326, 12335, 696.25, 5.77,
1337, 12376, 693.75, 5.77,
1348, 12468, 690.00, 5.78,
1359, 12500, 695.00, 5.78,
1370, 12541, 687.50, 5.79,
1381, 12626, 682.50, 5.78,
1392, 12647, 666.25, 5.78,
1403, 12679, 672.50, 5.79,
1414, 12722, 665.00, 5.79,
1425, 12776, 658.75, 5.80,
1436, 12820, 662.50, 5.80,
1447, 12864, 646.25, 5.80,
1458, 12897, 652.50, 5.80,
1469, 12886, 658.75, 5.80,
1480, 12987, 641.25, 5.80,
1491, 13020, 645.00, 5.81,
1502, 13066, 638.75, 5.80,
1513, 13100, 628.75, 5.80,
1524, 13123, 625.00, 5.82,
1536, 13215, 625.00, 5.82,
1548, 13204, 632.50, 5.81,
1559, 13227, 610.00, 5.82,
1571, 13297, 608.75, 5.82,
1583, 13321, 613.75, 5.82,
1595, 13333, 611.25, 5.82,
1606, 13380, 608.75, 5.82,
1618, 13428, 583.75, 5.82,
1630, 13464, 596.25, 5.82,
1642, 13477, 591.25, 5.84,
1653, 13525, 588.75, 5.83,
1664, 13452, 583.75, 5.84,
1675, 13586, 583.75, 5.83,
1686, 13611, 585.00, 5.84,
1697, 13611, 585.00, 5.84,
1708, 13661, 577.50, 5.84,
1719, 13698, 565.00, 5.84,
1730, 13723, 551.25, 5.84,
1741, 13748, 550.00, 5.84,
1752, 13774, 551.25, 5.84,
1763, 13799, 552.50, 5.84,
1774, 13786, 550.00, 5.85,
1785, 13850, 547.50, 5.85,
1796, 13876, 541.25, 5.85,
1807, 13876, 542.50, 5.85,
1818, 13914, 546.25, 5.85,
1829, 13927, 542.50, 5.86,
1841, 13953, 533.75, 5.86,
1853, 13979, 545.00, 5.86,
1864, 13992, 542.50, 5.86,
1876, 14018, 543.75, 5.86,
1888, 14044, 537.50, 5.86,
1899, 14071, 535.00, 5.87,
