Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 6.65,
16, 0, 0.00, 6.65,
27, 0, 0.00, 6.65,
38, 0, 0.00, 6.65,
49, 0, 0.00, 6.65,
60, 0, 0.00, 6.65,
71, 0, 0.00, 6.65,
82, 0, 0.00, 6.65,
93, 0, 0.00, 6.65,
105, 0, 0.00, 6.65,
116, 0, 0.00, 6.65,
128, 0, 0.00, 6.65,
139, 0, 0.00, 6.65,
150, 0, 0.00, 6.65,
161, 0, 0.00, 6.65,
173, 0, 0.00, 6.65,
184, 0, 0.00, 6.65,
195, 0, 0.00, 6.65,
207, 0, 0.00, 6.65,
218, 0, 0.00, 6.65,
229, 0, 0.00, 6.65,
241, 0, 0.00, 6.65,
252, 0, 0.00, 6.65,
263, 0, 0.00, 6.65,
275, 0, 0.00, 6.65,
286, 0, 0.00, 6.65,
297, 0, 0.00, 6.65,
308, 0, 0.00, 6.65,
319, 0, 0.00, 6.65,
330, 0, 0.00, 6.65,
342, 0, 0.00, 6.65,
353, 0, 0.00, 6.65,
364, 0, 0.00, 6.65,
375, 0, 0.00, 6.65,
387, 0, 0.00, 6.65,
398, 0, 0.00, 6.65,
409, 0, 0.00, 6.65,
420, 0, 0.00, 6.65,
431, 0, 0.00, 6.65,
442, 0, 0.00, 6.65,
453, 0, 0.00, 6.65,
464, 0, 0.00, 6.65,
475, 0, 0.00, 6.65,
486, 0, 0.00, 6.65,
497, 0, 0.00, 6.65,
508, 0, 0.00, 6.65,
519, 0, 0.00, 6.65,
530, 0, 0.00, 6.65,
541, 0, 0.00, 6.65,
552, 0, 0.00, 6.65,
563, 0, 0.00, 6.65,
574, 0, 0.00, 6.65,
585, 0, 0.00, 6.65,
596, 0, 0.00, 6.65,
607, 0, 0.00, 6.65,
618, 0, 0.00, 6.65,
629, 0, 0.00, 6.65,
640, 0, 0.00, 6.65,
652, 0, 0.00, 6.65,
663, 0, 0.00, 6.65,
674, 0, 0.00, 6.65,
686, 0, 3120.00, 5.12,
697, 0, 3267.50, 5.15,
708, 0, 3047.50, 5.19,
719, 0, 2940.00, 5.23,
730, 0, 2875.00, 5.30,
741, 0, 2835.00, 5.28,
752, 1765, 2800.00, 5.38,
763, 1765, 2677.50, 5.35,
775, 2704, 2557.50, 5.40,
787, 3312, 2545.00, 5.42,
799, 3312, 2526.25, 5.38,
812, 3817, 2543.75, 5.49,
824, 4248, 2380.00, 5.47,
836, 4596, 2315.00, 5.55,
848, 4934, 2276.25, 5.51,
859, 5241, 2183.75, 5.55,
870, 5508, 2111.25, 5.58,
881, 5769, 2028.75, 5.63,
892, 6007, 1995.00, 5.63,
904, 6443, 1957.50, 5.67,
916, 6640, 1927.50, 5.64,
928, 6855, 1926.25, 5.71,
939, 7187, 1875.00, 5.72,
950, 7352, 1808.75, 5.75,
961, 7511, 1756.25, 5.74,
972, 7804, 1771.25, 5.73,
984, 7961, 1708.75, 5.77,
996, 8219, 1662.50, 5.80,
1008, 8469, 1645.00, 5.78,
1020, 8690, 1548.75, 5.83,
1031, 8818, 1551.25, 5.84,
1042, 9036, 1562.50, 5.87,
1053, 9208, 1517.50, 5.86,
1064, 9339, 1500.00, 5.87,
1075, 9523, 1457.50, 5.89,
1086, 9708, 1425.00, 5.85,
1098, 9894, 1370.00, 5.90,
1111, 10033, 1387.50, 5.91,
1123, 10197, 1316.25, 5.93,
1134, 10359, 1321.25, 5.91,
1146, 10511, 1291.25, 5.94,
1158, 10638, 1280.00, 5.96,
1170, 10775, 1246.25, 5.96,
1181, 10909, 1218.75, 5.98,
1193, 11070, 1200.00, 5.99,
1205, 11210, 1188.75, 5.99,
1217, 11295, 1175.00, 5.98,
1228, 11441, 1170.00, 5.99,
1239, 11520, 1147.50, 6.01,
1250, 11655, 1125.00, 6.02,
1261, 11801, 1116.25, 6.03,
1272, 11904, 1092.50, 6.02,
1283, 11961, 1090.00, 6.03,
1294, 12087, 1061.25, 6.03,
1305, 12175, 1056.25, 6.05,
1316, 12274, 1035.00, 6.05,
1327, 12386, 1015.00, 6.06,
1338, 12489, 1016.25, 6.08,
1349, 12562, 983.75, 6.07,
1360, 12668, 987.50, 6.09,
1371, 12744, 962.50, 6.08,
1382, 12809, 968.75, 6.08,
1394, 12908, 956.25, 6.10,
1405, 12975, 940.00, 6.11,
1416, 13089, 921.25, 6.11,
1427, 13146, 925.00, 6.11,
1438, 13239, 918.75, 6.11,
1449, 13297, 892.50, 6.12,
1460, 13380, 890.00, 6.12,
1472, 13428, 877.50, 6.12,
1483, 13525, 880.00, 6.13,
1494, 13574, 868.75, 6.13,
1505, 13673, 858.75, 6.13,
1516, 13648, 855.00, 6.15,
1527, 13786, 832.50, 6.14,
1538, 13824, 818.75, 6.16,
1549, 13901, 821.25, 6.16,
1561, 13940, 821.25, 6.16,
1573, 14018, 817.50, 6.18,
1585, 14084, 791.25, 6.18,
1597, 14150, 792.50, 6.19,
1609, 14218, 781.25, 6.19,
1622, 14272, 770.00, 6.19,
1633, 14272, 761.25, 6.20,
1645, 14367, 762.50, 6.20,
1657, 14436, 766.25, 6.21,
1668, 14492, 758.75, 6.20,
1679, 14548, 748.75, 6.22,
1690, 14577, 750.00, 6.21,
1701, 14634, 741.25, 6.22,
1712, 14677, 721.25, 6.22,
1723, 14691, 725.00, 6.22,
1735, 14749, 720.00, 6.22,
1746, 14792, 705.00, 6.22,
1757, 14836, 706.25, 6.21,
1768, 14880, 701.25, 6.23,
1779, 14910, 696.25, 6.21,
1790, 14955, 691.25, 6.23,
1801, 15015, 681.25, 6.22,
1812, 15015, 690.00, 6.24,
1824, 15045, 681.25, 6.21,
1835, 15090, 667.50, 6.24,
1846, 15151, 667.50, 6.24,
1857, 15166, 667.50, 6.24,
1868, 15197, 656.25, 6.24,
1879, 15228, 656.25, 6.24,
1890, 15274, 657.50, 6.25,
1902, 15306, 648.75, 6.24,
1913, 15337, 645.00, 6.25,
1924, 15368, 641.25, 6.26,
1935, 15368, 643.75, 6.25,
1946, 15432, 641.25, 6.25,
1957, 15479, 621.25, 6.26,
1968, 15495, 636.25, 6.25,
1979, 15527, 625.00, 6.26,
1991, 15544, 620.00, 6.26,
2003, 15576, 617.50, 6.26,
2014, 15608, 623.75, 6.26,
2025, 15625, 611.25, 6.26,
2036, 15657, 618.75, 6.26,
2048, 15690, 622.50, 6.27,
2059, 15723, 615.00, 6.27,
2070, 15739, 602.50, 6.27,
2081, 15772, 606.25, 6.27,
2093, 15772, 595.00, 6.28,
2105, 15806, 597.50, 6.27,
2117, 15839, 592.50, 6.28,
2129, 15856, 593.75, 6.28,
2141, 15856, 583.75, 6.28,
2153, 15889, 586.25, 6.27,
2165, 15906, 581.25, 6.28,
2176, 15923, 585.00, 6.27,
2187, 15940, 586.25, 6.27,
2198, 15957, 590.00, 6.28,
2209, 15974, 573.75, 6.28,
2220, 15991, 577.50, 6.28,
2231, 15991, 585.00, 6.27,
2243, 16025, 575.00, 6.28,
2254, 16008, 570.00, 6.28,
2265, 16042, 567.50, 6.29,
2276, 16025, 566.25, 6.28,
2287, 16059, 558.75, 6.28,
2298, 16077, 562.50, 6.28,
2309, 16111, 557.50, 6.28,
2321, 16129, 558.75, 6.29,
2332, 16129, 556.25, 6.29,
2344, 16146, 555.00, 6.29,
2355, 16163, 547.50, 6.28,
2366, 16216, 546.25, 6.29,
2377, 16198, 548.75, 6.30,
2388, 16129, 540.00, 6.30,
2399, 16216, 540.00, 6.30,
2410, 16233, 536.25, 6.30,
2422, 16286, 545.00, 6.30,
2434, 16268, 537.50, 6.30,
2446, 16268, 536.25, 6.30,
2458, 16233, 536.25, 6.30,
2470, 16286, 548.75, 6.30,
2482, 16322, 533.75, 6.30,
2494, 16339, 537.50, 6.30,
2506, 16339, 540.00, 6.30,
2519, 16375, 543.75, 6.30,
2530, 16393, 541.25, 6.30,
2542, 16411, 537.50, 6.31,
2554, 16393, 528.75, 6.30,
2565, 16429, 528.75, 6.30,
2576, 16447, 531.25, 6.30,
2587, 16447, 528.75, 6.30,
2598, 16483, 520.00, 6.30,
2609, 16483, 528.75, 6.31,
2620, 16483, 523.75, 6.32,
2632, 16501, 515.00, 6.32,
2644, 16501, 517.50, 6.32,
2656, 16519, 520.00, 6.32,
2668, 16574, 513.75, 6.32,
2680, 16538, 518.75, 6.32,
2692, 16501, 516.25, 6.32,
2704, 16556, 511.25, 6.32,
2716, 16574, 511.25, 6.32,
2727, 16574, 511.25, 6.32,
2738, 16592, 516.25, 6.31,
2749, 16611, 512.50, 6.32,
2760, 16611, 510.00, 6.32,
2771, 16629, 506.25, 6.32,
2782, 16648, 502.50, 6.31,
2794, 16629, 508.75, 6.32,
2805, 16629, 508.75, 6.32,
2816, 16629, 506.25, 6.32,
2827, 16648, 510.00, 6.32,
2838, 16648, 511.25, 6.32,
2849, 16648, 510.00, 6.32,
2860, 16666, 506.25, 6.32,
2871, 16666, 505.00, 6.32,
