time (ms), rpm, mA, V
584, 0, 0.00, 6.66,
595, 0, 2698.75, 5.34,
606, 0, 2707.50, 5.33,
617, 0, 2640.00, 5.37,
628, 0, 2580.00, 5.40,
640, 0, 2590.00, 5.47,
651, 1194, 2507.50, 5.48,
663, 1194, 2470.00, 5.53,
675, 1194, 2368.75, 5.55,
686, 2369, 2353.75, 5.52,
697, 3016, 2283.75, 5.56,
708, 3016, 2210.00, 5.61,
719, 3521, 2230.00, 5.60,
730, 3947, 2143.75, 5.60,
742, 4316, 2062.50, 5.69,
753, 4316, 2042.50, 5.66,
765, 4645, 2087.50, 5.69,
776, 4930, 1982.50, 5.73,
787, 5217, 1912.50, 5.75,
798, 5476, 1893.75, 5.77,
809, 5692, 1842.50, 5.79,
820, 6134, 1803.75, 5.76,
831, 6331, 1810.00, 5.81,
843, 6516, 1718.75, 5.79,
855, 6699, 1726.25, 5.86,
867, 7019, 1670.00, 5.83,
879, 7177, 1625.00, 5.86,
890, 7470, 1617.50, 5.87,
901, 7610, 1562.50, 5.87,
912, 7836, 1566.25, 5.89,
923, 8021, 1542.50, 5.92,
934, 8241, 1530.00, 5.90,
945, 8356, 1461.25, 5.94,
956, 8469, 1485.00, 5.96,
968, 8680, 1427.50, 5.94,
980, 8875, 1390.00, 5.96,
992, 9047, 1373.75, 5.97,
1004, 9247, 1366.25, 6.01,
1015, 9334, 1337.50, 6.01,
1026, 9505, 1318.75, 5.99,
1037, 9652, 1263.75, 6.03,
1048, 9803, 1266.25, 6.02,
1059, 9960, 1256.25, 6.04,
1070, 10040, 1195.00, 6.05,
1081, 10176, 1230.00, 6.05,
1092, 10309, 1188.75, 6.09,
1103, 10445, 1202.50, 6.08,
1115, 10555, 1175.00, 6.06,
1126, 10668, 1146.25, 6.08,
1138, 10791, 1107.50, 6.11,
1149, 10893, 1128.75, 6.14,
1161, 11005, 1101.25, 6.14,
1172, 11177, 1078.75, 6.15,
1183, 11227, 1063.75, 6.11,
1196, 11346, 1047.50, 6.11,
1207, 11441, 1045.00, 6.16,
1218, 11511, 1018.75, 6.15,
