Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 8.23,
16, 0, 0.00, 8.23,
27, 0, 0.00, 8.22,
38, 0, 0.00, 8.23,
49, 0, 0.00, 8.23,
60, 0, 0.00, 8.23,
71, 0, 0.00, 8.23,
82, 0, 0.00, 8.23,
93, 0, 1.25, 8.23,
104, 0, 0.00, 8.23,
115, 0, 0.00, 8.23,
126, 0, 0.00, 8.23,
137, 0, 0.00, 8.23,
148, 0, 0.00, 8.23,
159, 0, 0.00, 8.23,
171, 0, 0.00, 8.23,
182, 0, 0.00, 8.23,
193, 0, 0.00, 8.23,
204, 0, 0.00, 8.23,
216, 0, 0.00, 8.23,
227, 0, 0.00, 8.23,
238, 0, 0.00, 8.23,
249, 0, 0.00, 8.23,
260, 0, 0.00, 8.23,
271, 0, 0.00, 8.23,
282, 0, 0.00, 8.23,
293, 0, 0.00, 8.23,
304, 0, 0.00, 8.23,
315, 0, 0.00, 8.23,
327, 0, 0.00, 8.23,
338, 0, 0.00, 8.23,
349, 0, 0.00, 8.23,
361, 0, 0.00, 8.23,
372, 0, 0.00, 8.23,
384, 0, 0.00, 8.23,
395, 0, 0.00, 8.23,
406, 0, 0.00, 8.23,
417, 0, 0.00, 8.23,
428, 0, 0.00, 8.23,
439, 0, 0.00, 8.23,
450, 0, 0.00, 8.23,
461, 0, 0.00, 8.23,
472, 0, 0.00, 8.23,
483, 0, 0.00, 8.23,
494, 0, 3615.00, 8.06,
505, 119, 4318.75, 7.10,
516, 119, 4186.25, 7.07,
527, 119, 4131.25, 7.14,
538, 119, 4023.75, 7.16,
549, 1397, 3837.50, 7.27,
561, 1397, 3907.50, 7.24,
573, 2846, 3893.75, 7.24,
585, 3623, 3646.25, 7.29,
598, 4257, 3416.25, 7.27,
610, 4767, 3262.50, 7.36,
622, 5217, 3262.50, 7.32,
634, 5620, 3250.00, 7.42,
645, 5985, 3327.50, 7.34,
656, 6342, 3065.00, 7.45,
667, 6625, 2886.25, 7.46,
678, 7197, 2877.50, 7.46,
690, 7455, 2830.00, 7.49,
702, 7928, 2717.50, 7.51,
714, 8337, 2531.25, 7.52,
727, 8561, 2627.50, 7.57,
739, 8944, 2587.50, 7.57,
751, 9293, 2376.25, 7.57,
763, 9603, 2406.25, 7.59,
774, 9927, 2292.50, 7.57,
785, 10224, 2245.00, 7.62,
796, 10489, 2193.75, 7.61,
807, 10760, 2161.25, 7.62,
818, 10893, 2136.25, 7.64,
830, 11244, 2046.25, 7.65,
842, 11467, 2002.50, 7.66,
855, 11783, 1968.75, 7.67,
866, 11990, 1911.25, 7.69,
878, 12175, 1871.25, 7.70,
890, 12468, 1842.50, 7.71,
902, 12626, 1773.75, 7.71,
914, 12886, 1778.75, 7.73,
926, 13123, 1747.50, 7.75,
937, 13274, 1686.25, 7.75,
948, 13428, 1665.00, 7.75,
959, 13648, 1655.00, 7.76,
970, 13837, 1616.25, 7.77,
982, 13979, 1576.25, 7.77,
993, 14164, 1573.75, 7.79,
1004, 14272, 1500.00, 7.78,
1015, 14450, 1497.50, 7.79,
1026, 14634, 1488.75, 7.80,
1037, 14792, 1451.25, 7.81,
1048, 14895, 1438.75, 7.80,
1059, 15060, 1410.00, 7.81,
1070, 15182, 1376.25, 7.81,
1081, 15212, 1373.75, 7.83,
1092, 15368, 1358.75, 7.83,
1103, 15544, 1338.75, 7.83,
1114, 15690, 1301.25, 7.84,
1125, 15772, 1312.50, 7.84,
1136, 15940, 1276.25, 7.84,
1147, 16059, 1260.00, 7.86,
1158, 16163, 1255.00, 7.86,
1169, 16268, 1231.25, 7.86,
1180, 16375, 1211.25, 7.86,
1191, 16483, 1200.00, 7.86,
1203, 16574, 1185.00, 7.87,
1215, 16685, 1178.75, 7.87,
1226, 16778, 1156.25, 7.88,
1239, 16891, 1151.25, 7.89,
1250, 16987, 1125.00, 7.88,
1262, 17084, 1110.00, 7.89,
1273, 17162, 1100.00, 7.89,
1284, 17261, 1083.75, 7.90,
1295, 17341, 1075.00, 7.89,
1306, 17401, 1057.50, 7.91,
1317, 17502, 1046.25, 7.90,
1328, 17564, 1056.25, 7.89,
1339, 17647, 1046.25, 7.90,
1350, 17667, 1036.25, 7.90,
1361, 17814, 1027.50, 7.91,
1372, 17857, 1010.00, 7.91,
1383, 17921, 1008.75, 7.91,
1394, 17942, 1000.00, 7.91,
1405, 18050, 987.50, 7.92,
1416, 18137, 981.25, 7.92,
1427, 18181, 971.25, 7.92,
1438, 18248, 968.75, 7.92,
1451, 18248, 966.25, 7.92,
1462, 18382, 956.25, 7.93,
1474, 18450, 950.00, 7.92,
1486, 18564, 937.50, 7.93,
1498, 18564, 930.00, 7.92,
1510, 18610, 926.25, 7.91,
1522, 18679, 916.25, 7.90,
