time (ms), rpm, mA, V
645, 0, 0.00, 6.75,
657, 0, 2365.00, 5.47,
668, 0, 2446.25, 5.49,
679, 0, 2328.75, 5.49,
690, 0, 2327.50, 5.53,
701, 0, 2296.25, 5.53,
712, 0, 2233.75, 5.56,
723, 1270, 2206.25, 5.56,
735, 1270, 2187.50, 5.65,
747, 2286, 2150.00, 5.62,
759, 2286, 2058.75, 5.70,
770, 2895, 2056.25, 5.66,
781, 2895, 2007.50, 5.70,
792, 3376, 1983.75, 5.71,
803, 3766, 1952.50, 5.77,
814, 3766, 1887.50, 5.71,
825, 4123, 1810.00, 5.77,
837, 4443, 1865.00, 5.80,
849, 4724, 1757.50, 5.82,
861, 4975, 1768.75, 5.86,
873, 5235, 1716.25, 5.83,
885, 5446, 1688.75, 5.84,
897, 5866, 1660.00, 5.83,
909, 6043, 1667.50, 5.85,
921, 6244, 1631.25, 5.86,
933, 6421, 1558.75, 5.92,
945, 6726, 1517.50, 5.90,
957, 6880, 1547.50, 5.94,
969, 7149, 1470.00, 5.94,
980, 7302, 1461.25, 5.94,
991, 7440, 1446.25, 5.96,
1002, 7680, 1438.75, 5.98,
1013, 7808, 1371.25, 5.99,
1024, 8029, 1350.00, 5.96,
1035, 8138, 1390.00, 6.01,
1046, 8351, 1298.75, 6.00,
1057, 8455, 1337.50, 6.04,
1068, 8645, 1285.00, 6.00,
1079, 8771, 1237.50, 6.02,
1090, 8928, 1262.50, 6.05,
1101, 9096, 1263.75, 6.06,
1112, 9179, 1230.00, 6.07,
1123, 9345, 1222.50, 6.08,
1134, 9493, 1215.00, 6.07,
1146, 9646, 1150.00, 6.08,
1158, 9784, 1172.50, 6.11,
1170, 9927, 1145.00, 6.11,
1181, 10026, 1107.50, 6.11,
1192, 10141, 1115.00, 6.12,
1203, 10252, 1080.00, 6.14,
1214, 10373, 1093.75, 6.13,
1225, 10489, 1067.50, 6.14,
1236, 10600, 1048.75, 6.16,
1247, 10721, 1050.00, 6.14,
1258, 10822, 1027.50, 6.15,
1269, 10924, 1020.00, 6.19,
1280, 11021, 1021.25, 6.15,
1291, 11094, 1016.25, 6.16,
1302, 11202, 992.50, 6.17,
1313, 11286, 970.00, 6.21,
1324, 11380, 962.50, 6.22,
1335, 11467, 958.75, 6.20,
1346, 11583, 936.25, 6.21,
1357, 11664, 922.50, 6.23,
1368, 11709, 906.25, 6.22,
1379, 11773, 895.00, 6.22,
1390, 11857, 876.25, 6.23,
1401, 11942, 876.25, 6.23,
1413, 12038, 872.50, 6.27,
1425, 12106, 845.00, 6.24,
1436, 12155, 847.50, 6.25,
1448, 12234, 838.75, 6.24,
1459, 12295, 843.75, 6.25,
1470, 12366, 823.75, 6.28,
1481, 12458, 818.75, 6.27,
1492, 12458, 817.50, 6.28,
1503, 12562, 808.75, 6.26,
1514, 12615, 797.50, 6.30,
1525, 12701, 793.75, 6.28,
1537, 12701, 778.75, 6.30,
1549, 12809, 778.75, 6.30,
1560, 12864, 777.50, 6.29,
1572, 12931, 770.00, 6.28,
1584, 12953, 762.50, 6.29,
1596, 13043, 753.75, 6.30,
1607, 13077, 750.00, 6.32,
1619, 13123, 740.00, 6.31,
1631, 13157, 728.75, 6.32,
1643, 13250, 738.75, 6.29,
1654, 13309, 727.50, 6.31,
1665, 13345, 705.00, 6.33,
1676, 13392, 718.75, 6.33,
1687, 13440, 698.75, 6.31,
1698, 13464, 698.75, 6.34,
1709, 13525, 703.75, 6.32,
1720, 13574, 667.50, 6.32,
1731, 13574, 666.25, 6.33,
1742, 13661, 677.50, 6.34,
1754, 13648, 695.00, 6.35,
