Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 6.74,
16, 0, 0.00, 6.74,
27, 0, 0.00, 6.74,
38, 0, 0.00, 6.74,
50, 0, 0.00, 6.74,
61, 0, 0.00, 6.74,
72, 0, 0.00, 6.74,
83, 0, 0.00, 6.73,
94, 0, 0.00, 6.74,
105, 0, 0.00, 6.73,
117, 0, 0.00, 6.73,
128, 0, 0.00, 6.73,
139, 0, 0.00, 6.74,
151, 0, 0.00, 6.73,
162, 0, 0.00, 6.73,
173, 0, 0.00, 6.74,
184, 0, 0.00, 6.73,
195, 0, 0.00, 6.73,
206, 0, 0.00, 6.74,
217, 0, 0.00, 6.73,
228, 0, 0.00, 6.73,
239, 0, 0.00, 6.74,
250, 0, 0.00, 6.74,
261, 0, 0.00, 6.73,
272, 0, 0.00, 6.74,
283, 0, 0.00, 6.73,
294, 0, 0.00, 6.74,
305, 0, 0.00, 6.74,
316, 0, 0.00, 6.74,
327, 0, 0.00, 6.74,
338, 0, 0.00, 6.73,
349, 0, 0.00, 6.74,
360, 0, 0.00, 6.74,
371, 0, 0.00, 6.73,
382, 0, 0.00, 6.74,
393, 0, 0.00, 6.74,
404, 0, 1.25, 6.73,
415, 0, 0.00, 6.74,
427, 0, 0.00, 6.74,
438, 0, 0.00, 6.74,
449, 0, 0.00, 6.73,
460, 0, 0.00, 6.73,
471, 0, 0.00, 6.74,
482, 0, 0.00, 6.74,
493, 0, 0.00, 6.74,
505, 0, 1.25, 6.74,
516, 0, 0.00, 6.74,
527, 0, 0.00, 6.74,
538, 0, 0.00, 6.74,
549, 0, 0.00, 6.74,
560, 0, 0.00, 6.73,
572, 0, 0.00, 6.73,
583, 0, 0.00, 6.74,
595, 0, 0.00, 6.74,
606, 0, 0.00, 6.74,
617, 0, 0.00, 6.74,
629, 0, 2540.00, 5.40,
640, 0, 2483.75, 5.47,
651, 92, 2343.75, 5.48,
662, 92, 2366.25, 5.53,
673, 92, 2302.50, 5.53,
684, 92, 2240.00, 5.54,
695, 1382, 2212.50, 5.58,
707, 1382, 2213.75, 5.57,
719, 2332, 2151.25, 5.61,
730, 2332, 2078.75, 5.67,
741, 2930, 2047.50, 5.61,
