Adafruit INA260 Test,,,,,
Found INA260 chip,,,,,
time (ms),time (s), rpm, mA, V,
431,0,0,0,8.37,
442,0.011,0,1248.75,8.37,
453,0.022,0,5070,8.23,
464,0.033,0,4960,8.24,
475,0.044,0,4865,8.23,
487,0.056,0,4713.75,8.24,
498,0.067,0,4643.75,8.25,
509,0.078,2983,4420,8.25,
520,0.089,2983,4546.25,8.25,
531,0.1,3830,4441.25,8.26,
542,0.111,4472,4333.75,8.26,
553,0.122,5031,4196.25,8.25,
565,0.134,5506,4066.25,8.27,
577,0.146,5938,3837.5,8.26,
589,0.158,6323,3661.25,8.27,
600,0.169,7012,3393.75,8.27,
611,0.18,7320,3355,8.27,
622,0.191,7882,3365,8.27,
633,0.202,8130,3058.75,8.28,
645,0.214,8615,3118.75,8.28,
657,0.226,9057,2855,8.28,
669,0.238,9276,2761.25,8.28,
681,0.25,9652,2757.5,8.29,
692,0.261,10020,2743.75,8.29,
703,0.272,10359,2638.75,8.29,
714,0.283,10676,2530,8.3,
726,0.295,10980,2511.25,8.3,
737,0.306,11252,2455,8.3,
748,0.317,11538,2375,8.3,
760,0.329,11895,2305,8.3,
771,0.34,12155,2240,8.3,
782,0.351,12355,2202.5,8.3,
793,0.362,12679,2155,8.3,
804,0.373,12919,2101.25,8.31,
815,0.384,13169,2055,8.31,
826,0.395,13404,1945,8.31,
838,0.407,13673,1953.75,8.31,
850,0.419,13786,1925,8.31,
861,0.43,14084,1863.75,8.31,
872,0.441,14326,1815,8.31,
883,0.452,14423,1801.25,8.31,
894,0.463,14662,1782.5,8.31,
905,0.474,14910,1706.25,8.31,
916,0.485,15030,1707.5,8.31,
928,0.497,15228,1678.75,8.32,
940,0.509,15416,1633.75,8.31,
952,0.521,15657,1601.25,8.32,
964,0.533,15822,1566.25,8.32,
975,0.544,15991,1555,8.32,
986,0.555,16129,1513.75,8.32,
997,0.566,16304,1501.25,8.32,
1008,0.577,16447,1473.75,8.32,
1019,0.588,16592,1446.25,8.32,
1030,0.599,16703,1413.75,8.32,
1041,0.61,16853,1410,8.32,
1052,0.621,16910,1391.25,8.32,
1064,0.633,17084,1365,8.32,
1076,0.645,17241,1322.5,8.32,
1088,0.657,17361,1306.25,8.32,
1099,0.668,17502,1302.5,8.32,
1110,0.679,17626,1271.25,8.32,
1121,0.69,17709,1261.25,8.32,
1132,0.701,17814,1252.5,8.32,
1143,0.712,17942,1236.25,8.33,
1154,0.723,17985,1227.5,8.33,
1165,0.734,18028,1208.75,8.33,
1176,0.745,18203,1197.5,8.33,
1187,0.756,18337,1180,8.33,
1198,0.767,18404,1147.5,8.33,
1209,0.778,18495,1132.5,8.33,
1220,0.789,18564,1123.75,8.33,
1231,0.8,18679,1088.75,8.33,
1242,0.811,18750,1091.25,8.33,
1253,0.822,18679,1096.25,8.33,
1264,0.833,18915,1085,8.33,
1275,0.844,18963,1075,8.33,
1287,0.856,19035,1066.25,8.33,
1299,0.868,19157,1055,8.33,
1310,0.879,19206,1042.5,8.33,
1323,0.892,19305,1027.5,8.33,
1334,0.903,19329,1016.25,8.33,
1346,0.915,19404,1005,8.33,
1357,0.926,19480,991.25,8.33,
1368,0.937,19430,988.75,8.33,
1379,0.948,19582,987.5,8.33,
1390,0.959,19659,978.75,8.33,
1401,0.97,19710,980,8.33,
1412,0.981,19762,972.5,8.34,
1423,0.992,19841,955,8.34,
1435,1.004,19893,950,8.33,
