Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
1501, 0, 0.00, 8.26,
1513, 0, 0.00, 8.26,
1524, 0, 0.00, 8.26,
1536, 0, 0.00, 8.26,
1547, 0, 0.00, 8.26,
1558, 0, 0.00, 8.26,
1569, 0, 0.00, 8.26,
1580, 0, 0.00, 8.26,
1591, 0, 0.00, 8.26,
1602, 0, 0.00, 8.26,
1613, 0, 0.00, 8.26,
1624, 0, 0.00, 8.26,
1635, 0, 0.00, 8.26,
1646, 0, 0.00, 8.26,
1657, 0, 0.00, 8.26,
1668, 0, 0.00, 8.26,
1680, 0, 0.00, 8.26,
1691, 0, 0.00, 8.26,
1702, 0, 0.00, 8.26,
1713, 0, 0.00, 8.26,
1724, 0, 0.00, 8.26,
1735, 0, 0.00, 8.26,
1746, 0, 0.00, 8.26,
1757, 0, 0.00, 8.25,
1768, 0, 0.00, 8.26,
1780, 0, 0.00, 8.26,
1792, 0, 0.00, 8.26,
1803, 0, 0.00, 8.26,
1814, 0, 0.00, 8.26,
1825, 0, 0.00, 8.26,
1836, 0, 0.00, 8.26,
1847, 0, 0.00, 8.26,
1858, 0, 0.00, 8.26,
1869, 0, 0.00, 8.26,
1881, 0, 0.00, 8.26,
1892, 0, 0.00, 8.26,
1903, 0, 0.00, 8.26,
1914, 0, 0.00, 8.26,
1925, 0, 0.00, 8.26,
1936, 0, 0.00, 8.26,
1947, 0, 0.00, 8.26,
1958, 0, 0.00, 8.26,
1969, 0, 0.00, 8.26,
1981, 0, 0.00, 8.26,
1992, 0, 0.00, 8.26,
2003, 0, 1.25, 8.26,
2015, 0, 0.00, 8.26,
2026, 0, 0.00, 8.26,
2037, 0, 0.00, 8.26,
2048, 0, 0.00, 8.26,
2059, 0, 0.00, 8.26,
2070, 0, 0.00, 8.26,
2081, 0, 0.00, 8.26,
2092, 0, 0.00, 8.26,
2103, 0, 0.00, 8.26,
2115, 0, 0.00, 8.26,
2126, 0, 0.00, 8.26,
2137, 0, 0.00, 8.26,
2148, 0, 0.00, 8.26,
2159, 0, 0.00, 8.26,
2170, 0, 0.00, 8.26,
2182, 0, 0.00, 8.26,
2193, 0, 0.00, 8.26,
2204, 0, 0.00, 8.26,
2215, 0, 0.00, 8.26,
2226, 0, 0.00, 8.26,
2237, 0, 0.00, 8.26,
2248, 0, 0.00, 8.26,
2259, 0, 0.00, 8.26,
2270, 0, 0.00, 8.26,
2282, 0, 0.00, 8.26,
2293, 0, 0.00, 8.26,
2304, 0, 0.00, 8.26,
2315, 0, 0.00, 8.26,
2326, 0, 0.00, 8.26,
2337, 0, 0.00, 8.26,
2349, 0, 0.00, 8.26,
2360, 0, 0.00, 8.26,
2371, 0, 0.00, 8.26,
2382, 0, 0.00, 8.26,
2393, 0, 0.00, 8.26,
2404, 0, 0.00, 8.26,
2415, 0, 0.00, 8.26,
2426, 0, 0.00, 8.26,
2437, 0, 0.00, 8.26,
2448, 0, 0.00, 8.26,
2459, 0, 0.00, 8.26,
2470, 0, 0.00, 8.26,
2482, 0, 0.00, 8.26,
2493, 0, 0.00, 8.26,
2504, 0, 0.00, 8.26,
