Zippy 1000mAh 40C 2S
Found INA260 chip
time (ms), rpm, mA, V
701, 0, 0.00, 8.36,
712, 0, 3646.25, 8.22,
723, 0, 3692.50, 8.22,
735, 0, 3630.00, 8.22,
746, 0, 3573.75, 8.22,
757, 0, 3591.25, 8.23,
768, 79, 3373.75, 8.22,
779, 79, 3380.00, 8.22,
790, 2609, 3205.00, 8.23,
802, 3393, 3220.00, 8.23,
813, 3393, 3020.00, 8.23,
824, 3995, 3162.50, 8.24,
835, 4496, 3070.00, 8.24,
846, 4922, 2836.25, 8.25,
858, 5313, 2990.00, 8.25,
869, 5675, 2766.25, 8.25,
881, 5988, 2688.75, 8.25,
893, 6570, 2588.75, 8.25,
904, 6830, 2620.00, 8.26,
915, 7095, 2443.75, 8.26,
926, 7541, 2436.25, 8.26,
937, 7755, 2341.25, 8.26,
949, 8121, 2426.25, 8.26,
961, 8342, 2223.75, 8.27,
973, 8695, 2265.00, 8.27,
984, 8998, 2121.25, 8.27,
995, 9339, 2077.50, 8.27,
1006, 9481, 2082.50, 8.27,
1017, 9765, 2091.25, 8.27,
1029, 10033, 1997.50, 8.27,
1040, 10288, 2011.25, 8.27,
1052, 10533, 1972.50, 8.28,
1063, 10760, 1878.75, 8.28,
1074, 10980, 1867.50, 8.28,
1085, 11160, 1850.00, 8.28,
1096, 11346, 1783.75, 8.28,
1107, 11655, 1780.00, 8.28,
1118, 11764, 1748.75, 8.28,
1129, 12000, 1690.00, 8.28,
1140, 12214, 1707.50, 8.28,
1153, 12468, 1656.25, 8.29,
1164, 12647, 1627.50, 8.29,
1176, 12820, 1600.00, 8.29,
1187, 12998, 1582.50, 8.29,
1198, 13134, 1551.25, 8.29,
1209, 13297, 1515.00, 8.29,
1220, 13428, 1505.00, 8.29,
1231, 13636, 1483.75, 8.29,
1242, 13786, 1470.00, 8.29,
1253, 13966, 1430.00, 8.29,
1264, 14084, 1433.75, 8.29,
1275, 14218, 1407.50, 8.29,
1286, 14395, 1395.00, 8.30,
1297, 14520, 1361.25, 8.30,
1308, 14662, 1353.75, 8.30,
1319, 14807, 1331.25, 8.30,
1330, 14910, 1320.00, 8.30,
1341, 15030, 1291.25, 8.30,
1352, 15151, 1271.25, 8.30,
1363, 15290, 1248.75, 8.30,
1374, 15353, 1238.75, 8.30,
1385, 15560, 1215.00, 8.30,
1396, 15560, 1215.00, 8.30,
1408, 15723, 1188.75, 8.30,
1419, 15889, 1177.50, 8.30,
1430, 15974, 1178.75, 8.30,
1441, 16059, 1151.25, 8.30,
1452, 16163, 1147.50, 8.31,
1464, 16268, 1137.50, 8.31,
1475, 16357, 1117.50, 8.31,
1487, 16465, 1108.75, 8.31,
1499, 16556, 1100.00, 8.31,
1511, 16666, 1083.75, 8.31,
1522, 16722, 1071.25, 8.31,
1534, 16853, 1061.25, 8.31,
1546, 16891, 1053.75, 8.31,
1558, 17026, 1041.25, 8.31,
1569, 17103, 1008.75, 8.31,
1580, 17162, 1012.50, 8.31,
1591, 17241, 1010.00, 8.31,
1602, 17301, 993.75, 8.31,
1613, 17381, 972.50, 8.31,
1624, 17421, 973.75, 8.31,
1635, 17523, 953.75, 8.31,
1646, 17564, 957.50, 8.31,
1658, 17647, 938.75, 8.31,
1670, 17709, 948.75, 8.31,
1682, 17751, 932.50, 8.31,
1694, 17814, 928.75, 8.31,
1705, 17878, 911.25, 8.31,
1716, 17964, 901.25, 8.31,
1727, 18072, 898.75, 8.31,
1738, 18050, 898.75, 8.31,
1750, 18115, 890.00, 8.31,
1761, 18181, 891.25, 8.31,
1772, 18226, 878.75, 8.31,
1783, 18315, 881.25, 8.31,
1794, 18337, 873.75, 8.31,
1805, 18382, 862.50, 8.31,
1816, 18404, 858.75, 8.31,
1827, 18427, 848.75, 8.31,
1838, 18518, 838.75, 8.31,
1849, 18472, 848.75, 8.32,
1861, 18587, 827.50, 8.31,
1872, 18633, 820.00, 8.32,
1883, 18656, 823.75, 8.32,
1894, 18656, 810.00, 8.32,
1905, 18750, 797.50, 8.32,
1916, 18773, 811.25, 8.32,
1927, 18796, 807.50, 8.32,
1938, 18844, 801.25, 8.32,
1950, 18891, 817.50, 8.32,
1963, 18915, 811.25, 8.32,
1974, 18963, 798.75, 8.32,
1986, 18987, 788.75, 8.32,
1998, 19035, 776.25, 8.32,
2010, 19059, 787.50, 8.32,
2022, 19059, 775.00, 8.32,
2034, 19132, 758.75, 8.32,
2046, 19132, 776.25, 8.32,
2058, 19181, 780.00, 8.32,
2070, 19230, 757.50, 8.32,
2082, 19255, 775.00, 8.32,
2093, 19255, 762.50, 8.32,
