Zippy 1000 mAh 40C 2S, Fused
Found INA260 chip
time (ms), rpm, mA, V
50692, 0, 0.00, 8.33,
50703, 0, 0.00, 8.33,
50714, 0, 0.00, 8.33,
50726, 0, 0.00, 8.33,
50737, 0, 0.00, 8.33,
50748, 0, 0.00, 8.33,
50759, 0, 0.00, 8.33,
50770, 0, 0.00, 8.33,
50781, 0, 0.00, 8.33,
50792, 0, 0.00, 8.33,
50803, 0, 0.00, 8.33,
50816, 0, 0.00, 8.33,
50827, 0, 0.00, 8.33,
50838, 0, 0.00, 8.33,
50849, 0, 0.00, 8.33,
50860, 0, 0.00, 8.33,
50872, 0, 0.00, 8.33,
50883, 0, 0.00, 8.33,
50894, 0, 0.00, 8.33,
50905, 0, 0.00, 8.33,
50916, 0, 0.00, 8.33,
50927, 0, 0.00, 8.33,
50938, 0, 0.00, 8.33,
50949, 0, 0.00, 8.33,
50960, 0, 0.00, 8.33,
50971, 0, 0.00, 8.33,
50982, 0, 0.00, 8.32,
50994, 0, 0.00, 8.33,
51005, 0, 0.00, 8.33,
51016, 0, 0.00, 8.33,
51027, 0, 0.00, 8.33,
51038, 0, 0.00, 8.33,
51049, 0, 0.00, 8.33,
51060, 0, 0.00, 8.33,
51072, 0, 0.00, 8.33,
51083, 0, 0.00, 8.33,
51094, 0, 0.00, 8.33,
51105, 0, 0.00, 8.33,
51116, 0, 0.00, 8.33,
51127, 0, 0.00, 8.33,
51138, 0, 0.00, 8.33,
51149, 0, 0.00, 8.33,
51160, 0, 0.00, 8.33,
51171, 0, 0.00, 8.33,
51182, 0, 0.00, 8.33,
51193, 0, 0.00, 8.32,
51204, 0, 0.00, 8.33,
51215, 0, 0.00, 8.33,
51226, 0, 3633.75, 8.23,
51237, 0, 3898.75, 8.19,
51248, 0, 3623.75, 8.19,
51259, 0, 3567.50, 8.19,
51270, 0, 3540.00, 8.19,
51282, 0, 3415.00, 8.19,
51293, 1709, 3372.50, 8.20,
51304, 1709, 3403.75, 8.21,
51315, 2824, 3180.00, 8.20,
51326, 14851, 2785.00, 8.32,
51337, 14851, 0.00, 8.32,
51348, 3683, 0.00, 8.32,
51360, 3620, 0.00, 8.32,
51371, 3620, 0.00, 8.32,
51382, 3575, 0.00, 8.32,
51393, 3534, 0.00, 8.32,
51404, 3534, 0.00, 8.32,
51415, 3489, 0.00, 8.32,
51426, 3420, 0.00, 8.32,
51437, 3420, 0.00, 8.32,
51449, 3385, 0.00, 8.32,
51460, 3318, 0.00, 8.32,
51471, 3318, 0.00, 8.32,
51482, 3272, 0.00, 8.32,
51493, 3272, 0.00, 8.32,
51504, 3227, 0.00, 8.32,
51515, 3160, 0.00, 8.32,
51526, 3160, 1.25, 8.32,
51537, 3112, 0.00, 8.32,
51548, 3112, 0.00, 8.32,
51559, 3058, 0.00, 8.32,
51570, 3058, 0.00, 8.32,
51582, 3008, 0.00, 8.32,
51593, 3008, 3297.50, 8.21,
51604, 2976, 3283.75, 8.21,
51615, 3479, 3162.50, 8.21,
51627, 4057, 3217.50, 8.21,
51638, 4057, 2990.00, 8.21,
51649, 4553, 2986.25, 8.21,
51660, 4995, 2888.75, 8.22,
51671, 5351, 2893.75, 8.21,
51683, 5725, 2710.00, 8.22,
51694, 6339, 2610.00, 8.22,
51706, 6622, 2635.00, 8.23,
51718, 6877, 2556.25, 8.22,
51730, 7367, 2530.00, 8.22,
51741, 7591, 2520.00, 8.23,
51753, 8004, 2398.75, 8.23,
51765, 8389, 2280.00, 8.23,
51777, 8571, 2200.00, 8.23,
51789, 8896, 2228.75, 8.23,
51801, 9230, 2082.50, 8.24,
51813, 9535, 2111.25, 8.24,
51824, 9816, 2060.00, 8.24,
51836, 10080, 1941.25, 8.24,
51848, 10323, 2020.00, 8.24,
51860, 10578, 1926.25, 8.25,
51871, 10791, 1865.00, 8.25,
51883, 11029, 1835.00, 8.25,
51894, 11244, 1802.50, 8.25,
51906, 11441, 1778.75, 8.25,
51917, 11737, 1751.25, 8.25,
51929, 11895, 1722.50, 8.25,
51941, 12126, 1717.50, 8.25,
51952, 12355, 1675.00, 8.26,
51963, 12510, 1662.50, 8.26,
51974, 12679, 1610.00, 8.26,
51985, 12908, 1603.75, 8.26,
51996, 13066, 1583.75, 8.26,
52007, 13286, 1548.75, 8.26,
52018, 13416, 1495.00, 8.26,
52029, 13550, 1495.00, 8.26,
52040, 13748, 1481.25, 8.26,
52051, 13927, 1456.25, 8.26,
52062, 14044, 1447.50, 8.26,
52073, 14164, 1431.25, 8.26,
52084, 14326, 1396.25, 8.26,
52097, 14436, 1375.00, 8.27,
52108, 14648, 1383.75, 8.27,
52119, 14807, 1336.25, 8.27,
52131, 14955, 1317.50, 8.27,
52143, 15090, 1256.25, 8.27,
52154, 15197, 1242.50, 8.27,
52165, 15306, 1237.50, 8.27,
52177, 15416, 1221.25, 8.27,
52189, 15544, 1202.50, 8.27,
52200, 15657, 1203.75, 8.27,
52212, 15822, 1198.75, 8.27,
52224, 15923, 1173.75, 8.28,
52235, 15957, 1172.50, 8.27,
52247, 16129, 1146.25, 8.27,
52258, 16233, 1146.25, 8.27,
52270, 16339, 1126.25, 8.27,
52281, 16429, 1100.00, 8.27,
52293, 16501, 1102.50, 8.27,
52304, 16611, 1090.00, 8.28,
52316, 16722, 1081.25, 8.28,
52328, 16816, 1058.75, 8.28,
52339, 16968, 1057.50, 8.28,
52350, 16968, 1048.75, 8.28,
52362, 17084, 1033.75, 8.28,
52374, 17142, 1013.75, 8.28,
52385, 17221, 1010.00, 8.28,
52397, 17301, 1000.00, 8.28,
52409, 17381, 981.25, 8.28,
52420, 17441, 973.75, 8.28,
52432, 17523, 973.75, 8.28,
52444, 17584, 951.25, 8.28,
52456, 17647, 942.50, 8.28,
52467, 17709, 932.50, 8.28,
52480, 17772, 936.25, 8.28,
52491, 17793, 931.25, 8.28,
