Zippy 1000mAh 40C 2S unfussed
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 8.32,
16, 0, 0.00, 8.32,
27, 0, 0.00, 8.32,
38, 0, 0.00, 8.32,
49, 0, 0.00, 8.33,
61, 0, 0.00, 8.32,
72, 0, 0.00, 8.32,
83, 0, 0.00, 8.33,
94, 0, 0.00, 8.33,
105, 0, 0.00, 8.32,
116, 0, 0.00, 8.32,
128, 0, 0.00, 8.32,
139, 0, 0.00, 8.32,
150, 0, 0.00, 8.32,
161, 0, 0.00, 8.33,
172, 0, 0.00, 8.33,
183, 0, 0.00, 8.32,
194, 0, 0.00, 8.33,
205, 0, 0.00, 8.33,
217, 0, 0.00, 8.32,
228, 0, 0.00, 8.33,
239, 0, 0.00, 8.32,
250, 0, 0.00, 8.32,
261, 0, 0.00, 8.32,
272, 0, 0.00, 8.33,
283, 0, 0.00, 8.32,
294, 0, 0.00, 8.33,
305, 0, 0.00, 8.32,
316, 0, 0.00, 8.33,
328, 0, 0.00, 8.32,
339, 0, 0.00, 8.32,
350, 0, 0.00, 8.32,
362, 0, 0.00, 8.32,
373, 0, 0.00, 8.32,
384, 0, 1.25, 8.33,
396, 0, 0.00, 8.32,
407, 0, 0.00, 8.33,
418, 0, 0.00, 8.33,
429, 0, 0.00, 8.32,
440, 0, 0.00, 8.32,
451, 0, 4311.25, 8.16,
463, 0, 4395.00, 8.16,
474, 0, 4207.50, 8.18,
485, 126, 4132.50, 8.18,
497, 126, 4065.00, 8.17,
508, 2212, 4012.50, 8.19,
519, 2212, 3825.00, 8.17,
530, 3207, 3748.75, 8.18,
541, 3928, 3692.50, 8.18,
552, 4493, 3608.75, 8.19,
563, 4991, 3415.00, 8.18,
574, 5422, 3357.50, 8.18,
585, 5816, 3412.50, 8.20,
596, 6172, 3267.50, 8.21,
608, 6516, 3005.00, 8.20,
620, 7082, 2991.25, 8.21,
632, 7371, 2961.25, 8.21,
643, 7869, 2795.00, 8.21,
654, 8103, 2800.00, 8.21,
665, 8527, 2543.75, 8.21,
676, 8746, 2515.00, 8.22,
688, 9124, 2473.75, 8.22,
700, 9481, 2475.00, 8.22,
712, 9803, 2313.75, 8.23,
724, 10128, 2353.75, 8.23,
735, 10416, 2291.25, 8.23,
746, 10699, 2251.25, 8.23,
757, 10964, 2203.75, 8.23,
768, 11185, 2151.25, 8.23,
779, 11459, 2097.50, 8.24,
790, 11682, 2065.00, 8.24,
802, 12028, 1993.75, 8.24,
813, 12175, 1945.00, 8.24,
824, 12417, 1915.00, 8.24,
835, 12679, 1880.00, 8.25,
846, 12886, 1837.50, 8.24,
857, 13054, 1850.00, 8.25,
868, 13309, 1766.25, 8.25,
880, 13464, 1721.25, 8.25,
892, 13698, 1692.50, 8.25,
904, 13888, 1657.50, 8.25,
916, 14124, 1638.75, 8.26,
928, 14326, 1612.50, 8.25,
939, 14409, 1600.00, 8.26,
950, 14577, 1568.75, 8.26,
961, 14807, 1528.75, 8.26,
972, 14925, 1498.75, 8.26,
983, 15075, 1476.25, 8.26,
995, 15259, 1473.75, 8.26,
1006, 15384, 1440.00, 8.26,
1018, 15560, 1423.75, 8.26,
1030, 15706, 1391.25, 8.26,
1042, 15789, 1393.75, 8.26,
1053, 15991, 1355.00, 8.26,
1065, 16163, 1342.50, 8.26,
1077, 16286, 1308.75, 8.27,
1089, 16429, 1306.25, 8.26,
1100, 16538, 1278.75, 8.27,
1111, 16648, 1265.00, 8.27,
1122, 16759, 1243.75, 8.27,
1133, 16872, 1226.25, 8.27,
1144, 17006, 1210.00, 8.27,
1155, 17064, 1200.00, 8.27,
1166, 17221, 1183.75, 8.27,
1177, 17301, 1173.75, 8.27,
1188, 17361, 1173.75, 8.27,
1199, 17482, 1153.75, 8.27,
1210, 17626, 1131.25, 8.27,
1221, 17709, 1127.50, 8.27,
1232, 17793, 1117.50, 8.27,
1243, 17878, 1096.25, 8.27,
1254, 17985, 1081.25, 8.27,
1265, 18050, 1067.50, 8.27,
1276, 18115, 1057.50, 8.27,
1287, 18226, 1046.25, 8.27,
1298, 18248, 1011.25, 8.27,
1309, 18359, 1010.00, 8.28,
1320, 18472, 1013.75, 8.28,
1331, 18518, 1002.50, 8.28,
1342, 18495, 996.25, 8.28,
1353, 18703, 981.25, 8.28,
1364, 18726, 976.25, 8.28,
1375, 18820, 973.75, 8.28,
1386, 18867, 962.50, 8.28,
1397, 18963, 948.75, 8.28,
1408, 18987, 931.25, 8.28,
1419, 19059, 928.75, 8.28,
1430, 19108, 922.50, 8.28,
1442, 19181, 912.50, 8.28,
1453, 19230, 892.50, 8.28,
1464, 19305, 907.50, 8.28,
1475, 19354, 896.25, 8.28,
1486, 19379, 895.00, 8.28,
1497, 19430, 877.50, 8.28,
1508, 19480, 875.00, 8.28,
1519, 19556, 865.00, 8.28,
1531, 19582, 860.00, 8.28,
1542, 19607, 856.25, 8.28,
1553, 19659, 847.50, 8.28,
