Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
384, 0, 0.00, 8.33,
396, 0, 4495.00, 7.21,
407, 0, 4475.00, 7.24,
418, 144, 4362.50, 7.27,
429, 144, 4282.50, 7.34,
440, 144, 4203.75, 7.32,
451, 1957, 4170.00, 7.42,
462, 1957, 3893.75, 7.35,
473, 3084, 3895.00, 7.40,
484, 3833, 3745.00, 7.41,
495, 4433, 3291.25, 7.42,
506, 4942, 3396.25, 7.53,
517, 4942, 3446.25, 7.50,
529, 5780, 3456.25, 7.56,
541, 6147, 3288.75, 7.56,
553, 6482, 3030.00, 7.59,
564, 7075, 3021.25, 7.59,
575, 7352, 2917.50, 7.59,
586, 7606, 2981.25, 7.61,
598, 8081, 2780.00, 7.66,
609, 8305, 2643.75, 7.65,
621, 8715, 2617.50, 7.69,
633, 9090, 2590.00, 7.70,
644, 9451, 2491.25, 7.69,
655, 9784, 2325.00, 7.72,
666, 9953, 2326.25, 7.73,
677, 10231, 2325.00, 7.73,
689, 10518, 2263.75, 7.74,
701, 10917, 2246.25, 7.76,
713, 11160, 2128.75, 7.76,
724, 11389, 2117.50, 7.78,
735, 11583, 2045.00, 7.79,
746, 11783, 1997.50, 7.80,
757, 12126, 1945.00, 7.83,
768, 12335, 1930.00, 7.83,
779, 12500, 1893.75, 7.83,
791, 12668, 1856.25, 7.83,
802, 12908, 1808.75, 7.82,
813, 13066, 1756.25, 7.82,
824, 13274, 1685.00, 7.85,
835, 13428, 1708.75, 7.86,
846, 13636, 1632.50, 7.87,
857, 13786, 1625.00, 7.87,
869, 13953, 1608.75, 7.88,
880, 14084, 1566.25, 7.89,
892, 14258, 1555.00, 7.90,
903, 14395, 1531.25, 7.89,
914, 14577, 1488.75, 7.90,
925, 14705, 1458.75, 7.91,
936, 14807, 1453.75, 7.91,
947, 14940, 1390.00, 7.92,
958, 15105, 1387.50, 7.93,
970, 15259, 1376.25, 7.93,
982, 15384, 1368.75, 7.95,
994, 15511, 1332.50, 7.94,
1006, 15625, 1332.50, 7.95,
1017, 15756, 1317.50, 7.97,
1028, 15839, 1302.50, 7.96,
1039, 15957, 1265.00, 7.95,
1050, 16059, 1253.75, 7.96,
1061, 16163, 1247.50, 7.97,
1072, 16233, 1223.75, 7.96,
1083, 16357, 1188.75, 7.97,
1094, 16447, 1187.50, 7.99,
1105, 16556, 1172.50, 7.99,
1116, 16666, 1163.75, 7.99,
1127, 16722, 1136.25, 8.00,
1138, 16816, 1122.50, 8.01,
1149, 16891, 1107.50, 8.00,
1160, 16968, 1126.25, 8.00,
1171, 16968, 1085.00, 8.00,
1182, 17162, 1083.75, 8.00,
1193, 17123, 1076.25, 8.00,
1204, 17301, 1058.75, 8.01,
1215, 17361, 1055.00, 8.01,
1226, 17401, 1042.50, 8.01,
1238, 17462, 1020.00, 8.02,
1249, 17564, 1020.00, 8.02,
1260, 17584, 1013.75, 8.03,
1271, 17688, 1002.50, 8.03,
1282, 17730, 997.50, 8.02,
1294, 17814, 981.25, 8.03,
1306, 17857, 978.75, 8.03,
1317, 17942, 966.25, 8.04,
1328, 17964, 957.50, 8.03,
1339, 18028, 951.25, 8.04,
1350, 18094, 948.75, 8.05,
1361, 18115, 926.25, 8.04,
1372, 18159, 918.75, 8.05,
1383, 18226, 926.25, 8.06,
1395, 18270, 922.50, 8.05,
1408, 18315, 906.25, 8.05,
1420, 18382, 891.25, 8.06,
1431, 18427, 873.75, 8.05,
1443, 18450, 883.75, 8.06,
1454, 18495, 888.75, 8.06,
1465, 18564, 868.75, 8.06,
1476, 18518, 871.25, 8.06,
1487, 18633, 868.75, 8.07,
1498, 18633, 856.25, 8.06,
1509, 18656, 850.00, 8.06,
1521, 18726, 846.25, 8.08,
1533, 18750, 851.25, 8.07,
1545, 18796, 831.25, 8.07,
1557, 18844, 841.25, 8.07,
1569, 18844, 835.00, 8.07,
1580, 18891, 815.00, 8.07,
1591, 18915, 813.75, 8.07,
1602, 18963, 830.00, 8.08,
1613, 18987, 823.75, 8.07,
1624, 19011, 807.50, 8.09,
1635, 19035, 812.50, 8.07,
1647, 19181, 808.75, 8.08,
1659, 19108, 795.00, 8.09,
1671, 19132, 802.50, 8.08,
1683, 19157, 792.50, 8.08,
1695, 19181, 778.75, 8.08,
1708, 19206, 785.00, 8.09,
1719, 19206, 775.00, 8.08,
1731, 19255, 796.25, 8.09,
1743, 19255, 772.50, 8.09,
1754, 19181, 768.75, 8.08,
1765, 19305, 768.75, 8.09,
1776, 19305, 771.25, 8.08,
1787, 19305, 760.00, 8.10,
1798, 19329, 757.50, 8.08,
1809, 19379, 755.00, 8.10,
1821, 19379, 756.25, 8.10,
1833, 19455, 756.25, 8.09,
1845, 19305, 765.00, 8.10,
1857, 19354, 740.00, 8.10,
1869, 19480, 752.50, 8.10,
1881, 19480, 747.50, 8.10,
1893, 19480, 742.50, 8.09,
1905, 19505, 737.50, 8.10,
1917, 19531, 742.50, 8.10,
1929, 19556, 731.25, 8.09,
1941, 19607, 727.50, 8.10,
1953, 19582, 730.00, 8.10,
1964, 19556, 732.50, 8.10,
1975, 19607, 727.50, 8.10,
1986, 19633, 735.00, 8.10,
1997, 19633, 727.50, 8.09,
2008, 19633, 733.75, 8.10,
2019, 19607, 730.00, 8.09,
2031, 19685, 723.75, 8.10,
2043, 19685, 711.25, 8.10,
2055, 19710, 718.75, 8.10,
2067, 19710, 728.75, 8.10,
2079, 19710, 715.00, 8.09,
2091, 19736, 715.00, 8.10,
2103, 19736, 721.25, 8.09,
2115, 19762, 721.25, 8.10,
2127, 19788, 722.50, 8.10,
2139, 19788, 710.00, 8.09,
2151, 19815, 713.75, 8.10,
2163, 19815, 712.50, 8.10,
2176, 19815, 711.25, 8.10,
2187, 19788, 706.25, 8.09,
2199, 19841, 701.25, 8.10,
2211, 19841, 698.75, 8.11,
2223, 19893, 706.25, 8.10,
2235, 19867, 702.50, 8.10,
2247, 19893, 708.75, 8.10,
2259, 19893, 698.75, 8.10,
2271, 19841, 698.75, 8.10,
2283, 19893, 698.75, 8.10,
2295, 19920, 681.25, 8.10,
2307, 19920, 712.50, 8.11,
2319, 19946, 698.75, 8.10,
2331, 19946, 698.75, 8.10,
2342, 19946, 688.75, 8.10,
2353, 19973, 693.75, 8.10,
2364, 19973, 693.75, 8.10,
2375, 19973, 695.00, 8.11,
2386, 20000, 692.50, 8.10,
2397, 19973, 697.50, 8.10,
2408, 20000, 691.25, 8.12,
2420, 20000, 688.75, 8.10,
2433, 20000, 700.00, 8.10,
2444, 20026, 685.00, 8.11,
2456, 20080, 678.75, 8.11,
2467, 20026, 682.50, 8.09,
2478, 20080, 683.75, 8.10,
2489, 20026, 677.50, 8.10,
2500, 5000000, 681.25, 8.11,
2511, 20053, 675.00, 8.10,
2522, 20053, 681.25, 8.10,
2533, 20080, 672.50, 8.11,
2544, 20000, 682.50, 8.10,
2556, 20026, 675.00, 8.11,
2567, 20053, 681.25, 8.10,
2578, 20053, 683.75, 8.11,
2589, 20053, 672.50, 8.10,
2600, 20134, 656.25, 8.10,
2611, 20080, 675.00, 8.11,
2622, 19973, 653.75, 8.10,
2634, 20080, 677.50, 8.10,
2647, 19973, 676.25, 8.10,
2659, 20053, 685.00, 8.11,
2670, 20107, 658.75, 8.10,
2682, 20107, 671.25, 8.11,
2693, 20107, 655.00, 8.10,
2704, 20107, 676.25, 8.10,
2715, 20134, 662.50, 8.10,
2726, 20107, 683.75, 8.10,
2737, 20134, 670.00, 8.11,
2748, 20053, 683.75, 8.11,
2759, 20134, 683.75, 8.10,
2771, 20134, 676.25, 8.10,
2782, 20134, 667.50, 8.10,
2793, 20134, 662.50, 8.11,
2804, 20134, 663.75, 8.10,
2816, 20134, 660.00, 8.10,
2827, 20134, 667.50, 8.11,
2838, 20134, 662.50, 8.10,
2849, 20134, 658.75, 8.10,
2860, 178571, 642.50, 8.10,
2871, 20134, 651.25, 8.10,
2882, 20134, 666.25, 8.11,
2893, 20161, 657.50, 8.10,
2904, 20297, 677.50, 8.10,
2915, 20161, 665.00, 8.11,
2927, 20161, 671.25, 8.10,
2939, 20161, 665.00, 8.11,
2951, 20215, 648.75, 8.10,
2963, 20053, 665.00, 8.11,
2974, 20188, 648.75, 8.10,
2987, 20161, 670.00, 8.10,
2999, 20161, 655.00, 8.11,
3011, 20188, 671.25, 8.11,
3022, 20188, 650.00, 8.10,
3033, 20188, 661.25, 8.10,
3044, 20215, 671.25, 8.10,
3055, 20188, 656.25, 8.10,
3066, 20188, 670.00, 8.11,
3077, 20188, 650.00, 8.11,
3088, 20134, 671.25, 8.10,
3100, 20242, 662.50, 8.11,
3112, 20215, 653.75, 8.10,
3124, 20215, 667.50, 8.11,
3136, 20161, 651.25, 8.10,
3147, 20161, 657.50, 8.11,
3158, 20215, 636.25, 8.10,
3169, 20242, 650.00, 8.10,
3180, 20215, 668.75, 8.10,
3191, 20215, 645.00, 8.10,
3202, 20215, 653.75, 8.09,
3213, 20242, 657.50, 8.11,
3225, 20242, 647.50, 8.09,
3236, 22590, 671.25, 8.10,
3247, 20242, 648.75, 8.10,
3258, 20242, 647.50, 8.10,
3269, 20215, 660.00, 8.11,
3280, 22590, 655.00, 8.10,
3291, 20134, 642.50, 8.09,
3302, 20242, 658.75, 8.11,
3314, 20242, 642.50, 8.10,
3326, 20297, 671.25, 8.10,
3338, 20242, 655.00, 8.10,
3350, 20242, 663.75, 8.11,
3362, 20242, 656.25, 8.09,
3373, 20242, 652.50, 8.10,
3384, 20270, 640.00, 8.10,
3395, 20242, 650.00, 8.10,
3406, 20270, 648.75, 8.11,
3417, 20270, 666.25, 8.10,
3428, 20270, 656.25, 8.09,
3440, 20242, 670.00, 8.11,
3451, 20270, 661.25, 8.10,
3462, 20270, 653.75, 8.11,
3473, 20270, 666.25, 8.10,
