Found INA260 chip
time (ms), rpm, mA, V
757, 0, 0.00, 5.61,
768, 0, 3150.00, 5.18,
779, 0, 3133.75, 5.12,
790, 0, 3066.25, 5.12,
802, 0, 2947.50, 5.13,
813, 74, 2836.25, 5.13,
824, 74, 2768.75, 5.12,
835, 74, 2652.50, 5.17,
847, 2079, 2613.75, 5.15,
858, 2853, 2551.25, 5.18,
869, 2853, 2531.25, 5.15,
880, 3434, 2367.50, 5.17,
891, 3874, 2270.00, 5.19,
903, 3874, 2297.50, 5.20,
915, 4278, 2212.50, 5.21,
927, 4611, 2206.25, 5.20,
940, 4934, 2035.00, 5.23,
952, 5186, 2051.25, 5.22,
964, 5694, 1968.75, 5.22,
976, 5898, 1843.75, 5.21,
987, 6124, 1852.50, 5.24,
998, 6310, 1743.75, 5.24,
1009, 6487, 1701.25, 5.25,
1020, 6827, 1712.50, 5.26,
1032, 6983, 1647.50, 5.27,
1043, 7132, 1613.75, 5.27,
1055, 7411, 1576.25, 5.27,
1068, 7545, 1502.50, 5.28,
1079, 7792, 1467.50, 5.28,
1091, 7915, 1476.25, 5.29,
1103, 8130, 1408.75, 5.30,
1114, 8324, 1392.50, 5.30,
1125, 8441, 1360.00, 5.30,
1136, 8620, 1291.25, 5.30,
1147, 8746, 1297.50, 5.31,
1158, 8891, 1302.50, 5.32,
1170, 9057, 1287.50, 5.32,
1181, 9151, 1231.25, 5.32,
1193, 9287, 1205.00, 5.33,
1204, 9433, 1213.75, 5.34,
1215, 9572, 1175.00, 5.34,
1226, 9702, 1123.75, 5.33,
1238, 9829, 1107.50, 5.34,
1249, 9887, 1127.50, 5.35,
1260, 10006, 1116.25, 5.35,
1271, 10101, 1092.50, 5.36,
1283, 10197, 1058.75, 5.35,
1295, 10295, 1068.75, 5.36,
1306, 10431, 1048.75, 5.36,
1318, 10518, 998.75, 5.37,
1330, 10623, 993.75, 5.37,
1342, 10706, 972.50, 5.37,
1354, 10838, 955.00, 5.37,
1367, 10917, 947.50, 5.38,
1378, 10964, 936.25, 5.38,
1390, 11061, 930.00, 5.38,
1402, 11177, 913.75, 5.39,
1414, 11219, 881.25, 5.39,
1426, 11312, 878.75, 5.39,
1438, 11380, 875.00, 5.40,
1451, 11485, 867.50, 5.40,
1462, 11529, 842.50, 5.40,
1474, 11591, 841.25, 5.40,
1486, 11682, 830.00, 5.41,
1497, 11727, 818.75, 5.40,
1508, 11783, 805.00, 5.41,
1519, 11829, 782.50, 5.42,
