Found INA260 chip
time (ms), rpm, mA, V
8758, 0, 0.00, 8.22,
8769, 0, 4260.00, 7.07,
8781, 0, 4200.00, 7.04,
8792, 0, 4093.75, 7.08,
8803, 0, 3927.50, 7.12,
8814, 0, 3875.00, 7.11,
8825, 2358, 3846.25, 7.20,
8836, 2358, 3751.25, 7.15,
8847, 3290, 3777.50, 7.17,
8858, 3290, 3550.00, 7.26,
8870, 3965, 3540.00, 7.25,
8881, 4516, 3251.25, 7.29,
8892, 4991, 3340.00, 7.29,
8903, 5409, 3211.25, 7.36,
8914, 5789, 3025.00, 7.39,
8925, 6454, 2992.50, 7.40,
8936, 6753, 2896.25, 7.34,
8948, 7048, 2903.75, 7.45,
8961, 7541, 2742.50, 7.47,
8972, 7780, 2591.25, 7.47,
8984, 8219, 2591.25, 7.46,
8996, 8620, 2472.50, 7.51,
9008, 8807, 2462.50, 7.53,
9020, 9163, 2445.00, 7.55,
9032, 9499, 2306.25, 7.55,
9044, 9816, 2211.25, 7.56,
9056, 10107, 2233.75, 7.60,
9068, 10380, 2185.00, 7.59,
9079, 10653, 2165.00, 7.59,
9090, 10893, 2147.50, 7.61,
9101, 11135, 2041.25, 7.61,
9112, 11441, 1998.75, 7.65,
9123, 11682, 1950.00, 7.63,
9134, 11895, 1947.50, 7.64,
9145, 12077, 1891.25, 7.64,
9156, 12274, 1836.25, 7.66,
9167, 12510, 1805.00, 7.66,
9178, 12711, 1792.50, 7.65,
9189, 12886, 1737.50, 7.68,
9200, 13111, 1683.75, 7.68,
9211, 13239, 1673.75, 7.68,
9222, 13416, 1640.00, 7.71,
9233, 13623, 1636.25, 7.68,
9244, 13824, 1583.75, 7.71,
9255, 13953, 1567.50, 7.71,
9267, 14137, 1520.00, 7.71,
9279, 14326, 1502.50, 7.70,
9290, 14450, 1486.25, 7.72,
9303, 14605, 1472.50, 7.64,
9314, 14792, 1417.50, 7.74,
9326, 14866, 1428.75, 7.67,
9337, 15060, 1370.00, 7.75,
9348, 15290, 1368.75, 7.72,
9359, 15368, 1330.00, 7.76,
9370, 15495, 1308.75, 7.74,
9381, 15625, 1300.00, 7.70,
9392, 15690, 1277.50, 7.75,
9403, 15789, 1267.50, 7.73,
9414, 15889, 1245.00, 7.75,
9425, 16008, 1226.25, 7.77,
9437, 16163, 1220.00, 7.78,
9449, 16268, 1198.75, 7.74,
9460, 16357, 1190.00, 7.74,
9473, 16519, 1177.50, 7.80,
9484, 16611, 1165.00, 7.81,
9496, 16722, 1160.00, 7.82,
9507, 16835, 1135.00, 7.78,
9518, 16930, 1118.75, 7.79,
9529, 17006, 1112.50, 7.80,
9540, 17084, 1102.50, 7.84,
9551, 17182, 1092.50, 7.84,
9562, 17221, 1090.00, 7.84,
9573, 17341, 1075.00, 7.84,
9584, 17381, 1065.00, 7.83,
9595, 17502, 1058.75, 7.84,
9606, 17584, 1051.25, 7.86,
9617, 17688, 1043.75, 7.85,
9628, 17772, 1033.75, 7.84,
9639, 17835, 1023.75, 7.86,
9650, 17878, 1008.75, 7.84,
9661, 17985, 1006.25, 7.86,
9672, 18050, 997.50, 7.87,
9683, 18094, 991.25, 7.88,
9695, 18159, 985.00, 7.88,
9707, 18226, 970.00, 7.89,
9719, 18315, 963.75, 7.90,
9730, 18359, 948.75, 7.90,
9741, 18450, 940.00, 7.90,
9752, 18450, 940.00, 7.90,
9763, 18541, 935.00, 7.91,
9774, 18610, 927.50, 7.91,
9785, 18656, 923.75, 7.91,
9797, 18726, 911.25, 7.92,
9808, 18750, 906.25, 7.91,
9819, 18820, 903.75, 7.90,
9830, 18867, 883.75, 7.89,
9841, 18915, 881.25, 7.92,
9852, 18987, 883.75, 7.91,
9863, 19011, 875.00, 7.92,
9874, 19108, 866.25, 7.92,
9886, 19108, 870.00, 7.93,
9899, 19132, 866.25, 7.92,
9910, 19206, 855.00, 7.93,
9922, 19255, 856.25, 7.93,
9934, 19329, 848.75, 7.93,
9946, 19329, 846.25, 7.93,
9958, 19379, 823.75, 7.92,
9970, 19430, 820.00, 7.93,
9981, 19480, 816.25, 7.90,
9992, 19480, 812.50, 7.93,
10003, 19531, 822.50, 7.94,
10014, 19582, 805.00, 7.94,
10025, 19607, 802.50, 7.94,
10036, 19633, 802.50, 7.93,
10047, 19659, 797.50, 7.93,
10058, 19685, 795.00, 7.94,
10070, 19736, 792.50, 7.91,
10082, 19736, 777.50, 7.94,
10093, 19788, 776.25, 7.90,
10105, 19815, 770.00, 7.93,
10117, 19867, 770.00, 7.94,
10129, 19867, 776.25, 7.94,
10140, 19893, 767.50, 7.95,
10152, 19946, 773.75, 7.94,
10164, 19973, 768.75, 7.95,
10175, 20053, 762.50, 7.94,
10187, 20026, 761.25, 7.94,
10199, 20026, 751.25, 7.95,
10211, 20053, 746.25, 7.92,
10222, 20107, 741.25, 7.94,
10234, 20107, 742.50, 7.94,
10246, 20161, 740.00, 7.95,
10258, 20161, 738.75, 7.95,
10269, 20161, 745.00, 7.95,
10280, 20215, 741.25, 7.96,
10291, 20215, 730.00, 7.95,
10302, 20242, 731.25, 7.95,
10313, 20270, 715.00, 7.93,
10324, 20270, 711.25, 7.95,
10335, 20297, 708.75, 7.95,
10346, 20325, 715.00, 7.94,
10357, 20215, 701.25, 7.91,
10369, 20352, 711.25, 7.96,
10380, 20352, 715.00, 7.95,
10391, 20380, 715.00, 7.95,
10403, 20408, 716.25, 7.95,
10415, 20408, 707.50, 7.96,
10427, 20435, 698.75, 7.92,
10438, 20435, 690.00, 7.93,
10450, 20519, 698.75, 7.95,
10462, 20491, 696.25, 7.93,
10474, 20463, 682.50, 7.93,
10485, 20519, 695.00, 7.96,
10496, 20519, 688.75, 7.96,
10507, 20519, 701.25, 7.96,
10518, 20491, 695.00, 7.96,
10529, 20547, 677.50, 7.95,
10540, 20547, 681.25, 7.96,
10551, 20576, 683.75, 7.96,
10562, 20604, 675.00, 7.94,
10573, 20576, 673.75, 7.92,
10585, 20547, 678.75, 7.94,
10596, 20604, 678.75, 7.97,
10608, 20689, 691.25, 7.96,
10619, 20632, 685.00, 7.97,
10630, 20689, 691.25, 7.96,
10641, 20689, 670.00, 7.97,
10652, 20689, 673.75, 7.97,
10663, 20718, 671.25, 7.96,
10674, 20689, 658.75, 7.95,
10685, 20604, 668.75, 7.94,
10696, 20718, 661.25, 7.97,
10707, 20746, 670.00, 7.97,
10719, 20746, 675.00, 7.97,
10731, 20746, 667.50, 7.97,
10742, 20746, 673.75, 7.96,
10753, 20775, 665.00, 7.96,
10764, 20775, 656.25, 7.97,
10775, 20775, 657.50, 7.97,
10786, 20833, 656.25, 7.97,
10797, 20804, 647.50, 7.95,
10808, 20804, 658.75, 7.95,
10819, 20804, 665.00, 7.96,
10830, 20775, 660.00, 7.97,
10842, 20833, 656.25, 7.98,
10854, 20833, 660.00, 7.97,
10865, 20862, 665.00, 7.96,
10877, 20862, 657.50, 7.97,
10889, 20862, 643.75, 7.97,
10901, 20891, 638.75, 7.96,
10912, 20891, 636.25, 7.94,
10923, 20920, 657.50, 7.94,
10934, 20891, 643.75, 7.97,
10945, 20920, 652.50, 7.97,
