Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 8.23,
16, 0, 0.00, 8.23,
27, 0, 1.25, 8.23,
38, 0, 0.00, 8.23,
49, 0, 0.00, 8.23,
60, 0, 0.00, 8.23,
71, 0, 0.00, 8.23,
82, 0, 0.00, 8.23,
93, 0, 0.00, 8.23,
105, 0, 0.00, 8.23,
116, 0, 0.00, 8.23,
128, 0, 0.00, 8.23,
140, 0, 0.00, 8.23,
151, 0, 0.00, 8.23,
162, 0, 0.00, 8.23,
174, 0, 0.00, 8.23,
185, 0, 0.00, 8.23,
196, 0, 0.00, 8.23,
208, 0, 0.00, 8.23,
219, 0, 0.00, 8.23,
230, 0, 0.00, 8.23,
242, 0, 0.00, 8.23,
253, 0, 0.00, 8.23,
264, 0, 0.00, 8.23,
276, 0, 0.00, 8.23,
287, 0, 0.00, 8.23,
299, 0, 1.25, 8.23,
311, 0, 0.00, 8.23,
322, 0, 0.00, 8.23,
333, 0, 0.00, 8.23,
345, 0, 0.00, 8.23,
356, 0, 0.00, 8.23,
367, 0, 0.00, 8.23,
378, 0, 0.00, 8.23,
389, 0, 0.00, 8.23,
400, 0, 0.00, 8.23,
411, 0, 0.00, 8.23,
422, 0, 4993.75, 8.10,
433, 0, 5287.50, 8.09,
445, 0, 4862.50, 8.09,
456, 0, 4832.50, 8.09,
467, 129, 4675.00, 8.10,
478, 129, 4725.00, 8.10,
489, 2618, 4528.75, 8.11,
500, 2618, 4215.00, 8.10,
512, 3448, 4211.25, 8.11,
524, 4067, 4133.75, 8.11,
536, 4585, 4115.00, 8.12,
548, 5033, 3731.25, 8.11,
559, 5430, 3822.50, 8.11,
570, 5791, 3623.75, 8.12,
581, 6117, 3370.00, 8.13,
592, 6421, 3557.50, 8.13,
603, 6702, 3287.50, 8.13,
615, 7211, 3312.50, 8.14,
627, 7458, 3091.25, 8.14,
640, 7919, 3067.50, 8.14,
652, 8361, 3056.25, 8.14,
664, 8813, 2640.00, 8.14,
676, 9019, 2640.00, 8.15,
687, 9416, 2618.75, 8.15,
698, 9771, 2408.75, 8.15,
709, 10080, 2523.75, 8.15,
720, 10445, 2348.75, 8.15,
732, 10744, 2362.50, 8.15,
743, 11021, 2286.25, 8.15,
755, 11269, 2241.25, 8.16,
768, 11547, 2183.75, 8.16,
779, 11914, 2112.50, 8.16,
791, 12126, 2056.25, 8.16,
803, 12448, 2025.00, 8.17,
814, 12647, 1961.25, 8.17,
825, 12842, 1923.75, 8.17,
836, 13123, 1867.50, 8.17,
847, 13297, 1818.75, 8.17,
858, 13537, 1753.75, 8.17,
869, 13711, 1792.50, 8.17,
881, 13914, 1740.00, 8.18,
892, 14137, 1695.00, 8.17,
903, 14285, 1625.00, 8.17,
914, 14478, 1633.75, 8.17,
925, 14677, 1617.50, 8.18,
936, 14792, 1581.25, 8.18,
947, 14985, 1525.00, 8.18,
959, 15151, 1523.75, 8.18,
970, 15306, 1463.75, 8.18,
983, 15463, 1477.50, 8.18,
994, 15592, 1426.25, 8.18,
1006, 15756, 1415.00, 8.18,
1017, 15889, 1398.75, 8.18,
1028, 16042, 1358.75, 8.18,
1039, 16077, 1347.50, 8.18,
1050, 16268, 1332.50, 8.18,
1061, 16375, 1308.75, 8.18,
1072, 16483, 1302.50, 8.18,
1083, 16611, 1282.50, 8.19,
1094, 16722, 1266.25, 8.19,
1105, 16816, 1237.50, 8.19,
1117, 16872, 1212.50, 8.19,
1129, 17064, 1208.75, 8.19,
1140, 17162, 1180.00, 8.19,
1153, 17281, 1166.25, 8.19,
1164, 17381, 1156.25, 8.19,
1176, 17482, 1132.50, 8.19,
1187, 17564, 1145.00, 8.19,
1198, 17647, 1130.00, 8.19,
1209, 17709, 1093.75, 8.19,
1220, 17835, 1083.75, 8.19,
1231, 17878, 1076.25, 8.19,
1242, 17921, 1070.00, 8.19,
1253, 18028, 1053.75, 8.19,
1264, 18159, 1042.50, 8.19,
1275, 18203, 1027.50, 8.19,
1286, 18248, 1017.50, 8.19,
1297, 18337, 1012.50, 8.19,
1308, 18337, 1016.25, 8.19,
1319, 18472, 1006.25, 8.19,
1330, 18518, 998.75, 8.19,
1341, 18587, 991.25, 8.19,
1352, 18656, 978.75, 8.19,
1364, 18750, 950.00, 8.19,
1375, 18773, 950.00, 8.19,
1386, 18844, 947.50, 8.19,
1397, 18867, 941.25, 8.19,
1408, 18915, 942.50, 8.19,
1419, 18939, 923.75, 8.19,
1430, 19011, 927.50, 8.20,
1442, 19035, 917.50, 8.19,
1454, 19132, 896.25, 8.19,
1466, 19181, 908.75, 8.19,
1478, 19230, 905.00, 8.19,
1489, 19280, 900.00, 8.19,
1500, 19305, 878.75, 8.19,
1511, 19354, 886.25, 8.20,
