Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
488, 0, 0.00, 6.66,
499, 0, 3180.00, 5.10,
512, 576923, 3055.00, 5.12,
523, 576923, 2973.75, 5.20,
535, 576923, 2913.75, 5.17,
546, 576923, 2781.25, 5.21,
557, 1235, 2745.00, 5.28,
568, 1235, 2732.50, 5.31,
579, 2465, 2643.75, 5.36,
590, 2465, 2706.25, 5.43,
601, 3146, 2493.75, 5.35,
612, 3146, 2508.75, 5.41,
623, 3667, 2408.75, 5.49,
634, 4107, 2286.25, 5.42,
645, 4488, 2182.50, 5.43,
656, 4829, 2241.25, 5.52,
668, 5138, 2280.00, 5.50,
680, 5424, 2196.25, 5.59,
691, 5677, 2092.50, 5.60,
702, 5938, 2052.50, 5.59,
713, 6132, 1996.25, 5.64,
724, 6369, 1941.25, 5.65,
736, 6762, 1910.00, 5.69,
748, 6947, 1911.25, 5.69,
760, 7281, 1885.00, 5.71,
771, 7451, 1808.75, 5.73,
782, 7606, 1738.75, 5.74,
793, 7898, 1708.75, 5.75,
804, 8064, 1658.75, 5.80,
816, 8305, 1702.50, 5.79,
828, 8547, 1556.25, 5.81,
840, 8680, 1597.50, 5.85,
852, 8891, 1556.25, 5.84,
863, 9101, 1481.25, 5.84,
874, 9305, 1430.00, 5.86,
885, 9410, 1423.75, 5.87,
896, 9590, 1471.25, 5.91,
908, 9765, 1400.00, 5.90,
920, 9933, 1356.25, 5.90,
932, 10101, 1393.75, 5.93,
943, 10266, 1338.75, 5.93,
954, 10409, 1316.25, 5.92,
965, 10526, 1288.75, 5.95,
976, 10691, 1270.00, 5.97,
987, 10830, 1271.25, 5.96,
999, 10956, 1231.25, 6.00,
1010, 11086, 1217.50, 6.00,
1022, 11210, 1213.75, 6.00,
1034, 11286, 1168.75, 6.01,
1046, 11494, 1168.75, 6.01,
1058, 11591, 1145.00, 6.03,
1070, 11682, 1108.75, 6.02,
1082, 11811, 1127.50, 6.04,
1093, 11952, 1101.25, 6.04,
1105, 12009, 1083.75, 6.05,
1117, 12155, 1066.25, 6.07,
1129, 12244, 1051.25, 6.08,
1140, 12366, 1038.75, 6.08,
1153, 12479, 1016.25, 6.08,
1164, 12562, 1002.50, 6.09,
1176, 12668, 997.50, 6.10,
1188, 12776, 975.00, 6.11,
1200, 12853, 961.25, 6.11,
1212, 12964, 955.00, 6.12,
1224, 13032, 946.25, 6.12,
1235, 13123, 936.25, 6.12,
1246, 13192, 910.00, 6.14,
1257, 13286, 901.25, 6.14,
1268, 13345, 896.25, 6.14,
1280, 13428, 885.00, 6.14,
1291, 13489, 880.00, 6.15,
1302, 13586, 857.50, 6.15,
1313, 13623, 850.00, 6.16,
1324, 13673, 841.25, 6.17,
1335, 13761, 835.00, 6.17,
1346, 13799, 822.50, 6.18,
1357, 13876, 820.00, 6.18,
1368, 13966, 815.00, 6.18,
1380, 14018, 802.50, 6.19,
1392, 14097, 793.75, 6.19,
1403, 14164, 796.25, 6.20,
1414, 14218, 788.75, 6.20,
1425, 14258, 776.25, 6.19,
1436, 14312, 768.75, 6.20,
1447, 14381, 763.75, 6.21,
1458, 14436, 761.25, 6.21,
1469, 14450, 758.75, 6.21,
1481, 14548, 747.50, 6.22,
1494, 14605, 737.50, 6.23,
1505, 14691, 731.25, 6.23,
1517, 14720, 731.25, 6.23,
1529, 14763, 717.50, 6.23,
1540, 14880, 727.50, 6.24,
1551, 14836, 721.25, 6.23,
1562, 14880, 705.00, 6.25,
1573, 14940, 708.75, 6.25,
1584, 14970, 688.75, 6.25,
1595, 15030, 696.25, 6.25,
1607, 15060, 688.75, 6.25,
1618, 15090, 685.00, 6.25,
1629, 15151, 681.25, 6.26,
1640, 15182, 672.50, 6.27,
1651, 15212, 672.50, 6.26,
1662, 15228, 657.50, 6.27,
1673, 15274, 660.00, 6.26,
1684, 15321, 658.75, 6.27,
1696, 15368, 650.00, 6.25,
1707, 15400, 653.75, 6.27,
1718, 15447, 642.50, 6.28,
1729, 15479, 636.25, 6.27,
1740, 15495, 637.50, 6.28,
1751, 15495, 628.75, 6.27,
1762, 15576, 627.50, 6.28,
1774, 15608, 630.00, 6.28,
1786, 15657, 621.25, 6.29,
1798, 15673, 615.00, 6.29,
1810, 15723, 616.25, 6.29,
1822, 15756, 615.00, 6.29,
1835, 15789, 615.00, 6.29,
1846, 15856, 602.50, 6.29,
1858, 15839, 601.25, 6.30,
1870, 15873, 602.50, 6.30,
1881, 15889, 595.00, 6.29,
1892, 15856, 591.25, 6.30,
1903, 15940, 587.50, 6.30,
1914, 15974, 585.00, 6.30,
1925, 16025, 582.50, 6.30,
1936, 16025, 577.50, 6.30,
1948, 15991, 578.75, 6.30,
1960, 16077, 575.00, 6.31,
1972, 16094, 570.00, 6.31,
1984, 16111, 566.25, 6.30,
1996, 16129, 571.25, 6.31,
2007, 16181, 565.00, 6.31,
2018, 16181, 563.75, 6.32,
2029, 16198, 558.75, 6.31,
2040, 16216, 557.50, 6.31,
2051, 16163, 560.00, 6.32,
2062, 16251, 553.75, 6.31,
2074, 16251, 557.50, 6.32,
2086, 16286, 555.00, 6.32,
2098, 16286, 551.25, 6.32,
2110, 16339, 551.25, 6.31,
2122, 16357, 548.75, 6.32,
2134, 16375, 552.50, 6.33,
2146, 16393, 545.00, 6.32,
2158, 16375, 545.00, 6.32,
2170, 16429, 547.50, 6.33,
2182, 16429, 546.25, 6.33,
2194, 16393, 542.50, 6.32,
2206, 16483, 540.00, 6.32,
2217, 16483, 541.25, 6.33,
2228, 16501, 538.75, 6.33,
2239, 16538, 540.00, 6.34,
2250, 16519, 532.50, 6.34,
2262, 16519, 528.75, 6.34,
2273, 16519, 531.25, 6.34,
2284, 16538, 522.50, 6.34,
2295, 16592, 526.25, 6.34,
2306, 16574, 523.75, 6.34,
2317, 16611, 522.50, 6.34,
2328, 16611, 523.75, 6.33,
2339, 16648, 525.00, 6.33,
2350, 16648, 522.50, 6.34,
2361, 16648, 522.50, 6.34,
2373, 16648, 523.75, 6.32,
2385, 16629, 521.25, 6.34,
2397, 16629, 530.00, 6.33,
2409, 16685, 522.50, 6.34,
2421, 16666, 520.00, 6.34,
2432, 16685, 512.50, 6.34,
2443, 16685, 515.00, 6.33,
2454, 16685, 515.00, 6.33,
2465, 16703, 507.50, 6.33,
2476, 16722, 506.25, 6.34,
2487, 16722, 503.75, 6.34,
2499, 16741, 503.75, 6.34,
2511, 16741, 506.25, 6.34,
2523, 16759, 506.25, 6.34,
2535, 16778, 506.25, 6.34,
2547, 16722, 515.00, 6.34,
2560, 16797, 508.75, 6.34,
