Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
420, 0, 0.00, 8.24,
431, 0, 4877.50, 8.12,
442, 0, 4875.00, 8.10,
453, 0, 4812.50, 8.10,
464, 0, 4680.00, 8.10,
475, 129, 4637.50, 8.10,
487, 129, 4488.75, 8.11,
499, 2571, 4452.50, 8.10,
512, 3503, 4150.00, 8.11,
524, 4207, 4150.00, 8.13,
536, 4778, 3833.75, 8.11,
548, 5274, 3773.75, 8.12,
559, 5712, 3652.50, 8.13,
570, 6107, 3460.00, 8.13,
581, 6471, 3513.75, 8.14,
592, 7115, 3383.75, 8.14,
604, 7411, 3273.75, 8.14,
616, 7923, 3110.00, 8.14,
628, 8187, 3030.00, 8.14,
641, 8645, 2896.25, 8.15,
653, 9068, 2885.00, 8.15,
665, 9428, 2778.75, 8.15,
677, 9823, 2557.50, 8.15,
688, 10135, 2516.25, 8.15,
699, 10474, 2501.25, 8.15,
710, 10768, 2461.25, 8.15,
721, 11045, 2402.50, 8.16,
732, 11329, 2312.50, 8.16,
744, 11574, 2281.25, 8.16,
755, 11811, 2198.75, 8.16,
768, 12175, 2137.50, 8.16,
780, 12386, 2133.75, 8.16,
791, 12690, 2018.75, 8.17,
803, 12897, 2011.25, 8.17,
814, 13157, 1935.00, 8.17,
825, 13345, 1841.25, 8.17,
836, 13574, 1828.75, 8.17,
847, 13774, 1833.75, 8.17,
858, 13992, 1765.00, 8.17,
869, 14124, 1723.75, 8.17,
881, 14367, 1720.00, 8.17,
893, 14563, 1673.75, 8.18,
904, 14778, 1657.50, 8.18,
915, 14970, 1588.75, 8.18,
926, 15075, 1583.75, 8.18,
937, 15228, 1587.50, 8.18,
948, 15432, 1535.00, 8.18,
959, 15576, 1492.50, 8.18,
971, 15739, 1475.00, 8.18,
983, 15889, 1455.00, 8.18,
995, 16025, 1416.25, 8.18,
1007, 16181, 1392.50, 8.19,
1018, 16304, 1375.00, 8.19,
1029, 16465, 1356.25, 8.19,
1040, 16648, 1312.50, 8.19,
1051, 16722, 1306.25, 8.19,
1062, 16835, 1295.00, 8.19,
1073, 16949, 1270.00, 8.19,
1084, 17064, 1258.75, 8.19,
1095, 17123, 1247.50, 8.19,
1106, 17221, 1253.75, 8.19,
1118, 17381, 1223.75, 8.19,
1130, 17584, 1178.75, 8.19,
1141, 17584, 1165.00, 8.19,
1152, 17709, 1148.75, 8.19,
1163, 17835, 1141.25, 8.19,
1174, 17921, 1126.25, 8.19,
1185, 18028, 1110.00, 8.19,
1196, 18094, 1100.00, 8.19,
1207, 18226, 1092.50, 8.19,
1218, 18248, 1077.50, 8.19,
