Found INA260 chip
time (ms), rpm, mA, V
649, 0, 0.00, 5.62,
660, 0, 1616.25, 5.62,
671, 0, 3133.75, 5.14,
684, 0, 3043.75, 5.17,
695, 0, 2951.25, 5.15,
706, 85, 2856.25, 5.14,
717, 85, 2782.50, 5.14,
728, 85, 2718.75, 5.15,
739, 2125, 2560.00, 5.17,
751, 2125, 2563.75, 5.16,
762, 2869, 2568.75, 5.16,
773, 3405, 2386.25, 5.17,
784, 3405, 2368.75, 5.18,
795, 3851, 2237.50, 5.21,
806, 4212, 2127.50, 5.21,
818, 4557, 2032.50, 5.21,
830, 4848, 2063.75, 5.23,
842, 5117, 1942.50, 5.22,
855, 5366, 1956.25, 5.25,
867, 5590, 1855.00, 5.25,
879, 5811, 1830.00, 5.25,
891, 6190, 1732.50, 5.26,
902, 6366, 1725.00, 5.25,
913, 6530, 1678.75, 5.27,
924, 6690, 1650.00, 5.28,
935, 6983, 1593.75, 5.27,
947, 7122, 1568.75, 5.29,
959, 7253, 1507.50, 5.29,
971, 7503, 1502.50, 5.30,
982, 7621, 1418.75, 5.30,
993, 7845, 1457.50, 5.30,
1004, 7953, 1407.50, 5.30,
1015, 8152, 1373.75, 5.32,
1027, 8255, 1375.00, 5.32,
1038, 8412, 1288.75, 5.32,
1050, 8610, 1307.50, 5.32,
1062, 8700, 1212.50, 5.32,
1073, 8860, 1195.00, 5.34,
1084, 8992, 1202.50, 5.34,
1095, 9079, 1191.25, 5.34,
1106, 9230, 1187.50, 5.35,
1117, 9363, 1161.25, 5.35,
1129, 9493, 1142.50, 5.35,
1140, 9554, 1091.25, 5.36,
1153, 9677, 1077.50, 5.36,
1165, 9791, 1093.75, 5.36,
1176, 9907, 1075.00, 5.36,
1188, 9960, 1048.75, 5.37,
1199, 10114, 1028.75, 5.37,
1210, 10211, 1022.50, 5.38,
1221, 10309, 993.75, 5.38,
1232, 10402, 1012.50, 5.38,
1243, 10482, 978.75, 5.39,
1254, 10563, 945.00, 5.39,
1265, 10660, 953.75, 5.39,
1277, 10768, 951.25, 5.39,
1288, 10822, 916.25, 5.39,
1299, 10877, 916.25, 5.40,
1310, 10964, 896.25, 5.40,
1321, 11037, 880.00, 5.40,
1332, 11111, 873.75, 5.41,
1343, 11177, 860.00, 5.41,
1355, 11235, 866.25, 5.41,
1366, 11295, 841.25, 5.41,
1377, 11355, 836.25, 5.41,
1388, 11415, 832.50, 5.42,
1399, 11511, 811.25, 5.42,
1410, 11547, 802.50, 5.42,
1421, 11618, 795.00, 5.42,
1433, 11682, 786.25, 5.42,
1445, 11709, 770.00, 5.43,
