time (ms), rpm, mA, V
366, 0, 0.00, 5.56,
377, 0, 2676.25, 5.15,
388, 0, 2790.00, 5.14,
399, 0, 2557.50, 5.15,
410, 0, 2507.50, 5.14,
421, 0, 2422.50, 5.14,
433, 141, 2385.00, 5.14,
445, 141, 2321.25, 5.16,
457, 2109, 2285.00, 5.14,
470, 2109, 2230.00, 5.17,
482, 2796, 2101.25, 5.19,
494, 3288, 2038.75, 5.17,
505, 3288, 1987.50, 5.18,
516, 3712, 1993.75, 5.19,
527, 4063, 1906.25, 5.19,
538, 4387, 1868.75, 5.19,
549, 4672, 1830.00, 5.22,
560, 4672, 1766.25, 5.21,
572, 4947, 1760.00, 5.21,
583, 5161, 1710.00, 5.23,
595, 5603, 1617.50, 5.24,
606, 5787, 1610.00, 5.24,
617, 5978, 1587.50, 5.23,
628, 6132, 1591.25, 5.25,
640, 6334, 1528.75, 5.25,
651, 6454, 1535.00, 5.26,
662, 6759, 1470.00, 5.25,
673, 6896, 1440.00, 5.27,
684, 7048, 1407.50, 5.27,
695, 7159, 1355.00, 5.28,
706, 7403, 1326.25, 5.28,
717, 7533, 1332.50, 5.28,
728, 7720, 1277.50, 5.28,
740, 7836, 1260.00, 5.29,
751, 8034, 1271.25, 5.29,
763, 8125, 1210.00, 5.30,
774, 8296, 1176.25, 5.30,
785, 8398, 1173.75, 5.31,
796, 8566, 1163.75, 5.31,
807, 8715, 1107.50, 5.31,
818, 8797, 1117.50, 5.32,
829, 8923, 1122.50, 5.32,
841, 9085, 1098.75, 5.32,
854, 9168, 1065.00, 5.32,
866, 9276, 1056.25, 5.33,
877, 9416, 1086.25, 5.33,
889, 9541, 1046.25, 5.33,
900, 9646, 1010.00, 5.33,
911, 9759, 992.50, 5.34,
922, 9881, 1007.50, 5.34,
933, 9940, 960.00, 5.34,
944, 10040, 960.00, 5.34,
956, 10135, 940.00, 5.34,
968, 10231, 941.25, 5.35,
979, 10330, 920.00, 5.36,
990, 10416, 905.00, 5.36,
1001, 10504, 906.25, 5.36,
1012, 10555, 893.75, 5.36,
1024, 10668, 873.75, 5.36,
1035, 10744, 870.00, 5.36,
1046, 10822, 838.75, 5.36,
1057, 10901, 837.50, 5.37,
1069, 10964, 827.50, 5.37,
1080, 11037, 823.75, 5.37,
1092, 11102, 807.50, 5.38,
1103, 11169, 795.00, 5.38,
1114, 11261, 787.50, 5.38,
1125, 11329, 790.00, 5.38,
1136, 11372, 767.50, 5.38,
1147, 11459, 765.00, 5.38,
1158, 11503, 751.25, 5.38,
1169, 11556, 762.50, 5.38,
1180, 11583, 748.75, 5.39,
1191, 11664, 732.50, 5.39,
1202, 11718, 732.50, 5.39,
1213, 11783, 721.25, 5.39,
1224, 11801, 727.50, 5.39,
1235, 11885, 717.50, 5.40,
1246, 11923, 703.75, 5.40,
1257, 11971, 705.00, 5.41,
1268, 12038, 687.50, 5.40,
1280, 12067, 687.50, 5.40,
1292, 12087, 690.00, 5.41,
1303, 12175, 670.00, 5.41,
1315, 12214, 663.75, 5.41,
1327, 12205, 673.75, 5.41,
1339, 12295, 662.50, 5.41,
1350, 12345, 636.25, 5.42,
1362, 12396, 652.50, 5.41,
1374, 12396, 633.75, 5.41,
1386, 12479, 648.75, 5.41,
1397, 12500, 623.75, 5.41,
1408, 12520, 635.00, 5.42,
1419, 12552, 616.25, 5.42,
1430, 12583, 622.50, 5.42,
1441, 12647, 605.00, 5.43,
1452, 12679, 612.50, 5.42,
1463, 12722, 611.25, 5.42,
1474, 12722, 596.25, 5.43,
1485, 12787, 603.75, 5.42,
1497, 12809, 581.25, 5.42,
1509, 12842, 588.75, 5.42,
1520, 12864, 583.75, 5.42,
1532, 12897, 567.50, 5.43,
1544, 12897, 577.50, 5.43,
1556, 12964, 568.75, 5.43,
1567, 12975, 556.25, 5.44,
1579, 12998, 560.00, 5.43,
1591, 13020, 547.50, 5.44,
1603, 13043, 546.25, 5.43,
1614, 13054, 550.00, 5.43,
1625, 13077, 565.00, 5.43,
1636, 13100, 541.25, 5.44,
1647, 13146, 537.50, 5.43,
1658, 13157, 546.25, 5.43,
1669, 13181, 540.00, 5.44,
1680, 13192, 532.50, 5.43,
1691, 13215, 528.75, 5.44,
1702, 13215, 537.50, 5.44,
1714, 13227, 532.50, 5.44,
1726, 13262, 515.00, 5.43,
1737, 13297, 527.50, 5.45,
1750, 13274, 523.75, 5.44,
1761, 13321, 532.50, 5.44,
1773, 13357, 531.25, 5.44,
1784, 13392, 511.25, 5.44,
1795, 13380, 513.75, 5.45,
1806, 13404, 512.50, 5.44,
1817, 13428, 512.50, 5.44,
1828, 13452, 508.75, 5.44,
1839, 13464, 511.25, 5.44,
1850, 13489, 505.00, 5.44,
1861, 13501, 496.25, 5.44,
