Nicore 650mAh fused
Found INA260 chip
time (ms), rpm, mA, V
399, 0, 0.00, 8.27,
410, 0, 3350.00, 7.38,
421, 0, 3395.00, 7.36,
432, 0, 3316.25, 7.36,
443, 0, 3242.50, 7.42,
454, 0, 3196.25, 7.39,
465, 0, 3108.75, 7.44,
477, 1749, 3073.75, 7.45,
488, 1749, 2942.50, 7.43,
500, 2770, 2922.50, 7.47,
513, 3448, 2881.25, 7.47,
525, 3992, 2847.50, 7.50,
537, 4455, 2800.00, 7.54,
549, 4862, 2775.00, 7.56,
560, 5226, 2623.75, 7.56,
571, 5561, 2643.75, 7.56,
582, 5866, 2493.75, 7.56,
593, 6150, 2460.00, 7.61,
605, 6418, 2421.25, 7.60,
617, 6669, 2361.25, 7.61,
629, 7129, 2297.50, 7.61,
640, 7349, 2250.00, 7.62,
651, 7751, 2261.25, 7.65,
662, 7936, 2123.75, 7.67,
673, 8291, 2148.75, 7.65,
685, 8465, 2020.00, 7.68,
697, 8777, 2038.75, 7.70,
709, 9079, 1960.00, 7.69,
721, 9363, 1911.25, 7.71,
732, 9609, 1945.00, 7.74,
743, 9765, 1893.75, 7.72,
754, 10013, 1826.25, 7.74,
765, 10252, 1872.50, 7.74,
777, 10445, 1787.50, 7.76,
788, 10676, 1758.75, 7.75,
800, 10877, 1752.50, 7.77,
811, 11086, 1707.50, 7.78,
822, 11337, 1700.00, 7.80,
833, 11556, 1655.00, 7.79,
844, 11737, 1631.25, 7.80,
855, 11904, 1587.50, 7.81,
866, 12019, 1565.00, 7.80,
878, 12305, 1548.75, 7.81,
890, 12448, 1541.25, 7.82,
901, 12605, 1503.75, 7.83,
912, 12798, 1473.75, 7.83,
923, 12931, 1450.00, 7.83,
934, 13089, 1436.25, 7.85,
945, 13250, 1406.25, 7.85,
956, 13380, 1381.25, 7.86,
968, 13562, 1368.75, 7.86,
979, 13736, 1353.75, 7.87,
990, 13863, 1341.25, 7.87,
1001, 14005, 1320.00, 7.87,
1012, 14084, 1286.25, 7.88,
1024, 14218, 1282.50, 7.88,
1035, 14409, 1266.25, 7.89,
1046, 14506, 1262.50, 7.89,
1057, 14648, 1253.75, 7.88,
1069, 14778, 1235.00, 7.89,
1080, 14880, 1225.00, 7.90,
1092, 15045, 1200.00, 7.90,
1103, 15166, 1193.75, 7.90,
1114, 15259, 1178.75, 7.91,
1125, 15321, 1157.50, 7.91,
1136, 15479, 1156.25, 7.91,
1147, 15592, 1145.00, 7.92,
1158, 15706, 1136.25, 7.92,
1169, 15822, 1112.50, 7.93,
1180, 15923, 1102.50, 7.93,
1191, 15974, 1102.50, 7.93,
1202, 16111, 1086.25, 7.94,
1213, 16198, 1068.75, 7.94,
1224, 16304, 1057.50, 7.95,
1235, 16375, 1050.00, 7.95,
1246, 16447, 1040.00, 7.95,
1257, 16538, 1036.25, 7.95,
1268, 16611, 1025.00, 7.96,
1280, 16722, 1006.25, 7.96,
1291, 16797, 1001.25, 7.96,
1303, 16835, 995.00, 7.96,
1314, 16910, 980.00, 7.96,
1325, 17006, 978.75, 7.97,
1336, 17103, 961.25, 7.97,
1347, 17201, 963.75, 7.98,
1358, 17221, 946.25, 7.97,
1369, 17281, 932.50, 7.98,
1380, 17361, 930.00, 7.97,
1392, 17441, 922.50, 7.98,
1404, 17482, 915.00, 7.99,
1416, 17564, 912.50, 7.99,
1428, 17626, 902.50, 7.99,
1440, 17709, 898.75, 7.99,
1451, 17751, 888.75, 7.99,
1462, 17793, 880.00, 7.99,
1473, 17878, 886.25, 7.99,
1484, 17878, 881.25, 7.99,
1495, 17985, 866.25, 7.99,
1506, 18028, 870.00, 7.99,
1518, 18094, 866.25, 7.99,
1529, 18137, 856.25, 8.00,
1540, 18181, 853.75, 8.01,
1551, 18248, 841.25, 8.00,
1562, 18315, 838.75, 8.00,
1573, 18337, 831.25, 8.00,
1584, 18337, 827.50, 8.01,
1595, 18382, 823.75, 8.00,
1607, 18495, 822.50, 8.01,
1619, 18541, 817.50, 8.01,
1630, 18564, 803.75, 8.02,
