Nitecore 650mAh fuse bipassed
time (ms), rpm, mA, V
5, 0, 0.00, 8.32,
16, 0, 0.00, 8.32,
27, 0, 0.00, 8.32,
38, 0, 0.00, 8.32,
49, 0, 0.00, 8.32,
61, 0, 0.00, 8.32,
72, 0, 0.00, 8.32,
83, 0, 0.00, 8.32,
94, 0, 0.00, 8.32,
105, 0, 0.00, 8.32,
116, 0, 0.00, 8.32,
128, 0, 0.00, 8.32,
139, 0, 0.00, 8.32,
150, 0, 0.00, 8.32,
161, 0, 0.00, 8.32,
172, 0, 0.00, 8.32,
183, 0, 0.00, 8.32,
194, 0, 0.00, 8.32,
205, 0, 0.00, 8.32,
217, 0, 0.00, 8.32,
228, 0, 0.00, 8.32,
239, 0, 0.00, 8.32,
250, 0, 0.00, 8.32,
261, 0, 0.00, 8.32,
272, 0, 0.00, 8.32,
284, 0, 0.00, 8.32,
295, 0, 0.00, 8.32,
306, 0, 0.00, 8.32,
318, 0, 0.00, 8.32,
329, 0, 0.00, 8.32,
340, 0, 0.00, 8.32,
351, 0, 0.00, 8.32,
362, 0, 0.00, 8.32,
373, 0, 0.00, 8.32,
384, 0, 0.00, 8.32,
395, 0, 0.00, 8.32,
406, 0, 342.50, 7.48,
417, 0, 3860.00, 7.23,
428, 141, 3770.00, 7.19,
440, 141, 3713.75, 7.21,
452, 141, 3636.25, 7.31,
464, 1674, 3498.75, 7.27,
475, 1674, 3416.25, 7.35,
486, 2840, 3360.00, 7.28,
497, 2840, 3251.25, 7.36,
508, 3573, 3283.75, 7.35,
520, 4152, 2945.00, 7.38,
532, 4641, 2907.50, 7.46,
544, 5070, 3051.25, 7.44,
555, 5454, 3015.00, 7.42,
566, 5818, 2851.25, 7.49,
577, 6112, 2795.00, 7.51,
588, 6702, 2617.50, 7.53,
600, 6967, 2547.50, 7.55,
612, 7228, 2555.00, 7.57,
624, 7676, 2545.00, 7.58,
636, 8081, 2492.50, 7.54,
647, 8291, 2337.50, 7.62,
658, 8660, 2336.25, 7.61,
669, 8839, 2196.25, 7.62,
680, 9168, 2100.00, 7.63,
692, 9481, 2080.00, 7.64,
704, 9765, 2148.75, 7.69,
716, 10026, 2062.50, 7.65,
727, 10295, 1985.00, 7.70,
738, 10548, 1988.75, 7.69,
749, 10783, 1942.50, 7.70,
760, 11013, 1925.00, 7.71,
771, 11227, 1881.25, 7.71,
783, 11424, 1821.25, 7.74,
794, 11627, 1803.75, 7.76,
806, 11904, 1750.00, 7.76,
817, 12096, 1711.25, 7.76,
828, 12264, 1695.00, 7.78,
839, 12427, 1638.75, 7.78,
850, 12668, 1657.50, 7.78,
861, 12820, 1615.00, 7.78,
872, 12964, 1577.50, 7.81,
884, 13204, 1568.75, 7.82,
897, 13380, 1521.25, 7.81,
908, 13489, 1503.75, 7.84,
920, 13711, 1483.75, 7.84,
932, 13876, 1492.50, 7.83,
944, 14058, 1453.75, 7.86,
956, 14150, 1417.50, 7.85,
968, 14340, 1392.50, 7.85,
980, 14450, 1391.25, 7.86,
992, 14648, 1357.50, 7.86,
1004, 14749, 1330.00, 7.88,
1016, 14940, 1332.50, 7.88,
1028, 15060, 1305.00, 7.88,
1040, 15197, 1301.25, 7.89,
1051, 15337, 1243.75, 7.90,
1063, 15479, 1238.75, 7.90,
1075, 15576, 1231.25, 7.91,
1087, 15657, 1175.00, 7.92,
1098, 15789, 1183.75, 7.91,
1111, 15957, 1173.75, 7.92,
1122, 16025, 1156.25, 7.92,
1134, 16146, 1133.75, 7.93,
1145, 16251, 1113.75, 7.94,
1156, 16339, 1096.25, 7.94,
1167, 16429, 1088.75, 7.94,
1178, 16501, 1080.00, 7.95,
1189, 16574, 1068.75, 7.95,
1200, 16703, 1051.25, 7.95,
1211, 16778, 1050.00, 7.96,
1222, 16797, 1028.75, 7.97,
1233, 16930, 1031.25, 7.97,
1245, 17006, 1013.75, 7.97,
1257, 17103, 1003.75, 7.98,
1268, 17162, 1005.00, 7.98,
1281, 17261, 990.00, 7.98,
1292, 17361, 985.00, 7.98,
1304, 17421, 985.00, 7.98,
1316, 17502, 981.25, 7.98,
1327, 17482, 973.75, 7.99,
1338, 17647, 943.75, 7.99,
1349, 17688, 955.00, 7.99,
1360, 17709, 948.75, 8.00,
1371, 17899, 923.75, 8.00,
1382, 17878, 932.50, 8.00,
1394, 17942, 931.25, 8.01,
1405, 17985, 908.75, 8.00,
1416, 18050, 905.00, 8.00,
1427, 18115, 902.50, 8.01,
1438, 18181, 883.75, 8.01,
1449, 18226, 891.25, 8.02,
1460, 18270, 876.25, 8.01,
1471, 18315, 871.25, 8.02,
1483, 18359, 875.00, 8.02,
1494, 18427, 856.25, 8.02,
1505, 18495, 846.25, 8.02,
1516, 18633, 835.00, 8.04,
1527, 18541, 802.50, 8.03,
1538, 18564, 805.00, 8.04,
1549, 18633, 793.75, 8.04,
1561, 18679, 790.00, 8.04,
1573, 18726, 758.75, 8.05,
