time (ms), rpm, mA, V
718, 0, 0.00, 6.36,
729, 0, 2295.00, 5.40,
740, 0, 2306.25, 5.35,
751, 0, 2226.25, 5.34,
762, 0, 2210.00, 5.34,
773, 78, 2135.00, 5.33,
785, 78, 2137.50, 5.34,
796, 78, 2097.50, 5.36,
807, 1635, 2032.50, 5.34,
818, 1635, 2022.50, 5.36,
829, 2418, 1957.50, 5.38,
840, 2418, 1857.50, 5.42,
852, 2954, 1846.25, 5.40,
864, 2954, 1827.50, 5.44,
876, 3390, 1790.00, 5.45,
888, 3745, 1766.25, 5.44,
899, 4077, 1725.00, 5.47,
910, 4360, 1661.25, 5.49,
921, 4360, 1663.75, 5.48,
932, 4635, 1617.50, 5.50,
943, 4884, 1612.50, 5.50,
954, 5095, 1580.00, 5.50,
966, 5313, 1572.50, 5.53,
977, 5518, 1541.25, 5.53,
988, 5709, 1522.50, 5.53,
999, 5903, 1490.00, 5.53,
1010, 6221, 1486.25, 5.57,
1021, 6380, 1426.25, 5.55,
1032, 6530, 1426.25, 5.59,
1043, 6666, 1386.25, 5.57,
1055, 6934, 1371.25, 5.60,
1067, 7072, 1353.75, 5.62,
1079, 7194, 1332.50, 5.61,
1090, 7436, 1305.00, 5.61,
1102, 7545, 1300.00, 5.62,
1114, 7747, 1266.25, 5.64,
1126, 7865, 1227.50, 5.65,
1137, 8060, 1246.25, 5.63,
1149, 8255, 1237.50, 5.66,
1161, 8342, 1160.00, 5.67,
1173, 8517, 1191.25, 5.67,
1184, 8685, 1125.00, 5.67,
1195, 8766, 1122.50, 5.69,
1206, 8923, 1107.50, 5.70,
1217, 9068, 1118.75, 5.71,
1228, 9146, 1100.00, 5.71,
1239, 9264, 1086.25, 5.72,
1250, 9357, 1067.50, 5.72,
1261, 9487, 1057.50, 5.73,
1272, 9621, 1020.00, 5.72,
1284, 9740, 1000.00, 5.72,
1296, 9855, 1018.75, 5.74,
1307, 9953, 1001.25, 5.74,
1319, 10114, 983.75, 5.75,
1331, 10204, 965.00, 5.75,
1343, 10295, 961.25, 5.76,
1354, 10402, 946.25, 5.77,
1367, 10496, 930.00, 5.76,
1378, 10608, 940.00, 5.76,
1390, 10691, 917.50, 5.77,
1401, 10791, 908.75, 5.78,
1412, 10877, 888.75, 5.79,
1423, 10964, 885.00, 5.78,
1434, 11037, 873.75, 5.79,
1445, 11127, 865.00, 5.79,
1456, 11210, 863.75, 5.80,
1467, 11261, 863.75, 5.80,
1478, 11363, 841.25, 5.81,
1489, 11476, 833.75, 5.81,
1501, 11556, 827.50, 5.82,
1513, 11591, 812.50, 5.82,
1524, 11682, 800.00, 5.83,
1537, 11783, 795.00, 5.84,
1548, 11848, 788.75, 5.84,
1560, 11895, 772.50, 5.83,
1571, 12009, 772.50, 5.84,
1582, 12019, 765.00, 5.85,
1593, 12116, 757.50, 5.84,
1604, 12175, 758.75, 5.85,
1615, 12244, 752.50, 5.85,
1626, 12285, 730.00, 5.85,
1637, 12355, 738.75, 5.87,
1648, 12406, 730.00, 5.86,
1659, 12479, 718.75, 5.86,
1671, 12520, 711.25, 5.86,
1683, 12594, 718.75, 5.86,
1694, 12636, 711.25, 5.86,
1707, 12722, 702.50, 5.87,
1718, 12755, 691.25, 5.88,
1730, 12842, 690.00, 5.88,
1741, 12864, 687.50, 5.89,
1752, 12897, 678.75, 5.88,
1763, 12964, 675.00, 5.89,
1774, 12998, 671.25, 5.90,
1785, 13020, 655.00, 5.90,
1796, 13054, 666.25, 5.90,
1807, 13123, 660.00, 5.90,
1818, 13181, 656.25, 5.89,
1829, 13250, 638.75, 5.90,
1840, 13262, 645.00, 5.91,
1851, 13262, 638.75, 5.91,
1862, 13345, 636.25, 5.90,
1873, 13368, 620.00, 5.92,
