Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 6.42,
16, 0, 0.00, 6.42,
27, 0, 0.00, 6.42,
38, 0, 0.00, 6.42,
50, 0, 0.00, 6.42,
61, 0, 0.00, 6.42,
72, 0, 0.00, 6.42,
83, 0, 0.00, 6.42,
94, 0, 0.00, 6.42,
105, 0, 0.00, 6.42,
117, 0, 0.00, 6.42,
128, 0, 0.00, 6.42,
139, 0, 0.00, 6.42,
151, 0, 0.00, 6.42,
162, 0, 0.00, 6.42,
173, 0, 0.00, 6.42,
184, 0, 0.00, 6.42,
195, 0, 0.00, 6.42,
206, 0, 0.00, 6.42,
217, 0, 0.00, 6.42,
228, 0, 0.00, 6.42,
239, 0, 0.00, 6.42,
250, 0, 0.00, 6.42,
261, 0, 0.00, 6.42,
272, 0, 0.00, 6.42,
283, 0, 0.00, 6.42,
294, 0, 0.00, 6.42,
305, 0, 0.00, 6.42,
316, 0, 0.00, 6.42,
327, 0, 0.00, 6.42,
338, 0, 0.00, 6.42,
350, 0, 0.00, 6.42,
361, 0, 0.00, 6.42,
372, 0, 0.00, 6.42,
384, 0, 0.00, 6.42,
395, 0, 0.00, 6.42,
407, 0, 0.00, 6.42,
418, 0, 0.00, 6.42,
429, 0, 0.00, 6.42,
441, 0, 0.00, 6.42,
452, 0, 0.00, 6.42,
463, 0, 0.00, 6.42,
474, 0, 0.00, 6.42,
485, 0, 0.00, 6.42,
496, 0, 0.00, 6.42,
507, 0, 0.00, 6.42,
518, 0, 0.00, 6.42,
529, 0, 0.00, 6.42,
540, 0, 0.00, 6.42,
551, 0, 0.00, 6.42,
562, 0, 0.00, 6.42,
573, 0, 0.00, 6.42,
584, 0, 0.00, 6.42,
595, 0, 0.00, 6.42,
607, 0, 0.00, 6.42,
618, 0, 0.00, 6.42,
629, 0, 0.00, 6.42,
640, 0, 0.00, 6.42,
651, 0, 0.00, 6.42,
662, 0, 0.00, 6.42,
673, 0, 0.00, 6.42,
684, 0, 0.00, 6.42,
695, 0, 0.00, 6.42,
706, 0, 0.00, 6.42,
717, 0, 0.00, 6.42,
728, 0, 0.00, 6.42,
739, 0, 0.00, 6.42,
750, 0, 0.00, 6.42,
761, 0, 0.00, 6.42,
773, 0, 0.00, 6.42,
784, 0, 0.00, 6.42,
795, 0, 0.00, 6.42,
806, 0, 0.00, 6.42,
817, 0, 0.00, 6.42,
828, 0, 0.00, 6.42,
839, 0, 0.00, 6.42,
850, 0, 0.00, 6.42,
861, 0, 0.00, 6.42,
872, 0, 0.00, 6.42,
883, 0, 0.00, 6.42,
894, 0, 0.00, 6.42,
905, 0, 0.00, 6.42,
916, 0, 0.00, 6.42,
927, 0, 0.00, 6.42,
939, 0, 0.00, 6.42,
950, 0, 0.00, 6.42,
962, 0, 0.00, 6.42,
973, 0, 0.00, 6.42,
984, 0, 0.00, 6.42,
996, 0, 0.00, 6.42,
1007, 0, 0.00, 6.42,
1018, 0, 0.00, 6.42,
1029, 0, 0.00, 6.42,
1040, 0, 0.00, 6.42,
1052, 0, 0.00, 6.42,
1063, 0, 0.00, 6.42,
1074, 0, 0.00, 6.42,
1085, 0, 2338.75, 5.26,
1096, 0, 2312.50, 5.25,
1107, 0, 2272.50, 5.24,
1118, 0, 2238.75, 5.24,
1129, 0, 2166.25, 5.25,
1140, 0, 2141.25, 5.27,
1152, 52, 2080.00, 5.26,
1163, 52, 2058.75, 5.34,
