Adafruit INA260 Test
Found INA260 chip
shot, time (s), fps, rpm
1, 6.9,  51.4, 8532
2, 8.7,  71.2, 10645
3, 10.2,  70.1, 12254
4, 11.9,  67.3, 9708
5, 13.5,  65.6, 11380
6, 15.2,  67.2, 12406
7, 16.9,  73.8, 11583
8, 18.5,  71.7, 11857
9, 20.2,  70.5, 11415
10, 21.8,  75.6, 11111
11, 23.5,  75.7, 11952


Adafruit INA260 Test
Found INA260 chip
shot, time (s), fps, rpm
1, 7.6,  58.1, 11252
2, 9.8,  71.7, 10183
3, 11.5,  70.3, 11895
4, 13.1,  72.2, 11574
5, 14.7,  73.1, 12679
6, 16.2,  73.5, 11061
7, 17.6,  75.4, 12155
8, 19.4,  75.8, 12087
9, 21.2,  75.7, 12285
10, 22.9,  73.4, 12254


Adafruit INA260 Test
Found INA260 chip
shot, time (s), fps, rpm
1, 8.2,  61.6, 9823
2, 10.2,  72.9, 12325
3, 11.8,  71.9, 11045
4, 13.4,  68.6, 10190
5, 15.2,  72.3, 11119
6, 16.8,  72.9, 11876
7, 18.4,  75.2, 11520
8, 20.0,  74.2, 11219
9, 21.6,  76.4, 11682
10, 23.0,  77.3, 13321
11, 24.5,  73.8, 13239
