enloop, stock wiring
time (ms), rpm, mA, V, fps
6, 0, 0.00, 5.61,
17, 0, 0.00, 5.61,
28, 0, 0.00, 5.61,
39, 0, 0.00, 5.61,
51, 0, 0.00, 5.61,
62, 0, 1.25, 5.61,
73, 0, 0.00, 5.61,
84, 0, 0.00, 5.61,
95, 0, 0.00, 5.61,
106, 0, 0.00, 5.61,
118, 0, 0.00, 5.61,
129, 0, 0.00, 5.61,
140, 0, 0.00, 5.61,
152, 0, 0.00, 5.61,
163, 0, 0.00, 5.61,
174, 0, 0.00, 5.61,
185, 0, 0.00, 5.61,
196, 0, 0.00, 5.61,
207, 0, 0.00, 5.61,
219, 0, 0.00, 5.61,
230, 0, 0.00, 5.61,
241, 0, 1.25, 5.61,
252, 0, 0.00, 5.61,
263, 0, 0.00, 5.61,
274, 0, 0.00, 5.61,
285, 0, 0.00, 5.61,
296, 0, 0.00, 5.61,
307, 0, 0.00, 5.61,
318, 0, 0.00, 5.61,
329, 0, 0.00, 5.61,
342, 0, 0.00, 5.61,
353, 0, 0.00, 5.61,
364, 0, 0.00, 5.61,
375, 0, 0.00, 5.61,
386, 0, 2365.00, 5.35,
397, 0, 2407.50, 5.24,
408, 0, 2352.50, 5.24,
419, 0, 2346.25, 5.23,
430, 0, 2257.50, 5.23,
441, 0, 2230.00, 5.25,
452, 134, 2178.75, 5.27,
463, 134, 2045.00, 5.24,
475, 2090, 2042.50, 5.25,
487, 2090, 1991.25, 5.26,
499, 2724, 1907.50, 5.26,
510, 2724, 1821.25, 5.27,
521, 3199, 1855.00, 5.27,
532, 3575, 1767.50, 5.27,
543, 3575, 1722.50, 5.29,
555, 3931, 1708.75, 5.28,
566, 4206, 1600.00, 5.30,
577, 4486, 1613.75, 5.29,
588, 4731, 1575.00, 5.30,
599, 4958, 1555.00, 5.31,
610, 4958, 1536.25, 5.31,
621, 5167, 1517.50, 5.32,
632, 5364, 1511.25, 5.32,
643, 5551, 1415.00, 5.32,
655, 5889, 1430.00, 5.33,
667, 6043, 1378.75, 5.34,
678, 6193, 1356.25, 5.33,
689, 6345, 1375.00, 5.34,
700, 6459, 1312.50, 5.33,
711, 6729, 1303.75, 5.34,
722, 6846, 1275.00, 5.36,
733, 6967, 1258.75, 5.35,
745, 7166, 1221.25, 5.35,
756, 7292, 1228.75, 5.36,
769, 7481, 1203.75, 5.36,
781, 7594, 1160.00, 5.37,
792, 7772, 1135.00, 5.36,
804, 7861, 1137.50, 5.37,
815, 8012, 1090.00, 5.38,
826, 8103, 1073.75, 5.38,
837, 8259, 1067.50, 5.38,
848, 8337, 1030.00, 5.39,
859, 8479, 1047.50, 5.39,
870, 8547, 991.25, 5.39,
882, 8680, 995.00, 5.39,
894, 8807, 1005.00, 5.40,
905, 8896, 987.50, 5.40,
916, 8998, 967.50, 5.40,
927, 9107, 952.50, 5.40,
939, 9174, 912.50, 5.40,
950, 9276, 903.75, 5.40,
962, 9369, 907.50, 5.41,
974, 9481, 875.00, 5.42,
985, 9578, 898.75, 5.42,
996, 9696, 872.50, 5.42,
1007, 9715, 858.75, 5.42,
1018, 9797, 841.25, 5.42,
1030, 9874, 815.00, 5.43,
1041, 9966, 797.50, 5.43,
1053, 10033, 823.75, 5.43,
1065, 10121, 788.75, 5.44,
1077, 10204, 812.50, 5.43,
1089, 10259, 791.25, 5.44,
1100, 10337, 787.50, 5.43,
1112, 10416, 777.50, 5.44,
1124, 10474, 773.75, 5.45,
1136, 10548, 753.75, 5.44,
1147, 10615, 756.25, 5.44,
1159, 10683, 745.00, 5.44,
1171, 10737, 752.50, 5.44,
1182, 10799, 730.00, 5.44,
1195, 10877, 722.50, 5.45,
1206, 10917, 717.50, 5.45,
1218, 10972, 706.25, 5.45,
1229, 11037, 698.75, 5.45,
1240, 11094, 692.50, 5.45,
1251, 11144, 685.00, 5.45,
1262, 11185, 690.00, 5.45,
1273, 11227, 690.00, 5.45,
1284, 11286, 671.25, 5.46,
1295, 11329, 663.75, 5.46,
1306, 11380, 653.75, 5.46,
1317, 11424, 656.25, 5.46,
1328, 11476, 632.50, 5.47,
1339, 11520, 631.25, 5.47,
1350, 11591, 618.75, 5.47,
1361, 11583, 611.25, 5.47,
1372, 11618, 613.75, 5.47,
1383, 11655, 593.75, 5.47,
1394, 11691, 602.50, 5.47,
1405, 11737, 607.50, 5.47,
1417, 11773, 607.50, 5.47,
1429, 11801, 593.75, 5.47,
1440, 11848, 585.00, 5.47,
1451, 11885, 590.00, 5.47,
1462, 11923, 595.00, 5.47,
1473, 11942, 586.25, 5.47,
1484, 11961, 578.75, 5.47,
1495, 11990, 570.00, 5.48,
1506, 12009, 570.00, 5.48,
1517, 12067, 571.25, 5.48,
1528, 12145, 571.25, 5.48,
1540, 12096, 562.50, 5.48,
1551, 12165, 557.50, 5.48,
1563, 12175, 556.25, 5.48,
1574, 12195, 561.25, 5.48,
1586, 12214, 557.50, 5.48,
1598, 12274, 563.75, 5.48,
1609, 12305, 550.00, 5.48,
1622, 12325, 556.25, 5.48,
1633, 12345, 546.25, 5.48,
1645, 12376, 546.25, 5.48,
1656, 12396, 541.25, 5.48,
1667, 12437, 545.00, 5.48,
1678, 12458, 542.50, 5.49,
1689, 12479, 536.25, 5.49,
1700, 12489, 533.75, 5.48,
1711, 12531, 530.00, 5.49,
1722, 12552, 525.00, 5.49,
1733, 12562, 523.75, 5.49,
1744, 12562, 493.75, 5.49,
1756, 12573, 471.25, 5.49,
1768, 12626, 506.25, 5.49,
1779, 12605, 496.25, 5.49,
1792, 12658, 502.50, 5.49,
1803, 12679, 498.75, 5.49,
1815, 12690, 498.75, 5.49,
1826, 12701, 487.50, 5.49,
1838, 12722, 496.25, 5.50,
1850, 12744, 495.00, 5.50,
1861, 12765, 487.50, 5.49,
1873, 12776, 495.00, 5.50,
1885, 12787, 490.00, 5.49,
1897, 12809, 483.75, 5.50,
1908, 12820, 491.25, 5.49,
1920, 12831, 491.25, 5.49,
1932, 12853, 495.00, 5.49,
1943, 12875, 498.75, 5.49,
1955, 12886, 490.00, 5.50,
1967, 12908, 486.25, 5.50,
1979, 12931, 493.75, 5.49,
1990, 12942, 491.25, 5.50,
2002, 12975, 486.25, 5.49,
2014, 12953, 496.25, 5.50,
2025, 13009, 495.00, 5.50,
2037, 13009, 477.50, 5.50,
2048, 13020, 481.25, 5.50,
2059, 13032, 481.25, 5.50,
2070, 13054, 476.25, 5.50,
2081, 13066, 485.00, 5.50,
2092, 13077, 470.00, 5.50,
2103, 13089, 482.50, 5.50,
2114, 13054, 475.00, 5.50,
2125, 13111, 473.75, 5.50,
2137, 13123, 470.00, 5.50,
2149, 13146, 461.25, 5.50,
2160, 13123, 468.75, 5.50,
2172, 13157, 461.25, 5.50,
2184, 13181, 466.25, 5.50,
2195, 13181, 458.75, 5.50,
2207, 13192, 455.00, 5.50,
2219, 13204, 465.00, 5.50,
2231, 13227, 466.25, 5.50,
2242, 13215, 462.50, 5.51,
2254, 13239, 450.00, 5.51,
2266, 13250, 445.00, 5.50,
2278, 13262, 451.25, 5.50,
2289, 13274, 450.00, 5.50,
2301, 13239, 441.25, 5.51,
2313, 13321, 436.25, 5.50,
2325, 13297, 447.50, 5.50,
2336, 13297, 452.50, 5.51,
2347, 13274, 436.25, 5.51,
2358, 13321, 431.25, 5.51,
2369, 13321, 428.75, 5.51,
2380, 13357, 427.50, 5.51,
2391, 13333, 432.50, 5.51,
2402, 13286, 431.25, 5.50,
2413, 13345, 430.00, 5.51,
2424, 13333, 417.50, 5.51,
2435, 13321, 417.50, 5.51,
2446, 13309, 417.50, 5.51,
2457, 13321, 418.75, 5.51,
2468, 13368, 428.75, 5.51,
2479, 13333, 426.25, 5.51,
2490, 13357, 431.25, 5.51,
2501, 13368, 422.50, 5.50,
2512, 13368, 430.00, 5.51,
2524, 13380, 430.00, 5.51,
2536, 13380, 428.75, 5.51,
2547, 13392, 431.25, 5.51,
2560, 13404, 433.75, 5.51,
2571, 13404, 436.25, 5.51,
2582, 13416, 443.75, 5.51,
2594, 13428, 442.50, 5.51,
2606, 13428, 432.50, 5.51,
2618, 13440, 426.25, 5.50,
2629, 13440, 428.75, 5.51,
2641, 13452, 430.00, 5.51,
2653, 13440, 442.50, 5.51,
2665, 13452, 440.00, 5.51,
2676, 13452, 436.25, 5.51,
2689, 13428, 442.50, 5.51,
2700, 13477, 438.75, 5.51,
2711, 13428, 441.25, 5.51,
2723, 13489, 430.00, 5.51,
2735, 13489, 431.25, 5.51,
2747, 13513, 436.25, 5.51,
2758, 13513, 428.75, 5.51,
2770, 13513, 435.00, 5.51,
2782, 13525, 436.25, 5.51,
2794, 13489, 427.50, 5.51,
2805, 13537, 425.00, 5.51,
2816, 13537, 423.75, 5.51,
2827, 13550, 431.25, 5.51,
2838, 13550, 436.25, 5.51,
2849, 13562, 435.00, 5.51,
2860, 13562, 430.00, 5.51,
2871, 13550, 430.00, 5.51,
2882, 13586, 438.75, 5.51,
2893, 13574, 425.00, 5.50,
2904, 13574, 421.25, 5.51,
2915, 13574, 418.75, 5.51,
2926, 13586, 410.00, 5.51,
2937, 13586, 416.25, 5.51,
2948, 13586, 422.50, 5.51,
2959, 13586, 432.50, 5.51,
2970, 13586, 437.50, 5.51,
2981, 13599, 435.00, 5.51,
2993, 13599, 433.75, 5.51,
3005, 13611, 436.25, 5.51,
3016, 13611, 431.25, 5.51,
3028, 13611, 423.75, 5.51,
3040, 13648, 428.75, 5.51,
3052, 13623, 425.00, 5.51,
3063, 13611, 423.75, 5.51,
3074, 13636, 426.25, 5.51,
3085, 13648, 417.50, 5.51,
3096, 13636, 418.75, 5.51,
3107, 13648, 422.50, 5.51,
3118, 13648, 421.25, 5.51,
3129, 13648, 421.25, 5.51,
3140, 13648, 425.00, 5.51,
3151, 13648, 417.50, 5.51,
3163, 13661, 421.25, 5.51,
3175, 13661, 415.00, 5.51,
3186, 13661, 423.75, 5.51,
3198, 13648, 421.25, 5.51,
3210, 13661, 423.75, 5.51,
3222, 13673, 418.75, 5.51,
3233, 13673, 410.00, 5.51,
3244, 13686, 421.25, 5.51,
3255, 13686, 415.00, 5.51,
3266, 13636, 417.50, 5.51,
3277, 13673, 413.75, 5.51,
3288, 13686, 420.00, 5.51,
3299, 13661, 422.50, 5.51,
3310, 13711, 423.75, 5.51,
3321, 13698, 407.50, 5.51,
3333, 13686, 417.50, 5.51,
3345, 13698, 423.75, 5.51,
3356, 13698, 428.75, 5.51,
3368, 13711, 422.50, 5.51,
3380, 13698, 415.00, 5.51,
3392, 13698, 415.00, 5.51,
3403, 13711, 410.00, 5.51,
3414, 13711, 402.50, 5.51,
3425, 13698, 411.25, 5.51,
3436, 13711, 417.50, 5.51,
3447, 13673, 405.00, 5.51,
3458, 13661, 400.00, 5.51,
3469, 13711, 401.25, 5.51,
3480, 13711, 412.50, 5.51,
3491, 13723, 413.75, 5.51,
3502, 13711, 413.75, 5.51,
3513, 13711, 417.50, 5.51,
3524, 13711, 421.25, 5.51,
3535, 13723, 406.25, 5.51,
3546, 13698, 412.50, 5.51,
3557, 13736, 420.00, 5.51,
3568, 13723, 412.50, 5.51,
3579, 13748, 401.25, 5.51,
3590, 13736, 407.50, 5.51,
3601, 13748, 416.25, 5.51,
3612, 13748, 408.75, 5.51,
3623, 13711, 412.50, 5.51,
3634, 13774, 417.50, 5.51,
3645, 13748, 422.50, 5.51,
3656, 13748, 413.75, 5.51,
3667, 13761, 416.25, 5.51,
3679, 13748, 410.00, 5.51,
3691, 13748, 401.25, 5.51,
3702, 13748, 410.00, 5.51,
3713, 13748, 410.00, 5.51,
3724, 13736, 410.00, 5.51,
3735, 13774, 405.00, 5.51,
3746, 13761, 412.50, 5.51,
3757, 13736, 408.75, 5.51,
3768, 13761, 405.00, 5.51,
3779, 13774, 411.25, 5.51,
3790, 13761, 413.75, 5.51,
3801, 13736, 410.00, 5.51,
3812, 13786, 400.00, 5.51,
3823, 13761, 403.75, 5.51,
3834, 13761, 401.25, 5.51,
3845, 13761, 410.00, 5.51,
3856, 13761, 411.25, 5.51,
3867, 13774, 397.50, 5.51,
3878, 13774, 408.75, 5.51,
3890, 13736, 411.25, 5.51,
3902, 13774, 403.75, 5.51,
3913, 13774, 405.00, 5.51,
3926, 13761, 408.75, 5.51,
3937, 13786, 401.25, 5.51,
3949, 13786, 410.00, 5.51,
3960, 13774, 412.50, 5.51,
3971, 13748, 416.25, 5.51,
3982, 13786, 417.50, 5.51,
3993, 13761, 423.75, 5.51,
4004, 13786, 406.25, 5.51,
4015, 13748, 415.00, 5.51,
4026, 13723, 416.25, 5.51,
4037, 13748, 410.00, 5.51,
4048, 13799, 415.00, 5.51,
4060, 13786, 410.00, 5.51,
4072, 13786, 401.25, 5.51,
4083, 13786, 412.50, 5.51,
4094, 13774, 411.25, 5.51,
4105, 13799, 405.00, 5.51,
4116, 13812, 407.50, 5.51,
4127, 13837, 397.50, 5.51,
4139, 13799, 410.00, 5.51,
4150, 13837, 410.00, 5.51,
4161, 13799, 407.50, 5.51,
4172, 13761, 408.75, 5.51,
4183, 13812, 405.00, 5.51,
4194, 13774, 402.50, 5.51,
4205, 13799, 417.50, 5.51,
4217, 13761, 425.00, 5.51,
4229, 13761, 416.25, 5.51,
4241, 13812, 418.75, 5.51,
4252, 13812, 416.25, 5.51,
4264, 13812, 418.75, 5.51,
4276, 13799, 416.25, 5.51,
4287, 13824, 411.25, 5.51,
4299, 13799, 411.25, 5.51,
4311, 13824, 407.50, 5.51,
4323, 13824, 406.25, 5.51,
4334, 13824, 415.00, 5.51,
4346, 13837, 415.00, 5.51,
4358, 13824, 412.50, 5.51,
4370, 13837, 415.00, 5.51,
4381, 13824, 410.00, 5.51,
4393, 13837, 416.25, 5.51,
4405, 13837, 416.25, 5.51,
4417, 13837, 416.25, 5.51,
4428, 13850, 416.25, 5.51,
4439, 13837, 411.25, 5.51,
4450, 13824, 421.25, 5.51,
4461, 13837, 416.25, 5.51,
4472, 13837, 408.75, 5.51,
4483, 13824, 408.75, 5.51,
4494, 13824, 406.25, 5.51,
4505, 13837, 410.00, 5.51,
4516, 13837, 420.00, 5.51,
4527, 13850, 417.50, 5.51,
4538, 13837, 417.50, 5.51,
4549, 13850, 416.25, 5.51,
4560, 13850, 406.25, 5.51,
4571, 13850, 417.50, 5.51,
4582, 13837, 420.00, 5.51,
4593, 13850, 410.00, 5.51,
4604, 13850, 410.00, 5.51,
4615, 13863, 401.25, 5.51,
4626, 13850, 406.25, 5.51,
4637, 13863, 407.50, 5.51,
4648, 13850, 396.25, 5.51,
4659, 13812, 398.75, 5.51,
4670, 13824, 396.25, 5.51,
4681, 13863, 397.50, 5.51,
4692, 13812, 406.25, 5.51,
4704, 13876, 407.50, 5.51,
4716, 13850, 405.00, 5.51,
4727, 13863, 401.25, 5.51,
4738, 13863, 398.75, 5.51,
4749, 13850, 407.50, 5.51,
4760, 13863, 400.00, 5.51,
4771, 13850, 412.50, 5.51,
4782, 13850, 410.00, 5.51,
4793, 13863, 403.75, 5.51,
4804, 13863, 410.00, 5.51,
4815, 13824, 407.50, 5.51,
4826, 13837, 405.00, 5.51,
4837, 13863, 408.75, 5.51,
4848, 13863, 400.00, 5.51,
4859, 13863, 408.75, 5.51,
4870, 13863, 413.75, 5.51,
4881, 13863, 410.00, 5.51,
4892, 13863, 413.75, 5.51,
4903, 13876, 406.25, 5.51,
4915, 13863, 416.25, 5.51,
4927, 13876, 415.00, 5.51,
4938, 13876, 411.25, 5.51,
4951, 13863, 415.00, 5.51,
4962, 13863, 405.00, 5.51,
4974, 13837, 410.00, 5.51,
4985, 13863, 405.00, 5.51,
4996, 13888, 400.00, 5.51,
5007, 13876, 391.25, 5.51,
5018, 13850, 396.25, 5.51,
5029, 13837, 400.00, 5.51,
5040, 13863, 392.50, 5.51,
5051, 13876, 403.75, 5.51,
5062, 13876, 398.75, 5.51,
5073, 13888, 397.50, 5.51,
5085, 13876, 397.50, 5.51,
5097, 13850, 385.00, 5.51,
5109, 13850, 393.75, 5.51,
5121, 13901, 386.25, 5.52,
5133, 13863, 378.75, 5.52,
5144, 13876, 377.50, 5.51,
5156, 13888, 371.25, 5.52,
5168, 13850, 333.75, 5.52,
5180, 13850, 340.00, 5.52,
5191, 13837, 346.25, 5.52,
5203, 13824, 340.00, 5.52,
5215, 13824, 331.25, 5.52,
5227, 13774, 358.75, 5.52,
5238, 13799, 353.75, 5.52,
5249, 13799, 365.00, 5.51,
5260, 13761, 368.75, 5.52,
5271, 13774, 365.00, 5.52,
5282, 13786, 350.00, 5.51,
5293, 13761, 330.00, 5.52,
5304, 13774, 347.50, 5.52,
5315, 13761, 373.75, 5.52,
5326, 13748, 363.75, 5.51,
5337, 13748, 378.75, 5.51,
5348, 13711, 385.00, 5.51,
5359, 13736, 373.75, 5.51,
5370, 13748, 380.00, 5.51,
5381, 13698, 387.50, 5.51,
5392, 13736, 392.50, 5.51,
5403, 13711, 390.00, 5.51,
5414, 13698, 391.25, 5.51,
5425, 13736, 392.50, 5.51,
5436, 13736, 393.75, 5.51,
5447, 13736, 382.50, 5.51,
5458, 13723, 366.25, 5.51,
5469, 13748, 386.25, 5.51,
5480, 13599, 396.25, 5.51,
5491, 12594, 797.50, 5.46,
5502, 9328, 860.00, 5.45, 60.82
5513, 9270, 788.75, 5.44,
5524, 9351, 818.75, 5.43,
5535, 9457, 833.75, 5.43,
5548, 9541, 876.25, 5.43,
5560, 9615, 883.75, 5.43,
5571, 9721, 842.50, 5.42,
5583, 9797, 836.25, 5.42,
5594, 9868, 852.50, 5.43,
5605, 9953, 813.75, 5.43,
5616, 10033, 820.00, 5.43,
5627, 10101, 810.00, 5.43,
5638, 10169, 800.00, 5.43,
5649, 10238, 791.25, 5.44,
5660, 10302, 735.00, 5.44,
5671, 10366, 722.50, 5.44,
5682, 10431, 710.00, 5.44,
5693, 10482, 693.75, 5.45,
5704, 10548, 691.25, 5.46,
5715, 10600, 682.50, 5.46,
5726, 10638, 668.75, 5.45,
5737, 10706, 683.75, 5.45,
5748, 10760, 672.50, 5.45,
5760, 10806, 648.75, 5.45,
5772, 10853, 620.00, 5.47,
5783, 10901, 632.50, 5.46,
5795, 10909, 653.75, 5.45,
5807, 10980, 657.50, 5.46,
5819, 11094, 658.75, 5.45,
5830, 11102, 655.00, 5.46,
5842, 11152, 643.75, 5.46,
5854, 11194, 636.25, 5.46,
5866, 11244, 636.25, 5.46,
5877, 11303, 638.75, 5.46,
5889, 11303, 623.75, 5.46,
5901, 11346, 622.50, 5.46,
5912, 11450, 618.75, 5.46,
5924, 11441, 615.00, 5.46,
5936, 11529, 603.75, 5.46,
5948, 11556, 606.25, 5.47,
5959, 11600, 605.00, 5.47,
5971, 11655, 597.50, 5.46,
5983, 11673, 603.75, 5.47,
5995, 11727, 597.50, 5.46,
6006, 11773, 598.75, 5.47,
6017, 11820, 583.75, 5.47,
6028, 11820, 583.75, 5.47,
6039, 11885, 572.50, 5.47,
6050, 11914, 580.00, 5.47,
6061, 11942, 567.50, 5.48,
6072, 11980, 563.75, 5.47,
6083, 12019, 565.00, 5.47,
6094, 12048, 563.75, 5.48,
6106, 12077, 565.00, 5.47,
6118, 12116, 548.75, 5.47,
6129, 12126, 552.50, 5.48,
6141, 12165, 547.50, 5.47,
6153, 12205, 548.75, 5.47,
6165, 12234, 546.25, 5.48,
6176, 12234, 543.75, 5.47,
6188, 12295, 536.25, 5.48,
6200, 12315, 533.75, 5.48,
6211, 12345, 536.25, 5.48,
6223, 12366, 532.50, 5.48,
6235, 12386, 531.25, 5.48,
6247, 12427, 525.00, 5.48,
6258, 12406, 521.25, 5.48,
6269, 12468, 518.75, 5.48,
6280, 12479, 510.00, 5.48,
6291, 12510, 515.00, 5.48,
6302, 12510, 502.50, 5.48,
6313, 12541, 502.50, 5.49,
6324, 12583, 506.25, 5.48,
6335, 12605, 500.00, 5.48,
6346, 12636, 493.75, 5.49,
6358, 12636, 498.75, 5.49,
6370, 12658, 497.50, 5.49,
6381, 12690, 495.00, 5.49,
6392, 12690, 495.00, 5.48,
6403, 12722, 500.00, 5.49,
6414, 12733, 497.50, 5.49,
6425, 12755, 485.00, 5.48,
6436, 12776, 488.75, 5.49,
6447, 12776, 485.00, 5.49,
6458, 12798, 475.00, 5.49,
6469, 12820, 472.50, 5.49,
6480, 12842, 475.00, 5.49,
6491, 12853, 486.25, 5.49,
6502, 12842, 480.00, 5.49,
6513, 12875, 473.75, 5.49,
6524, 12908, 467.50, 5.49,
6535, 12919, 472.50, 5.50,
6546, 12919, 466.25, 5.49,
6557, 12953, 475.00, 5.49,
6568, 12953, 473.75, 5.49,
6580, 12964, 466.25, 5.49,
6592, 12942, 462.50, 5.49,
6603, 12998, 465.00, 5.49,
6614, 13009, 463.75, 5.50,
6625, 13020, 462.50, 5.50,
6636, 13020, 458.75, 5.50,
6647, 13043, 450.00, 5.49,
6658, 13054, 455.00, 5.49,
6669, 13066, 461.25, 5.49,
6680, 13077, 445.00, 5.49,
6691, 13066, 445.00, 5.50,
6703, 13066, 447.50, 5.49,
6715, 13111, 442.50, 5.49,
6726, 13123, 447.50, 5.49,
6738, 13111, 448.75, 5.49,
6750, 13169, 446.25, 5.50,
6761, 13157, 445.00, 5.50,
6773, 13169, 446.25, 5.50,
6785, 13146, 441.25, 5.49,
6797, 13192, 438.75, 5.49,
6808, 13169, 440.00, 5.50,
6820, 13192, 438.75, 5.50,
6832, 13227, 436.25, 5.50,
6844, 13192, 436.25, 5.50,
6855, 13204, 436.25, 5.50,
6867, 13239, 440.00, 5.50,
6879, 13250, 435.00, 5.50,
6891, 13274, 440.00, 5.50,
