enloop, stock wiring
time (ms), rpm, mA, V
5, 0, 0.00, 5.55,
16, 0, 0.00, 5.55,
27, 0, 0.00, 5.55,
38, 0, 0.00, 5.55,
50, 0, 0.00, 5.55,
61, 0, 0.00, 5.55,
72, 0, 0.00, 5.55,
84, 0, 0.00, 5.55,
95, 0, 0.00, 5.55,
106, 0, 0.00, 5.55,
117, 0, 0.00, 5.55,
128, 0, 0.00, 5.55,
139, 0, 0.00, 5.55,
151, 0, 0.00, 5.55,
162, 0, 0.00, 5.55,
173, 0, 0.00, 5.55,
184, 0, 0.00, 5.55,
195, 0, 0.00, 5.55,
206, 0, 0.00, 5.55,
218, 0, 0.00, 5.55,
229, 0, 0.00, 5.55,
240, 0, 0.00, 5.55,
251, 0, 0.00, 5.55,
262, 0, 0.00, 5.55,
273, 0, 0.00, 5.55,
284, 0, 0.00, 5.55,
295, 0, 0.00, 5.55,
306, 0, 0.00, 5.55,
318, 0, 0.00, 5.55,
329, 0, 0.00, 5.55,
342, 0, 0.00, 5.55,
353, 0, 0.00, 5.55,
364, 0, 0.00, 5.55,
375, 0, 0.00, 5.55,
386, 0, 0.00, 5.55,
397, 0, 0.00, 5.55,
408, 0, 0.00, 5.55,
419, 0, 0.00, 5.55,
430, 0, 0.00, 5.55,
441, 0, 0.00, 5.55,
452, 0, 0.00, 5.55,
463, 0, 0.00, 5.55,
475, 0, 0.00, 5.55,
486, 0, 0.00, 5.55,
497, 0, 0.00, 5.55,
508, 0, 0.00, 5.55,
519, 0, 0.00, 5.55,
530, 0, 0.00, 5.55,
541, 0, 0.00, 5.55,
552, 0, 0.00, 5.55,
563, 0, 0.00, 5.55,
575, 0, 0.00, 5.55,
586, 0, 0.00, 5.55,
599, 0, 0.00, 5.55,
610, 0, 0.00, 5.55,
621, 0, 0.00, 5.55,
632, 0, 0.00, 5.55,
643, 0, 0.00, 5.55,
654, 0, 0.00, 5.55,
665, 0, 0.00, 5.55,
676, 0, 0.00, 5.55,
687, 0, 0.00, 5.55,
699, 0, 0.00, 5.55,
710, 0, 0.00, 5.55,
721, 0, 0.00, 5.55,
732, 0, 1.25, 5.55,
743, 0, 0.00, 5.55,
754, 0, 0.00, 5.55,
765, 0, 2350.00, 5.25,
776, 0, 2363.75, 5.22,
787, 0, 2280.00, 5.22,
798, 0, 2227.50, 5.22,
809, 0, 2171.25, 5.22,
820, 73, 2171.25, 5.22,
831, 73, 2131.25, 5.24,
842, 73, 2067.50, 5.24,
855, 1959, 1968.75, 5.22,
867, 1959, 1978.75, 5.23,
879, 2607, 1830.00, 5.25,
891, 2607, 1835.00, 5.24,
