time (ms), rpm, mA, V
6, 0, 0.00, 6.13,
17, 0, 0.00, 6.13,
28, 0, 0.00, 6.13,
39, 0, 0.00, 6.13,
51, 0, 0.00, 6.13,
62, 0, 0.00, 6.13,
73, 0, 0.00, 6.13,
84, 0, 0.00, 6.13,
95, 0, 0.00, 6.13,
106, 0, 1.25, 6.13,
118, 0, 0.00, 6.13,
129, 0, 0.00, 6.13,
140, 0, 0.00, 6.13,
152, 0, 0.00, 6.13,
163, 0, 0.00, 6.13,
174, 0, 0.00, 6.13,
185, 0, 0.00, 6.13,
196, 0, 0.00, 6.13,
207, 0, 0.00, 6.13,
219, 0, 0.00, 6.13,
230, 0, 0.00, 6.13,
241, 0, 1.25, 6.13,
252, 0, 0.00, 6.13,
263, 0, 0.00, 6.13,
274, 0, 0.00, 6.13,
285, 0, 0.00, 6.13,
296, 0, 0.00, 6.13,
307, 0, 0.00, 6.13,
318, 0, 0.00, 6.13,
329, 0, 0.00, 6.13,
340, 0, 0.00, 6.13,
351, 0, 0.00, 6.13,
362, 0, 0.00, 6.13,
373, 0, 1.25, 6.13,
384, 0, 0.00, 6.13,
395, 0, 0.00, 6.13,
406, 0, 58.75, 6.13,
417, 0, 2213.75, 4.83,
428, 0, 2322.50, 4.85,
440, 0, 2211.25, 4.86,
451, 0, 2213.75, 4.87,
462, 0, 2183.75, 4.88,
474, 0, 2152.50, 4.91,
486, 0, 2117.50, 4.93,
497, 0, 2101.25, 4.94,
508, 0, 2041.25, 4.95,
519, 0, 2015.00, 4.95,
531, 0, 1992.50, 4.97,
542, 0, 1940.00, 4.97,
553, 0, 1918.75, 5.01,
564, 0, 1918.75, 4.98,
576, 0, 1920.00, 5.01,
587, 0, 1921.25, 5.01,
598, 0, 1876.25, 5.01,
609, 0, 1848.75, 5.03,
621, 0, 1810.00, 5.05,
633, 1121, 1813.75, 5.07,
644, 1121, 1767.50, 5.08,
655, 1917, 1748.75, 5.08,
666, 1917, 1743.75, 5.08,
677, 1917, 1677.50, 5.13,
688, 2598, 1648.75, 5.13,
700, 3106, 1625.00, 5.16,
711, 3106, 1581.25, 5.15,
723, 3526, 1563.75, 5.20,
734, 3871, 1511.25, 5.20,
745, 4192, 1536.25, 5.22,
756, 4192, 1473.75, 5.22,
768, 4473, 1436.25, 5.26,
779, 4733, 1437.50, 5.27,
790, 4973, 1388.75, 5.23,
801, 5172, 1391.25, 5.28,
812, 5387, 1352.50, 5.30,
823, 5590, 1351.25, 5.32,
834, 5751, 1285.00, 5.30,
845, 5921, 1317.50, 5.29,
856, 6080, 1298.75, 5.33,
867, 6388, 1228.75, 5.33,
879, 6530, 1227.50, 5.36,
891, 6666, 1222.50, 5.35,
902, 6918, 1218.75, 5.37,
913, 7038, 1180.00, 5.38,
924, 7153, 1143.75, 5.38,
935, 7371, 1123.75, 5.38,
946, 7477, 1116.25, 5.40,
957, 7583, 1098.75, 5.40,
969, 7776, 1082.50, 5.43,
982, 7953, 1063.75, 5.42,
993, 8042, 1073.75, 5.42,
1005, 8210, 1045.00, 5.43,
1016, 8296, 1001.25, 5.44,
1027, 8445, 1032.50, 5.47,
1038, 8527, 991.25, 5.45,
1049, 8670, 977.50, 5.48,
1060, 8807, 976.25, 5.48,
1071, 8875, 982.50, 5.48,
1082, 9003, 955.00, 5.49,
1094, 9129, 928.75, 5.49,
1105, 9202, 907.50, 5.50,
1116, 9299, 901.25, 5.50,
1127, 9398, 902.50, 5.51,
1138, 9499, 896.25, 5.52,
1149, 9572, 876.25, 5.52,
1160, 9664, 867.50, 5.52,
1172, 9771, 848.75, 5.52,
1183, 9861, 871.25, 5.53,
1196, 9946, 848.75, 5.54,
1208, 10013, 842.50, 5.56,
1219, 10121, 827.50, 5.55,
1231, 10204, 818.75, 5.55,
1243, 10288, 808.75, 5.57,
1255, 10359, 820.00, 5.55,
1266, 10445, 800.00, 5.57,
1278, 10511, 786.25, 5.58,
1290, 10578, 770.00, 5.57,
1302, 10645, 781.25, 5.57,
1313, 10714, 772.50, 5.57,
1324, 10783, 770.00, 5.58,
1335, 10845, 761.25, 5.59,
1346, 10917, 750.00, 5.59,
1357, 10980, 737.50, 5.59,
1368, 11061, 740.00, 5.60,
1379, 11102, 731.25, 5.60,
1390, 11144, 718.75, 5.60,
1401, 11227, 728.75, 5.60,
1412, 11278, 708.75, 5.61,
1423, 11329, 707.50, 5.61,
1434, 11363, 695.00, 5.63,
1445, 11432, 702.50, 5.62,
1456, 11476, 688.75, 5.62,
1467, 11529, 680.00, 5.62,
1478, 11574, 693.75, 5.62,
1489, 11609, 680.00, 5.63,
1501, 11655, 667.50, 5.63,
1513, 11746, 661.25, 5.64,
1524, 11737, 656.25, 5.64,
1537, 11829, 656.25, 5.64,
1548, 11848, 653.75, 5.65,
1560, 11904, 652.50, 5.65,
1571, 11942, 646.25, 5.64,
1582, 11990, 637.50, 5.65,
1593, 12000, 637.50, 5.66,
1604, 12067, 641.25, 5.66,
1615, 12096, 626.25, 5.66,
1626, 12135, 617.50, 5.66,
1637, 12175, 622.50, 5.66,
1648, 12214, 626.25, 5.66,
1659, 12244, 608.75, 5.66,
1671, 12285, 613.75, 5.67,
1682, 12315, 603.75, 5.69,
1694, 12345, 606.25, 5.67,
1705, 12386, 595.00, 5.67,
1716, 12417, 596.25, 5.67,
1727, 12437, 596.25, 5.68,
1738, 12396, 591.25, 5.68,
1750, 12500, 590.00, 5.69,
1761, 12520, 583.75, 5.68,
1772, 12562, 580.00, 5.68,
1783, 12583, 583.75, 5.68,
1794, 12626, 578.75, 5.70,
1806, 12658, 581.25, 5.69,
1817, 12636, 576.25, 5.70,
1829, 12701, 573.75, 5.70,
1841, 12733, 567.50, 5.69,
1852, 12711, 562.50, 5.69,
1864, 12776, 562.50, 5.69,
1876, 12809, 557.50, 5.69,
1888, 12809, 557.50, 5.70,
1900, 12853, 555.00, 5.70,
1911, 12875, 551.25, 5.72,
1923, 12897, 551.25, 5.70,
1935, 12908, 552.50, 5.70,
1947, 12919, 550.00, 5.72,
1958, 12964, 545.00, 5.70,
1969, 12998, 538.75, 5.71,
1980, 13009, 537.50, 5.72,
1991, 13032, 543.75, 5.71,
2002, 13054, 540.00, 5.71,
2013, 13066, 528.75, 5.72,
2024, 13089, 528.75, 5.71,
2035, 13089, 532.50, 5.71,
2046, 13123, 533.75, 5.71,
2058, 13089, 526.25, 5.72,
2069, 13157, 522.50, 5.71,
2081, 13169, 523.75, 5.71,
2093, 13192, 512.50, 5.72,
2105, 13239, 516.25, 5.72,
2116, 13169, 527.50, 5.72,
2128, 13239, 523.75, 5.72,
2140, 13250, 516.25, 5.73,
2151, 13227, 516.25, 5.72,
2163, 13286, 515.00, 5.74,
2174, 13297, 508.75, 5.73,
2185, 13309, 508.75, 5.73,
2196, 13333, 508.75, 5.73,
2207, 13333, 507.50, 5.74,
2219, 13357, 503.75, 5.73,
2230, 13357, 505.00, 5.74,
2241, 13368, 505.00, 5.74,
2252, 13380, 505.00, 5.73,
2263, 13392, 503.75, 5.74,
2274, 13404, 500.00, 5.73,
2285, 13428, 495.00, 5.73,
2297, 13416, 492.50, 5.74,
2309, 13452, 498.75, 5.73,
2321, 13452, 497.50, 5.73,
2332, 13464, 490.00, 5.73,
2344, 13477, 497.50, 5.73,
2356, 13489, 490.00, 5.74,
2367, 13477, 488.75, 5.73,
2379, 13525, 478.75, 5.74,
2391, 13513, 480.00, 5.75,
2403, 13537, 485.00, 5.75,
2414, 13550, 482.50, 5.74,
2425, 13550, 486.25, 5.74,
2436, 13562, 495.00, 5.75,
2447, 13537, 488.75, 5.75,
2458, 13574, 485.00, 5.73,
2469, 13562, 481.25, 5.76,
2480, 13599, 473.75, 5.75,
2491, 13611, 473.75, 5.75,
2502, 13611, 475.00, 5.74,
2513, 13586, 467.50, 5.75,
2525, 13673, 482.50, 5.74,
2537, 13599, 485.00, 5.74,
2548, 13661, 482.50, 5.74,
2561, 13661, 482.50, 5.74,
2572, 13661, 477.50, 5.75,
2583, 13686, 486.25, 5.74,
2595, 13686, 481.25, 5.74,
2606, 13686, 477.50, 5.76,
2617, 13698, 466.25, 5.74,
2628, 13711, 471.25, 5.76,
2639, 13711, 468.75, 5.74,
2650, 13748, 471.25, 5.75,
2661, 13723, 465.00, 5.75,
2672, 13748, 465.00, 5.76,
2683, 13748, 465.00, 5.74,
2695, 13748, 458.75, 5.77,
2706, 13761, 451.25, 5.76,
2718, 13761, 457.50, 5.75,
2729, 13761, 466.25, 5.75,
2740, 13774, 468.75, 5.76,
2751, 13774, 467.50, 5.75,
2762, 13786, 467.50, 5.76,
2774, 13799, 470.00, 5.75,
2785, 13799, 472.50, 5.75,
2796, 13799, 467.50, 5.75,
2807, 13812, 467.50, 5.75,
2818, 13812, 466.25, 5.75,
2829, 13812, 462.50, 5.76,
2841, 13824, 462.50, 5.76,
2852, 13837, 470.00, 5.75,
2863, 13824, 470.00, 5.76,
2874, 13850, 468.75, 5.75,
2885, 13837, 470.00, 5.75,
2896, 13850, 473.75, 5.76,
2907, 13850, 465.00, 5.76,
2918, 13863, 465.00, 5.75,
2929, 13863, 458.75, 5.75,
2940, 13876, 456.25, 5.76,
2951, 13876, 453.75, 5.75,
2962, 13850, 456.25, 5.77,
2973, 13888, 462.50, 5.75,
2984, 13888, 458.75, 5.76,
2995, 13953, 451.25, 5.75,
3006, 13901, 451.25, 5.76,
3017, 13914, 460.00, 5.75,
3028, 13914, 452.50, 5.77,
3040, 13888, 450.00, 5.76,
3052, 13927, 457.50, 5.76,
3063, 13888, 457.50, 5.76,
3074, 13940, 452.50, 5.76,
3085, 13927, 452.50, 5.75,
3096, 13940, 448.75, 5.77,
3107, 13927, 450.00, 5.75,
3118, 13953, 456.25, 5.77,
3129, 13927, 453.75, 5.75,
3140, 13953, 458.75, 5.76,
3151, 13953, 456.25, 5.76,
3163, 13940, 452.50, 5.76,
3175, 13966, 447.50, 5.75,
3186, 13966, 458.75, 5.76,
3198, 13979, 461.25, 5.77,
3210, 13953, 456.25, 5.76,
3221, 13979, 456.25, 5.76,
3233, 13992, 448.75, 5.77,
3245, 13992, 446.25, 5.76,
3257, 13992, 440.00, 5.76,
3268, 13979, 450.00, 5.77,
3280, 14005, 451.25, 5.77,
3292, 13992, 446.25, 5.76,
3304, 14005, 451.25, 5.77,
3315, 14018, 450.00, 5.77,
3328, 14018, 458.75, 5.76,
3339, 13979, 447.50, 5.76,
3351, 14018, 447.50, 5.76,
3362, 13979, 450.00, 5.76,
3373, 14044, 455.00, 5.76,
3384, 13966, 457.50, 5.76,
3395, 14031, 457.50, 5.77,
3406, 14005, 447.50, 5.75,
3417, 14031, 438.75, 5.76,
3428, 14084, 455.00, 5.76,
3439, 14031, 450.00, 5.77,
3450, 14044, 443.75, 5.76,
3461, 14044, 445.00, 5.77,
3472, 14044, 446.25, 5.76,
3483, 14058, 448.75, 5.76,
3494, 14044, 448.75, 5.76,
3505, 14058, 450.00, 5.76,
3516, 14058, 448.75, 5.77,
3527, 14058, 452.50, 5.76,
3538, 14018, 452.50, 5.77,
3550, 14058, 441.25, 5.77,
3561, 14071, 447.50, 5.76,
3573, 14058, 451.25, 5.76,
3585, 14031, 442.50, 5.76,
3597, 14031, 447.50, 5.75,
3608, 14071, 446.25, 5.76,
3620, 14044, 441.25, 5.76,
3632, 14084, 440.00, 5.76,
