Found INA260 chip
time (ms), rpm, mA, V
534, 0, 0.00, 6.13,
545, 0, 1.25, 6.13,
556, 0, 258.75, 6.13,
567, 0, 2255.00, 4.99,
578, 105, 2247.50, 4.93,
590, 105, 2208.75, 5.00,
601, 105, 2122.50, 4.97,
612, 105, 2102.50, 5.02,
623, 105, 2052.50, 5.02,
634, 1040, 1992.50, 5.03,
646, 1040, 1963.75, 5.09,
658, 2127, 1877.50, 5.06,
670, 2127, 1825.00, 5.11,
683, 2715, 1822.50, 5.09,
694, 2715, 1747.50, 5.16,
706, 3157, 1751.25, 5.15,
718, 3541, 1730.00, 5.17,
729, 3866, 1706.25, 5.16,
740, 3866, 1655.00, 5.22,
751, 4159, 1631.25, 5.23,
762, 4427, 1596.25, 5.21,
773, 4681, 1583.75, 5.24,
784, 4885, 1557.50, 5.25,
796, 5108, 1516.25, 5.26,
807, 5307, 1516.25, 5.24,
818, 5492, 1467.50, 5.29,
829, 5668, 1440.00, 5.28,
840, 5836, 1420.00, 5.29,
851, 6004, 1403.75, 5.31,
862, 6139, 1380.00, 5.31,
874, 6291, 1403.75, 5.32,
886, 6553, 1337.50, 5.37,
898, 6705, 1293.75, 5.34,
910, 6931, 1263.75, 5.36,
922, 7048, 1250.00, 5.42,
934, 7156, 1221.25, 5.37,
946, 7367, 1217.50, 5.39,
958, 7470, 1210.00, 5.38,
970, 7664, 1206.25, 5.39,
983, 7836, 1158.75, 5.42,
994, 7936, 1133.75, 5.44,
1006, 8103, 1110.00, 5.44,
1018, 8210, 1108.75, 5.44,
1030, 8356, 1067.50, 5.46,
1042, 8498, 1092.50, 5.47,
1053, 8571, 1042.50, 5.48,
1065, 8710, 1053.75, 5.48,
1077, 8844, 1047.50, 5.48,
1089, 8976, 1007.50, 5.48,
1100, 9047, 985.00, 5.49,
1111, 9168, 967.50, 5.50,
1122, 9287, 950.00, 5.50,
1133, 9339, 956.25, 5.50,
1144, 9451, 947.50, 5.51,
1155, 9548, 938.75, 5.56,
1166, 9658, 951.25, 5.53,
1178, 9752, 928.75, 5.52,
1190, 9829, 907.50, 5.53,
1201, 9900, 926.25, 5.54,
1212, 9993, 880.00, 5.54,
1223, 10080, 896.25, 5.55,
1234, 10162, 868.75, 5.55,
1245, 10252, 872.50, 5.55,
1256, 10337, 861.25, 5.56,
1267, 10416, 857.50, 5.57,
1280, 10489, 841.25, 5.57,
1291, 10563, 845.00, 5.58,
1303, 10638, 826.25, 5.58,
1314, 10714, 823.75, 5.60,
1325, 10783, 810.00, 5.58,
1336, 10838, 805.00, 5.59,
1347, 10909, 801.25, 5.59,
1358, 10980, 788.75, 5.60,
1369, 11045, 782.50, 5.60,
1380, 11070, 776.25, 5.60,
1391, 11119, 773.75, 5.60,
1402, 11227, 766.25, 5.60,
1413, 11278, 763.75, 5.61,
1424, 11303, 763.75, 5.61,
1435, 11389, 737.50, 5.63,
1446, 11467, 726.25, 5.62,
1457, 11511, 730.00, 5.62,
1468, 11529, 717.50, 5.63,
1479, 11609, 716.25, 5.64,
1490, 11655, 703.75, 5.63,
1502, 11691, 720.00, 5.64,
1514, 11773, 705.00, 5.64,
1525, 11801, 698.75, 5.64,
1536, 11867, 690.00, 5.65,
1547, 11904, 681.25, 5.65,
1558, 11942, 673.75, 5.65,
1569, 12000, 685.00, 5.65,
1580, 12038, 665.00, 5.66,
1591, 12067, 668.75, 5.67,
1602, 12087, 657.50, 5.66,
1613, 12155, 658.75, 5.67,
1625, 12205, 647.50, 5.67,
1637, 12234, 642.50, 5.67,
1648, 12244, 625.00, 5.68,
1660, 12305, 611.25, 5.70,
1672, 12345, 600.00, 5.69,
1684, 12366, 603.75, 5.72,
1695, 12376, 592.50, 5.70,
1708, 12448, 590.00, 5.69,
1719, 12468, 598.75, 5.70,
1731, 12479, 572.50, 5.71,
1742, 12531, 577.50, 5.71,
1753, 12552, 571.25, 5.70,
1764, 12573, 576.25, 5.71,
1775, 12605, 573.75, 5.73,
1786, 12626, 567.50, 5.71,
1797, 12668, 561.25, 5.71,
1808, 12658, 571.25, 5.72,
1819, 12701, 567.50, 5.70,
1830, 12744, 568.75, 5.71,
1842, 12744, 561.25, 5.71,
1854, 12776, 557.50, 5.72,
1865, 12787, 565.00, 5.72,
1878, 12842, 556.25, 5.72,
1889, 12853, 551.25, 5.72,
1901, 12897, 562.50, 5.72,
1912, 12908, 550.00, 5.73,
1923, 12931, 553.75, 5.72,
1934, 12964, 558.75, 5.72,
1945, 12975, 558.75, 5.72,
1956, 12998, 557.50, 5.72,
1967, 13020, 545.00, 5.73,
1978, 12998, 543.75, 5.72,
1989, 13054, 541.25, 5.73,
2000, 13077, 546.25, 5.74,
2012, 13134, 530.00, 5.73,
2024, 13123, 532.50, 5.73,
2035, 13146, 536.25, 5.73,
2048, 13157, 532.50, 5.73,
2059, 13169, 535.00, 5.73,
2071, 13157, 533.75, 5.73,
2082, 13192, 527.50, 5.75,
2094, 13239, 525.00, 5.74,
2106, 13250, 527.50, 5.74,
2117, 13274, 518.75, 5.74,
2129, 13297, 517.50, 5.74,
2141, 13309, 513.75, 5.76,
2153, 13333, 505.00, 5.76,
2164, 13333, 495.00, 5.75,
2176, 13345, 498.75, 5.75,
2188, 13368, 497.50, 5.75,
2199, 13392, 490.00, 5.75,
2211, 13392, 486.25, 5.76,
2223, 13404, 483.75, 5.75,
2235, 13464, 487.50, 5.75,
2246, 13440, 486.25, 5.75,
2258, 13416, 491.25, 5.76,
2269, 13428, 487.50, 5.76,
2280, 13464, 485.00, 5.75,
2291, 13477, 481.25, 5.76,
2302, 13452, 485.00, 5.75,
2313, 13501, 486.25, 5.76,
2324, 13477, 483.75, 5.75,
2335, 13513, 472.50, 5.76,
2347, 13537, 482.50, 5.76,
2358, 13537, 473.75, 5.75,
2370, 13550, 473.75, 5.76,
2381, 13550, 472.50, 5.76,
2392, 13574, 478.75, 5.76,
2403, 13574, 481.25, 5.76,
2414, 13586, 490.00, 5.76,
2425, 13599, 485.00, 5.76,
2436, 13574, 470.00, 5.76,
2447, 13586, 470.00, 5.77,
2458, 13611, 475.00, 5.78,
2469, 13648, 476.25, 5.78,
2480, 13648, 475.00, 5.76,
2491, 13636, 467.50, 5.77,
2502, 13661, 475.00, 5.77,
2513, 13661, 480.00, 5.77,
2524, 13636, 458.75, 5.77,
2535, 13673, 453.75, 5.77,
2546, 13673, 463.75, 5.76,
2557, 13623, 460.00, 5.77,
2568, 13661, 468.75, 5.77,
2579, 13648, 471.25, 5.77,
2590, 13698, 476.25, 5.78,
2601, 13673, 473.75, 5.76,
2612, 13698, 466.25, 5.76,
2623, 13723, 470.00, 5.77,
2634, 13736, 463.75, 5.77,
2646, 13748, 457.50, 5.76,
2658, 13774, 453.75, 5.77,
2669, 13711, 456.25, 5.77,
2680, 13748, 462.50, 5.78,
2691, 13786, 462.50, 5.77,
2702, 13786, 458.75, 5.78,
2713, 13748, 458.75, 5.77,
2724, 13786, 462.50, 5.78,
2735, 13748, 458.75, 5.76,
2746, 13799, 471.25, 5.78,
2757, 13761, 471.25, 5.76,
2768, 13799, 475.00, 5.78,
2779, 13824, 475.00, 5.78,
2790, 13863, 468.75, 5.77,
2801, 13837, 463.75, 5.77,
2812, 13850, 450.00, 5.77,
2823, 13850, 451.25, 5.78,
2834, 13837, 453.75, 5.77,
2845, 13863, 460.00, 5.77,
2856, 13876, 453.75, 5.77,
2867, 13850, 456.25, 5.78,
2878, 13876, 453.75, 5.76,
2889, 13888, 467.50, 5.78,
2900, 13876, 427.50, 5.80,
2911, 13863, 446.25, 5.79,
2922, 13876, 446.25, 5.78,
2933, 13888, 442.50, 5.79,
2945, 13888, 431.25, 5.78,
2957, 13914, 435.00, 5.78,
2968, 13888, 427.50, 5.78,
2980, 13901, 433.75, 5.78,
2992, 13850, 425.00, 5.78,
3003, 13876, 428.75, 5.79,
3015, 13927, 445.00, 5.79,
3027, 13901, 437.50, 5.79,
3039, 13901, 431.25, 5.80,
3051, 13914, 432.50, 5.79,
3062, 13901, 438.75, 5.78,
3073, 13901, 433.75, 5.79,
3084, 13914, 426.25, 5.78,
3095, 13927, 420.00, 5.79,
3106, 13927, 435.00, 5.79,
3117, 13914, 427.50, 5.78,
3128, 13927, 437.50, 5.78,
3139, 13914, 436.25, 5.79,
3150, 13940, 437.50, 5.79,
3161, 13927, 443.75, 5.78,
3172, 13914, 442.50, 5.79,
