Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
1352, 0, 0.00, 6.33,
1363, 0, 1187.50, 6.33,
1374, 0, 3040.00, 4.82,
1385, 0, 2985.00, 4.84,
1396, 0, 2868.75, 4.86,
1408, 0, 2826.25, 4.89,
1420, 42, 2722.50, 4.97,
1432, 42, 2585.00, 4.93,
1444, 1988, 2598.75, 5.03,
1455, 1988, 2488.75, 5.02,
1466, 2773, 2393.75, 4.98,
1477, 2773, 2352.50, 5.08,
1488, 3315, 2308.75, 5.09,
1499, 3783, 2203.75, 5.12,
1511, 4156, 2263.75, 5.10,
1523, 4503, 2131.25, 5.15,
1534, 4807, 2038.75, 5.16,
1545, 4807, 2026.25, 5.16,
1556, 5084, 1968.75, 5.18,
1567, 5574, 1903.75, 5.22,
1579, 5793, 1895.00, 5.24,
1590, 6000, 1791.25, 5.24,
1601, 6195, 1795.00, 5.25,
1612, 6377, 1760.00, 5.29,
1623, 6550, 1692.50, 5.28,
1634, 6874, 1718.75, 5.32,
1645, 7029, 1628.75, 5.34,
1656, 7190, 1583.75, 5.35,
1667, 7299, 1556.25, 5.35,
1679, 7591, 1551.25, 5.39,
1690, 7712, 1491.25, 5.38,
1702, 7936, 1518.75, 5.37,
1713, 8156, 1450.00, 5.41,
1724, 8264, 1402.50, 5.42,
1735, 8474, 1435.00, 5.45,
1746, 8556, 1353.75, 5.43,
1757, 8741, 1341.25, 5.45,
1768, 8833, 1333.75, 5.46,
1780, 9003, 1358.75, 5.49,
1793, 9168, 1333.75, 5.49,
1805, 9322, 1305.00, 5.51,
1816, 9475, 1255.00, 5.51,
1828, 9615, 1225.00, 5.51,
1839, 9746, 1195.00, 5.52,
1850, 9855, 1193.75, 5.54,
1861, 9946, 1181.25, 5.53,
1872, 10073, 1142.50, 5.54,
1883, 10183, 1145.00, 5.55,
1894, 10273, 1136.25, 5.57,
1906, 10402, 1113.75, 5.56,
1917, 10526, 1108.75, 5.57,
1928, 10623, 1068.75, 5.59,
1939, 10729, 1060.00, 5.60,
1950, 10830, 1048.75, 5.59,
1961, 10917, 1040.00, 5.61,
1972, 11021, 1013.75, 5.60,
1983, 11102, 1026.25, 5.61,
1994, 11177, 1008.75, 5.61,
2006, 11269, 995.00, 5.64,
2018, 11337, 982.50, 5.64,
2030, 11459, 963.75, 5.64,
2041, 11529, 950.00, 5.65,
2052, 11609, 947.50, 5.65,
2063, 11673, 921.25, 5.66,
2074, 11727, 928.75, 5.66,
2085, 11801, 913.75, 5.66,
2096, 11904, 902.50, 5.67,
2108, 11961, 893.75, 5.67,
2119, 12019, 893.75, 5.69,
2131, 12077, 865.00, 5.69,
2142, 12165, 876.25, 5.68,
2153, 12205, 863.75, 5.71,
2164, 12274, 851.25, 5.70,
2176, 12315, 833.75, 5.69,
2187, 12366, 831.25, 5.72,
2198, 12437, 828.75, 5.71,
2209, 12520, 812.50, 5.72,
2221, 12573, 808.75, 5.72,
2233, 12626, 797.50, 5.72,
2244, 12679, 796.25, 5.73,
2256, 12690, 783.75, 5.72,
2267, 12787, 777.50, 5.74,
2278, 12809, 781.25, 5.74,
2289, 12886, 772.50, 5.76,
2300, 12897, 757.50, 5.75,
2311, 12953, 756.25, 5.75,
2322, 12998, 753.75, 5.75,
2334, 13043, 746.25, 5.76,
2347, 13100, 742.50, 5.76,
2358, 13134, 726.25, 5.75,
2370, 13181, 733.75, 5.76,
2382, 13239, 720.00, 5.76,
2394, 13262, 713.75, 5.76,
2406, 13321, 705.00, 5.77,
2418, 13357, 713.75, 5.79,
2430, 13428, 700.00, 5.79,
2442, 13416, 692.50, 5.78,
2454, 13464, 691.25, 5.77,
2466, 13477, 683.75, 5.78,
2478, 13501, 667.50, 5.79,
2490, 13550, 663.75, 5.79,
2502, 13611, 666.25, 5.81,
2514, 13586, 675.00, 5.78,
2526, 13661, 668.75, 5.81,
2538, 13698, 661.25, 5.80,
2550, 13736, 648.75, 5.81,
2561, 13761, 653.75, 5.81,
2572, 13786, 650.00, 5.81,
2583, 13812, 648.75, 5.81,
2594, 13837, 646.25, 5.82,
2605, 13850, 640.00, 5.81,
2616, 13888, 642.50, 5.82,
2627, 13901, 638.75, 5.81,
2639, 13927, 625.00, 5.80,
2650, 13953, 623.75, 5.82,
2661, 13992, 625.00, 5.81,
2672, 13992, 631.25, 5.82,
2683, 13979, 622.50, 5.81,
2694, 14018, 595.00, 5.82,
2705, 14058, 592.50, 5.81,
2717, 14084, 596.25, 5.82,
2729, 14111, 607.50, 5.83,
2740, 14111, 593.75, 5.82,
2751, 14150, 601.25, 5.83,
2762, 14177, 606.25, 5.83,
2774, 14191, 601.25, 5.84,
2785, 14204, 590.00, 5.82,
2796, 14231, 563.75, 5.83,
2807, 14245, 583.75, 5.83,
2819, 14258, 585.00, 5.84,
2831, 14272, 591.25, 5.84,
2843, 14312, 586.25, 5.83,
2854, 14326, 590.00, 5.84,
2865, 14354, 561.25, 5.83,
2876, 14354, 577.50, 5.84,
2887, 14367, 572.50, 5.84,
2898, 14354, 581.25, 5.84,
2909, 14395, 581.25, 5.85,
2921, 14409, 552.50, 5.85,
2933, 14436, 565.00, 5.84,
2945, 14450, 575.00, 5.85,
2957, 14478, 575.00, 5.84,
2969, 14492, 557.50, 5.84,
2981, 14506, 568.75, 5.86,
2993, 14506, 563.75, 5.85,
3005, 14534, 566.25, 5.85,
3017, 14548, 550.00, 5.86,
3028, 14563, 561.25, 5.86,
3039, 14563, 563.75, 5.85,
3050, 14534, 547.50, 5.86,
3061, 14577, 553.75, 5.86,
3072, 14534, 563.75, 5.86,
3083, 14619, 555.00, 5.86,
3094, 14619, 543.75, 5.85,
3106, 14634, 546.25, 5.86,
3117, 14648, 555.00, 5.85,
3128, 14662, 543.75, 5.86,
3139, 14677, 548.75, 5.87,
3150, 14691, 546.25, 5.87,
3161, 14705, 537.50, 5.86,
3172, 14705, 540.00, 5.86,
3184, 14720, 547.50, 5.87,
3195, 14734, 541.25, 5.86,
3206, 14720, 543.75, 5.87,
3217, 14749, 543.75, 5.87,
3228, 14749, 548.75, 5.86,
3239, 14749, 540.00, 5.88,
3250, 14778, 531.25, 5.87,
3261, 14778, 532.50, 5.86,
3273, 14792, 535.00, 5.86,
3286, 14807, 538.75, 5.87,
3298, 14807, 523.75, 5.86,
3309, 14807, 535.00, 5.87,
3321, 14792, 533.75, 5.86,
3332, 14836, 533.75, 5.87,
3343, 14851, 530.00, 5.87,
3354, 14851, 520.00, 5.87,
3365, 14851, 532.50, 5.88,
3376, 14866, 527.50, 5.88,
3387, 14866, 526.25, 5.86,
3399, 14880, 520.00, 5.88,
3411, 14880, 522.50, 5.87,
3423, 14895, 528.75, 5.88,
3435, 14895, 525.00, 5.88,
3447, 14925, 518.75, 5.88,
3459, 14851, 522.50, 5.87,
3471, 14910, 516.25, 5.86,
3483, 14940, 521.25, 5.88,
3495, 14940, 511.25, 5.87,
3507, 14925, 518.75, 5.89,
3519, 14940, 521.25, 5.87,
3531, 14955, 517.50, 5.89,
3542, 14955, 517.50, 5.86,
3553, 14910, 518.75, 5.88,
3564, 14925, 520.00, 5.89,
3575, 14970, 508.75, 5.87,
3586, 14955, 516.25, 5.88,
3597, 14985, 517.50, 5.88,
3609, 14985, 516.25, 5.88,
3620, 14940, 520.00, 5.89,
3631, 15015, 515.00, 5.87,
3642, 14985, 511.25, 5.87,
3653, 15030, 508.75, 5.88,
