Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 8.28,
16, 0, 0, 8.28,
28, 0, 0, 8.28,
39, 0, 0, 8.28,
50, 0, 0, 8.28,
61, 0, 0, 8.28,
72, 0, 0, 8.28,
83, 0, 0, 8.28,
94, 0, 0, 8.28,
105, 0, 0, 8.28,
116, 0, 0, 8.28,
128, 0, 0, 8.28,
139, 0, 0, 8.28,
150, 0, 0, 8.28,
162, 0, 0, 8.28,
173, 0, 0, 8.28,
184, 0, 0, 8.28,
195, 0, 0, 8.28,
206, 0, 1, 8.28,
217, 0, 0, 8.28,
228, 0, 0, 8.28,
239, 0, 0, 8.28,
250, 0, 0, 8.28,
261, 0, 0, 8.28,
273, 0, 0, 8.28,
284, 0, 0, 8.28,
295, 0, 0, 8.28,
306, 0, 0, 8.28,
317, 0, 0, 8.28,
328, 0, 0, 8.28,
339, 0, 0, 8.28,
350, 0, 0, 8.28,
361, 0, 0, 8.28,
372, 0, 0, 8.28,
385, 0, 0, 8.28,
396, 0, 0, 8.28,
407, 0, 0, 8.28,
418, 0, 0, 8.28,
429, 0, 0, 8.28,
440, 0, 0, 8.28,
451, 0, 0, 8.28,
462, 0, 0, 8.28,
473, 0, 1, 8.28,
484, 0, 0, 8.28,
496, 0, 0, 8.28,
507, 0, 0, 8.28,
518, 0, 0, 8.28,
529, 0, 0, 8.28,
540, 0, 0, 8.28,
551, 0, 1, 8.28,
562, 0, 0, 8.28,
573, 0, 0, 8.28,
584, 0, 0, 8.28,
595, 0, 3920, 7.30,
606, 0, 3843, 7.30,
617, 0, 3784, 7.34,
628, 0, 3744, 7.37,
640, 94, 3660, 7.43,
651, 94, 3500, 7.44,
663, 2466, 3499, 7.47,
674, 2466, 3405, 7.46,
685, 3322, 3375, 7.49,
696, 3960, 3031, 7.49,
707, 4489, 2976, 7.50,
718, 4948, 2958, 7.56,
729, 5353, 2975, 7.56,
740, 5723, 2899, 7.58,
751, 6058, 2748, 7.60,
762, 6372, 2884, 7.59,
774, 6663, 2744, 7.62,
785, 7190, 2653, 7.63,
796, 7436, 2531, 7.64,
808, 7886, 2518, 7.66,
819, 8094, 2385, 7.67,
830, 8455, 2354, 7.69,
841, 8680, 2303, 7.70,
852, 9025, 2308, 7.72,
864, 9322, 2263, 7.73,
875, 9664, 2184, 7.73,
886, 9810, 2038, 7.73,
897, 10094, 2091, 7.75,
908, 10359, 2038, 7.75,
919, 10615, 1974, 7.75,
931, 10853, 1948, 7.76,
942, 11086, 1909, 7.76,
953, 11303, 1871, 7.76,
965, 11609, 1826, 7.80,
976, 11829, 1780, 7.79,
987, 11980, 1750, 7.79,
999, 12185, 1745, 7.80,
1010, 12437, 1720, 7.81,
1021, 12615, 1664, 7.82,
1033, 12853, 1666, 7.83,
1045, 12998, 1641, 7.83,
1056, 13227, 1574, 7.84,
1067, 13368, 1574, 7.85,
1078, 13537, 1554, 7.86,
1089, 13673, 1515, 7.86,
1100, 13914, 1488, 7.85,
1111, 14018, 1463, 7.86,
1122, 14204, 1448, 7.88,
1133, 14409, 1443, 7.88,
1144, 14478, 1410, 7.87,
1155, 14648, 1400, 7.86,
1166, 14792, 1350, 7.87,
1177, 14895, 1343, 7.85,
1189, 15045, 1311, 7.87,
1200, 15182, 1310, 7.88,
1211, 15321, 1276, 7.88,
1222, 15447, 1268, 7.88,
1233, 15641, 1254, 7.90,
1244, 15592, 1239, 7.90,
1255, 15772, 1221, 7.90,
1266, 15889, 1204, 7.89,
1277, 15957, 1181, 7.90,
1288, 16129, 1170, 7.90,
1299, 16233, 1161, 7.90,
1310, 16251, 1153, 7.90,
1321, 16411, 1130, 7.89,
1332, 16501, 1118, 7.89,
1343, 16538, 1100, 7.87,
1354, 16722, 1073, 7.89,
1367, 16853, 1064, 7.89,
1378, 16930, 1050, 7.89,
1389, 17026, 1040, 7.91,
1400, 17103, 1016, 7.89,
1411, 17182, 1013, 7.88,
1422, 17301, 1004, 7.89,
1433, 17381, 989, 7.90,
1445, 17441, 976, 7.91,
1456, 17523, 970, 7.87,
1467, 17626, 953, 7.86,
1479, 17688, 945, 7.85,
1490, 17772, 946, 7.87,
1501, 17835, 928, 7.86,
1513, 17878, 916, 7.83,
1524, 17964, 906, 7.86,
1536, 18028, 890, 7.84,
1547, 18072, 883, 7.81,
1558, 18159, 881, 7.86,
1569, 18159, 881, 7.88,
1581, 18292, 879, 7.90,
1592, 18337, 879, 7.92,
1603, 18382, 878, 7.95,
1614, 18450, 878, 7.94,
1625, 18518, 861, 7.95,
1636, 18587, 849, 7.92,
1648, 18610, 844, 7.94,
1659, 18679, 835, 7.93,
1670, 18726, 828, 7.88,
1682, 18820, 799, 7.91,
1693, 18844, 804, 7.88,
1704, 18867, 791, 7.87,
1716, 18915, 791, 7.85,
1727, 18963, 793, 7.84,
1738, 19011, 766, 7.85,
1750, 19035, 780, 7.86,
1761, 19181, 780, 7.88,
1772, 19108, 771, 7.86,
1783, 19206, 781, 7.89,
1794, 19206, 770, 7.88,
1805, 19230, 775, 7.91,
1816, 19255, 756, 7.89,
1827, 19305, 759, 7.92,
1838, 19305, 754, 7.89,
1850, 19354, 750, 7.93,
1861, 19404, 750, 7.92,
1872, 19455, 749, 7.94,
1884, 19480, 735, 7.92,
1895, 19531, 738, 7.93,
1906, 19556, 733, 7.93,
1917, 19582, 728, 7.93,
1928, 19607, 720, 7.92,
1939, 19633, 721, 7.94,
1951, 19685, 709, 7.93,
1963, 19685, 718, 7.94,
1974, 19710, 700, 7.90,
1985, 19736, 696, 7.91,
1996, 19762, 695, 7.91,
2007, 19788, 696, 7.92,
2019, 19841, 700, 7.94,
2030, 19867, 691, 7.94,
2041, 19893, 704, 7.96,
2053, 19893, 690, 7.94,
2064, 19920, 700, 7.96,
2075, 19946, 693, 7.94,
2086, 19973, 676, 7.94,
2097, 20000, 684, 7.94,
2108, 20026, 688, 7.93,
2120, 20053, 684, 7.96,
2131, 20053, 680, 7.94,
2142, 20080, 681, 7.96,
2154, 20107, 674, 7.95,
2165, 20107, 670, 7.95,
2176, 20134, 678, 7.96,
2188, 20270, 676, 7.93,
2199, 20188, 668, 7.96,
2210, 20215, 666, 7.97,
2222, 20242, 663, 7.94,
2233, 20242, 663, 7.96,
2244, 20215, 660, 7.94,
2255, 20270, 658, 7.95,
2266, 20215, 653, 7.97,
2277, 20325, 643, 7.94,
2288, 20325, 650, 7.95,
2299, 20352, 649, 7.98,
