Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 8.37,
16, 0, 0, 8.37,
28, 0, 0, 8.37,
39, 0, 0, 8.37,
50, 0, 0, 8.37,
61, 0, 1, 8.37,
72, 0, 0, 8.37,
83, 0, 1, 8.37,
94, 0, 0, 8.37,
105, 0, 0, 8.37,
116, 0, 0, 8.37,
128, 0, 0, 8.37,
139, 0, 0, 8.37,
150, 0, 0, 8.37,
161, 0, 0, 8.37,
172, 0, 0, 8.37,
184, 0, 0, 8.37,
195, 0, 0, 8.37,
206, 0, 0, 8.37,
217, 0, 0, 8.37,
228, 0, 0, 8.37,
239, 0, 0, 8.37,
250, 0, 0, 8.37,
261, 0, 0, 8.37,
272, 0, 0, 8.37,
284, 0, 0, 8.37,
295, 0, 0, 8.37,
306, 0, 0, 8.37,
317, 0, 0, 8.37,
328, 0, 0, 8.37,
339, 0, 0, 8.37,
350, 0, 1, 8.37,
361, 0, 0, 8.37,
372, 0, 0, 8.37,
384, 0, 0, 8.37,
396, 0, 0, 8.37,
407, 0, 0, 8.37,
418, 0, 0, 8.37,
429, 0, 4236, 8.28,
440, 0, 4288, 8.27,
451, 0, 4121, 8.27,
462, 132, 4025, 8.27,
473, 132, 3960, 8.27,
484, 2072, 3924, 8.27,
495, 2072, 3714, 8.28,
506, 3134, 3759, 8.28,
518, 3134, 3488, 8.28,
529, 3858, 3558, 8.28,
540, 4441, 3431, 8.29,
552, 4937, 3249, 8.29,
563, 5382, 3163, 8.29,
574, 5773, 3076, 8.29,
586, 6462, 3126, 8.29,
598, 6768, 2988, 8.29,
609, 7058, 2909, 8.29,
621, 7587, 2889, 8.29,
632, 8042, 2805, 8.30,
643, 8291, 2564, 8.30,
655, 8680, 2630, 8.30,
666, 8907, 2440, 8.30,
677, 9276, 2379, 8.30,
688, 9621, 2413, 8.31,
699, 9953, 2364, 8.30,
711, 10259, 2288, 8.31,
722, 10548, 2246, 8.31,
733, 10721, 2199, 8.31,
744, 10964, 2169, 8.31,
755, 11337, 2084, 8.31,
766, 11583, 2066, 8.31,
778, 11801, 2008, 8.31,
789, 12009, 1950, 8.31,
800, 12325, 1958, 8.31,
812, 12520, 1890, 8.31,
823, 12711, 1866, 8.31,
834, 12975, 1819, 8.31,
845, 13157, 1776, 8.32,
856, 13416, 1763, 8.32,
867, 13562, 1680, 8.32,
879, 13812, 1669, 8.32,
890, 14018, 1661, 8.32,
901, 14177, 1616, 8.32,
913, 14367, 1625, 8.32,
924, 14563, 1559, 8.32,
935, 14705, 1564, 8.32,
947, 14880, 1546, 8.32,
958, 15060, 1503, 8.32,
969, 15228, 1461, 8.32,
980, 15400, 1439, 8.32,
991, 15560, 1418, 8.32,
1002, 15608, 1400, 8.32,
1014, 15756, 1375, 8.32,
1025, 15940, 1368, 8.33,
1036, 16094, 1354, 8.32,
1047, 16233, 1320, 8.33,
1058, 16393, 1303, 8.33,
1069, 16411, 1285, 8.33,
1080, 16611, 1270, 8.33,
1091, 16759, 1248, 8.33,
1102, 16891, 1244, 8.33,
1113, 16930, 1219, 8.33,
1124, 17103, 1205, 8.33,
1135, 17221, 1185, 8.33,
1146, 17321, 1168, 8.33,
1157, 17421, 1156, 8.33,
1168, 17523, 1144, 8.33,
1179, 17647, 1124, 8.33,
1191, 17751, 1109, 8.33,
1202, 17857, 1106, 8.33,
1213, 17942, 1081, 8.33,
1224, 18007, 1070, 8.33,
1235, 18137, 1063, 8.33,
1246, 18226, 1054, 8.33,
1257, 18315, 1044, 8.33,
1268, 18404, 1033, 8.33,
1280, 18472, 1024, 8.33,
1291, 18541, 1011, 8.33,
1303, 18703, 1008, 8.33,
1314, 18726, 995, 8.33,
1325, 18773, 989, 8.33,
1336, 18867, 983, 8.34,
1347, 18939, 974, 8.34,
1358, 19011, 966, 8.34,
1370, 19083, 950, 8.34,
1381, 19132, 941, 8.34,
1392, 19206, 935, 8.34,
1403, 19280, 929, 8.34,
1414, 19329, 918, 8.34,
1425, 19404, 910, 8.34,
1437, 19480, 899, 8.34,
1448, 19531, 893, 8.34,
1459, 19480, 880, 8.34,
1470, 19633, 874, 8.34,
1481, 19685, 873, 8.34,
1492, 19762, 858, 8.34,
1504, 19815, 853, 8.34,
1515, 19867, 855, 8.34,
1526, 19893, 850, 8.34,
1538, 19946, 834, 8.34,
1549, 20026, 826, 8.34,
1560, 20134, 825, 8.34,
1571, 20107, 821, 8.34,
1582, 20134, 806, 8.34,
1593, 20188, 815, 8.34,
1605, 20242, 816, 8.34,
1616, 20297, 808, 8.34,
1627, 20325, 808, 8.34,
1639, 20380, 798, 8.34,
1650, 20435, 793, 8.34,
1661, 20463, 790, 8.34,
1673, 20408, 796, 8.34,
1684, 20519, 798, 8.34,
1695, 20547, 798, 8.34,
1707, 20547, 781, 8.34,
1718, 20661, 779, 8.34,
1729, 20604, 779, 8.34,
1740, 20689, 760, 8.34,
1751, 20718, 766, 8.34,
1762, 20746, 764, 8.34,
1774, 20804, 758, 8.34,
1785, 20833, 753, 8.34,
1796, 20862, 738, 8.34,
1808, 20891, 729, 8.34,
1819, 20920, 735, 8.34,
1830, 20920, 731, 8.34,
1842, 20949, 728, 8.34,
1853, 20979, 711, 8.34,
1864, 21008, 706, 8.34,
1875, 21008, 714, 8.34,
1886, 21037, 706, 8.34,
1897, 21067, 704, 8.34,
1909, 21067, 695, 8.34,
1920, 21126, 698, 8.34,
1931, 21097, 710, 8.34,
1943, 21156, 691, 8.34,
1954, 21156, 701, 8.34,
1965, 21216, 691, 8.34,
1977, 21186, 685, 8.34,
1988, 21216, 695, 8.34,
1999, 21246, 685, 8.34,
2011, 21306, 684, 8.34,
2022, 21276, 675, 8.34,
2033, 21306, 679, 8.34,
2044, 21337, 674, 8.34,
2055, 21398, 680, 8.34,
2066, 21398, 669, 8.34,
2078, 21428, 674, 8.34,
2089, 21398, 680, 8.34,
2100, 21459, 676, 8.34,
2112, 21428, 668, 8.34,
2123, 21551, 659, 8.34,
2134, 21520, 661, 8.34,
2146, 21520, 669, 8.34,
2157, 21520, 659, 8.34,
2168, 21551, 649, 8.34,
2180, 21551, 644, 8.34,
2191, 21613, 651, 8.34,
2202, 21582, 650, 8.34,
2213, 21613, 641, 8.34,
2224, 21645, 659, 8.34,
2235, 21676, 654, 8.34,
2247, 21676, 648, 8.34,
2258, 21613, 638, 8.34,
2269, 21613, 643, 8.34,
2281, 21739, 638, 8.34,
2292, 21770, 644, 8.34,
2304, 21834, 644, 8.34,
2315, 21834, 628, 8.34,
2326, 21834, 638, 8.34,
2337, 21834, 638, 8.34,
2349, 21834, 635, 8.34,
2360, 21865, 633, 8.34,
2371, 21865, 635, 8.34,
2382, 21897, 634, 8.34,
2393, 21897, 615, 8.34,
2404, 21929, 625, 8.34,
2415, 21929, 618, 8.34,
2426, 21897, 620, 8.34,
2437, 21929, 604, 8.34,
2449, 21929, 619, 8.34,
2460, 21961, 608, 8.35,
2471, 21929, 605, 8.34,
2483, 21961, 625, 8.34,
2494, 21961, 608, 8.34,
2505, 21961, 614, 8.34,
2516, 21961, 606, 8.34,
2527, 21929, 606, 8.34,
2538, 21961, 603, 8.34,
2550, 21961, 626, 8.34,
2561, 21994, 625, 8.34,
2572, 21994, 628, 8.34,
2584, 21961, 624, 8.34,
2595, 21929, 625, 8.34,
2606, 21994, 608, 8.34,
2618, 21961, 618, 8.34,
2629, 21994, 603, 8.34,
2640, 21994, 613, 8.34,
2652, 21994, 613, 8.34,
2663, 21994, 601, 8.34,
2674, 21994, 605, 8.34,
2685, 21994, 605, 8.34,
2696, 22026, 600, 8.34,
2707, 21994, 598, 8.34,
2719, 21961, 590, 8.34,
2731, 22026, 601, 8.34,
2742, 21994, 605, 8.34,
2753, 22026, 601, 8.34,
2764, 22026, 605, 8.34,
2775, 22026, 608, 8.34,
2787, 22026, 609, 8.34,
2798, 22026, 606, 8.34,
2809, 22026, 603, 8.34,
2821, 21994, 604, 8.34,
2832, 22026, 601, 8.34,
2843, 22058, 593, 8.34,
2854, 22058, 594, 8.34,
2865, 22058, 591, 8.35,
2876, 22058, 590, 8.34,
2888, 22091, 584, 8.34,
2899, 22058, 579, 8.34,
2910, 22123, 586, 8.34,
2922, 22091, 585, 8.35,
2933, 21739, 601, 8.34,
2944, 21489, 615, 8.34,
2956, 20891, 671, 8.34,
2967, 20134, 725, 8.34,
2978, 19255, 764, 8.34,
2990, 18495, 884, 8.34,
3001, 17523, 993, 8.33,
3012, 16685, 1146, 8.33,
3023, 15690, 1340, 8.32,
3034, 14880, 1669, 8.32,
3045, 13054, 2300, 8.30,
3056, 9457, 3571, 8.28,
3067, 9457, 4218, 8.26,
3078, 9457, 4196, 8.26,
3090, 9457, 4198, 8.25,
3101, 9457, 4199, 8.25,
3112, 9457, 4200, 8.25,
3123, 9457, 4201, 8.25,
3134, 9457, 4196, 8.25,
3145, 9457, 4191, 8.25,
3156, 9457, 4185, 8.25,
3167, 9457, 4180, 8.25,
3179, 9457, 4176, 8.25,
3190, 9457, 4173, 8.25,
3201, 9457, 4165, 8.25,
3213, 9457, 4160, 8.25,
3224, 9457, 4149, 8.25,
3235, 9457, 4139, 8.25,
3247, 9457, 4134, 8.25,
3258, 9457, 4131, 8.25,
3269, 9457, 4128, 8.25,
3280, 9457, 4126, 8.25,
3291, 9457, 4126, 8.25,
3302, 9457, 4124, 8.25,
3314, 9457, 4118, 8.25,
3325, 9457, 4103, 8.25,
3336, 9457, 4099, 8.25,
3348, 9457, 4099, 8.25,
3359, 9457, 4096, 8.25,
3371, 9457, 4088, 8.25,
3382, 9457, 4086, 8.25,
3393, 9457, 4084, 8.25,
3404, 9457, 4083, 8.25,
3416, 9457, 4079, 8.25,
3427, 9457, 4075, 8.25,
3438, 9457, 4070, 8.25,
3449, 9457, 4069, 8.25,
3460, 9457, 4066, 8.25,
3471, 9457, 4066, 8.25,
3482, 9457, 4063, 8.24,
3493, 9457, 4059, 8.25,
3504, 9457, 4055, 8.25,
3515, 9457, 4050, 8.25,
3526, 9457, 4046, 8.25,
3537, 9457, 4045, 8.25,
3548, 9457, 4040, 8.24,
3559, 9457, 4038, 8.24,
3570, 9457, 4035, 8.24,
3581, 9457, 4034, 8.24,
3592, 9457, 4029, 8.24,
3603, 9457, 4026, 8.24,
3614, 9457, 4021, 8.24,
3625, 9457, 4016, 8.24,
3636, 9457, 4008, 8.24,
3647, 9457, 4005, 8.24,
3658, 9457, 4003, 8.24,
3670, 9457, 3999, 8.24,
3681, 9457, 3995, 8.24,
3692, 9457, 3993, 8.24,
3703, 9457, 3989, 8.24,
3714, 9457, 3988, 8.24,
3726, 9457, 3984, 8.24,
3737, 9457, 3980, 8.24,
3748, 9457, 3978, 8.24,
3760, 9457, 3974, 8.24,
3771, 9457, 3971, 8.24,
3782, 9457, 3968, 8.24,
3794, 9457, 3965, 8.24,
3805, 9457, 3959, 8.24,
3816, 9457, 3950, 8.24,
3827, 9457, 3949, 8.24,
3838, 9457, 3949, 8.24,
3849, 9457, 3945, 8.24,
3861, 9457, 3944, 8.24,
3872, 9457, 3938, 8.24,
3883, 9457, 3930, 8.24,
3895, 9457, 3928, 8.24,
3906, 9457, 3926, 8.24,
3917, 9457, 3925, 8.24,
3928, 9457, 3923, 8.24,
3939, 9457, 3921, 8.24,
3950, 9457, 3919, 8.24,
3962, 9457, 3916, 8.24,
3973, 9457, 3913, 8.24,
3984, 9457, 3909, 8.24,
3996, 9457, 3906, 8.24,
4007, 9457, 3903, 8.24,
4018, 9457, 3895, 8.24,
4030, 9457, 3893, 8.24,
4041, 9457, 3891, 8.24,
4052, 9457, 3890, 8.24,
4064, 9457, 3889, 8.24,
4075, 9457, 3885, 8.24,
4086, 9457, 3881, 8.24,
