Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 8.30,
16, 0, 0, 8.30,
28, 0, 0, 8.30,
39, 0, 0, 8.30,
50, 0, 0, 8.30,
61, 0, 0, 8.30,
72, 0, 0, 8.30,
83, 0, 0, 8.30,
94, 0, 0, 8.30,
105, 0, 0, 8.30,
116, 0, 0, 8.30,
128, 0, 0, 8.30,
139, 0, 0, 8.30,
150, 0, 0, 8.30,
162, 0, 0, 8.30,
173, 0, 1, 8.30,
184, 0, 1, 8.30,
195, 0, 0, 8.30,
206, 0, 0, 8.30,
217, 0, 0, 8.30,
228, 0, 0, 8.30,
239, 0, 0, 8.30,
250, 0, 0, 8.30,
261, 0, 0, 8.30,
272, 0, 0, 8.30,
283, 0, 0, 8.30,
295, 0, 0, 8.30,
306, 0, 0, 8.30,
317, 0, 0, 8.30,
328, 0, 0, 8.30,
339, 0, 0, 8.30,
350, 0, 0, 8.30,
361, 0, 0, 8.30,
372, 0, 0, 8.30,
384, 0, 0, 8.30,
395, 0, 1, 8.30,
407, 0, 0, 8.30,
418, 0, 0, 8.30,
429, 0, 0, 8.30,
440, 0, 0, 8.30,
451, 0, 0, 8.30,
462, 0, 0, 8.30,
473, 0, 0, 8.30,
484, 0, 0, 8.30,
495, 0, 0, 8.30,
506, 0, 0, 8.30,
517, 0, 0, 8.30,
529, 0, 1, 8.30,
540, 0, 0, 8.30,
551, 0, 0, 8.30,
562, 0, 0, 8.30,
573, 0, 0, 8.30,
584, 0, 0, 8.30,
595, 0, 0, 8.30,
606, 0, 0, 8.30,
617, 0, 0, 8.30,
628, 0, 0, 8.30,
640, 0, 0, 8.30,
652, 0, 0, 8.30,
663, 0, 0, 8.30,
674, 0, 0, 8.30,
685, 0, 0, 8.30,
696, 0, 0, 8.30,
707, 0, 0, 8.30,
718, 0, 0, 8.30,
729, 0, 0, 8.30,
740, 0, 0, 8.30,
751, 0, 0, 8.30,
763, 0, 0, 8.30,
774, 0, 3339, 7.35,
785, 0, 3273, 7.36,
796, 0, 3216, 7.40,
807, 0, 3146, 7.39,
818, 73, 3049, 7.42,
829, 73, 3028, 7.45,
840, 2385, 2999, 7.45,
851, 2385, 2911, 7.46,
862, 3163, 2865, 7.47,
874, 3163, 2779, 7.51,
885, 3748, 2726, 7.52,
896, 4244, 2613, 7.53,
907, 4635, 2591, 7.56,
918, 5026, 2496, 7.57,
930, 5362, 2504, 7.58,
941, 5683, 2359, 7.60,
952, 5971, 2311, 7.60,
964, 6485, 2284, 7.64,
975, 6723, 2280, 7.63,
986, 6957, 2193, 7.65,
997, 7153, 2185, 7.65,
1008, 7556, 2133, 7.65,
1019, 7776, 2116, 7.69,
1030, 8090, 1991, 7.70,
1041, 8269, 2029, 7.70,
1053, 8566, 1905, 7.71,
1064, 8880, 1891, 7.72,
1075, 9025, 1879, 7.73,
1086, 9270, 1866, 7.74,
1097, 9548, 1845, 7.75,
1108, 9791, 1795, 7.75,
1120, 9907, 1758, 7.76,
1131, 10141, 1788, 7.76,
1142, 10351, 1736, 7.78,
1154, 10555, 1668, 7.79,
1166, 10752, 1661, 7.80,
1177, 11029, 1659, 7.80,
1188, 11194, 1601, 7.81,
1199, 11389, 1585, 7.82,
1210, 11547, 1549, 7.82,
1221, 11709, 1551, 7.82,
1232, 11867, 1513, 7.84,
1243, 12009, 1480, 7.83,
1254, 12234, 1495, 7.84,
1265, 12345, 1463, 7.84,
1277, 12500, 1426, 7.85,
1288, 12722, 1411, 7.86,
1299, 12820, 1381, 7.85,
1310, 12942, 1360, 7.86,
1321, 13123, 1350, 7.87,
1332, 13239, 1348, 7.88,
1343, 13428, 1310, 7.88,
1354, 13513, 1294, 7.89,
1366, 13611, 1276, 7.88,
1377, 13761, 1256, 7.89,
1389, 13914, 1248, 7.90,
1400, 14058, 1239, 7.89,
1411, 14084, 1238, 7.90,
1422, 14231, 1211, 7.91,
1433, 14409, 1225, 7.91,
1444, 14436, 1181, 7.91,
1455, 14619, 1178, 7.92,
1466, 14749, 1149, 7.92,
1477, 14792, 1148, 7.92,
1488, 14925, 1139, 7.93,
1499, 15045, 1119, 7.93,
1510, 15136, 1100, 7.94,
1521, 15212, 1118, 7.95,
1533, 15353, 1101, 7.94,
1544, 15353, 1079, 7.95,
1555, 15511, 1069, 7.95,
1566, 15608, 1055, 7.95,
1579, 15706, 1046, 7.95,
1590, 15772, 1019, 7.96,
1601, 15822, 1031, 7.95,
1612, 15957, 1016, 7.96,
1623, 16042, 1011, 7.96,
1634, 16094, 1003, 7.97,
1645, 16198, 1000, 7.97,
1657, 16233, 988, 7.97,
1668, 16339, 988, 7.97,
1679, 16429, 979, 7.97,
1691, 16447, 961, 7.98,
1703, 16592, 950, 7.98,
1714, 16648, 943, 7.98,
1725, 16759, 934, 7.98,
1737, 16797, 924, 7.99,
1748, 16872, 908, 7.99,
1759, 16930, 910, 7.99,
1771, 17006, 909, 7.99,
1782, 17045, 896, 8.00,
1793, 17103, 889, 8.00,
1805, 17182, 890, 7.99,
1816, 17241, 881, 8.00,
1827, 17261, 858, 8.00,
1839, 17321, 859, 7.99,
1850, 17421, 860, 8.00,
1861, 17482, 861, 8.01,
1872, 17523, 859, 8.01,
1883, 17584, 840, 8.01,
1894, 17626, 843, 8.01,
1906, 17730, 843, 8.01,
1917, 17751, 824, 8.01,
1928, 17793, 828, 8.02,
1940, 17835, 828, 8.02,
1951, 17899, 811, 8.02,
1963, 17942, 818, 8.01,
1974, 17964, 806, 8.01,
1985, 18028, 799, 8.01,
