time (ms),time (s), rpm, mA, V
707,0,0,0,8.38
718,0.011,0,3441,8.3
729,0.022,0,3381,8.3
740,0.033,0,3310,8.3
752,0.045,0,3254,8.3
763,0.056,78,3159,8.3
774,0.067,78,3094,8.3
785,0.078,2608,2981,8.3
797,0.09,2608,3001,8.31
808,0.101,3342,2948,8.31
819,0.112,3897,2635,8.31
830,0.123,3897,2806,8.31
841,0.134,4375,2734,8.31
852,0.145,4792,2513,8.31
863,0.156,5161,2613,8.31
874,0.167,5486,2571,8.31
886,0.179,5816,2385,8.31
897,0.19,6350,2366,8.31
908,0.201,6605,2336,8.32
919,0.212,6836,2214,8.32
930,0.223,7270,2199,8.32
942,0.235,7477,2145,8.32
953,0.246,7696,2089,8.32
964,0.257,8038,2034,8.32
976,0.269,8375,2033,8.32
987,0.28,8537,1966,8.32
998,0.291,8823,1996,8.32
1010,0.303,9124,1958,8.32
1021,0.314,9270,1956,8.32
1032,0.325,9529,1883,8.32
1044,0.337,9778,1806,8.32
1055,0.348,10020,1821,8.33
1067,0.36,10245,1756,8.33
1078,0.371,10467,1734,8.33
1089,0.382,10638,1723,8.33
1100,0.393,10869,1674,8.33
1111,0.404,11061,1660,8.33
1122,0.415,11244,1649,8.33
1133,0.426,11424,1618,8.33
1144,0.437,11583,1578,8.33
1155,0.448,11709,1593,8.33
1166,0.459,11923,1550,8.33
1177,0.47,12155,1520,8.33
1189,0.482,12295,1493,8.33
1200,0.493,12437,1490,8.33
1211,0.504,12605,1478,8.33
1222,0.515,12776,1438,8.33
1233,0.526,12975,1444,8.33
1244,0.537,13089,1409,8.33
1255,0.548,13181,1388,8.33
1266,0.559,13380,1383,8.34
1277,0.57,13513,1374,8.34
1288,0.581,13636,1350,8.34
1299,0.592,13761,1334,8.34
1310,0.603,13888,1325,8.34
1321,0.614,14044,1298,8.34
1332,0.625,14191,1290,8.34
1343,0.636,14326,1268,8.34
1354,0.647,14409,1243,8.34
1367,0.66,14478,1238,8.34
1378,0.671,14662,1230,8.34
1389,0.682,14792,1210,8.34
1400,0.693,14880,1183,8.34
1411,0.704,14970,1180,8.34
1422,0.715,15120,1181,8.34
1433,0.726,15228,1155,8.34
1445,0.738,15306,1136,8.34
1456,0.749,15463,1124,8.34
1467,0.76,15495,1120,8.34
1478,0.771,15592,1116,8.34
1489,0.782,15657,1096,8.34
1500,0.793,15822,1089,8.34
1511,0.804,15906,1079,8.34
1522,0.815,16008,1085,8.34
1533,0.826,16111,1071,8.34
1544,0.837,16163,1051,8.34
1555,0.848,16268,1034,8.34
1566,0.859,16304,1031,8.34
1577,0.87,16429,1015,8.34
1588,0.881,16519,1018,8.34
1599,0.892,16592,1006,8.34
1610,0.903,16666,990,8.34
1623,0.916,16797,990,8.34
1634,0.927,16835,975,8.35
1645,0.938,16910,966,8.35
1656,0.949,17064,961,8.35
1667,0.96,17045,954,8.35
1678,0.971,17123,943,8.35
1690,0.983,17201,930,8.35
1701,0.994,17241,935,8.35
1712,1.005,17321,920,8.35
1724,1.017,17381,913,8.35
1735,1.028,17462,906,8.35
1746,1.039,17523,905,8.35
1757,1.05,17584,895,8.35
1768,1.061,17626,883,8.35
1779,1.072,17688,889,8.35
1790,1.083,17730,881,8.35
1801,1.094,17793,880,8.35
1812,1.105,17709,866,8.35
1824,1.117,17899,858,8.35
1835,1.128,17942,855,8.35
1846,1.139,18028,854,8.35
1858,1.151,18072,858,8.35
1869,1.162,18115,830,8.35
1880,1.173,18159,821,8.35
1892,1.185,18248,829,8.35
1903,1.196,18248,821,8.35
1914,1.207,18248,815,8.35
