time (ms),time (s), rpm, mA, V
932,0,0,0,6.21
943,0.011,0,1685,6.21
955,0.023,0,2356,5.05
966,0.034,0,2290,5.06
977,0.045,0,2219,5.06
988,0.056,60,2171,5.08
999,0.067,60,2103,5.1
1011,0.079,60,2065,5.13
1022,0.09,1655,2016,5.11
1033,0.101,1655,1990,5.12
1044,0.112,1655,1943,5.15
1055,0.123,2421,1923,5.17
1067,0.135,2948,1864,5.19
1079,0.147,2948,1845,5.19
1090,0.158,3384,1793,5.19
1101,0.169,3730,1759,5.2
1113,0.181,3730,1728,5.23
1124,0.192,4057,1708,5.23
1135,0.203,4350,1656,5.27
1146,0.214,4596,1645,5.27
1157,0.225,4844,1645,5.27
1168,0.236,5065,1573,5.29
1180,0.248,5276,1544,5.29
1191,0.259,5474,1561,5.33
1202,0.27,5660,1486,5.32
1214,0.282,5836,1484,5.32
1225,0.293,6004,1445,5.35
1236,0.304,6183,1440,5.37
1248,0.316,6462,1373,5.36
1259,0.327,6605,1388,5.39
1270,0.338,6738,1361,5.38
1282,0.35,6861,1355,5.38
1293,0.361,7115,1339,5.4
1304,0.372,7228,1304,5.42
1315,0.383,7349,1264,5.43
1326,0.394,7556,1290,5.43
1337,0.405,7664,1241,5.43
1349,0.417,7861,1246,5.44
1360,0.428,7974,1190,5.46
1371,0.439,8134,1159,5.45
1383,0.451,8241,1170,5.47
1394,0.462,8389,1134,5.47
1405,0.473,8547,1129,5.49
1417,0.485,8630,1115,5.49
1428,0.496,8761,1094,5.5
1439,0.507,8896,1086,5.51
1451,0.519,8987,1078,5.51
1462,0.53,9101,1078,5.52
1473,0.541,9259,1065,5.53
1484,0.552,9334,1053,5.53
1495,0.563,9439,1030,5.53
1506,0.574,9560,1024,5.54
1518,0.586,9677,959,5.53
1529,0.597,9791,991,5.56
1540,0.608,9836,974,5.55
1551,0.619,9940,948,5.56
1562,0.63,10046,949,5.56
1573,0.641,10141,929,5.56
1584,0.652,10238,919,5.57
1595,0.663,10330,904,5.58
1607,0.675,10395,904,5.57
1618,0.686,10511,900,5.59
1629,0.697,10593,885,5.59
1641,0.709,10660,878,5.59
1652,0.72,10760,870,5.59
1664,0.732,10838,865,5.59
1675,0.743,10909,873,5.59
1686,0.754,10989,858,5.61
1697,0.765,11021,843,5.61
1709,0.777,11127,839,5.62
1720,0.788,11185,828,5.62
1731,0.799,11269,811,5.63
1742,0.81,11329,796,5.64
1753,0.821,11424,789,5.63
1764,0.832,11467,789,5.64
1776,0.844,11538,775,5.64
1787,0.855,11609,775,5.65
1798,0.866,11664,769,5.65
1810,0.878,11746,756,5.65
1821,0.889,11792,768,5.65
1832,0.9,11829,748,5.66
1843,0.911,11904,739,5.66
1854,0.922,11876,735,5.66
1865,0.933,12019,739,5.66
1876,0.944,12077,730,5.67
1887,0.955,12077,724,5.66
1898,0.966,12165,719,5.68
1910,0.978,12234,716,5.68
1921,0.989,12274,704,5.68
1932,1,12315,700,5.68
1944,1.012,12376,696,5.68
1955,1.023,12417,693,5.68
1966,1.034,12448,686,5.68
1978,1.046,12510,680,5.69
1989,1.057,12562,676,5.69
2000,1.068,12594,680,5.69
2012,1.08,12647,666,5.7
2023,1.091,12679,665,5.69
2034,1.102,12722,675,5.7
2045,1.113,12776,660,5.7
2056,1.124,12809,655,5.7
2067,1.135,12842,648,5.71
2079,1.147,12875,644,5.71
2091,1.159,12931,643,5.71
2102,1.17,12987,630,5.71
2113,1.181,12998,629,5.71
2124,1.192,12998,635,5.72
2135,1.203,13066,620,5.71
2147,1.215,13111,618,5.72
2158,1.226,13146,618,5.72
2169,1.237,13181,621,5.72
2181,1.249,13215,618,5.72
2192,1.26,13250,601,5.72
2203,1.271,13274,603,5.72
2214,1.282,13309,604,5.73
2225,1.293,13333,609,5.73
2236,1.304,13357,594,5.73
2248,1.316,13392,588,5.73
2259,1.327,13428,588,5.74
2270,1.338,13404,580,5.74
2282,1.35,13489,575,5.74
2293,1.361,13464,574,5.74
2304,1.372,13537,580,5.74
2316,1.384,13537,578,5.75
2327,1.395,13586,574,5.74
2338,1.406,13611,570,5.75
2350,1.418,13623,561,5.75
2361,1.429,13661,560,5.75
2372,1.44,13623,561,5.75
2383,1.451,13711,560,5.75
2394,1.462,13723,550,5.75
2405,1.473,13748,550,5.76
2417,1.485,13761,553,5.76
2428,1.496,13761,556,5.76
2439,1.507,13799,546,5.76
2451,1.519,13799,541,5.76
2462,1.53,13850,540,5.76
2473,1.541,13812,543,5.76
2485,1.553,13888,536,5.76
2496,1.564,13914,531,5.76
2507,1.575,13914,535,5.76
2519,1.587,13940,536,5.77
2530,1.598,13966,528,5.76
2541,1.609,13940,533,5.77
2552,1.62,13992,531,5.77
2563,1.631,14005,524,5.77
2574,1.642,14031,528,5.77
2586,1.654,14044,520,5.77
2597,1.665,14005,524,5.77
2608,1.676,14071,515,5.77
