Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 8.29,
16, 0, 0, 8.29,
28, 0, 0, 8.29,
39, 0, 0, 8.29,
50, 0, 0, 8.29,
61, 0, 0, 8.29,
72, 0, 0, 8.29,
83, 0, 0, 8.29,
94, 0, 0, 8.29,
105, 0, 0, 8.29,
116, 0, 0, 8.29,
128, 0, 0, 8.29,
139, 0, 0, 8.29,
150, 0, 0, 8.29,
161, 0, 0, 8.29,
172, 0, 0, 8.29,
183, 0, 0, 8.29,
195, 0, 0, 8.29,
206, 0, 0, 8.29,
217, 0, 0, 8.29,
228, 0, 0, 8.29,
239, 0, 0, 8.29,
250, 0, 0, 8.29,
261, 0, 0, 8.29,
272, 0, 0, 8.29,
283, 0, 0, 8.29,
294, 0, 0, 8.29,
305, 0, 0, 8.29,
316, 0, 0, 8.29,
328, 0, 0, 8.29,
339, 0, 0, 8.29,
350, 0, 0, 8.29,
361, 0, 0, 8.29,
372, 0, 0, 8.29,
384, 0, 0, 8.29,
395, 0, 0, 8.29,
406, 0, 3498, 7.39,
417, 0, 3439, 7.42,
428, 0, 3353, 7.39,
439, 137, 3274, 7.41,
450, 137, 3213, 7.44,
461, 137, 3174, 7.45,
472, 2081, 3129, 7.47,
483, 2081, 3084, 7.54,
494, 2983, 2960, 7.51,
506, 3627, 2925, 7.55,
517, 4163, 2726, 7.54,
528, 4163, 2759, 7.58,
539, 4613, 2748, 7.58,
550, 5006, 2586, 7.60,
562, 5385, 2566, 7.61,
573, 6004, 2533, 7.64,
584, 6289, 2523, 7.64,
596, 6553, 2538, 7.66,
607, 6805, 2446, 7.68,
618, 7253, 2291, 7.69,
630, 7481, 2285, 7.70,
641, 7882, 2188, 7.69,
652, 8064, 2196, 7.70,
663, 8398, 2120, 7.72,
674, 8591, 2104, 7.73,
686, 8907, 1999, 7.72,
697, 9208, 1936, 7.73,
708, 9380, 1891, 7.75,
720, 9627, 1908, 7.76,
731, 9881, 1969, 7.77,
742, 10135, 1821, 7.77,
754, 10344, 1863, 7.77,
765, 10570, 1799, 7.79,
776, 10806, 1763, 7.81,
788, 11005, 1736, 7.81,
799, 11202, 1723, 7.82,
811, 11485, 1689, 7.82,
822, 11627, 1650, 7.82,
834, 11829, 1616, 7.83,
845, 12000, 1600, 7.85,
856, 12195, 1565, 7.84,
868, 12376, 1536, 7.84,
879, 12489, 1535, 7.84,
890, 12765, 1499, 7.84,
902, 12908, 1475, 7.84,
913, 13100, 1469, 7.83,
924, 13227, 1431, 7.84,
935, 13345, 1408, 7.86,
946, 13501, 1401, 7.87,
957, 13661, 1400, 7.88,
969, 13799, 1379, 7.88,
980, 13979, 1345, 7.88,
991, 14031, 1343, 7.88,
1003, 14164, 1291, 7.90,
1014, 14381, 1280, 7.89,
1025, 14478, 1271, 7.89,
1036, 14563, 1259, 7.90,
1047, 14749, 1240, 7.89,
1058, 14880, 1229, 7.86,
1069, 14970, 1181, 7.83,
1080, 15090, 1170, 7.84,
1091, 15197, 1169, 7.84,
1102, 15306, 1166, 7.85,
1113, 15432, 1148, 7.86,
1124, 15495, 1130, 7.87,
1135, 15592, 1114, 7.87,
1147, 15690, 1101, 7.87,
1158, 15806, 1083, 7.88,
1169, 15889, 1084, 7.88,
1180, 15940, 1058, 7.88,
1191, 16094, 1063, 7.89,
1202, 16181, 1035, 7.89,
1213, 16198, 1041, 7.89,
1224, 16339, 1025, 7.88,
