Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 8.37,
16, 0, 1, 8.38,
28, 0, 0, 8.38,
39, 0, 0, 8.37,
50, 0, 0, 8.37,
61, 0, 0, 8.37,
72, 0, 0, 8.37,
83, 0, 0, 8.37,
94, 0, 0, 8.38,
105, 0, 0, 8.38,
116, 0, 0, 8.37,
128, 0, 0, 8.38,
139, 0, 0, 8.37,
150, 0, 0, 8.37,
162, 0, 0, 8.37,
174, 0, 0, 8.38,
185, 0, 0, 8.37,
196, 0, 0, 8.37,
207, 0, 0, 8.38,
218, 0, 0, 8.37,
229, 0, 0, 8.38,
240, 0, 0, 8.37,
251, 0, 0, 8.38,
262, 0, 0, 8.37,
274, 0, 0, 8.38,
285, 0, 0, 8.38,
296, 0, 0, 8.37,
307, 0, 0, 8.37,
318, 0, 0, 8.38,
329, 0, 0, 8.38,
340, 0, 1, 8.37,
351, 0, 1, 8.37,
362, 0, 0, 8.38,
373, 0, 0, 8.38,
384, 0, 0, 8.38,
396, 0, 0, 8.37,
407, 0, 0, 8.37,
418, 0, 0, 8.37,
429, 0, 0, 8.37,
440, 0, 1, 8.37,
451, 0, 0, 8.37,
462, 0, 0, 8.38,
473, 0, 0, 8.38,
484, 0, 0, 8.37,
495, 0, 3, 8.37,
507, 0, 0, 8.37,
518, 0, 0, 8.37,
529, 0, 0, 8.38,
540, 0, 0, 8.37,
551, 0, 0, 8.38,
562, 0, 0, 8.37,
573, 0, 0, 8.38,
584, 0, 0, 8.38,
595, 0, 0, 8.38,
606, 0, 0, 8.37,
617, 0, 0, 8.37,
629, 0, 0, 8.37,
640, 0, 0, 8.37,
651, 0, 0, 8.38,
662, 0, 0, 8.37,
673, 0, 0, 8.37,
684, 0, 0, 8.38,
695, 0, 0, 8.37,
706, 0, 0, 8.37,
717, 0, 0, 8.38,
728, 0, 4181, 8.28,
739, 1153846, 4115, 8.28,
751, 1153846, 4050, 8.28,
762, 1153846, 3895, 8.28,
773, 1153846, 3818, 8.27,
784, 1438, 3808, 8.28,
795, 2846, 3635, 8.29,
806, 2846, 3626, 8.28,
817, 3639, 3519, 8.29,
828, 4224, 3371, 8.29,
839, 4752, 3236, 8.29,
850, 5204, 3325, 8.29,
861, 5607, 3130, 8.30,
872, 5973, 3091, 8.30,
883, 6307, 2893, 8.30,
894, 6622, 2826, 8.30,
905, 6909, 2779, 8.30,
916, 7440, 2690, 8.30,
927, 7688, 2608, 8.30,
939, 8121, 2548, 8.31,
950, 8351, 2546, 8.31,
961, 8751, 2363, 8.31,
972, 9118, 2293, 8.31,
983, 9299, 2224, 8.31,
994, 9627, 2245, 8.31,
1005, 9933, 2308, 8.31,
1016, 10211, 2173, 8.31,
1027, 10511, 2138, 8.31,
1038, 10775, 2073, 8.32,
1049, 11021, 2048, 8.32,
1060, 11235, 2009, 8.32,
1071, 11494, 1965, 8.32,
1082, 11709, 1950, 8.32,
1093, 11885, 1868, 8.32,
1104, 12116, 1829, 8.32,
1115, 12396, 1829, 8.32,
1126, 12583, 1780, 8.32,
1137, 12744, 1765, 8.32,
1148, 13020, 1741, 8.32,
1159, 13146, 1691, 8.32,
1170, 13321, 1653, 8.32,
1181, 13562, 1641, 8.32,
1192, 13748, 1603, 8.32,
1203, 13888, 1563, 8.32,
1214, 14124, 1581, 8.33,
1225, 14258, 1531, 8.33,
1236, 14436, 1506, 8.33,
1247, 14619, 1476, 8.33,
1258, 14720, 1475, 8.33,
1269, 14895, 1441, 8.33,
1280, 15075, 1433, 8.33,
1291, 15212, 1414, 8.33,
1302, 15290, 1405, 8.33,
1314, 15463, 1376, 8.33,
1325, 15592, 1353, 8.33,
1336, 15739, 1328, 8.33,
1347, 15889, 1305, 8.33,
1358, 16008, 1293, 8.33,
1369, 16129, 1266, 8.33,
1380, 16198, 1243, 8.33,
