Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 8.36,
16, 0, 0, 8.36,
28, 0, 0, 8.36,
39, 0, 0, 8.36,
50, 0, 0, 8.36,
61, 0, 0, 8.36,
72, 0, 0, 8.36,
83, 0, 0, 8.36,
94, 0, 0, 8.36,
105, 0, 0, 8.36,
116, 0, 0, 8.36,
128, 0, 0, 8.36,
139, 0, 0, 8.36,
150, 0, 0, 8.36,
162, 0, 0, 8.36,
173, 0, 0, 8.36,
184, 0, 0, 8.36,
195, 0, 0, 8.36,
206, 0, 0, 8.36,
217, 0, 0, 8.36,
228, 0, 0, 8.36,
239, 0, 0, 8.36,
250, 0, 0, 8.36,
261, 0, 0, 8.36,
273, 0, 0, 8.36,
284, 0, 0, 8.36,
295, 0, 0, 8.36,
306, 0, 0, 8.36,
317, 0, 0, 8.36,
328, 0, 0, 8.36,
339, 0, 0, 8.36,
350, 0, 0, 8.36,
361, 0, 0, 8.36,
372, 0, 0, 8.36,
385, 0, 0, 8.36,
396, 0, 0, 8.36,
407, 0, 0, 8.36,
418, 0, 0, 8.36,
429, 0, 0, 8.36,
440, 0, 0, 8.36,
451, 0, 0, 8.36,
462, 0, 0, 8.36,
473, 0, 4246, 7.25,
485, 0, 4221, 7.25,
496, 0, 4138, 7.25,
507, 118, 4001, 7.36,
518, 118, 3974, 7.32,
529, 118, 3889, 7.31,
540, 2340, 3800, 7.38,
552, 3270, 3703, 7.39,
563, 3270, 3655, 7.41,
574, 3978, 3396, 7.44,
585, 4522, 3350, 7.48,
596, 5008, 3331, 7.52,
608, 5436, 3128, 7.54,
619, 5827, 3199, 7.57,
630, 6172, 2903, 7.56,
641, 6796, 2913, 7.57,
652, 7078, 2835, 7.60,
663, 7349, 2735, 7.63,
674, 7832, 2765, 7.59,
685, 8060, 2660, 7.65,
696, 8460, 2421, 7.61,
707, 8680, 2414, 7.67,
718, 9063, 2393, 7.68,
729, 9404, 2331, 7.70,
740, 9708, 2289, 7.70,
751, 10033, 2264, 7.73,
762, 10183, 2201, 7.72,
774, 10460, 2195, 7.75,
785, 10853, 2078, 7.77,
796, 11094, 2058, 7.77,
807, 11337, 2046, 7.78,
818, 11529, 1963, 7.79,
829, 11773, 1930, 7.79,
840, 11971, 1896, 7.81,
851, 12175, 1844, 7.81,
862, 12386, 1810, 7.80,
874, 12626, 1800, 7.81,
885, 12798, 1769, 7.82,
896, 13043, 1738, 7.84,
908, 13215, 1690, 7.85,
919, 13440, 1624, 7.84,
930, 13586, 1591, 7.86,
942, 13799, 1586, 7.87,
953, 13992, 1583, 7.88,
964, 14124, 1520, 7.88,
975, 14326, 1519, 7.88,
986, 14423, 1486, 7.90,
997, 14619, 1483, 7.90,
1009, 14792, 1459, 7.90,
1020, 14940, 1444, 7.92,
1031, 15045, 1408, 7.92,
1042, 15197, 1394, 7.92,
1053, 15353, 1379, 7.92,
1064, 15495, 1346, 7.93,
1075, 15641, 1350, 7.93,
1086, 15756, 1313, 7.94,
1097, 15889, 1303, 7.95,
1108, 16025, 1298, 7.95,
1119, 16146, 1263, 7.96,
1130, 16268, 1254, 7.96,
1141, 16393, 1249, 7.96,
1152, 16483, 1208, 7.96,
1163, 16611, 1196, 7.97,
1174, 16703, 1185, 7.97,
1186, 16816, 1170, 7.98,
1197, 16987, 1158, 7.98,
1208, 17006, 1134, 7.99,
1219, 17103, 1128, 7.99,
1230, 17241, 1116, 7.99,
1241, 17321, 1104, 7.99,
1252, 17401, 1101, 8.00,
1263, 17482, 1084, 8.00,
1274, 17543, 1068, 8.00,
1286, 17667, 1061, 8.00,
1297, 17751, 1045, 7.99,
1308, 17835, 1045, 7.99,
1319, 17921, 1025, 7.99,
1330, 18050, 1008, 7.99,
1341, 18050, 1009, 8.00,
1352, 18137, 986, 7.99,
1364, 18203, 979, 7.98,
1375, 18248, 973, 8.00,
1386, 18337, 965, 8.00,
1398, 18427, 954, 8.00,
1409, 18472, 945, 8.01,
1420, 18518, 930, 8.02,
1432, 18610, 930, 8.02,
1443, 18610, 923, 8.02,
1454, 18703, 920, 8.03,
1466, 18773, 910, 8.03,
1477, 18844, 908, 8.03,
1488, 18891, 898, 8.03,
1500, 18915, 898, 8.03,
1511, 18987, 891, 8.03,
1522, 19083, 883, 8.03,
1533, 19083, 876, 8.03,
1544, 19132, 883, 8.03,
1555, 19181, 866, 8.04,
1567, 19230, 851, 8.03,
1579, 19280, 851, 8.01,
1590, 19305, 831, 8.01,
1601, 19329, 824, 7.91,
1612, 19379, 801, 7.97,
1623, 19354, 784, 7.91,
1635, 19455, 778, 7.94,
