Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 8.40,
16, 0, 0, 8.40,
28, 0, 0, 8.40,
39, 0, 0, 8.40,
50, 0, 0, 8.40,
61, 0, 0, 8.40,
72, 0, 0, 8.40,
83, 0, 0, 8.40,
94, 0, 0, 8.40,
105, 0, 0, 8.40,
116, 0, 0, 8.40,
128, 0, 0, 8.40,
139, 0, 0, 8.40,
150, 0, 0, 8.40,
161, 0, 0, 8.40,
172, 0, 0, 8.40,
184, 0, 0, 8.40,
195, 0, 1, 8.40,
206, 0, 0, 8.40,
217, 0, 0, 8.40,
228, 0, 0, 8.40,
239, 0, 1, 8.40,
250, 0, 0, 8.40,
261, 0, 0, 8.40,
272, 0, 0, 8.40,
283, 0, 0, 8.40,
295, 0, 0, 8.40,
306, 0, 0, 8.40,
317, 0, 0, 8.40,
328, 0, 0, 8.40,
339, 0, 1, 8.40,
350, 0, 0, 8.40,
361, 0, 0, 8.40,
372, 0, 0, 8.40,
384, 0, 0, 8.40,
395, 0, 0, 8.40,
407, 0, 0, 8.40,
418, 0, 0, 8.40,
429, 0, 0, 8.40,
440, 0, 0, 8.40,
451, 0, 0, 8.40,
462, 0, 0, 8.40,
473, 0, 0, 8.40,
484, 0, 0, 8.40,
495, 0, 0, 8.40,
506, 0, 0, 8.40,
517, 0, 0, 8.40,
528, 0, 0, 8.40,
540, 0, 1, 8.40,
551, 0, 0, 8.40,
562, 0, 0, 8.40,
573, 0, 0, 8.40,
584, 0, 0, 8.40,
595, 0, 0, 8.40,
606, 0, 0, 8.40,
617, 0, 0, 8.40,
628, 0, 0, 8.40,
640, 0, 0, 8.40,
652, 0, 4685, 8.30,
663, 0, 4684, 8.29,
674, 882352, 4556, 8.29,
685, 882352, 4554, 8.29,
696, 882352, 4425, 8.30,
707, 1666666, 4343, 8.29,
718, 3056, 4256, 8.30,
730, 3056, 4129, 8.30,
741, 3858, 3991, 8.30,
752, 4472, 3778, 8.31,
763, 5001, 3776, 8.31,
774, 5462, 3658, 8.31,
785, 5880, 3505, 8.31,
796, 6273, 3413, 8.31,
807, 6605, 3164, 8.32,
819, 7225, 3260, 8.32,
830, 7507, 3060, 8.32,
841, 8029, 3020, 8.32,
854, 8282, 2881, 8.33,
865, 8715, 2776, 8.32,
876, 9113, 2615, 8.32,
887, 9493, 2560, 8.33,
898, 9689, 2560, 8.33,
909, 10026, 2559, 8.33,
920, 10351, 2475, 8.33,
931, 10653, 2330, 8.33,
943, 10940, 2324, 8.34,
954, 11219, 2276, 8.34,
965, 11600, 2221, 8.34,
976, 11838, 2163, 8.34,
987, 12067, 2103, 8.34,
998, 12285, 2095, 8.34,
1009, 12500, 2035, 8.34,
1020, 12809, 1996, 8.34,
1031, 12942, 1929, 8.34,
1042, 13181, 1883, 8.34,
1053, 13440, 1865, 8.35,
1064, 13698, 1813, 8.35,
1075, 13850, 1766, 8.35,
1086, 14084, 1774, 8.35,
1097, 14231, 1728, 8.35,
1108, 14436, 1698, 8.35,
1119, 14648, 1660, 8.35,
1130, 14749, 1634, 8.35,
1141, 14940, 1618, 8.35,
1152, 15166, 1583, 8.35,
1163, 15274, 1550, 8.35,
1174, 15432, 1521, 8.35,
1185, 15608, 1498, 8.35,
1196, 15756, 1486, 8.35,
1207, 15940, 1458, 8.35,
1218, 16077, 1429, 8.35,
1229, 16198, 1409, 8.35,
1240, 16339, 1391, 8.35,
1251, 16483, 1370, 8.35,
1262, 16629, 1351, 8.36,
1273, 16741, 1329, 8.35,
1284, 16853, 1320, 8.36,
1295, 16987, 1284, 8.36,
