dafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, mA max
4022, 0, 2005.00, 2005.00
4024, 0, 4380.00, 4380.00
4046, 0, 4243.75, 4380.00
4048, 14, 4112.50, 4380.00,
4078, 1900, 3882.50, 4380.00,
4099, 3032, 3751.25, 4380.00,
4115, 3773, 3346.25, 4380.00,
4128, 4363, 3430.00, 4380.00,
4141, 4878, 3383.75, 4380.00,
4152, 5322, 3251.25, 4380.00,
4163, 5714, 3197.50, 4380.00,
4174, 6090, 3050.00, 4380.00,
4185, 6432, 3158.75, 4380.00,
4196, 6741, 2938.75, 4380.00,
4207, 7299, 2866.25, 4380.00,
4218, 7587, 2762.50, 4380.00,
4229, 7841, 2816.25, 4380.00,
4240, 8278, 2632.50, 4380.00,
4251, 8517, 2686.25, 4380.00,
4262, 8912, 2673.75, 4380.00,
4273, 9299, 2613.75, 4380.00,
4284, 9652, 2467.50, 4380.00,
4295, 9823, 2456.25, 4380.00,
4306, 10148, 2378.75, 4380.00,
4317, 10460, 2347.50, 4380.00,
4328, 10744, 2300.00, 4380.00,
4339, 11013, 2251.25, 4380.00,
4350, 11286, 2163.75, 4380.00,
4361, 11574, 2180.00, 4380.00,
4372, 11867, 2076.25, 4380.00,
4383, 12145, 2103.75, 4380.00,
4395, 12325, 2020.00, 4380.00,
4406, 12636, 2026.25, 4380.00,
4417, 12831, 2022.50, 4380.00,
4428, 12964, 1893.75, 4380.00,
4439, 13286, 1926.25, 4380.00,
4450, 13452, 1805.00, 4380.00,
4461, 13736, 1807.50, 4380.00,
4472, 13850, 1780.00, 4380.00,
4483, 14137, 1770.00, 4380.00,
4494, 14354, 1753.75, 4380.00,
4505, 14423, 1710.00, 4380.00,
4516, 14691, 1573.75, 4380.00,
4527, 14807, 1680.00, 4380.00,
4538, 15000, 1615.00, 4380.00,
4549, 15136, 1628.75, 4380.00,
4560, 15384, 1617.50, 4380.00,
4571, 15511, 1590.00, 4380.00,
4582, 15690, 1381.25, 4380.00,
4593, 15806, 1453.75, 4380.00,
4604, 16008, 1530.00, 4380.00,
4615, 16077, 1492.50, 4380.00,
4626, 16268, 1481.25, 4380.00,
4637, 16322, 1495.00, 4380.00,
4648, 16611, 1402.50, 4380.00,
4659, 16685, 1438.75, 4380.00,
4670, 16797, 1385.00, 4380.00,
4681, 16930, 1355.00, 4380.00,
4692, 17045, 1320.00, 4380.00,
4703, 17162, 1370.00, 4380.00,
4714, 17301, 1328.75, 4380.00,
4725, 17381, 1341.25, 4380.00,
4736, 17543, 1272.50, 4380.00,
4747, 17647, 1215.00, 4380.00,
4758, 17688, 1230.00, 4380.00,
4769, 17835, 1266.25, 4380.00,
4780, 17964, 1272.50, 4380.00,
4791, 18050, 1183.75, 4380.00,
4802, 18050, 1156.25, 4380.00,
4813, 18203, 1206.25, 4380.00,
4824, 18315, 1183.75, 4380.00,
4835, 18404, 1207.50, 4380.00,
4846, 18495, 1207.50, 4380.00,
4857, 18541, 1155.00, 4380.00,
