time (ms), rpm, mA, mA max
5397, 0, 1796.25, 1796.25
5399, 0, 4416.25, 4416.25
5422, 0, 4161.25, 4416.25
5425, 11, 4181.25, 4416.25,
5454, 1876, 3867.50, 4416.25,
5475, 2962, 3528.75, 4416.25,
5491, 3670, 3447.50, 4416.25,
5506, 4239, 3296.25, 4416.25,
5518, 4239, 3375.00, 4416.25,
5529, 4709, 2982.50, 4416.25,
5540, 5518, 2903.75, 4416.25,
5551, 5868, 3072.50, 4416.25,
5562, 6183, 2926.25, 4416.25,
5573, 6487, 2868.75, 4416.25,
5584, 6778, 2702.50, 4416.25,
5595, 7025, 2667.50, 4416.25,
5606, 7526, 2616.25, 4416.25,
5617, 7763, 2703.75, 4416.25,
5628, 8174, 2557.50, 4416.25,
5639, 8408, 2527.50, 4416.25,
5650, 8741, 2487.50, 4416.25,
5661, 9124, 2400.00, 4416.25,
5672, 9310, 2332.50, 4416.25,
5683, 9640, 2331.25, 4416.25,
5694, 9933, 2352.50, 4416.25,
5705, 10217, 2212.50, 4416.25,
5716, 10489, 2162.50, 4416.25,
5727, 10729, 2207.50, 4416.25,
5738, 11053, 2167.50, 4416.25,
5749, 11278, 2140.00, 4416.25,
5760, 11485, 1937.50, 4416.25,
5771, 11746, 2086.25, 4416.25,
5782, 11952, 1998.75, 4416.25,
5793, 12264, 1943.75, 4416.25,
5804, 12458, 1896.25, 4416.25,
5815, 12658, 1805.00, 4416.25,
5826, 12842, 1790.00, 4416.25,
5837, 13077, 1852.50, 4416.25,
5848, 13192, 1822.50, 4416.25,
5859, 13440, 1718.75, 4416.25,
5870, 13574, 1748.75, 4416.25,
5881, 13837, 1716.25, 4416.25,
5892, 13953, 1725.00, 4416.25,
5903, 14164, 1661.25, 4416.25,
5914, 14354, 1550.00, 4416.25,
5925, 14506, 1622.50, 4416.25,
5936, 14662, 1548.75, 4416.25,
5947, 14822, 1485.00, 4416.25,
5958, 14955, 1558.75, 4416.25,
5969, 15045, 1507.50, 4416.25,
5980, 15274, 1335.00, 4416.25,
5991, 15384, 1491.25, 4416.25,
6002, 15576, 1403.75, 4416.25,
6013, 15625, 1288.75, 4416.25,
6024, 15789, 1390.00, 4416.25,
6035, 15889, 1407.50, 4416.25,
6046, 15957, 1425.00, 4416.25,
6057, 16233, 1390.00, 4416.25,
6068, 16251, 1371.25, 4416.25,
6079, 16375, 1303.75, 4416.25,
6090, 16483, 1290.00, 4416.25,
6102, 16574, 1276.25, 4416.25,
6113, 16778, 1063.75, 4416.25,
6124, 16853, 983.75, 4416.25,
6135, 16949, 1102.50, 4416.25,
6146, 17026, 1097.50, 4416.25,
6157, 17162, 1180.00, 4416.25,
6168, 17321, 1215.00, 4416.25,
6179, 17361, 1247.50, 4416.25,
6190, 17502, 1190.00, 4416.25,
6201, 17523, 1035.00, 4416.25,
6212, 17626, 996.25, 4416.25,
6223, 17647, 1112.50, 4416.25,
6234, 17793, 1158.75, 4416.25,
6245, 17878, 1088.75, 4416.25,
6256, 17921, 1161.25, 4416.25,
6267, 18050, 1097.50, 4416.25,
6278, 6094, 960.00, 4416.25,
6289, 18181, 1056.25, 4416.25,
6300, 18270, 1146.25, 4416.25,
6311, 18337, 1050.00, 4416.25,
6322, 18450, 966.25, 4416.25,
6333, 18564, 1116.25, 4416.25,
6344, 18518, 1060.00, 4416.25,
6355, 18679, 893.75, 4416.25,
6366, 18750, 1112.50, 4416.25,
6377, 18726, 1070.00, 4416.25,
6388, 18773, 1010.00, 4416.25,
6400, 18891, 1042.50, 4416.25,
6411, 19011, 880.00, 4416.25,
6422, 18987, 940.00, 4416.25,
6433, 19011, 1043.75, 4416.25,
6444, 19132, 958.75, 4416.25,
6455, 19280, 923.75, 4416.25,
6466, 19379, 890.00, 4416.25,
6477, 19354, 882.50, 4416.25,
6488, 19430, 932.50, 4416.25,
6499, 19480, 865.00, 4416.25,
