Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
6, 0, 0.00, 6.42,
17, 0, 0.00, 6.39,
28, 0, 0.00, 6.40,
39, 0, 0.00, 6.40,
50, 0, 0.00, 6.40,
61, 0, 0.00, 6.40,
72, 0, 0.00, 6.40,
83, 0, 0.00, 6.40,
94, 0, 0.00, 6.39,
105, 0, 0.00, 6.40,
116, 0, 1.25, 6.40,
128, 0, 0.00, 6.39,
139, 0, 0.00, 6.39,
150, 0, 0.00, 6.39,
161, 0, 0.00, 6.39,
172, 0, 0.00, 6.40,
183, 0, 0.00, 6.40,
194, 0, 0.00, 6.40,
205, 0, 0.00, 6.40,
216, 0, 0.00, 6.40,
227, 0, 0.00, 6.40,
238, 0, 0.00, 6.40,
249, 0, 0.00, 6.40,
260, 0, 0.00, 6.40,
271, 0, 0.00, 6.40,
282, 0, 0.00, 6.40,
293, 0, 0.00, 6.40,
304, 0, 0.00, 6.40,
315, 0, 0.00, 6.40,
326, 0, 0.00, 6.39,
337, 0, 3742.50, 4.86,
348, 0, 3703.75, 4.86,
359, 0, 3585.00, 4.85,
370, 0, 3512.50, 4.88,
381, 0, 3347.50, 4.89,
392, 0, 3236.25, 4.89,
403, 2082, 3171.25, 4.91,
414, 2082, 3161.25, 4.92,
425, 2982, 3000.00, 4.95,
436, 3602, 3021.25, 4.94,
447, 3602, 2911.25, 5.01,
458, 4114, 2815.00, 5.06,
470, 4550, 2700.00, 5.06,
481, 4935, 2720.00, 5.12,
492, 5277, 2567.50, 5.10,
503, 5597, 2521.25, 5.09,
514, 5924, 2406.25, 5.12,
525, 6142, 2328.75, 5.21,
536, 6654, 2328.75, 5.18,
547, 6887, 2246.25, 5.21,
558, 7095, 2240.00, 5.21,
569, 7500, 2170.00, 5.24,
580, 7641, 2150.00, 5.24,
591, 8034, 2093.75, 5.29,
602, 8178, 1995.00, 5.30,
613, 8450, 1990.00, 5.32,
624, 8655, 1886.25, 5.38,
635, 8923, 1910.00, 5.38,
646, 9068, 1800.00, 5.39,
657, 9310, 1733.75, 5.39,
668, 9523, 1692.50, 5.38,
679, 9791, 1658.75, 5.41,
690, 9973, 1691.25, 5.44,
701, 10087, 1678.75, 5.47,
712, 10309, 1586.25, 5.48,
723, 10504, 1605.00, 5.44,
734, 10691, 1571.25, 5.48,
745, 10861, 1522.50, 5.50,
756, 11029, 1516.25, 5.50,
768, 11202, 1500.00, 5.51,
