time (ms),time (s), rpm, mA, mA max
8222,0,0,157.5,157.5
8224,0.002,0,31103.75,31103.75
8231,0.009,0,31646.25,31646.25
8240,0.018,0,28708.75,31646.25
8243,0.021,7,30107.5,31646.25
8255,0.033,4196,26168.75,31646.25
8266,0.044,6109,24971.25,31646.25
8278,0.056,7444,24101.25,31646.25
8289,0.067,9422,22282.5,31646.25
8300,0.078,10924,20440,31646.25
8311,0.089,23622,18167.5,31646.25
8322,0.1,13723,17275,31646.25
8333,0.111,14662,14657.5,31646.25
8344,0.122,25178,13882.5,31646.25
8355,0.133,25906,12908.75,31646.25
8369,0.147,18359,11775,31646.25
8380,0.158,17797,11225,31646.25
8391,0.169,28214,10147.5,31646.25
8404,0.182,21008,8822.5,31646.25
8416,0.194,21770,8102.5,31646.25
8427,0.205,29462,7438.75,31646.25
8438,0.216,23041,7257.5,31646.25
8451,0.229,28957,6367.5,31646.25
8489,0.267,26978,5145,31646.25
8500,0.278,21989,4936.25,31646.25
8511,0.289,26178,4685,31646.25
8523,0.301,26362,4393.75,31646.25
8567,0.345,29104,3670,31646.25
8590,0.368,16960,3401.25,31646.25
8601,0.379,10176,3217.5,31646.25
8612,0.39,10176,3188.75,31646.25
8626,0.404,28355,2980,31646.25
8639,0.417,19264,2937.5,31646.25
8651,0.429,5218,2831.25,31646.25
8664,0.442,19264,2632.5,31646.25
8675,0.453,29069,2752.5,31646.25
8686,0.464,29296,2610,31646.25
8698,0.476,8871,2576.25,31646.25
8709,0.487,29182,2552.5,31646.25
8721,0.499,29411,2402.5,31646.25
8732,0.51,29354,2357.5,31646.25
8743,0.521,30000,2342.5,31646.25
8754,0.532,29585,2261.25,31646.25
8770,0.548,28896,2257.5,31646.25
8781,0.559,29821,2167.5,31646.25
8792,0.57,30303,2155,31646.25
8803,0.581,4816,2152.5,31646.25
8818,0.596,1671,2040,31646.25
8829,0.607,29880,2097.5,31646.25
8840,0.618,30060,2075,31646.25
8851,0.629,26458,2093.75,31646.25
8862,0.64,30060,1913.75,31646.25
8875,0.653,30060,1947.5,31646.25
8886,0.664,30120,1897.5,31646.25
8897,0.675,4816,1981.25,31646.25
8911,0.689,30303,1888.75,31646.25
8922,0.7,29880,1878.75,31646.25
8933,0.711,30241,1792.5,31646.25
8944,0.722,28266,1951.25,31646.25
8955,0.733,22852,1906.25,31646.25
8966,0.744,30425,1880,31646.25
8977,0.755,30303,1877.5,31646.25
8989,0.767,30303,1857.5,31646.25
9000,0.778,30364,1907.5,31646.25
9011,0.789,30241,1811.25,31646.25
9022,0.8,30303,1766.25,31646.25
9034,0.812,30487,1841.25,31646.25
9049,0.827,30487,1778.75,31646.25
9060,0.838,30549,1858.75,31646.25
9071,0.849,30425,1855,31646.25
9083,0.861,25373,1741.25,31646.25
9094,0.872,30425,1800,31646.25
9109,0.887,4816,1806.25,31646.25
9120,0.898,30487,1773.75,31646.25
9131,0.909,30241,1815,31646.25
9142,0.92,10583,1796.25,31646.25
9153,0.931,30549,1833.75,31646.25
9164,0.942,9998,1775,31646.25
9175,0.953,30487,1801.25,31646.25
9187,0.965,30487,1751.25,31646.25
9199,0.977,30364,1721.25,31646.25
9210,0.988,31250,1727.5,31646.25
9221,0.999,30549,1677.5,31646.25
9232,1.01,30991,1728.75,31646.25
9243,1.021,30612,1560,31646.25
9254,1.032,30425,1742.5,31646.25
9265,1.043,30612,1622.5,31646.25
9277,1.055,30487,1665,31646.25
9288,1.066,30487,1718.75,31646.25
9300,1.078,28266,1757.5,31646.25
9313,1.091,31315,1755,31646.25
9327,1.105,30737,1571.25,31646.25
9340,1.118,30487,1806.25,31646.25
9351,1.129,30612,1731.25,31646.25
9362,1.14,31250,1803.75,31646.25
9373,1.151,30487,1767.5,31646.25
9384,1.162,30364,1830,31646.25
9395,1.173,30181,1773.75,31646.25
9411,1.189,30364,1711.25,31646.25
9422,1.2,30487,1681.25,31646.25
9433,1.211,30612,1718.75,31646.25
9444,1.222,30303,1723.75,31646.25
9455,1.233,28266,1738.75,31646.25
9466,1.244,30303,1716.25,31646.25
9477,1.255,30241,1736.25,31646.25
9490,1.268,30549,1747.5,31646.25
9501,1.279,31120,1745,31646.25
9513,1.291,30612,1788.75,31646.25
9524,1.302,30612,1718.75,31646.25
9535,1.313,28266,1762.5,31646.25
9546,1.324,4816,1683.75,31646.25
9560,1.338,30425,1642.5,31646.25
9571,1.349,28803,1716.25,31646.25
9582,1.36,4816,1700,31646.25
9594,1.372,31250,1792.5,31646.25
9605,1.383,14448,1800,31646.25
9616,1.394,30991,1810,31646.25
9628,1.406,1013,1747.5,31646.25
9640,1.418,10176,1726.25,31646.25
9651,1.429,4816,1761.25,31646.25
9664,1.442,30549,1751.25,31646.25
9675,1.453,4816,1760,31646.25
9686,1.464,25927,1777.5,31646.25
9697,1.475,32608,1701.25,31646.25
9708,1.486,30425,1746.25,31646.25
9719,1.497,30487,1633.75,31646.25
9731,1.509,30549,1735,31646.25
9742,1.52,27631,1728.75,31646.25
9753,1.531,30737,1785,31646.25
9764,1.542,32188,1741.25,31646.25
9775,1.553,30549,1767.5,31646.25
9786,1.564,30612,1775,31646.25
9797,1.575,4816,1733.75,31646.25
