Found INA260 chip,,,
time (ms),time (s), mA, mA max
356,0.001,0,0
359,0.003,0,0
363,0.007,4006.25,4006.25
366,0.01,4006.25,4006.25
371,0.015,3693.75,4006.25
376,0.02,3650,4006.25
380,0.024,3303.75,4006.25
386,0.03,3473.75,4006.25
390,0.034,3506.25,4006.25
395,0.039,3367.5,4006.25
399,0.043,3172.5,4006.25
404,0.048,3348.75,4006.25
408,0.052,3260,4006.25
413,0.057,3260,4006.25
417,0.061,3227.5,4006.25
422,0.066,3177.5,4006.25
427,0.071,3168.75,4006.25
432,0.076,3097.5,4006.25
436,0.08,2818.75,4006.25
441,0.085,2860,4006.25
445,0.089,3023.75,4006.25
450,0.094,2673.75,4006.25
454,0.098,2727.5,4006.25
458,0.102,2833.75,4006.25
463,0.107,2752.5,4006.25
467,0.111,2893.75,4006.25
473,0.117,2612.5,4006.25
477,0.121,2615,4006.25
482,0.126,2551.25,4006.25
486,0.13,2451.25,4006.25
491,0.135,2700,4006.25
495,0.139,2573.75,4006.25
500,0.144,2466.25,4006.25
504,0.148,2357.5,4006.25
509,0.153,2382.5,4006.25
514,0.158,2317.5,4006.25
519,0.163,2215,4006.25
523,0.167,2408.75,4006.25
528,0.172,2380,4006.25
532,0.176,2373.75,4006.25
537,0.181,2316.25,4006.25
541,0.185,2126.25,4006.25
546,0.19,2235,4006.25
550,0.194,2237.5,4006.25
556,0.2,2077.5,4006.25
560,0.204,2068.75,4006.25
565,0.209,2137.5,4006.25
569,0.213,2087.5,4006.25
574,0.218,1996.25,4006.25
578,0.222,2053.75,4006.25
582,0.226,1946.25,4006.25
587,0.231,2061.25,4006.25
591,0.235,1933.75,4006.25
596,0.24,1995,4006.25
601,0.245,1922.5,4006.25
606,0.25,1855,4006.25
610,0.254,1915,4006.25
615,0.259,1806.25,4006.25
619,0.263,1886.25,4006.25
624,0.268,1901.25,4006.25
628,0.272,1758.75,4006.25
633,0.277,1787.5,4006.25
637,0.281,1831.25,4006.25
643,0.287,1750,4006.25
647,0.291,1690,4006.25
652,0.296,1732.5,4006.25
656,0.3,1717.5,4006.25
661,0.305,1710,4006.25
665,0.309,1641.25,4006.25
670,0.314,1646.25,4006.25
674,0.318,1630,4006.25
679,0.323,1596.25,4006.25
684,0.328,1608.75,4006.25
689,0.333,1620,4006.25
693,0.337,1603.75,4006.25
698,0.342,1602.5,4006.25
702,0.346,1587.5,4006.25
707,0.351,1561.25,4006.25
711,0.355,1527.5,4006.25
715,0.359,1507.5,4006.25
720,0.364,1505,4006.25
724,0.368,1460,4006.25
730,0.374,1461.25,4006.25
734,0.378,1446.25,4006.25
739,0.383,1433.75,4006.25
743,0.387,1437.5,4006.25
748,0.392,1446.25,4006.25
752,0.396,1445,4006.25
757,0.401,1388.75,4006.25
761,0.405,1345,4006.25
766,0.41,1387.5,4006.25
771,0.415,1392.5,4006.25
776,0.42,1347.5,4006.25
780,0.424,1326.25,4006.25
785,0.429,1321.25,4006.25
789,0.433,1341.25,4006.25
794,0.438,1305,4006.25
798,0.442,1316.25,4006.25
803,0.447,1271.25,4006.25
807,0.451,1256.25,4006.25
813,0.457,1231.25,4006.25
817,0.461,1280,4006.25
822,0.466,1241.25,4006.25
826,0.47,1271.25,4006.25
831,0.475,1261.25,4006.25
835,0.479,1227.5,4006.25
840,0.484,1252.5,4006.25
844,0.488,1203.75,4006.25
848,0.492,1210,4006.25
854,0.498,1195,4006.25
858,0.502,1190,4006.25
863,0.507,1138.75,4006.25
867,0.511,1132.5,4006.25
872,0.516,1130,4006.25
876,0.52,1160,4006.25
881,0.525,1117.5,4006.25
885,0.529,1157.5,4006.25
890,0.534,1121.25,4006.25
894,0.538,1106.25,4006.25
900,0.544,1113.75,4006.25
904,0.548,1072.5,4006.25
909,0.553,1111.25,4006.25
913,0.557,1073.75,4006.25
918,0.562,1077.5,4006.25
922,0.566,1068.75,4006.25
927,0.571,1075,4006.25
931,0.575,1071.25,4006.25
936,0.58,1060,4006.25
941,0.585,1031.25,4006.25
946,0.59,1056.25,4006.25
950,0.594,1040,4006.25
955,0.599,990,4006.25
959,0.603,1041.25,4006.25
963,0.607,1031.25,4006.25
968,0.612,1005,4006.25
972,0.616,966.25,4006.25
977,0.621,1003.75,4006.25
982,0.626,968.75,4006.25
986,0.63,953.75,4006.25
991,0.635,948.75,4006.25
995,0.639,972.5,4006.25
999,0.643,958.75,4006.25
1004,0.648,961.25,4006.25
1008,0.652,917.5,4006.25
1013,0.657,918.75,4006.25
1017,0.661,955,4006.25
1022,0.666,931.25,4006.25
1027,0.671,910,4006.25
1032,0.676,926.25,4006.25
1036,0.68,907.5,4006.25
1041,0.685,917.5,4006.25
1045,0.689,913.75,4006.25
1050,0.694,913.75,4006.25
1054,0.698,906.25,4006.25
1059,0.703,902.5,4006.25
1063,0.707,907.5,4006.25
1068,0.712,883.75,4006.25
1073,0.717,842.5,4006.25
1077,0.721,798.75,4006.25
1082,0.726,776.25,4006.25
1086,0.73,766.25,4006.25
1091,0.735,796.25,4006.25
1095,0.739,783.75,4006.25
1100,0.744,826.25,4006.25
1104,0.748,835,4006.25
1110,0.754,837.5,4006.25
1114,0.758,805,4006.25
