time (ms),time(s), rpm, mA, mA max,,,,
3339,0,0,1630,1630,,,,
3341,0.002,0,3455,3455,,,,
3393,0.054,0,3003.75,3455,,,,
3395,0.056,17,3048.75,3455,,,,
3419,0.08,2427,2738.75,3455,,,,
3437,0.098,3145,2700,3455,,,,
3453,0.114,3694,2571.25,3455,,,,
3468,0.129,4151,2422.5,3455,,,,
3481,0.142,4550,2346.25,3455,,,,
3493,0.154,4903,2205,3455,,,,
3505,0.166,4903,2192.5,3455,,,,
3516,0.177,5514,2133.75,3455,,,,
3527,0.188,5787,2112.5,3455,,,,
3538,0.199,6036,2037.5,3455,,,,
3549,0.21,6270,1972.5,3455,,,,
3560,0.221,6521,2030,3455,,,,
3571,0.232,6672,1891.25,3455,,,,
3582,0.243,7082,1897.5,3455,,,,
3593,0.254,7278,1870,3455,,,,
3604,0.265,7451,1830,3455,,,,
3615,0.276,7780,1768.75,3455,,,,
3627,0.288,7932,1742.5,3455,,,,
3638,0.299,8228,1735,3455,,,,
3649,0.31,8356,1660,3455,,,,
3660,0.321,8625,1652.5,3455,,,,
3671,0.332,8865,1615,3455,,,,
3682,0.343,9047,1613.75,3455,,,16931.26667,453.5694444
3693,0.354,9225,1575,3455,,,,
3704,0.365,9398,1523.75,3455,,,15238.14,"""@ 1.05 sec"""
3715,0.376,9548,1472.5,3455,,,,
3726,0.387,9740,1456.25,3455,,,,
3737,0.398,9927,1453.75,3455,,,,
3748,0.409,10121,1392.5,3455,,,,
3759,0.42,10281,1375,3455,,,,
3770,0.431,10431,1366.25,3455,,,,
3781,0.442,10608,1345,3455,,,,
3792,0.453,10783,1273.75,3455,,,,
3803,0.464,10909,1255,3455,,,,
3814,0.475,11070,1232.5,3455,,,,
3825,0.486,11210,1198.75,3455,,,,
3836,0.497,11346,1186.25,3455,,,,
3847,0.508,11467,1232.5,3455,,,,
3858,0.519,11591,1225,3455,,,,
3869,0.53,11709,1123.75,3455,,,,
3880,0.541,11867,1132.5,3455,,,,
3891,0.552,11980,1138.75,3455,,,,
3902,0.563,12106,1156.25,3455,,,,
3913,0.574,12185,1100,3455,,,,
3924,0.585,12305,1005,3455,,,,
3935,0.596,12489,1093.75,3455,,,,
3946,0.607,12573,1090,3455,,,,
3957,0.618,12658,1051.25,3455,,,,
3968,0.629,12798,1021.25,3455,,,,
3979,0.64,12875,1031.25,3455,,,,
3990,0.651,12919,1021.25,3455,,,,
4001,0.662,13100,1015,3455,,,,
4012,0.673,13169,985,3455,,,,
4023,0.684,13286,947.5,3455,,,,
4034,0.695,13368,955,3455,,,,
4045,0.706,13428,921.25,3455,,,,
4056,0.717,13550,910,3455,,,,
4067,0.728,13636,883.75,3455,,,,
4078,0.739,13673,888.75,3455,,,,
4089,0.75,13799,863.75,3455,,,,
4100,0.761,13914,806.25,3455,,,,
4111,0.772,13940,816.25,3455,,,,
4122,0.783,13888,785,3455,,,,
