time (ms), rpm, mA, mA max
shot, time (s), fps, rpm
869, 0, 1.25, 1.25
2004, 0, 3761.25, 3761.25
2008, 0, 6285.00, 6285.00
2048, 0, 5447.50, 6285.00
2050, 29, 5822.50, 6285.00,
2068, 3046, 5646.25, 6285.00,
2082, 3972, 5403.75, 6285.00,
2093, 3972, 5095.00, 6285.00,
2104, 4686, 4593.75, 6285.00,
2115, 5287, 4368.75, 6285.00,
2126, 5807, 4162.50, 6285.00,
2137, 6699, 4105.00, 6285.00,
2148, 7092, 3988.75, 6285.00,
2159, 7451, 3800.00, 6285.00,
2170, 8103, 3812.50, 6285.00,
2181, 8441, 3673.75, 6285.00,
2192, 8965, 3732.50, 6285.00,
2203, 9475, 3440.00, 6285.00,
2214, 9953, 3370.00, 6285.00,
2225, 10190, 3272.50, 6285.00,
2236, 10570, 3346.25, 6285.00,
2247, 11152, 3138.75, 6285.00,
2258, 11485, 3126.25, 6285.00,
2269, 11848, 2907.50, 6285.00,
2280, 12175, 2911.25, 6285.00,
2291, 12479, 2842.50, 6285.00,
2302, 12820, 2725.00, 6285.00,
2313, 13146, 2700.00, 6285.00,
2324, 13537, 2418.75, 6285.00,
2335, 13786, 2562.50, 6285.00,
2347, 14084, 2338.75, 6285.00,
2358, 14340, 2338.75, 6285.00,
2369, 14677, 2351.25, 6285.00,
2380, 14895, 2248.75, 6285.00,
2391, 15197, 2155.00, 6285.00,
2402, 15353, 2065.00, 6285.00,
2413, 15673, 2092.50, 6285.00,
2424, 15923, 2016.25, 6285.00,
2435, 16146, 1983.75, 6285.00,
2446, 16393, 1968.75, 6285.00,
2457, 28896, 1953.75, 6285.00,
2468, 16722, 1905.00, 6285.00,
2479, 16987, 1860.00, 6285.00,
2490, 17241, 1853.75, 6285.00,
2501, 17462, 1801.25, 6285.00,
2512, 17605, 1770.00, 6285.00,
2523, 17730, 1723.75, 6285.00,
2534, 17964, 1622.50, 6285.00,
2545, 18181, 1663.75, 6285.00,
2556, 18315, 1628.75, 6285.00,
2567, 18382, 1608.75, 6285.00,
2578, 18633, 1478.75, 6285.00,
2589, 18963, 1545.00, 6285.00,
2600, 18987, 1492.50, 6285.00,
2611, 19108, 1512.50, 6285.00,
2622, 19280, 1225.00, 6285.00,
2633, 19404, 1422.50, 6285.00,
2644, 19607, 1117.50, 6285.00,
2655, 19633, 1178.75, 6285.00,
2666, 19762, 1383.75, 6285.00,
2677, 19920, 1392.50, 6285.00,
2688, 19973, 1246.25, 6285.00,
2699, 20107, 1221.25, 6285.00,
2710, 20242, 1013.75, 6285.00,
2721, 20325, 1235.00, 6285.00,
2732, 20408, 1211.25, 6285.00,
2743, 20547, 1256.25, 6285.00,
2754, 20604, 1203.75, 6285.00,
2765, 20632, 1197.50, 6285.00,
2776, 20775, 938.75, 6285.00,
2787, 20891, 1232.50, 6285.00,
2798, 20949, 1263.75, 6285.00,
