time (ms), rpm, mA, mA max
1829, 32, 2367.50, 2703.75
1859, 2032, 2268.75, 2703.75
1882, 2722, 2152.50, 2703.75
1900, 3236, 2121.25, 2703.75
1915, 3666, 2087.50, 2703.75
1926, 3666, 1943.75, 2703.75
1937, 4037, 2043.75, 2703.75
1948, 4357, 1905.00, 2703.75
1959, 4667, 1958.75, 2703.75
1970, 4932, 1807.50, 2703.75
1981, 5195, 1882.50, 2703.75
1992, 5195, 1852.50, 2703.75
2003, 5649, 1803.75, 2703.75
2014, 5857, 1727.50, 2703.75
2025, 6053, 1633.75, 2703.75
2036, 6244, 1683.75, 2703.75
2048, 6415, 1612.50, 2703.75
2059, 6616, 1658.75, 2703.75
2070, 6890, 1532.50, 2703.75
2081, 7062, 1542.50, 2703.75
2092, 7201, 1483.75, 2703.75
2103, 7455, 1480.00, 2703.75
2114, 7610, 1446.25, 2703.75
2125, 7853, 1457.50, 2703.75
2136, 7978, 1510.00, 2703.75
2147, 8116, 1385.00, 2703.75
2158, 8324, 1471.25, 2703.75
2169, 8532, 1340.00, 2703.75
2180, 8630, 1345.00, 2703.75
2191, 8823, 1407.50, 2703.75
2202, 8923, 1326.25, 2703.75
2213, 9101, 1291.25, 2703.75
2224, 9282, 1283.75, 2703.75
2235, 9445, 1286.25, 2703.75
2246, 9529, 1262.50, 2703.75
2257, 9646, 1235.00, 2703.75
2268, 9797, 1210.00, 2703.75
2279, 9973, 1211.25, 2703.75
2290, 10080, 1147.50, 2703.75
2301, 10224, 1146.25, 2703.75
2312, 10302, 1142.50, 2703.75
2323, 10431, 1118.75, 2703.75
2334, 10496, 1140.00, 2703.75
2345, 10660, 1126.25, 2703.75
2356, 10752, 1101.25, 2703.75
2367, 10885, 1056.25, 2703.75
2378, 10989, 1065.00, 2703.75
2390, 11086, 1051.25, 2703.75
2401, 11202, 1047.50, 2703.75
2412, 11389, 1052.50, 2703.75
2423, 11476, 1041.25, 2703.75
2434, 11574, 991.25, 2703.75
2445, 11636, 1001.25, 2703.75
2456, 11746, 981.25, 2703.75
2467, 11801, 982.50, 2703.75
2478, 11885, 971.25, 2703.75
2489, 11990, 943.75, 2703.75
2500, 12048, 943.75, 2703.75
2511, 12145, 912.50, 2703.75
2522, 12214, 898.75, 2703.75
2533, 12295, 927.50, 2703.75
2544, 12468, 910.00, 2703.75
2555, 12520, 880.00, 2703.75
2566, 12562, 842.50, 2703.75
2577, 12668, 872.50, 2703.75
2588, 12722, 858.75, 2703.75
2599, 12787, 837.50, 2703.75
2610, 12864, 850.00, 2703.75
2621, 12897, 832.50, 2703.75
2632, 13043, 817.50, 2703.75
2643, 13111, 826.25, 2703.75
2654, 13100, 818.75, 2703.75
2665, 13227, 808.75, 2703.75
2676, 13250, 833.75, 2703.75
2688, 13357, 781.25, 2703.75
2699, 13392, 801.25, 2703.75
2710, 13489, 752.50, 2703.75
2721, 13562, 735.00, 2703.75
2732, 13537, 773.75, 2703.75
2743, 13673, 768.75, 2703.75
2754, 13736, 715.00, 2703.75
2765, 13748, 736.25, 2703.75
2776, 13824, 722.50, 2703.75
2787, 13850, 731.25, 2703.75
2798, 13940, 753.75, 2703.75
2809, 14005, 718.75, 2703.75
2820, 14058, 716.25, 2703.75
2831, 14084, 732.50, 2703.75
2842, 14084, 738.75, 2703.75
2853, 14204, 731.25, 2703.75
2864, 14258, 715.00, 2703.75
2875, 14272, 707.50, 2703.75
2886, 14354, 677.50, 2703.75
2897, 14409, 710.00, 2703.75
2908, 14367, 655.00, 2703.75
2919, 14478, 701.25, 2703.75
2930, 14506, 662.50, 2703.75
2941, 14548, 663.75, 2703.75
2952, 14619, 646.25, 2703.75
2963, 14648, 686.25, 2703.75
2974, 14662, 653.75, 2703.75
2985, 14720, 643.75, 2703.75
2996, 14705, 677.50, 2703.75
3007, 14749, 622.50, 2703.75
3018, 14836, 607.50, 2703.75
3030, 14866, 615.00, 2703.75
3041, 14895, 620.00, 2703.75
3052, 14940, 610.00, 2703.75
3063, 14940, 578.75, 2703.75
3074, 15015, 597.50, 2703.75
3085, 15120, 596.25, 2703.75
3096, 15075, 641.25, 2703.75
3107, 15136, 633.75, 2703.75
3118, 15105, 558.75, 2703.75
3129, 15151, 531.25, 2703.75
3140, 15212, 582.50, 2703.75
3151, 15228, 625.00, 2703.75
3162, 15290, 608.75, 2703.75
3173, 15306, 613.75, 2703.75
3184, 15368, 538.75, 2703.75
3195, 15384, 543.75, 2703.75
3206, 15384, 610.00, 2703.75
3217, 15432, 595.00, 2703.75
3228, 15416, 598.75, 2703.75
3239, 15527, 570.00, 2703.75
3250, 15560, 597.50, 2703.75
3261, 15527, 516.25, 2703.75
3272, 15576, 536.25, 2703.75
3283, 15592, 600.00, 2703.75
3294, 15592, 562.50, 2703.75
3305, 15641, 558.75, 2703.75
3316, 15690, 536.25, 2703.75
3328, 15706, 572.50, 2703.75
3339, 15723, 518.75, 2703.75
3350, 15723, 543.75, 2703.75
3361, 15789, 522.50, 2703.75
3372, 15806, 502.50, 2703.75
3383, 15772, 543.75, 2703.75
3394, 15822, 570.00, 2703.75
3405, 15856, 575.00, 2703.75
3416, 15873, 527.50, 2703.75
3427, 15889, 532.50, 2703.75
3438, 15906, 430.00, 2703.75
3449, 15940, 555.00, 2703.75
3460, 15940, 518.75, 2703.75
3471, 15991, 427.50, 2703.75
3482, 15974, 511.25, 2703.75
3493, 16008, 463.75, 2703.75
3504, 16008, 451.25, 2703.75
3515, 15991, 493.75, 2703.75
3526, 15991, 477.50, 2703.75
3537, 16008, 478.75, 2703.75
3548, 16042, 506.25, 2703.75
3559, 16059, 516.25, 2703.75
3570, 16059, 0.00, 2703.75
3581, 15974, 0.00, 2703.75
3592, 15906, 0.00, 2703.75
3603, 15856, 0.00, 2703.75
3614, 15772, 0.00, 2703.75
3625, 15706, 0.00, 2703.75
3636, 15657, 0.00, 2703.75
3647, 15608, 0.00, 2703.75
3658, 15560, 0.00, 2703.75
3670, 15463, 0.00, 2703.75
3681, 15368, 0.00, 2703.75
3692, 15337, 0.00, 2703.75
3703, 15274, 0.00, 2703.75
3714, 15228, 0.00, 2703.75
3725, 15182, 0.00, 2703.75
3736, 15075, 0.00, 2703.75
3747, 15015, 0.00, 2703.75
