time (ms),time (s), rpm, mA, mA max
7302,0.00,0,1958.75,1958.75
7304,0.00,0,2668.75,2668.75
7352,0.05,0,2392.5,2668.75
7354,0.05,8,2416.25,2668.75
7382,0.08,8,2292.5,2668.75
7404,0.10,2698,2207.5,2668.75
7422,0.12,2698,2180,2668.75
7433,0.13,3224,2048.75,2668.75
7444,0.14,3661,2057.5,2668.75
7455,0.15,4037,2027.5,2668.75
7469,0.17,4373,1946.25,2668.75
7481,0.18,4675,1953.75,2668.75
7493,0.19,4940,1890,2668.75
7504,0.20,5201,1868.75,2668.75
7516,0.21,5438,1815,2668.75
7527,0.23,5660,1781.25,2668.75
7538,0.24,5870,1678.75,2668.75
7549,0.25,6067,1707.5,2668.75
7560,0.26,6257,1757.5,2668.75
7571,0.27,6435,1651.25,2668.75
7582,0.28,6607,1587.5,2668.75
7593,0.29,6925,1622.5,2668.75
7604,0.30,7082,1555,2668.75
7615,0.31,7235,1528.75,2668.75
7626,0.32,7477,1528.75,2668.75
7638,0.34,7637,1476.25,2668.75
7649,0.35,7878,1488.75,2668.75
7660,0.36,8017,1421.25,2668.75
7671,0.37,8232,1418.75,2668.75
7682,0.38,8351,1386.25,2668.75
7693,0.39,8532,1417.5,2668.75
7704,0.40,8660,1380,2668.75
7715,0.41,8860,1313.75,2668.75
7726,0.42,9019,1283.75,2668.75
7737,0.44,9135,1263.75,2668.75
7748,0.45,9322,1245,2668.75
7759,0.46,9457,1230,2668.75
7770,0.47,9566,1256.25,2668.75
7781,0.48,9721,1251.25,2668.75
7792,0.49,9868,1190,2668.75
7803,0.50,10020,1197.5,2668.75
7814,0.51,10114,1197.5,2668.75
7825,0.52,10281,1153.75,2668.75
7836,0.53,10416,1073.75,2668.75
7847,0.55,10533,1096.25,2668.75
7858,0.56,10593,1136.25,2668.75
7869,0.57,10714,1121.25,2668.75
7880,0.58,10814,1087.5,2668.75
7891,0.59,10980,1058.75,2668.75
7902,0.60,11005,1036.25,2668.75
7913,0.61,11194,1053.75,2668.75
7924,0.62,11295,1040,2668.75
7936,0.63,11355,1038.75,2668.75
7947,0.65,11485,1018.75,2668.75
7958,0.66,11547,970,2668.75
7969,0.67,11673,1002.5,2668.75
7980,0.68,11755,1000,2668.75
7991,0.69,11838,953.75,2668.75
8002,0.70,11895,977.5,2668.75
8013,0.71,11990,912.5,2668.75
8024,0.72,12096,862.5,2668.75
8035,0.73,12106,952.5,2668.75
8046,0.74,12335,833.75,2668.75
