Adafruit INA260 Test,,,,
Found INA260 chip,,,,
time (ms),time(s), rpm, mA, mA max
5038,0,15873,482.5,2620
5049,0.011,15856,498.75,2620
5060,0.022,15873,443.75,2620
5071,0.033,15806,496.25,2620
5082,0.044,15889,502.5,2620
5093,0.055,15889,497.5,2620
5104,0.066,15906,462.5,2620
5115,0.077,15906,462.5,2620
5126,0.088,15873,418.75,2620
5137,0.099,15873,502.5,2620
5148,0.11,15368,566.25,2620
5159,0.121,13321,842.5,2620
5170,0.132,0,2273.75,2620
5185,0.147,0,2501.25,2620
5223,0.185,0,2488.75,2620
5238,0.2,0,2485,2620
5254,0.216,0,2477.5,2620
5269,0.231,0,2473.75,2620
5284,0.246,0,2468.75,2620
5295,0.257,0,2466.25,2620
5306,0.268,0,2461.25,2620
5317,0.279,0,2457.5,2620
5328,0.29,0,2455,2620
5339,0.301,0,2453.75,2620
5350,0.312,0,2453.75,2620
5361,0.323,0,2451.25,2620
5372,0.334,0,2451.25,2620
5383,0.345,0,2448.75,2620
5394,0.356,0,2445,2620
5405,0.367,0,2442.5,2620
5416,0.378,0,2437.5,2620
5427,0.389,0,2437.5,2620
5438,0.4,0,2436.25,2620
5449,0.411,0,2435,2620
5460,0.422,0,2431.25,2620
5471,0.433,0,2430,2620
5482,0.444,0,2423.75,2620
5493,0.455,0,2425,2620
5504,0.466,0,2425,2620
5515,0.477,0,2422.5,2620
5526,0.488,0,2421.25,2620
5537,0.499,0,2418.75,2620
5548,0.51,0,2417.5,2620
5559,0.521,0,2413.75,2620
5570,0.532,0,2412.5,2620
5581,0.543,0,2412.5,2620
5592,0.554,0,2408.75,2620
5603,0.565,0,2406.25,2620
5614,0.576,0,2405,2620
5625,0.587,0,2405,2620
5636,0.598,0,2402.5,2620
5647,0.609,0,2402.5,2620
5658,0.62,0,2402.5,2620
5669,0.631,0,2400,2620
5680,0.642,0,2398.75,2620
5691,0.653,0,2397.5,2620
5702,0.664,0,2393.75,2620
5713,0.675,0,2391.25,2620
5724,0.686,0,2391.25,2620
5735,0.697,0,2390,2620
5746,0.708,0,2388.75,2620
5757,0.719,0,2386.25,2620
5768,0.73,0,2385,2620
5779,0.741,0,2381.25,2620
5790,0.752,0,2378.75,2620
5801,0.763,0,2377.5,2620
5812,0.774,0,2376.25,2620
5823,0.785,0,2375,2620
5834,0.796,0,2372.5,2620
5846,0.808,0,2370,2620
5857,0.819,0,2367.5,2620
5868,0.83,0,2365,2620
5879,0.841,0,2360,2620
5890,0.852,0,2357.5,2620
5901,0.863,0,2353.75,2620
5912,0.874,0,2353.75,2620
5923,0.885,0,2351.25,2620
5934,0.896,0,2347.5,2620
5945,0.907,0,2347.5,2620
5956,0.918,0,2345,2620
5967,0.929,0,2343.75,2620
5978,0.94,0,2341.25,2620
5989,0.951,0,2341.25,2620
6000,0.962,0,2338.75,2620
6011,0.973,0,2338.75,2620
6022,0.984,0,2337.5,2620
6033,0.995,0,2331.25,2620
6044,1.006,0,2331.25,2620
6055,1.017,0,2331.25,2620
6066,1.028,0,2328.75,2620
6077,1.039,0,2326.25,2620
6088,1.05,0,2323.75,2620
6099,1.061,0,2323.75,2620
6110,1.072,0,2321.25,2620
6121,1.083,0,2318.75,2620
6132,1.094,0,2318.75,2620
6144,1.106,0,2315,2620
6155,1.117,0,2315,2620
6166,1.128,0,2312.5,2620
6177,1.139,0,2311.25,2620
6188,1.15,0,2308.75,2620
6199,1.161,0,2307.5,2620
6210,1.172,0,2303.75,2620
6221,1.183,0,2301.25,2620
6232,1.194,0,2302.5,2620
6243,1.205,0,2300,2620
6254,1.216,0,2297.5,2620
6265,1.227,0,2296.25,2620
6276,1.238,0,2292.5,2620
6287,1.249,0,2290,2620
6298,1.26,0,2287.5,2620
6309,1.271,0,2287.5,2620
6320,1.282,0,2285,2620
6331,1.293,0,2282.5,2620
6342,1.304,0,2282.5,2620
6353,1.315,0,2281.25,2620
6364,1.326,0,2278.75,2620
6375,1.337,0,2275,2620
6386,1.348,0,2273.75,2620
6397,1.359,0,2271.25,2620
6408,1.37,0,2268.75,2620
6419,1.381,0,2266.25,2620
6430,1.392,0,2263.75,2620
6441,1.403,0,2261.25,2620
6452,1.414,0,2258.75,2620
6463,1.425,0,2257.5,2620
6474,1.436,0,2253.75,2620
6486,1.448,0,2253.75,2620
6497,1.459,0,2251.25,2620
6508,1.47,0,2250,2620
6519,1.481,0,2247.5,2620
6530,1.492,0,2245,2620
6541,1.503,0,2242.5,2620
6552,1.514,0,2240,2620
6563,1.525,0,2237.5,2620
6574,1.536,0,2235,2620
6585,1.547,0,2233.75,2620
6596,1.558,0,2231.25,2620
6607,1.569,0,2227.5,2620
6618,1.58,0,2226.25,2620
6629,1.591,0,2223.75,2620
6640,1.602,0,2221.25,2620
6651,1.613,0,2217.5,2620
6662,1.624,0,2215,2620
6673,1.635,0,2212.5,2620
6684,1.646,0,2210,2620
6695,1.657,0,2207.5,2620
6706,1.668,0,2205,2620
6717,1.679,0,2202.5,2620
6728,1.69,0,2200,2620
6739,1.701,0,2198.75,2620
6750,1.712,0,2195,2620
6761,1.723,0,2192.5,2620
6772,1.734,0,2186.25,2620
6784,1.746,0,2185,2620
6795,1.757,0,2182.5,2620
6806,1.768,0,2178.75,2620
6817,1.779,0,2176.25,2620
6828,1.79,0,2173.75,2620
6839,1.801,0,2171.25,2620
6850,1.812,0,2167.5,2620
6861,1.823,0,2163.75,2620
6872,1.834,0,2160,2620
6883,1.845,0,2158.75,2620
6894,1.856,0,2152.5,2620
6905,1.867,0,2151.25,2620
6916,1.878,0,2148.75,2620
6927,1.889,0,2145,2620
6938,1.9,0,2141.25,2620
6949,1.911,0,2137.5,2620
6960,1.922,0,2133.75,2620
6971,1.933,0,2131.25,2620
6982,1.944,0,2127.5,2620
6993,1.955,0,2122.5,2620
7004,1.966,0,2121.25,2620
7015,1.977,0,2116.25,2620
7026,1.988,0,2112.5,2620
7037,1.999,0,2108.75,2620
7048,2.01,0,2105,2620
7059,2.021,0,2098.75,2620
7070,2.032,0,2098.75,2620
7081,2.043,0,2092.5,2620
7092,2.054,0,2090,2620
7103,2.065,0,2083.75,2620
7114,2.076,0,2078.75,2620
7126,2.088,0,2075,2620
7137,2.099,0,2072.5,2620
7148,2.11,0,2066.25,2620
7159,2.121,0,2062.5,2620
7170,2.132,0,2057.5,2620
7181,2.143,0,2051.25,2620
7192,2.154,0,2048.75,2620
7203,2.165,0,2042.5,2620
7214,2.176,0,2036.25,2620
7225,2.187,0,2035,2620
7236,2.198,0,2028.75,2620
7247,2.209,0,2022.5,2620
7258,2.22,0,2016.25,2620
7269,2.231,0,2013.75,2620
7280,2.242,0,2008.75,2620
7291,2.253,0,2003.75,2620
7302,2.264,0,1997.5,2620
7313,2.275,0,1992.5,2620
7324,2.286,0,1986.25,2620
7335,2.297,0,1978.75,2620
7346,2.308,0,1976.25,2620
7357,2.319,0,1967.5,2620
7368,2.33,0,1961.25,2620
7379,2.341,0,1955,2620
7390,2.352,0,1951.25,2620
7401,2.363,0,1943.75,2620
7412,2.374,0,1937.5,2620
7424,2.386,0,1930,2620
7435,2.397,0,1923.75,2620
7446,2.408,0,1917.5,2620
7457,2.419,0,1908.75,2620
7468,2.43,0,1901.25,2620
7479,2.441,0,1893.75,2620
7490,2.452,0,1887.5,2620
7501,2.463,0,1880,2620
7512,2.474,0,1873.75,2620
7523,2.485,0,1863.75,2620
7534,2.496,0,1856.25,2620
7545,2.507,0,1847.5,2620
7556,2.518,0,1841.25,2620
7567,2.529,0,1831.25,2620
7578,2.54,0,1820,2620
7589,2.551,0,1812.5,2620
7600,2.562,0,1805,2620
7611,2.573,0,1793.75,2620
7622,2.584,0,1782.5,2620
7633,2.595,0,1773.75,2620
7644,2.606,0,1765,2620
7655,2.617,0,1752.5,2620
7666,2.628,0,1741.25,2620
7677,2.639,0,1728.75,2620
7688,2.65,0,1717.5,2620
7699,2.661,0,1705,2620
7710,2.672,0,1695,2620
7721,2.683,0,1680,2620
7732,2.694,0,1668.75,2620
7743,2.705,0,1656.25,2620
7754,2.716,0,1641.25,2620
7766,2.728,0,1625,2620
7777,2.739,0,1612.5,2620
7788,2.75,0,1595,2620
7799,2.761,0,1581.25,2620
7810,2.772,0,1563.75,2620
7821,2.783,0,1548.75,2620
7832,2.794,0,1531.25,2620
7843,2.805,0,1511.25,2620
7854,2.816,0,1493.75,2620
7865,2.827,0,1477.5,2620
7876,2.838,0,1455,2620
7887,2.849,0,1432.5,2620
7898,2.86,0,1418.75,2620
7909,2.871,0,1393.75,2620
7920,2.882,0,1373.75,2620
7931,2.893,0,1350,2620
7942,2.904,0,1327.5,2620
7953,2.915,0,1305,2620
7964,2.926,0,1282.5,2620
7975,2.937,0,1258.75,2620
7986,2.948,0,1233.75,2620
7997,2.959,0,1210,2620
8008,2.97,0,1181.25,2620
8019,2.981,0,1156.25,2620
8030,2.992,0,1136.25,2620
8041,3.003,0,1106.25,2620
8052,3.014,0,1082.5,2620
8064,3.026,0,1057.5,2620
8075,3.037,0,1032.5,2620
8086,3.048,0,1010,2620
8097,3.059,0,978.75,2620
8108,3.07,0,961.25,2620
8119,3.081,0,938.75,2620
8130,3.092,0,910,2620
8141,3.103,0,891.25,2620
8152,3.114,0,870,2620
8163,3.125,0,848.75,2620
8174,3.136,0,825,2620
8185,3.147,0,811.25,2620
8196,3.158,0,791.25,2620
8207,3.169,0,772.5,2620
8218,3.18,0,755,2620
8229,3.191,0,736.25,2620
8240,3.202,0,726.25,2620
8251,3.213,0,708.75,2620
8262,3.224,0,692.5,2620
8273,3.235,0,680,2620
8284,3.246,0,670,2620
8295,3.257,0,655,2620
8306,3.268,0,642.5,2620
8317,3.279,0,631.25,2620
8328,3.29,0,618.75,2620
8339,3.301,0,610,2620
8350,3.312,0,597.5,2620
8361,3.323,0,588.75,2620
8372,3.334,0,578.75,2620
8383,3.345,0,568.75,2620
8394,3.356,0,561.25,2620
8406,3.368,0,552.5,2620
8417,3.379,0,543.75,2620
8428,3.39,0,538.75,2620
8439,3.401,0,527.5,2620
8450,3.412,0,522.5,2620
8461,3.423,0,515,2620
8472,3.434,0,507.5,2620
8483,3.445,0,500,2620
8494,3.456,0,495,2620
8505,3.467,0,487.5,2620
8516,3.478,0,481.25,2620
8527,3.489,0,475,2620
8538,3.5,0,470,2620
8549,3.511,0,465,2620
8560,3.522,0,457.5,2620
8571,3.533,0,453.75,2620
8582,3.544,0,448.75,2620
8593,3.555,0,443.75,2620
8604,3.566,0,438.75,2620
8615,3.577,0,432.5,2620
8626,3.588,0,428.75,2620
8637,3.599,0,423.75,2620
8648,3.61,0,418.75,2620
8659,3.621,0,413.75,2620
8670,3.632,0,410,2620
8681,3.643,0,406.25,2620
8692,3.654,0,401.25,2620
8704,3.666,0,398.75,2620
8715,3.677,0,392.5,2620
8726,3.688,0,388.75,2620
8737,3.699,0,386.25,2620
8748,3.71,0,381.25,2620
8759,3.721,0,377.5,2620
8770,3.732,0,375,2620
8781,3.743,0,371.25,2620
8792,3.754,0,366.25,2620
8803,3.765,0,365,2620
8814,3.776,0,360,2620
8825,3.787,0,358.75,2620
8836,3.798,0,355,2620
8847,3.809,0,351.25,2620
8858,3.82,0,348.75,2620
8869,3.831,0,347.5,2620
8880,3.842,0,343.75,2620
8891,3.853,0,340,2620
8902,3.864,0,336.25,2620
8913,3.875,0,335,2620
8924,3.886,0,332.5,2620
8935,3.897,0,330,2620
8946,3.908,0,326.25,2620
8957,3.919,0,322.5,2620
8968,3.93,0,320,2620
8979,3.941,0,317.5,2620
8990,3.952,0,316.25,2620
9001,3.963,0,312.5,2620
9012,3.974,0,311.25,2620
9023,3.985,0,308.75,2620
9034,3.996,0,305,2620
9046,4.008,0,303.75,2620
9057,4.019,0,301.25,2620
9068,4.03,0,298.75,2620
9079,4.041,0,296.25,2620
9090,4.052,0,292.5,2620
9101,4.063,0,291.25,2620
9112,4.074,0,290,2620
9123,4.085,0,288.75,2620
9134,4.096,0,285,2620
9145,4.107,0,283.75,2620
9156,4.118,0,282.5,2620
9167,4.129,0,281.25,2620
9178,4.14,0,277.5,2620
9189,4.151,0,277.5,2620
9200,4.162,0,273.75,2620
9211,4.173,0,272.5,2620
9222,4.184,0,271.25,2620
9233,4.195,0,270,2620
9244,4.206,0,268.75,2620
9255,4.217,0,266.25,2620
9266,4.228,0,263.75,2620
9277,4.239,0,261.25,2620
9288,4.25,0,261.25,2620
9299,4.261,0,257.5,2620
9310,4.272,0,257.5,2620
9321,4.283,0,253.75,2620
9332,4.294,0,255,2620
9344,4.306,0,252.5,2620
9355,4.317,0,251.25,2620
9366,4.328,0,248.75,2620
9377,4.339,0,248.75,2620
9388,4.35,0,246.25,2620
9399,4.361,0,245,2620
9410,4.372,0,241.25,2620
9421,4.383,0,243.75,2620
9432,4.394,0,241.25,2620
9443,4.405,0,240,2620
9454,4.416,0,237.5,2620
9465,4.427,0,236.25,2620
9476,4.438,0,236.25,2620
9487,4.449,0,235,2620
9498,4.46,0,233.75,2620
9509,4.471,0,231.25,2620
9520,4.482,0,230,2620
9531,4.493,0,228.75,2620
9542,4.504,0,227.5,2620
9553,4.515,0,226.25,2620
9564,4.526,0,226.25,2620
9575,4.537,0,222.5,2620
9586,4.548,0,222.5,2620
9597,4.559,0,222.5,2620
9608,4.57,0,220,2620
9619,4.581,0,220,2620
9630,4.592,0,217.5,2620
9641,4.603,0,216.25,2620
9652,4.614,0,216.25,2620
9663,4.625,0,216.25,2620
9674,4.636,0,212.5,2620
9686,4.648,0,212.5,2620
9697,4.659,0,213.75,2620
9708,4.67,0,212.5,2620
9719,4.681,0,211.25,2620
9730,4.692,0,210,2620
9741,4.703,0,208.75,2620
9752,4.714,0,207.5,2620
9763,4.725,0,207.5,2620
9774,4.736,0,205,2620
9785,4.747,0,206.25,2620
9796,4.758,0,203.75,2620
9807,4.769,0,203.75,2620
9818,4.78,0,203.75,2620
9829,4.791,0,202.5,2620
9840,4.802,0,202.5,2620
9851,4.813,0,200,2620
9862,4.824,0,200,2620
9873,4.835,0,198.75,2620
9884,4.846,0,197.5,2620
9895,4.857,0,195,2620
9906,4.868,0,195,2620
9917,4.879,0,195,2620
9928,4.89,0,195,2620
9939,4.901,0,193.75,2620
9950,4.912,0,191.25,2620
9961,4.923,0,192.5,2620
9972,4.934,0,192.5,2620
9984,4.946,0,190,2620
9995,4.957,0,190,2620
10006,4.968,0,188.75,2620
10017,4.979,0,188.75,2620
10028,4.99,0,187.5,2620
10039,5.001,0,186.25,2620
10050,5.012,0,186.25,2620
10061,5.023,0,185,2620
10072,5.034,0,186.25,2620
10083,5.045,0,183.75,2620
10094,5.056,0,183.75,2620
10105,5.067,0,182.5,2620
10116,5.078,0,182.5,2620
10127,5.089,0,182.5,2620
10138,5.1,0,181.25,2620
10149,5.111,0,180,2620
10160,5.122,0,180,2620
10171,5.133,0,180,2620
10182,5.144,0,180,2620
10193,5.155,0,178.75,2620
10204,5.166,0,177.5,2620
10215,5.177,0,177.5,2620
10226,5.188,0,176.25,2620
10237,5.199,0,175,2620
10248,5.21,0,175,2620
10259,5.221,0,173.75,2620
10270,5.232,0,173.75,2620
10281,5.243,0,172.5,2620
10292,5.254,0,173.75,2620
10303,5.265,0,175,2620
10314,5.276,0,172.5,2620
10326,5.288,0,171.25,2620
10337,5.299,0,170,2620
10348,5.31,0,172.5,2620
10359,5.321,0,170,2620
10370,5.332,0,171.25,2620
10381,5.343,0,170,2620
10392,5.354,0,168.75,2620
10403,5.365,0,168.75,2620
10414,5.376,0,167.5,2620
10425,5.387,0,165,2620
10436,5.398,0,167.5,2620
10447,5.409,0,166.25,2620
10458,5.42,0,165,2620
10469,5.431,0,167.5,2620
10480,5.442,0,165,2620
10491,5.453,0,166.25,2620
10502,5.464,0,165,2620
10513,5.475,0,162.5,2620
10524,5.486,0,163.75,2620
10535,5.497,0,162.5,2620
10546,5.508,0,163.75,2620
10557,5.519,0,163.75,2620
10568,5.53,0,162.5,2620
10579,5.541,0,162.5,2620
10590,5.552,0,160,2620
10601,5.563,0,161.25,2620
10612,5.574,0,162.5,2620
10624,5.586,0,160,2620
10635,5.597,0,161.25,2620
10646,5.608,0,161.25,2620
10657,5.619,0,157.5,2620
10668,5.63,0,158.75,2620
10679,5.641,0,157.5,2620
10690,5.652,0,156.25,2620
10701,5.663,0,157.5,2620
10712,5.674,0,158.75,2620
10723,5.685,0,157.5,2620
10734,5.696,0,156.25,2620
10745,5.707,0,155,2620
10756,5.718,0,156.25,2620
10767,5.729,0,155,2620
10778,5.74,0,156.25,2620
10789,5.751,0,153.75,2620
10800,5.762,0,153.75,2620
10811,5.773,0,153.75,2620
10822,5.784,0,153.75,2620
10833,5.795,0,152.5,2620
10844,5.806,0,152.5,2620
10855,5.817,0,152.5,2620
10866,5.828,0,152.5,2620
10877,5.839,0,151.25,2620
10888,5.85,0,151.25,2620
10899,5.861,0,153.75,2620
10910,5.872,0,150,2620
10921,5.883,0,151.25,2620
10932,5.894,0,150,2620
10943,5.905,0,151.25,2620
10954,5.916,0,150,2620
10966,5.928,0,150,2620
10977,5.939,0,148.75,2620
10988,5.95,0,150,2620
10999,5.961,0,148.75,2620
11010,5.972,0,148.75,2620
11021,5.983,0,147.5,2620
11032,5.994,0,148.75,2620
11043,6.005,0,146.25,2620
11054,6.016,0,148.75,2620
11065,6.027,0,147.5,2620
11076,6.038,0,147.5,2620
11087,6.049,0,146.25,2620
11098,6.06,0,145,2620
11109,6.071,0,146.25,2620
11120,6.082,0,146.25,2620
11131,6.093,0,145,2620
11142,6.104,0,145,2620
11153,6.115,0,145,2620
11164,6.126,0,145,2620
11175,6.137,0,143.75,2620
11186,6.148,0,143.75,2620
11197,6.159,0,143.75,2620
11208,6.17,0,143.75,2620
11219,6.181,0,142.5,2620
11230,6.192,0,143.75,2620
11241,6.203,0,142.5,2620
11252,6.214,0,142.5,2620
11264,6.226,0,142.5,2620
11275,6.237,0,141.25,2620
11286,6.248,0,141.25,2620
11297,6.259,0,142.5,2620
11308,6.27,0,140,2620
11319,6.281,0,142.5,2620
11330,6.292,0,141.25,2620
11341,6.303,0,141.25,2620
11352,6.314,0,140,2620
11363,6.325,0,140,2620
11374,6.336,0,140,2620
11385,6.347,0,140,2620
11396,6.358,0,140,2620
11407,6.369,0,140,2620
11418,6.38,0,138.75,2620
11429,6.391,0,138.75,2620
11440,6.402,0,138.75,2620
11451,6.413,0,138.75,2620
11462,6.424,0,138.75,2620
11473,6.435,0,137.5,2620
11484,6.446,0,138.75,2620
11495,6.457,0,138.75,2620
11506,6.468,0,138.75,2620
11517,6.479,0,137.5,2620
11528,6.49,0,137.5,2620
11539,6.501,0,137.5,2620
11550,6.512,0,137.5,2620
11561,6.523,0,136.25,2620
11572,6.534,0,135,2620
11583,6.545,0,136.25,2620
11594,6.556,0,136.25,2620
11606,6.568,0,137.5,2620
11617,6.579,0,136.25,2620
11628,6.59,0,135,2620
11639,6.601,0,135,2620
11650,6.612,0,135,2620
11661,6.623,0,136.25,2620
11672,6.634,0,133.75,2620
11683,6.645,0,135,2620
11694,6.656,0,133.75,2620
11705,6.667,0,132.5,2620
11716,6.678,0,133.75,2620
11727,6.689,0,133.75,2620
11738,6.7,0,133.75,2620
11749,6.711,0,133.75,2620
11760,6.722,0,132.5,2620
11771,6.733,0,132.5,2620
11782,6.744,0,133.75,2620
11793,6.755,0,132.5,2620
11804,6.766,0,132.5,2620
11815,6.777,0,133.75,2620
11826,6.788,0,133.75,2620
11837,6.799,0,132.5,2620
11848,6.81,0,133.75,2620
11859,6.821,0,132.5,2620
11870,6.832,0,131.25,2620
11881,6.843,0,132.5,2620
11892,6.854,0,131.25,2620
11904,6.866,0,131.25,2620
11915,6.877,0,130,2620
11926,6.888,0,131.25,2620
11937,6.899,0,131.25,2620
11948,6.91,0,132.5,2620
11959,6.921,0,130,2620
11970,6.932,0,130,2620
11981,6.943,0,130,2620
11992,6.954,0,130,2620
12003,6.965,0,130,2620
12014,6.976,0,128.75,2620
12025,6.987,0,130,2620
12036,6.998,0,128.75,2620
12047,7.009,0,127.5,2620
12058,7.02,0,131.25,2620
