Found INA260 chip
time (ms), rpm, mA, V
326, 0, 0.00, 6.23,
337, 0, 2937.50, 4.96,
348, 0, 2932.50, 4.84,
359, 0, 2811.25, 4.83,
370, 162, 2731.25, 4.92,
381, 162, 2688.75, 4.87,
392, 162, 2572.50, 4.93,
403, 162, 2527.50, 4.90,
414, 1732, 2455.00, 4.99,
425, 1732, 2465.00, 4.95,
436, 2606, 2341.25, 4.99,
448, 3181, 2301.25, 5.02,
460, 3181, 2227.50, 5.04,
471, 3661, 2191.25, 5.08,
482, 4055, 2192.50, 5.10,
493, 4405, 2053.75, 5.04,
504, 4715, 2043.75, 5.10,
515, 4715, 1982.50, 5.11,
527, 5008, 1918.75, 5.13,
539, 5494, 1913.75, 5.18,
551, 5718, 1846.25, 5.17,
562, 5926, 1837.50, 5.14,
573, 6127, 1835.00, 5.16,
584, 6307, 1753.75, 5.23,
595, 6496, 1715.00, 5.22,
607, 6815, 1657.50, 5.24,
619, 6970, 1611.25, 5.26,
631, 7239, 1566.25, 5.25,
642, 7392, 1553.75, 5.28,
653, 7526, 1578.75, 5.31,
664, 7772, 1522.50, 5.32,
675, 7907, 1475.00, 5.33,
687, 8090, 1448.75, 5.32,
699, 8223, 1413.75, 5.35,
711, 8426, 1417.50, 5.34,
723, 8620, 1341.25, 5.38,
734, 8807, 1355.00, 5.40,
745, 8891, 1331.25, 5.39,
756, 9063, 1265.00, 5.39,
768, 9219, 1220.00, 5.40,
779, 9305, 1216.25, 5.41,
791, 9457, 1230.00, 5.44,
803, 9596, 1245.00, 5.44,
814, 9721, 1187.50, 5.44,
825, 9868, 1136.25, 5.44,
836, 10006, 1171.25, 5.47,
847, 10114, 1116.25, 5.47,
859, 10183, 1117.50, 5.48,
870, 10302, 1087.50, 5.47,
882, 10409, 1102.50, 5.49,
894, 10570, 1077.50, 5.49,
905, 10699, 1041.25, 5.51,
916, 10768, 1042.50, 5.52,
927, 10869, 1042.50, 5.53,
939, 10956, 1028.75, 5.53,
950, 11037, 1005.00, 5.53,
961, 11135, 1001.25, 5.53,
972, 11202, 976.25, 5.55,
983, 11312, 968.75, 5.55,
994, 11372, 947.50, 5.55,
1005, 11459, 946.25, 5.55,
1016, 11529, 937.50, 5.57,
1027, 11609, 920.00, 5.57,
1039, 11709, 902.50, 5.58,
1051, 11773, 905.00, 5.59,
1062, 11848, 882.50, 5.59,
1073, 11914, 890.00, 5.59,
1084, 12009, 868.75, 5.59,
1095, 12116, 856.25, 5.61,
1106, 12126, 858.75, 5.60,
1117, 12185, 837.50, 5.61,
1128, 12244, 827.50, 5.61,
1140, 12295, 820.00, 5.62,
1153, 12345, 807.50, 5.63,
1164, 12448, 812.50, 5.62,
1176, 12458, 793.75, 5.63,
1188, 12605, 796.25, 5.64,
1199, 12552, 771.25, 5.64,
1210, 12647, 780.00, 5.64,
1221, 12733, 763.75, 5.65,
1232, 12765, 756.25, 5.66,
1243, 12820, 758.75, 5.66,
1254, 12897, 740.00, 5.67,
1266, 12942, 750.00, 5.67,
1278, 12975, 727.50, 5.67,
1290, 13043, 716.25, 5.67,
1302, 13077, 723.75, 5.68,
1314, 13134, 721.25, 5.67,
1326, 13181, 703.75, 5.68,
1338, 13227, 707.50, 5.68,
1350, 13274, 696.25, 5.69,
1362, 13333, 700.00, 5.69,
1374, 13345, 697.50, 5.69,
1386, 13404, 668.75, 5.69,
