Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 6.24,
16, 0, 0.00, 6.24,
27, 0, 0.00, 6.24,
38, 0, 0.00, 6.24,
49, 0, 0.00, 6.24,
60, 0, 0.00, 6.24,
71, 0, 0.00, 6.24,
82, 0, 0.00, 6.24,
93, 0, 0.00, 6.24,
105, 0, 0.00, 6.24,
116, 0, 0.00, 6.24,
128, 0, 0.00, 6.24,
139, 0, 0.00, 6.24,
150, 0, 0.00, 6.24,
161, 0, 0.00, 6.24,
173, 0, 0.00, 6.24,
184, 0, 0.00, 6.24,
195, 0, 0.00, 6.24,
207, 0, 0.00, 6.24,
218, 0, 0.00, 6.24,
229, 0, 0.00, 6.24,
241, 0, 0.00, 6.24,
252, 0, 0.00, 6.24,
263, 0, 0.00, 6.24,
275, 0, 0.00, 6.24,
286, 0, 0.00, 6.24,
297, 0, 0.00, 6.24,
308, 0, 0.00, 6.24,
319, 0, 0.00, 6.24,
330, 0, 0.00, 6.24,
342, 0, 0.00, 6.24,
353, 0, 0.00, 6.24,
364, 0, 0.00, 6.24,
375, 0, 0.00, 6.24,
387, 0, 0.00, 6.24,
398, 0, 0.00, 6.24,
409, 0, 0.00, 6.24,
420, 0, 0.00, 6.24,
431, 0, 0.00, 6.24,
442, 0, 0.00, 6.24,
454, 0, 0.00, 6.24,
465, 0, 0.00, 6.24,
476, 0, 0.00, 6.24,
488, 0, 0.00, 6.24,
499, 0, 0.00, 6.24,
510, 0, 0.00, 6.24,
521, 0, 0.00, 6.24,
532, 0, 0.00, 6.24,
543, 0, 0.00, 6.24,
555, 0, 0.00, 6.24,
566, 0, 0.00, 6.24,
577, 0, 0.00, 6.24,
588, 0, 0.00, 6.24,
600, 0, 0.00, 6.24,
611, 0, 0.00, 6.24,
622, 0, 0.00, 6.24,
633, 0, 0.00, 6.24,
644, 0, 0.00, 6.24,
655, 0, 0.00, 6.24,
667, 0, 0.00, 6.24,
678, 0, 0.00, 6.24,
689, 0, 0.00, 6.24,
700, 0, 0.00, 6.24,
711, 0, 0.00, 6.24,
722, 0, 0.00, 6.24,
733, 0, 0.00, 6.24,
744, 0, 0.00, 6.24,
755, 0, 0.00, 6.24,
766, 0, 0.00, 6.24,
777, 0, 0.00, 6.24,
788, 0, 1.25, 6.24,
799, 0, 0.00, 6.24,
811, 0, 0.00, 6.24,
822, 0, 0.00, 6.24,
833, 0, 0.00, 6.24,
844, 0, 0.00, 6.24,
856, 0, 0.00, 6.24,
867, 0, 0.00, 6.24,
878, 0, 215.00, 6.24,
889, 0, 3302.50, 4.74,
900, 0, 2798.75, 4.75,
912, 0, 2718.75, 4.76,
923, 0, 2676.25, 4.80,
934, 0, 2558.75, 4.78,
945, 63, 2516.25, 4.81,
956, 63, 2556.25, 4.83,
968, 63, 2506.25, 4.83,
980, 1870, 2360.00, 4.95,
991, 1870, 2306.25, 4.94,
1002, 2422, 2317.50, 4.90,
1013, 2422, 2302.50, 4.93,
1024, 2836, 2150.00, 4.90,
1035, 2836, 2222.50, 4.99,
1047, 3157, 2223.75, 4.97,
1059, 3419, 2071.25, 5.05,
1070, 3419, 2063.75, 5.05,
1081, 3672, 2022.50, 5.07,
1092, 3856, 1977.50, 5.05,
1103, 4044, 1962.50, 5.09,
1114, 4044, 1871.25, 5.06,
1125, 4207, 1973.75, 5.11,
1137, 4331, 1858.75, 5.12,
1149, 4478, 1845.00, 5.13,
1160, 4605, 1797.50, 5.07,
1171, 4722, 1768.75, 5.16,
1182, 4818, 1806.25, 5.17,
1193, 4818, 1785.00, 5.15,
1204, 4922, 1698.75, 5.18,
1215, 5038, 1720.00, 5.17,
1227, 5105, 1706.25, 5.20,
1238, 5195, 1632.50, 5.20,
1249, 5237, 1696.25, 5.19,
1260, 5322, 1666.25, 5.23,
1271, 5349, 1627.50, 5.23,
1282, 5434, 1591.25, 5.22,
1293, 5458, 1573.75, 5.22,
1305, 5528, 1558.75, 5.23,
1317, 5580, 1558.75, 5.25,
1329, 5736, 1572.50, 5.26,
1341, 5868, 1502.50, 5.26,
1353, 6041, 1477.50, 5.29,
1366, 6221, 1451.25, 5.28,
1378, 6590, 1432.50, 5.30,
1389, 6768, 1413.75, 5.28,
1401, 6928, 1395.00, 5.33,
1412, 7228, 1341.25, 5.34,
1423, 7367, 1343.75, 5.36,
1434, 7522, 1273.75, 5.37,
1445, 7759, 1300.00, 5.37,
1456, 7886, 1266.25, 5.37,
1467, 8086, 1272.50, 5.40,
1479, 8246, 1225.00, 5.38,
1491, 8431, 1215.00, 5.42,
1502, 8630, 1138.75, 5.40,
1513, 8731, 1122.50, 5.42,
1524, 8912, 1135.00, 5.44,
1536, 9074, 1122.50, 5.45,
1547, 9191, 1116.25, 5.45,
1558, 9328, 1106.25, 5.46,
1569, 9475, 1072.50, 5.47,
1580, 9609, 1026.25, 5.45,
1591, 9765, 1023.75, 5.48,
1602, 9836, 1038.75, 5.49,
1613, 9966, 1023.75, 5.49,
1624, 10094, 1023.75, 5.51,
1635, 10211, 990.00, 5.49,
1647, 10316, 977.50, 5.51,
1658, 10445, 961.25, 5.52,
1669, 10518, 951.25, 5.52,
1680, 10645, 953.75, 5.52,
1691, 10752, 925.00, 5.54,
1702, 10853, 906.25, 5.55,
1713, 10940, 897.50, 5.56,
1725, 11029, 891.25, 5.56,
1737, 11119, 886.25, 5.56,
1748, 11202, 870.00, 5.57,
1759, 11278, 867.50, 5.56,
1770, 11363, 853.75, 5.57,
1781, 11441, 865.00, 5.59,
1792, 11511, 837.50, 5.59,
1803, 11618, 843.75, 5.59,
1814, 11691, 832.50, 5.59,
1826, 11755, 811.25, 5.60,
1837, 11820, 798.75, 5.60,
1848, 11914, 796.25, 5.61,
1859, 11952, 787.50, 5.61,
1870, 12038, 777.50, 5.61,
1881, 12096, 785.00, 5.62,
1893, 12145, 768.75, 5.62,
1904, 12234, 756.25, 5.63,
1916, 12244, 768.75, 5.63,
1927, 12366, 726.25, 5.64,
1938, 12406, 726.25, 5.64,
1949, 12458, 737.50, 5.65,
1960, 12510, 743.75, 5.65,
1971, 12583, 713.75, 5.66,
1982, 12605, 723.75, 5.65,
1994, 12690, 698.75, 5.65,
2007, 12744, 703.75, 5.66,
2018, 12776, 685.00, 5.66,
2030, 12842, 690.00, 5.67,
2042, 12897, 691.25, 5.67,
2054, 12931, 667.50, 5.67,
2066, 12998, 678.75, 5.67,
2078, 13043, 661.25, 5.68,
2091, 13089, 657.50, 5.68,
2102, 13123, 667.50, 5.68,
2114, 13157, 661.25, 5.68,
2126, 13204, 658.75, 5.68,
2137, 13262, 648.75, 5.69,
2148, 13286, 651.25, 5.69,
2159, 13321, 655.00, 5.69,
2170, 13357, 628.75, 5.70,
2181, 13380, 620.00, 5.69,
2192, 13404, 625.00, 5.69,
2204, 13416, 626.25, 5.70,
2215, 13464, 625.00, 5.71,
2226, 13525, 622.50, 5.71,
2237, 13525, 637.50, 5.71,
2248, 13574, 620.00, 5.71,
2259, 13623, 602.50, 5.71,
2270, 13648, 605.00, 5.71,
2282, 13648, 601.25, 5.71,
2293, 13711, 603.75, 5.72,
2304, 13736, 600.00, 5.72,
2315, 13711, 602.50, 5.72,
2326, 13774, 596.25, 5.72,
2337, 13786, 591.25, 5.71,
2348, 13824, 580.00, 5.72,
2359, 13863, 587.50, 5.73,
