Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0, 6.20,
17, 0, 0, 6.20,
28, 0, 0, 6.20,
39, 0, 0, 6.20,
50, 0, 0, 6.20,
61, 0, 0, 6.20,
72, 0, 0, 6.20,
83, 0, 0, 6.20,
94, 0, 0, 6.20,
105, 0, 0, 6.20,
116, 0, 0, 6.20,
128, 0, 0, 6.20,
139, 0, 0, 6.20,
150, 0, 0, 6.20,
162, 0, 0, 6.20,
173, 0, 0, 6.20,
184, 0, 0, 6.20,
195, 0, 0, 6.20,
206, 0, 0, 6.20,
217, 0, 0, 6.20,
228, 0, 0, 6.20,
239, 0, 0, 6.20,
250, 0, 0, 6.20,
261, 0, 0, 6.20,
272, 0, 0, 6.20,
284, 0, 0, 6.20,
295, 0, 0, 6.20,
306, 0, 0, 6.20,
317, 0, 0, 6.20,
328, 0, 0, 6.20,
339, 0, 0, 6.20,
350, 0, 0, 6.20,
361, 0, 0, 6.20,
372, 0, 0, 6.20,
384, 0, 0, 6.20,
396, 0, 0, 6.20,
407, 0, 0, 6.20,
418, 0, 0, 6.20,
429, 0, 0, 6.20,
440, 0, 0, 6.20,
451, 0, 0, 6.20,
462, 0, 0, 6.20,
473, 0, 0, 6.20,
484, 0, 0, 6.20,
495, 0, 0, 6.20,
507, 0, 0, 6.20,
518, 0, 0, 6.20,
529, 0, 0, 6.20,
540, 0, 0, 6.20,
551, 0, 0, 6.20,
562, 0, 0, 6.20,
573, 0, 0, 6.20,
584, 0, 0, 6.20,
595, 0, 2389, 4.73,
606, 0, 2396, 4.81,
617, 0, 2356, 4.83,
628, 0, 2286, 4.86,
640, 0, 2264, 4.86,
652, 92, 2200, 4.88,
663, 92, 2095, 4.91,
674, 92, 2090, 4.93,
685, 2052, 2043, 4.97,
696, 2052, 2029, 4.98,
707, 2701, 1950, 4.99,
718, 3179, 1945, 5.03,
730, 3179, 1898, 5.04,
741, 3599, 1870, 5.07,
752, 3950, 1796, 5.05,
764, 4262, 1741, 5.09,
775, 4262, 1705, 5.07,
786, 4559, 1680, 5.12,
798, 4795, 1681, 5.16,
809, 5018, 1614, 5.15,
820, 5274, 1598, 5.13,
831, 5460, 1581, 5.18,
842, 5639, 1543, 5.20,
854, 5834, 1526, 5.17,
865, 6175, 1509, 5.22,
876, 6331, 1459, 5.24,
888, 6485, 1426, 5.22,
899, 6637, 1390, 5.26,
910, 6762, 1379, 5.26,
922, 7025, 1361, 5.27,
933, 7149, 1323, 5.28,
944, 7356, 1335, 5.28,
955, 7500, 1304, 5.29,
966, 7621, 1299, 5.31,
977, 7808, 1264, 5.32,
988, 7890, 1215, 5.33,
999, 8094, 1233, 5.32,
1010, 8165, 1203, 5.36,
1021, 8361, 1170, 5.33,
