Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
1169, 0, 0.00, 6.30,
1181, 0, 3076.25, 4.88,
1192, 0, 3010.00, 4.89,
1204, 0, 2878.75, 4.89,
1215, 49, 2831.25, 4.92,
1226, 49, 2780.00, 4.95,
1238, 49, 2575.00, 4.95,
1249, 2075, 2506.25, 5.03,
1261, 2075, 2412.50, 5.01,
1273, 2843, 2332.50, 5.01,
1284, 3401, 2311.25, 5.06,
1295, 3401, 2261.25, 5.09,
1306, 3857, 2213.75, 5.08,
1317, 4249, 2126.25, 5.13,
1328, 4591, 2043.75, 5.13,
1340, 4901, 2012.50, 5.15,
1351, 5183, 1997.50, 5.18,
1363, 5442, 1951.25, 5.24,
1374, 5683, 1945.00, 5.24,
1385, 5919, 1831.25, 5.24,
1396, 6114, 1831.25, 5.27,
1408, 6334, 1848.75, 5.29,
1419, 6690, 1740.00, 5.32,
1430, 6858, 1692.50, 5.29,
1441, 7032, 1681.25, 5.32,
1452, 7327, 1627.50, 5.34,
1463, 7470, 1567.50, 5.36,
1474, 7614, 1577.50, 5.36,
1485, 7865, 1558.75, 5.37,
1496, 8012, 1525.00, 5.40,
1508, 8214, 1448.75, 5.38,
1519, 8337, 1486.25, 5.43,
1531, 8556, 1445.00, 5.42,
1542, 8756, 1355.00, 5.44,
1553, 8854, 1341.25, 5.44,
1564, 9041, 1330.00, 5.46,
1575, 9213, 1333.75, 5.48,
1586, 9299, 1317.50, 5.48,
1598, 9457, 1288.75, 5.50,
1609, 9615, 1248.75, 5.49,
1622, 9746, 1210.00, 5.50,
1634, 9900, 1231.25, 5.52,
1646, 10040, 1163.75, 5.53,
1657, 10169, 1181.25, 5.54,
1669, 10295, 1133.75, 5.54,
1681, 10395, 1140.00, 5.55,
1692, 10533, 1130.00, 5.57,
1704, 10645, 1117.50, 5.57,
1716, 10752, 1088.75, 5.58,
1728, 10869, 1062.50, 5.60,
1739, 11005, 1048.75, 5.61,
1750, 11070, 1042.50, 5.61,
1761, 11185, 1020.00, 5.62,
1772, 11269, 1020.00, 5.62,
1783, 11363, 997.50, 5.61,
1794, 11415, 986.25, 5.62,
1805, 11520, 965.00, 5.63,
1816, 11574, 963.75, 5.65,
1828, 11718, 936.25, 5.65,
1839, 11783, 935.00, 5.66,
1850, 11857, 925.00, 5.65,
1861, 11914, 906.25, 5.67,
1872, 11990, 903.75, 5.66,
1883, 12057, 908.75, 5.67,
1894, 12106, 883.75, 5.68,
1906, 12195, 890.00, 5.67,
1918, 12295, 865.00, 5.68,
1929, 12355, 855.00, 5.69,
1940, 12396, 848.75, 5.69,
1951, 12479, 841.25, 5.71,
1963, 12531, 842.50, 5.70,
1974, 12552, 823.75, 5.70,
1985, 12647, 822.50, 5.70,
1996, 12701, 815.00, 5.73,
2007, 12755, 800.00, 5.71,
2018, 12798, 787.50, 5.72,
2029, 12864, 788.75, 5.72,
2040, 12897, 787.50, 5.72,
2051, 12964, 775.00, 5.72,
2062, 12998, 777.50, 5.73,
2074, 13066, 763.75, 5.73,
2085, 13111, 745.00, 5.74,
2096, 13169, 753.75, 5.77,
2107, 13192, 741.25, 5.75,
2118, 13227, 730.00, 5.75,
2129, 13274, 728.75, 5.76,
2140, 13286, 701.25, 5.75,
2151, 13357, 727.50, 5.78,
2163, 13392, 718.75, 5.76,
2176, 13452, 715.00, 5.77,
2188, 13489, 715.00, 5.77,
2199, 13501, 696.25, 5.76,
2211, 13574, 696.25, 5.77,
