Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
671, 0, 0.00, 6.66,
683, 0, 3557.50, 5.31,
694, 0, 3162.50, 5.36,
705, 0, 3107.50, 5.49,
716, 0, 3030.00, 5.44,
727, 82, 2996.25, 5.47,
738, 82, 2917.50, 5.49,
749, 82, 2836.25, 5.57,
760, 2338, 2785.00, 5.55,
771, 3078, 2712.50, 5.57,
782, 3078, 2701.25, 5.59,
793, 3641, 2607.50, 5.58,
804, 4101, 2452.50, 5.67,
815, 4505, 2420.00, 5.67,
826, 4860, 2425.00, 5.72,
837, 4860, 2286.25, 5.74,
848, 5472, 2317.50, 5.76,
860, 5742, 2243.75, 5.76,
872, 5995, 2187.50, 5.75,
884, 6231, 2082.50, 5.82,
897, 6457, 2052.50, 5.82,
909, 6861, 1967.50, 5.84,
921, 7052, 1935.00, 5.86,
933, 7400, 1908.75, 5.87,
944, 7579, 1852.50, 5.90,
955, 7853, 1875.00, 5.90,
966, 8029, 1753.75, 5.94,
977, 8305, 1713.75, 5.92,
989, 8436, 1671.25, 5.95,
1001, 8665, 1682.50, 5.95,
1013, 8923, 1548.75, 5.95,
1025, 9146, 1517.50, 5.98,
1037, 9357, 1506.25, 6.00,
1049, 9457, 1505.00, 6.02,
1061, 9646, 1476.25, 6.02,
1072, 9829, 1471.25, 6.02,
1083, 10006, 1403.75, 6.03,
1094, 10183, 1445.00, 6.05,
1105, 10337, 1382.50, 6.07,
1116, 10496, 1371.25, 6.07,
1127, 10608, 1343.75, 6.07,
1138, 10791, 1327.50, 6.10,
1149, 10909, 1297.50, 6.11,
1160, 11053, 1260.00, 6.12,
1171, 11152, 1243.75, 6.12,
1182, 11269, 1232.50, 6.12,
1193, 11415, 1222.50, 6.12,
1204, 11529, 1206.25, 6.14,
1215, 11636, 1178.75, 6.16,
1226, 11746, 1153.75, 6.18,
1238, 11895, 1141.25, 6.18,
1249, 11971, 1138.75, 6.16,
1261, 12087, 1120.00, 6.17,
1272, 12214, 1096.25, 6.20,
1283, 12285, 1087.50, 6.18,
1294, 12386, 1053.75, 6.19,
1305, 12468, 1067.50, 6.19,
1316, 12583, 1066.25, 6.23,
1327, 12615, 1027.50, 6.21,
1338, 12711, 1023.75, 6.19,
1349, 12798, 1005.00, 6.22,
1360, 12919, 1007.50, 6.21,
1372, 13032, 985.00, 6.21,
1384, 13089, 987.50, 6.22,
1396, 13134, 968.75, 6.23,
1409, 13286, 962.50, 6.23,
1420, 13345, 932.50, 6.23,
1432, 13428, 936.25, 6.26,
1444, 13525, 913.75, 6.25,
1455, 13574, 910.00, 6.25,
1466, 13648, 912.50, 6.26,
1477, 13698, 915.00, 6.26,
1488, 13761, 886.25, 6.27,
1499, 13774, 878.75, 6.27,
1510, 13888, 860.00, 6.26,
1522, 13953, 867.50, 6.27,
1533, 13992, 861.25, 6.27,
1544, 14071, 836.25, 6.28,
1555, 14071, 837.50, 6.26,
1566, 14177, 827.50, 6.30,
1577, 14245, 832.50, 6.28,
1588, 14285, 791.25, 6.29,
1599, 14326, 795.00, 6.28,
1611, 14409, 801.25, 6.30,
1622, 14409, 793.75, 6.28,
1633, 14464, 785.00, 6.29,
1644, 14548, 768.75, 6.27,
1655, 14563, 766.25, 6.27,
1666, 14619, 770.00, 6.30,
1677, 14662, 750.00, 6.27,
1689, 14691, 745.00, 6.30,
1701, 14749, 753.75, 6.29,
1712, 14792, 733.75, 6.29,
1723, 14778, 743.75, 6.30,
1734, 14807, 725.00, 6.30,
1745, 14955, 716.25, 6.28,
1756, 14895, 722.50, 6.26,
1767, 14985, 673.75, 6.30,
1779, 15015, 710.00, 6.31,
1792, 15045, 696.25, 6.30,
1803, 15090, 690.00, 6.31,
1815, 15120, 691.25, 6.30,
1827, 15151, 696.25, 6.30,
1839, 15197, 670.00, 6.30,
1851, 15228, 680.00, 6.32,
1863, 15243, 677.50, 6.31,
1875, 15274, 663.75, 6.27,
1887, 15259, 671.25, 6.31,
1899, 15337, 658.75, 6.31,
1911, 15353, 655.00, 6.31,
1923, 15400, 653.75, 6.32,
1935, 15432, 660.00, 6.31,
1947, 15463, 650.00, 6.33,
1959, 15495, 653.75, 6.30,
1971, 15511, 643.75, 6.32,
1983, 15544, 631.25, 6.34,
1995, 15560, 637.50, 6.32,
2007, 15592, 641.25, 6.33,
2019, 15625, 632.50, 6.31,
2031, 15641, 638.75, 6.33,
2042, 15657, 620.00, 6.31,
2053, 15673, 625.00, 6.32,
2064, 15706, 615.00, 6.34,
2075, 15690, 606.25, 6.33,
2086, 15723, 630.00, 6.34,
2097, 15822, 605.00, 6.34,
2108, 15806, 630.00, 6.32,
2120, 15806, 610.00, 6.32,
2132, 15839, 603.75, 6.36,
2144, 15839, 597.50, 6.34,
2156, 15873, 608.75, 6.34,
2168, 15873, 591.25, 6.32,
2180, 15906, 603.75, 6.32,
2192, 15923, 592.50, 6.34,
2204, 15940, 595.00, 6.35,
2216, 15957, 592.50, 6.31,
2228, 16042, 582.50, 6.34,
2240, 15991, 580.00, 6.35,
2252, 16025, 581.25, 6.34,
2264, 16042, 587.50, 6.34,
2276, 16042, 578.75, 6.34,
2288, 16059, 576.25, 6.33,
2299, 16042, 582.50, 6.34,
2310, 16077, 568.75, 6.35,
2321, 16094, 571.25, 6.35,
2332, 16146, 587.50, 6.35,
2343, 16129, 578.75, 6.35,
2354, 16111, 567.50, 6.37,
2366, 16129, 562.50, 6.34,
2377, 16163, 573.75, 6.34,
2390, 16181, 570.00, 6.36,
2402, 16181, 561.25, 6.35,
2414, 16181, 562.50, 6.35,
2425, 16216, 551.25, 6.36,
2436, 16268, 558.75, 6.36,
2447, 16251, 567.50, 6.36,
2458, 16251, 548.75, 6.34,
2469, 16233, 560.00, 6.35,
2480, 16286, 555.00, 6.38,
2492, 16216, 548.75, 6.35,
